question,subject,choices,answer,b,sol,a,the,c,solution,d,none,ac,e,r,choice,output,ad,Unnamed: 18,false,cor,Ð°,which,un,?,.,bb,'},Ñ,3,aa,statement,letter,option,response,its,**,cho,1,f,db,bc,band,}',correct,dor,second,first,ab,ba,4,j,author,cd,2,forms,an,choose,ach,mon,dd,impl
Which of the examples below has not been developed by the European Court of Human Rights as a situation where the state has a positive obligation to protect?,international_law,"['When the applicant is in the custody of the state'
 'Where the state must investigate claims against it'
 'The development of a legal framework to protect those within the state'
 'To provide housing for all those homeless within a state']",3,0.0001233268585774,,5.14102833471909e-05,5.82554830465966e-05,0.9993557483419516,2.428449832015136e-05,1.8912786308230097e-05,,,,,,1.1471184756534862e-05,,,,,,,,1.1471184756534862e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which case was the first to define the meaning of the doctrine of 'margin of appreciation' as applied by the European Court of Human Rights?,international_law,"['Goodwin v UK (2002)' 'Airey v Ireland (1979)' 'Osman v UK ( 1998)'
 'Handyside v UK (1976)']",3,0.0001794942893744,2.9012549749109467e-06,0.0001584031544045,,5.4202578783575e-06,9.41899586040526e-07,0.999638873848563,,,,,,,5.4202578783575e-06,,,,,,,,4.4492186048615203e-07,,,,,,,,,,,,,,,,,,,,3.9264216377120477e-07,,,,,,,,,,,,,,,,
How are the members of the arbitral tribunal appointed?,international_law,"['All the members of the arbitral tribunal are appointed by the parties'
 'All the members of the arbitral tribunal are appointed by the parties'
 'All the members of the arbitral tribunal are appointed by an impartial third party, such as the president of the ICJ'
 'All the members of the arbitral tribunal are appointed by the parties from a restricted list of arbitrators']",0,0.0123761861467545,0.0004798768138183,0.5963417925900069,,0.1708718307298594,,0.2193730961547549,3.067749835009595e-05,8.339008630764816e-05,,,,,7.359149287276157e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are the peremptory norms of international law the only norms that set out obligations erga omnes?,international_law,"['Yes'
 'No, acts of international organizations also set out such obligations'
 'No, decisions of international courts also set out such obligations'
 'No, even though all peremptory norms set out obligations erga omnes, the latter may also spring from treaties regulating objective regimes or unilateral acts']",3,9.606281011472872e-05,,2.428848208127612e-05,,1.6693213332567717e-05,,0.9995574964307664,,,1.891588886451363e-05,,,0.0001088534246787,,,,,,,,,,,1.6693213332567717e-05,,,,,,,,,,,,,,,,1.6693213332567717e-05,,,,,,,,,,,,,,,,,,
What is the constitutive theory of recognition?,international_law,"['Recognition is determinative of statehood'
 'Recognition requires constitutional approval by third nations'
 'Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees'
 'Countries wishing to be recognised must possess a valid constitution']",0,2.1443751773827554e-05,1.994579618002829e-06,0.9999261660454596,6.143737745880804e-06,1.012931110323694e-05,,,,,,,,,1.760210334845862e-06,,,,2.902096219966568e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The enforcement mechanism of the International Covenant on Civil and Political Rights (and Protocol) consists of,international_law,"['A reporting mechanism only' 'Judgment of an international tribunal'
 'Right to individual petition only'
 'A reporting mechanism and right to individual petition']",3,8.47897671066931e-05,5.420428463345735e-06,4.0051849995902094e-05,,1.89191543134645e-05,,0.9996673495700786,,,0.0001233683831877,,,,,,,,,,,,3.2876560517982246e-06,,,,,,,,,,,,,,3.2876560517982246e-06,,,,,,,,,,,,,,,,,,,,,,
Is piracy under international (jure gentium) law subject to universal jurisdiction?,international_law,"['Piracy jure gentium is subject to flag State jurisdiction'
 'Piracy jure gentium is subject to universal jurisdiction'
 'Piracy jure gentium is subject to port State jurisdiction'
 'Piracy jure gentium is subject to nationality-based jurisdiction']",1,0.9999806855487916,,8.315120661110865e-07,,1.3007037157436464e-05,5.043375620173722e-07,1.209842917343073e-06,,,5.714893282234798e-07,,,,,3.058961942082579e-07,,,,,,,,,,,,,,,,,,3.927784882314526e-07,,,,,,,,,,,,,,,,,,,,,,,,,
What are self-executing treaties?,international_law,"['Self-executing treaties are adopted only by the executive'
 'Self-executive treaties are clear and precise enough so as not to require any further implementing measures'
 'Self-executing rely on implementing measures stipulated in the treaty Itself'
 'Self-executing treaties follow the doctrine of transformation']",1,0.9997714678896672,3.534924052804951e-05,6.604107571482777e-05,,1.8921084982105165e-05,,6.960678169574218e-06,,,4.7839994790627285e-06,,,5.432701098574077e-05,,,,,,,,,,,,,,,,,,,,,,,,,,3.287991551701409e-06,,,,,,,,,,,,,,,,,,,
"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",international_law,"['The ICJ was not hostile to the accumulation theory'
 'The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force'
 'In the Nicaragua case the ICJ dismissed the accumulation theory'
 'The ICJ has never addressed this issue']",0,0.0142313108427593,3.281169143573485e-06,0.8804862346675402,2.747289288034712e-05,0.1051648733209282,,5.8160114684093086e-05,,4.213104576799904e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is there any priority among international courts and tribunals?,international_law,"['According to the lis pendens rule, the court or the tribunal that seizes first the dispute has exclusive jurisdiction to adjudicate it'
 'The International Court of Justice has by definition priority over any other court or tribunal'
 'Since there is no lis pendens rule in international law and all depends on the consent of the parties to a dispute, there is no priority or hierarchy among international courts and tribunals'
 'Regional or special courts have priority over all others in line of the principle of lex specialis']",2,2.14417272842228e-05,3.5351431854049416e-05,1.3005064995078025e-05,,0.9998340277462768,,2.4296660103197827e-05,,,2.9018222350924987e-06,,,4.789636311248523e-05,,,,,,,,2.5608491343202376e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?,international_law,"[""When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States""
 ""Third States may never have access to fisheries within another State's EEZ""
 'The coastal State is to give access to fisheries within its EEZ only to neighbouring States'
 'Third States are free to fish within another EEZ, except from certain designated areas']",0,0.0067364595889633,,0.1053926304351867,,0.0052463600030135,,0.8823987296059971,,,4.005643382866599e-05,,,,,,,,,,,,1.1476360437025597e-05,,1.669800590693623e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of sovereign immunity?,international_law,"['The purpose of immunity is to protect foreign Heads of State from embarrassment'
 'Immunity protects a State from being invaded by another'
 'Immunity shields States from being sued in the courts of other States'
 'The purpose of immunity is to offer impunity in respect of all crimes']",2,5.828865987471614e-05,8.938855502522407e-06,3.288421166980215e-06,,0.9999033295522496,,6.1435795515453376e-06,,,,,,5.986365970610638e-06,,,,,,,,,,,,2.9020214942536603e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is passive personality jurisdiction?,international_law,"['It is jurisdiction based on the nationality of the offender'
 'It is jurisdiction based on where the offence was committed'
 'It is jurisdiction based on the nationality of the victims'
 'It is jurisdiction based on the country where the legal person was Registered']",2,5.043452576565602e-07,7.734377650551035e-08,0.999996116217479,,2.699565630800286e-07,,1.3709525491573226e-06,,,,,,,3.927844816012785e-07,,,,5.043452576565602e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following types of rights have been described as first generation rights?,international_law,"['Social and economic rights' 'Civil and political rights'
 'Cultural rights' ""People's rights""]",1,0.997445646844124,2.4238685772488523e-05,0.0024753068839245,,2.746602928746826e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.989632488279836e-06,1.5495273398966438e-06,1.5495273398966438e-06,1.3674530779289355e-06,,,,,,,,,,,,
What is the problem of 'fragmentation' of international law?,international_law,"['Fragmentation of international law concerns the possibility of different legal regimes apply the same rules of international law'
 'It is possible for several legal regimes (ie foreign investment law and human rights law) to exist and develop in isolation of each other, ultimately culminating in the production of divergent rules of international law'
 'Fragmentation is when States assume different interpretations of the same rule of international law'
 'Fragmentation is when States disagree to abide by a certain rule of international law']",1,0.9999188261004454,1.0129243483015751e-05,1.4737962304365289e-05,,4.006193512047056e-05,,4.222496896145316e-06,,,1.9945663027917974e-06,,,1.0676144085081784e-06,,,,,,,,,5.714528134055443e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is functional (ratione materiae) immunity?,international_law,"['Functional immunity covers the person but not the act'
 'Functional immunity covers the act and incidentally also the person committing the act'
 'Functional immunity covers the State and incidentally also the act'
 'Functional immunity covers both private and public acts as long as they are sanctioned by the State']",1,8.480674979007955e-05,3.7261485363436464e-06,3.2883145418933915e-06,4.222279449855022e-06,6.96136193981601e-06,,0.9998689380407024,,,,,,4.784469427019068e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.067559429476031e-06,,,,,,,,,,,
What is the meaning of implied authorisation?,international_law,"['Presumption of Security Council approval of armed force when a State has been forewarned'
 'Implicit authorisation on the basis of a specific number of votes by UNSC members'
 'Presumption that all unlawful attacks will be subject to armed force by a resolution of the UNSC'
 'In cases of repeated unlawful attacks the UNSC shall authorise neighbouring States to take whatever measures they deem necessary to rectify the situation']",0,5.8255260819988576e-05,0.0001794388359158,5.8255260819988576e-05,1.29985056762526e-05,0.0001088351555261,3.53336017768792e-05,0.9993244208322568,,,,,,1.6690411667268218e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which philosopher called the idea of natural rights 'nonsense on stilts'?,international_law,['Alan Gerwith' 'Emmanuel Kant' 'John Locke' 'Jeremy Bentham'],3,0.0003797689655892,,1.668589178977538e-05,1.0120504955146076e-05,8.473795051752211e-05,,0.9990661784286546,,,,,1.890759246962443e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002303416310726,,,,,,,,,,
Who has the authority to conclude a treaty on the part of States?,international_law,"['Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority'
 'Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs'
 ""Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority""
 'Treaties are concluded only by members of the diplomatic missions of States']",0,0.0001225630979983,2.1298272860669045e-05,0.9931463916014662,,0.0066927756007462,,4.193878587950364e-06,,2.2448214440215176e-06,,,,,,,,,7.287868205805192e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who is a 'persistent objector'?,international_law,"['The State which persistently objects to the rule in question after its formation'
 'The State which denies to be bound by the rule in question for a short period'
 'The State which persistently and publicly objects to the formation of a rule of customary law from its outset'
 'The State which accepts the formation of a rule of customary law but it retains objections as to its content']",2,1.01291179038026e-05,2.429849068911185e-05,1.6700092141428838e-05,1.7601767618182842e-06,0.999911115224244,,,,,,,,6.961634138893213e-06,,,,,,,,,,,,3.7262942340105513e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective security?,international_law,"['The right to self-defence by more than one nation acting in concert'
 ""The right of one's allies to defend the victim State""
 'The authorisation of armed force by the UN Security Council'
 'The authorisation of peacekeeping missions by the UN General Assembly']",2,1.892357529425736e-05,1.1477728607347607e-05,0.9999015290923476,4.222420385988515e-06,4.539529724692013e-05,,6.143585410522161e-06,,,,,8.31443871621338e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.561027422297686e-06,,,,,,,,,
The European Convention on Human Rights is predominantly concerned with which of the following?,international_law,"['Economic and social rights' 'Environmental rights'
 'Civil and political rights' 'Economic freedom']",2,7.478554327110267e-05,0.0003797921455547,1.8908746532703977e-05,,0.9991141067831264,1.472614660656857e-05,4.0029816723859176e-05,,,,,1.8908746532703977e-05,0.0001892985262267,,,,,,,,,,,,,1.1468734508819914e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is the jurisdiction of international tribunals regulated by the same principles applicable to national courts?,international_law,"['The jurisdictional principles applicable to national courts are also common to international tribunals'
 'The jurisdiction of all international tribunals is regulated by the UN Security Council'
 'International tribunals share some, but not all, of the jurisdictional principles applicable to national courts'
 'The jurisdiction of international tribunals is dictated solely by their founding treaties']",3,0.0001324572352898,,0.0003600562674245,,0.6510092071290697,,0.3484593225247989,,,5.135924369944731e-06,,,,,,,,,,,2.42603888976936e-06,2.42603888976936e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.140971805771231e-06,,,,,,,,
What is the meaning of collective rights?,international_law,"['Collective rights belong to distinct groups of people'
 'Collective rights are those that belong to particular groups as opposed to the individual members of the group'
 'Minority rights are collective rights'
 ""Collective rights entail a right of the group as such as well as individual rights of the group's members""]",1,0.7782164799171988,0.0001397367109997,0.1967828515382188,,0.0010325223966568,,0.0235001014296266,,,,,,,3.11794747039781e-05,,,,,,,2.42825993152132e-05,,,,,,,,,,,,,,,,,,,,,,,,5.8250927570567325e-05,,,,,,,,,,,,,
Are States under any obligation when they conduct negotiations?,international_law,"['States are under no obligation as to how they conduct their negotiation'
 'States are under an obligation so to conduct themselves that the negotiations are meaningful'
 'States are under an obligation to find a solution of the dispute whenever they conduct negotiations'
 'States are under an obligation to inform the UN Secretary-General about the progress of their negotiations']",1,0.99956376150894,3.534199326356322e-05,7.481900032608838e-05,1.759574234869609e-06,0.0002304587454236,1.9938588222987417e-06,5.142229677397879e-05,,,,,,2.9010474684054277e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the major difference between naturalism and positivism?,international_law,"['On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires'
 'While naturalism serves only the theory human rights law, positivism has a wider and more general scope'
 'Naturalism concerns the underpinning values of the international society, while positivism the international rules as such'
 'Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory']",0,1.8924243042364463e-05,6.143802196592706e-06,0.9999379411636284,,1.3006429352251744e-05,,4.222569380730592e-06,,,,,,,,,,,1.760228800283983e-06,,,,2.2601785187504045e-06,,,,,3.288540340286322e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is an 'internationally wrongful conduct'?,international_law,"['An international wrongful conduct is an action or omission which is in breach of a rule of international criminal law'
 'An international wrongful conduct is every breach of an international obligation of the State, whether attributable to it or not'
 'An internationally wrongful conduct consists of an action or omission attributable to the State, which constitutes a breach of an international obligation of the State'
 'An internationally wrongful conduct is the conduct that cannot be excused on grounds of necessity, force majeure etc.']",2,0.0001088664017916,0.0001626208884362,1.669520343728654e-05,,0.9996181309387384,,7.886255694980983e-06,,,3.287480476710912e-06,,,1.4733465321425064e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the effects doctrine?,international_law,"['It posits that jurisdiction exists only when it is effective'
 'The effects doctrine serves to confer jurisdiction on the State which has an effective link with the harmful conduct'
 'The effects doctrine serves to confer jurisdiction on the State sharing the nationality of the offender'
 'The effects doctrine serves to confer jurisdiction to the State on whose territory the conduct produces effects']",3,8.480383823137128e-05,1.994395115139499e-06,4.005849672455952e-05,1.994395115139499e-06,7.887985696194735e-06,,0.9998330863158622,,,,,,1.5532364774244265e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.259945739524358e-06,,,,,,,,,,,
Which persons are considered as 'de facto' organs of the State under the law of international responsibility?,international_law,"[""'De facto organs' are the individuals that are empowered by law to exercise elements of governmental authority""
 ""'De facto organs' are the persons, which are, in fact, acting on the instructions of, or under the direction or control of, that State in carrying out the conduct attributable to the State""
 ""'De facto organs' are the de jure organs of the State that act without due authority or ultra vires""
 ""'De facto organs' are the organs, whose acts or omission cannot be attributed to the State""]",1,0.9997515523983828,0.0001795150032399,2.1440009685353703e-05,,1.0127543465804495e-05,2.56064399638901e-06,2.259760395435141e-06,,,,,,3.2879319744523622e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.5531090924190204e-06,,,,,,,1.9942315495548526e-06,,,,,,,,,,,,
What is the fundamental prerequisite for the incorporation of custom under English law?,international_law,"['Custom is incorporated if it is not in conflict with existing legislation'
 'Custom is superior to English law and is always incorporated'
 'Custom must first be recognised by Parliament before the courts can bring it into the domestic sphere'
 'Custom is incorporated with the passing of implementing legislation']",0,2.4298977323761244e-05,9.285700495198434e-06,0.9999261182152694,3.466062962955991e-07,3.120050448322851e-05,,1.7602120135140505e-06,,,,,,,,,,,1.3708544944964369e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Was the use of armed force permitted prior to the United Nations Charter?,international_law,"['Armed force was prohibited'
 'Armed force was permitted with no restrictions'
 'Armed force was permitted subject to few restrictions'
 'Armed force was not regulated under international law prior to 1945']",2,0.0148400543790656,,0.0070099453295284,,0.715068549682246,,0.2630548226367954,1.2587072233939889e-06,,1.353237795611833e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the protective principle of jurisdiction?,international_law,"['It is jurisdiction based on the harm to national interests by conduct committed abroad'
 ""It is jurisdiction in order to protect one's nationals abroad""
 'It is jurisdiction in order to protect international human rights'
 'It is jurisdiction based on the nationality of the offender']",0,3.120112934700109e-05,4.222613677478581e-06,0.9999450699533452,,2.561144659512673e-06,,1.012952362687092e-05,,,,,,,6.475587805086693e-07,,,,3.466132379050856e-07,,,,,,,,,3.927642543446316e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is correct?,international_law,"['The Council of Europe was established in 1950 and consists of 27 member states'
 'The Council of Europe was established in 1949 and consists of 47 member states'
 'The Council of Europe was established in 1959 and consists of 34 member states'
 'The Council of Europe was established in 1984 and consists of 19 member states']",1,0.99964826743187,,4.78330604795351e-06,1.699309367101497e-05,0.0001794922352371,,9.60752702410771e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.259473788577046e-06,,,,,,,
What is the 'equitable result' in the law and practice of maritime delimitation?,international_law,"['It is the only method of delimitation that international courts and tribunals follow'
 'An equitable result is what a judge or the arbitrator would decide ex aequo et bono, i.e. upon their discretion and in light of what they consider as fair and equitable in a delimitation case'
 ""It is the end result that all delimitations of areas of continental shelf and EEZ should achieve, after, however, drawing a provisional 'equidistance line' and adjusting the zone in the light of the relevant circumstances and the proportionality test.""
 'Achieving an equitable result is an old method of delimitation which is currently not applicable']",2,0.5308387234670756,0.000332690820397,7.423335603510218e-05,,0.4684976756661165,,2.7308925534474107e-05,,,1.8769131735145076e-05,,,2.126821259108712e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is a derogation?,international_law,"['Derogations are exemptions from particular human rights obligations contained in a treaty'
 'A derogation refers to the ability of rights holders to bring a claim against the State for breach of an obligation'
 'A State may suspend particular rights by means of a derogation in circumstances that threaten its existence'
 'Derogations are enforcement clauses in human rights treaties']",2,0.0002303936989593,0.0001266072500398,0.0002958313653085,,0.9993023638408758,,5.418340458951948e-06,,2.258700347024485e-06,,,,3.286389613115778e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is an act jure gestionis?,international_law,"['Acts jure gestionis are those undertaken by States in a private capacity'
 'All purchases by the State are acts jure gestionis'
 'All acts undertaken by State corporations are jure gestionis'
 'All conduct undertaken by government officials in their free time is considered jus gestionis.']",0,3.534866743442762e-05,9.60876403472466e-05,4.538858743184732e-05,,0.9997699260462334,5.42089372241905e-06,6.960565320749082e-06,,,3.2879382456908994e-06,,1.1476032100416671e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of cultural relativism?,international_law,"['Culture relativism posits that human rights apply equally to all without restrictions'
 'Culture relativism posits that human rights have a cultural origin'
 'Cultural relativism posits that the application of human rights is relative to the laws in each nation'
 'Cultural relativism posits that local culture should validate the existence and practice of all human rights']",3,8.480747769537557e-05,,1.4737329833211082e-05,,0.9998843675201888,,4.784510492625794e-06,,,6.475130826680572e-07,,3.927365372032177e-07,6.475130826680572e-07,,,,,,,,,,,,9.421259761349888e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is recognition of governments prevalent in contemporary international practice?,international_law,"['Recognition of governments is very prevalent in contemporary practice'
 'Recognition of governments has largely been replaced by functional Recognition'
 'Government recognition is common in respect of rebel entities'
 'Only democratic governments are recognised in contemporary practice']",1,0.0007095224723475,,0.9991197292751008,8.931569806114928e-06,0.0001088087952225,,1.146836264197237e-05,4.218974839880241e-06,,,,,,,2.2582544996799763e-06,,,,,,3.285740909057287e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the legal nature of the Universal Declaration of Human Rights (UDHR)?,international_law,"['The UDHR is a multilateral treaty'
 'The UDHR is a UN General Assembly resolution'
 'The UDHR is a UN Security Council resolution'
 'The UDHR is a declaration adopted by several States at an international conference']",1,0.9999300510981216,,2.9020934523132587e-06,2.561088482677486e-06,2.4298930977184267e-05,4.222521057535488e-06,3.2885027061441347e-06,,,1.760208656179275e-06,,,4.784743204388438e-06,,,,,,,,,3.2885027061441347e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under what circumstances do human rights violations taking place outside the territory of ECHR member States fall within the remit of the ECHR?,international_law,"['The ECHR applies outside Europe where human rights are violated by ECHR member States abroad'
 'The ECHR applies extraterritorially in circumstances where a member State exercises effective control'
 'The ECHR applies extraterritorially where a member State has contributed forces to a UN peacekeeping mission'
 'The ECHR applies extraterritorially where human rights violations are taking place in former colonies of member States']",1,0.999995363821809,8.315247540751075e-07,2.1024238272199137e-07,,1.9947241888728423e-06,,3.059008618493715e-07,,,,,,,,,,,,,,,,1.6373693229868488e-07,,,,,,,,,,,,,,,8.764198070156539e-08,,,,,,,6.825564320030807e-08,,,,,,,,,,,,,
What does the principle 'pacta sunt servanda' mean?,international_law,"['Parties to a treaty should be cognizant of its terms and not misinterpret them'
 'Parties to a treaty should safeguard the object and purpose of the treaty'
 'Parties to a treaty should adhere to its terms in good faith'
 'Parties to a treaty should not violate the most important provisions of the treaty']",2,3.724386401190776e-06,0.0005527479515193,7.333751653661953e-07,,0.9993963507513725,2.428605005638227e-05,1.4730233962511577e-05,,,1.0670545693020178e-06,,1.20913123454247e-06,6.472013118681328e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the consequence from the absence of implementing legislation in the Tin Council case?,international_law,"['The International Tin Council was headquartered in London and hence the absence of implementing legislation was inconsequential'
 'The constitutive treaties of international organisations are subject to the doctrine of incorporation'
 ""The absence of implementing legislation with respect to the Council's founding treaty meant that individuals did not derive rights and duties from it in the English legal system""
 'The absence of implementing legislation in England in respect of an international organisation is inconsequential under international law']",2,7.887948083437578e-06,0.000139817225227,3.2881859691810083e-06,7.336934619011783e-07,0.999833313317127,,2.560841807682576e-06,,,,,,4.22211435922443e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is true?,international_law,"['The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law'
 'The Human Rights Act 1998 allows a court to invalidate primary legislation'
 'The Human Rights Act 1998 allows any person with a reasonable case to bring a case before a court'
 'The Human Rights Act 1998 incorporates the EU charter of fundamental rights into UK law']",0,1.0779706382464669e-05,6.603370726962535e-05,0.9996681300944584,3.119211466766221e-05,,1.0126596988981108e-05,9.513057493296464e-06,,,,,,1.6695935855541023e-05,,,,,,,,,,,,,,,,,,,,,,8.936690476498318e-06,,,,,,,,,,,,,,,,,,,,,,,
What forms may the obligation of reparation take?,international_law,"['Reparation may take only the form of pecuniary compensation, including the interest'
 'Reparation denotes only the physical restitution of the wrongful act'
 'Reparation includes restitution, compensation, and satisfaction, either alone or alongside other forms of reparation'
 'The form of reparation is a matter for the responsible State to decide']",2,0.0001397287154297,,0.0002303737052565,,0.9992203758638144,,5.824759452111569e-05,,,5.824759452111569e-05,,,,,,,,,,,,,,,2.1428092522008805e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2996795093757349e-05,,,,,,
What is jus cogens?,international_law,"['They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States'
 'They are rules of international law that are laid down in multilateral treaties with a wide participation'
 'They are the decisions of the UN Security Council'
 'They are the rules of international law on which the ICJ founds its decisions']",0,2.1443997179495543e-05,1.4738229355891132e-05,0.9999380748250905,,4.784802524883318e-06,,2.561120234650316e-06,,,,,,,,,,,,,,,,,,,,1.3708688754078196e-06,,,,,,,,,,,,,,,,,,,,,,,,,,9.421834806960316e-07,,,,,
What is 'unilateral acts'?,international_law,"['They are acts that States perform as practice in the context of custom'
 'They are acts creating unilateral legal obligations to the acting State'
 'Unilateral acts are simply political acts of State devoid of any legal effect'
 'Unilateral acts are those that State perform in order to be bound by a treaty']",1,0.999956002727296,5.42201050713723e-06,3.726489691047421e-06,3.058889011616006e-07,2.4299765229095075e-05,,2.2602302507233198e-06,,,6.475668088407412e-07,,,6.475668088407412e-07,,,,,,,,,,,,,,,,,,,,,,,,,,5.71475703018545e-07,,,,,,,,,,,,,,,,,,,
Is extra-territorial abduction a ground for refusal of otherwise lawful jurisdiction by English courts?,international_law,"['Such abduction constitutes abuse of process and leads to a stay of proceedings'
 ""Such abduction gives rise to the abductor's liability but does not lead to a stay of proceedings""
 'The stay of proceedings under such circumstances would prevent the administration of justice in respect of international criminals'
 'The courts may, but will seldom, stay proceedings in cases of extra-territorial abduction']",0,0.0004298360648236,8.463973958761064e-05,0.9980201274765168,0.0001395473390046,6.591749546979095e-05,,,,,,,,0.0002030401801845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5283092789554375e-05,,,,
What is the meaning of 'secondary rules' in the law of international responsibility?,international_law,"['Secondary rules are the rules of interpretation of international law, including the law of international responsibility'
 'Secondary rules are the rules that govern the legal consequences arising from a breach of the primary rules, ie of the international obligations of the States'
 'Secondary rules are the rules that govern exclusively the concept of attribution in the law of international responsibility'
 'Secondary rules are the rules that govern exclusively the law of countermeasures']",1,0.99965622365819,0.0001794970282608,2.7526760817708412e-05,,1.300272111558736e-05,,1.0126529386878527e-05,,,4.783433777710391e-06,,,7.886549016296591e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6695824398516556e-05,,,,,,,1.147486110967716e-05,,,,,,,,,,,,
What does the doctrine of incorporation suggest in respect of treaties?,international_law,"['The doctrine of incorporation requires that all treaties undergo legislative transformation before they become domestic law'
 'The doctrine of incorporation does not require any further action at the domestic level'
 'The doctrine of incorporation treats treaties as inferior to domestic law'
 'The doctrine of incorporation suggests that ratified treaties automatically pass into the sphere of domestic law']",3,8.480772033186262e-05,3.058643977984275e-07,2.4297818685856112e-05,,7.888346787789003e-06,,0.9998794012475092,,,1.2097171601026803e-06,,,,,,,,,,,,1.444801111942496e-07,,,,,,,,,,,,,,,,,,,,,,,,,2.38207432519079e-07,,,,,,,,,,,
Are the provisional measures issued by the ICJ binding upon the parties?,international_law,"['No, according to the literal interpretation of the relevant provision of the State, the provisional measures are not binding'
 'No, unless the parties have agreed so beforehand'
 'It depends upon the Court whether the provisional measures will be binding'
 'Yes, it has been consistently held by the Court since the La Grand case (2001) that they are binding']",3,8.480561750537053e-05,,0.9998675208155856,3.288270638450759e-06,8.938446323556121e-06,,7.888151194456941e-06,,,,,,2.259993155570352e-06,,,,,,,,,,,,,,,,,1.3707551395941217e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
