question,subject,choices,answer,b,c,d,a,e,?,'},none,',all,sol,Unnamed: 15,the,ab,bd,output,}},f,solution,aff,.,disc,ad,ac,aug,an,cont,con,},}',response,g,cd,da,function,part,cho,**,<b>,acc,4,sal,1,conf,Ð°
The effect of the Internet upon the public sphere has been to:,sociology,"['repress it, by promoting only the interests of elite groups'
 'revive it, by reaffirming a commitment to freedom of speech'
 'reproduce it, by emphasizing face-to-face contact with peer groups'
 'replace it with a superior form of communication']",1,0.9396992371987782,0.0118282850058475,0.0004047416557541,0.0468521082522972,0.0001023347166462,0.0002166425968401,0.0001159604258627,,,,9.031007046717464e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weber said that the 'spirit of capitalism' could be traced back to:,sociology,"['the movement towards religious pluralism'
 'inspirational Protestant groups who revived religious ideas'
 'new religious movements who rejected traditional forms of labour'
 'Calvinists who engaged in ascetic practices to gain signs of salvation']",3,0.9791471331724546,0.0040014189505328,0.0158259189499058,0.0006953423504314,0.0001208323246652,,9.918521203866798e-06,,,,,,,,,1.635287688270543e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The terms 'crisis of the 1970s' is used to refer to:,sociology,"['declining profits and rising unemployment'
 'the eradication of the welfare state'
 'rising divorce rates and the decline of the traditional family'
 'an unfortunate twist in fashion sensibility']",0,0.004063527151116,0.000906695463996,0.0004282926107137,0.9943623050412312,8.888929551561328e-06,1.1413611471351513e-05,,,,,2.73798305735646e-05,,,,,1.4655367225414112e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Macpherson Report highlighted the increasing problem of:,sociology,"['hate crimes: violence against ethnic minorities simply because of their race'
 'institutional racism: systematic forms of disadvantage built into the routines and practices of social institutions'
 'overt racism in the police force that must be tackled by institutional reforms'
 'growing numbers of asylum seekers in need of long term accommodation']",1,0.9936462786568148,0.0011633803919666,0.0001082111813173,0.00406059655795,,0.0001389459071812,5.111534268691195e-05,,,,3.9808668911530233e-05,,,,,,5.792127149365499e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?,sociology,['A primary group' 'A secondary group' 'An aggregate' 'A social category'],2,0.2274998722193664,0.3750838784096306,0.3750838784096306,0.0211855611293867,0.0007240822245082,,,0.0001706558770987,,,,,,,,,,4.084990431130326e-05,,,,,,,,1.9296128479330632e-05,,,,,,,,,,,,,,,,,,,
Environmentalist social movements are global in the sense that:,sociology,"['they increase our awareness of risks that affect the whole planet'
 'they appeal to universal values and human rights'
 'they use global media to generate publicity' 'all of the above']",3,0.0002606090698998,0.000229986696972,0.9975135316886212,0.0002953087644121,0.0003346286695707,,,,,0.0004034241979873,0.0001580673910934,,,,,6.589229189652123e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chodorow (1978) argued that gender socialization occurred through:,sociology,"['both boys and girls being closely attached to their mothers, but then boys breaking away'
 'girls being attached to their mothers but then breaking away'
 'boys being attached to their fathers and girls to their mothers'
 'both boys and girls being closely attached to their fathers, but girls breaking away']",0,0.0149034087992897,0.3393299036724067,0.0116067864433201,0.6338980293777238,2.2406368897819103e-05,,,,,,,,,,,,,,,,,,1.745009764340829e-05,,,,,,,,,,,,,,,,,,,,,,
The 'new man' of the 1980s was alleged to be:,sociology,"['sensitive, caring, and emotional' 'laddish, aggressive, and violent'
 'a strong and dependable breadwinner' 'openly bisexual and proud of it']",0,0.6246744227884642,0.0399322868755172,0.0399322868755172,0.2951074673256401,0.000127095776432,3.6413549608462845e-05,,1.3395796281029905e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:",sociology,"['they tended to recruit pupils from the inner cities and traditionally working class areas'
 ""selective schools could still 'cream off' the most able pupils, while the comprehensives put children into ability streams""
 'teachers in comprehensive schools used the restricted code in the classroom, whereas working class pupils used elaborated codes of speech'
 'national testing and league tables made the new schools highly competitive and selective']",1,0.9914399681629584,0.0027846073707088,0.0014904929191101,0.0032003825421457,0.0001570968727987,,,,,,4.500900762858129e-05,4.500900762858129e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In idealized views of science, the experimental method is said to involve:",sociology,"['testing out new research methods to see which one works best'
 'isolating and measuring the effect of one variable upon another'
 'using personal beliefs and values to decide what to study'
 'interpreting data subjectively, drawing on theoretical paradigms']",1,0.9978354440892454,0.0003347365518047,5.816849062411612e-05,0.0001086730474584,,5.133351280380355e-05,,,,,0.0001581183510524,,,,,0.0002300608432748,,,0.0001199914864598,,,,,,,,,,,,,,,,,,,,,,,,,,
An 'open' society is one that:,sociology,"['grants every member equal status'
 'does not have any official secrets in its government'
 'has permissive attitudes towards sexual behaviour'
 'allows people to move between levels of the hierarchy']",3,0.9409463998932496,0.0008579820400378,0.0043571923256866,0.0531612739545075,0.0001024713417612,0.0001024713417612,2.590881263248517e-05,2.590881263248517e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nation of Islam group appealed to:,sociology,"['British-born second generation immigrants from the Asian subcontinent'
 'White Americans who wanted to convert to Islam'
 ""African-Americans who felt excluded from the 'ethnic melting pot' in the USA""
 'African-Caribbeans who lived in the inner cities and had a distinctive youth culture']",2,0.0200194631793744,0.9647276877807786,0.0137591624103346,0.0006850283596078,5.623057876856719e-05,,3.86466739278475e-05,,,,,,3.009805991811288e-05,,,5.623057876856719e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comte's term 'positivism' refers to:,sociology,"['a theory that emphasizes the positive aspects of society'
 'the precise, scientific study of observable phenomena'
 'a theory that posits difficult questions and sets out to answer them'
 'an unscientific set of laws about social progress']",1,0.7927644633534522,0.0019650139476037,0.0047138234112073,0.200451874868393,2.8029418583065404e-05,5.519319768190976e-06,,,,,,,,7.086946865184307e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theories of racialized discourse suggest that:,sociology,"['race is an objective way of categorizing people on biological grounds'
 'the idea of race is socially constructed through powerful ideologies'
 'race relations in Britain and America can be traced back to colonial times'
 'people choose their racial identity and this becomes fixed']",1,0.9991465868195748,0.0001583193355026,3.532581868530512e-05,0.0002303532739244,1.6686735195131705e-05,,,,,,0.0001232992224648,,,,,,,,1.6686735195131705e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?",sociology,['Convergence' 'Emergent-norm' 'Contagion' 'Value-added'],1,0.0849513494217077,0.9133650259326456,0.0012117662079439,0.0002105733924944,6.836317143332695e-05,,,,,,1.0483831888572017e-05,,,,,,,,,,,,,,,,3.659216879949121e-05,1.1879737886748042e-05,,,,,,,,,,,,,,,,,
A new highway extends from a major city though an area used for farmland. Which of the following is most likely to happen as a result?,sociology,"['Farmers will increase the acreage under production.'
 'The city will evolve into a multiple nuclei model.'
 'Suburbanization will develop because the time it takes to commute to the city has been decreased.'
 'People from the countryside will move to the city, depopulating the farmland region.']",2,0.0018314502973273,0.9487857724977232,0.0472337257095163,0.0007634620698846,0.0001170807562429,0.0001170807562429,9.11825846446152e-05,,,,7.101306832370096e-05,,,,,0.0001930335332074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery",sociology,"['depended on the small group of African Americans receiving the same thorough and extensive education as the most talented White Americans were able to access'
 'involved their use of skills they already had from farming, domestic work, and labors of rural life rather than being forced to learn new skills in the late 1800s'
 'required that they be trained and prepared as craftspeople and service employees so they could become immediately self-sufficient'
 'required them to move to large cities where they would be accepted as equals in government, religion, and education']",0,0.0258161511190952,0.0039590349989325,0.0010010008089069,0.9689010882444472,2.077511890624772e-05,2.077511890624772e-05,,,1.617967887258727e-05,,2.077511890624772e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pluralist theories suggest that:,sociology,"[""the state's power can be exercised through several different administrative structures""
 'the ruling elite is composed of people from various class backgrounds'
 ""political parties must compete for the votes of 'consumers' in the electorate""
 'there is a close alignment between class background and party preference']",2,0.0530850888207272,0.0049376824213626,0.0006682426490275,0.9409849727371098,,2.017916986965065e-05,1.571555329621483e-05,,,,1.7808054906695096e-05,,,,,,,,1.7808054906695096e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
The term 'over-urbanization' means that:,sociology,"['life in modern Western cities is so far removed from that of the Third World that we find it difficult to understand these societies'
 'in poorer countries, the rapidly developing cities drain resources from the rural areas'
 'the extent to which urbanization affects development has been exaggerated'
 'governments are so preoccupied with urbanization in the West that they forget to attend to problems in the Third World']",1,0.99460287993678,0.0019200354589527,0.0006233442491645,0.0019200354589527,0.000108320936653,5.11671874364626e-05,,0.000140147787599,,,9.559289108134803e-05,,,,,0.000108320936653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The capitalist class of the mid-twentieth century were said to join the upper class because they:,sociology,"[""participated in the same leisure pursuits and events of the 'social calendar'""
 'emulated the lifestyle and cultural values of the traditional aristocracy'
 'owned companies and financial assets that generated wealth through corporations'
 'had direct, personal ownerships of land and businesses as physical assets']",2,0.3798767620140144,0.0660033825312148,0.0008308601658771,0.5527919030127031,,3.2215944750821265e-05,,,,,,,,4.687392302625925e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The term inter-generational mobility refers to:,sociology,"[""movement into a different occupational category over a person's lifetime""
 'movement into different occupational categories between generations'
 'movement into a higher occupational category'
 'movement into an occupation that generates a lower income']",1,0.997025641503808,0.0006248304030693,8.456163989635858e-05,0.0014988902168425,5.128922723272051e-05,,3.1108488829613135e-05,,,,0.0002298623691149,,,,,6.585667136908622e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The term 'culture industry', used by members of the Frankfurt School, referred to:",sociology,"['the globalization of culture through new technologies'
 'the way in which cultural products were bought and sold for profit'
 'the development of subcultures and counter-cultures in society'
 'the way in which industrialization had created new means of communication']",1,0.9984586197053108,0.0002031509691648,6.595346338560954e-05,0.0007304781710358,,3.5302345027556285e-05,,,,,5.136460893098394e-05,,,,,2.749349395171775e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to Hakim (1995, 1996), the majority of part-time work is done by women because:",sociology,"['part-time jobs pay relatively high wages and so are financially beneficial'
 ""they make a rational choice to combine employment with their 'home-centred' lives""
 'their choices are constrained by structural factors, such as being unable to afford childcare'
 'full time work is not available in the kinds of occupations that they want to enter']",1,0.0949378362264148,0.9011064334923894,0.0017388475397743,0.0011950912715389,7.639959250611593e-05,,4.089375502309236e-05,,4.089375502309236e-05,,,,,,,,,,,,,,,,,,,,5.2508620833452585e-05,,,,,,,,,,,,,,,,
