question,subject,choices,answer,d,b,c,a,sol,none,e,'},Ñ,output,ad,**,the,solution,?,.,Unnamed: 20,4,park,al,ab,2,cho,choice,de,bad,correct,option,action,ac,Ð°,aa,1,bb,statement,dis,m,bc,da,ada,alex,}',at,disc,by,in,f,df,[,one,med,ach,cor,ass,(,care,secondary,second,both,abc,abcd,ace,aca,3,band,no,not,all,norm,0,bd,9,8,g,brain,problem,ex,',stage,pre,fixed,imag,im,stim,st,letter,be,s,end,le,ba,task,non,dd,etic,emic,em,good,ed,mil,ob,pro,sexual,i,sec,author,choose,vi,fr,vr,fi,broad,family,an,internal,leg,time,â,Ã¢,â,&,Â,\,ï¿½,type,*,job,when,un,u,par,they,down,________,______,____,__,____________,av,n,{',either,cc,bi,bas,dep,product,objective,ag,working,db,ref,comp,tra,â¦,man,as,function,options,super,bdc,eth,provided,",",given,:,because,since,presented,att,mot,p,learning,listed,list,pi,cons,consist,hydro,false,ben,scripts,people,initial,it,air,results,th,thal,bra,for,chem,examples,valid,strong,clear,instances,double,viable,consistent,some,occ,quad,},is,school,this,terms,schools,their,w,average,random,bar,then,aan,lat,pred,predict,us,primary,stated,asked,phr,wor,posed,written,ap,turn,general,are,init,raise,execute,best,red,offer,provide,design,apply,changes,cd,{,stat,life,integ,sup,aut,factor,external,employee,worker,str
"A researcher interested in examining the potential impact of parent alcoholism on child and family development recruits 12-year-olds (n = 100), 13-year-olds (n = 100), and 14-year-olds (n = 100)âhalf of whom have an alcoholic parent and half of whom do notâinto a multiple-year longitudinal study assessing various outcomes. This study is best characterized as:",professional_psychology,"['A true experiment' 'A cross-sequential cohort design'
 'A natural experiment' 'A cross-sectional cohort design']",1,1.1478144563453982e-05,0.9999380657962263,3.120083179126294e-05,9.421834806960316e-07,9.421834806960316e-07,,1.7602304789697813e-06,,,,,,,,,8.314740033806207e-07,,,,,,1.2097875363970284e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focal damage to the portion of the left frontal lobe known as Broca's area is likely to impair,professional_psychology,"['recall of words' 'verbal comprehension' 'verbal learning'
 'production of speech']",3,0.9994271742305182,0.0001088454315471,0.000123338032381,0.000123338032381,,,8.934577098766039e-06,,,,8.934577098766039e-06,,1.2999732971948983e-05,,,,,,,,,,2.752043491757633e-05,8.934577098766039e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to Gerald Patterson and his colleagues (1992), which of the following is a key contributor to aggressive behavior in children?",professional_psychology,"['the childâs intelligence.' 'the childâs âbasic personality.â'
 'the strength of the parent-child attachment.'
 'the parentsâ childrearing behaviors']",3,0.9996753413717104,0.0001397941592931,4.538451873679129e-05,8.936741612797706e-06,2.7527102090166395e-05,,8.936741612797706e-06,,,,,,,,,,,5.420407786091536e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A person who received a Level 4 rating on the Rancho Los Amigos Scale of Cognitive Functioning:,professional_psychology,"['is nonresponsive to visual or auditory stimuli and seems to be in a state of deep sleep.'
 'is confused and incoherent, may exhibit bizarre behavior, and is unable to care for him/herself.'
 'is alert and oriented and can remember and integrate remote and recent events but may have some impairment in judgment, planning, and abstract reasoning.'
 'is functioning at an intellectual level that is superior for his/her age, education, and demographic background.']",1,0.0004294777360638,0.0001394310731745,0.997114994775684,3.111127768709636e-05,0.0011674415256701,,2.745560619431177e-05,,,0.0005949692954483,,,0.0001230474902005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A psychologist who already has an established therapeutic relationship with a child is asked to act as an expert witness in a divorce proceeding involving custody of the child. The psychologist's best course of action would be to:,professional_psychology,"['decline the request to testify.'
 'agree to testify only if she obtains consent from both parents.'
 'agree to testify only if she can evaluate all of the involved parties.'
 ""agree to testify only if her familiarity with the child won''t bias her testimony.""]",0,0.0066816747489311,0.0004840188953944,0.001161100969975,0.9916527430644744,,,9.343762786266128e-07,,,,4.187583955504045e-06,,,,8.245841717365067e-07,1.745644705264733e-06,,,,,,,,,1.1997628905066775e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Motivation is a complex process involving weighing alternatives, costs, and benefits. From your knowledge about GOAL-SETTING THEORY, which one out of the following statements is incorrect?",professional_psychology,"['goals serve 2 purposes: they are a basis for motivation and they direct behaviors'
 'goal attainment is maximized when goals are specific and highly difficult'
 'goal attainment is maximized when frequent feedback is given'
 'worker participation in goal-setting is also good']",1,5.420940250522762e-06,0.999763324260476,1.4735643376158248e-05,2.7529806167670556e-05,6.604057186332792e-05,,,,,1.0127649708520768e-05,,,7.887421523668859e-06,,,,,,,,,,,,,8.937619498231359e-06,3.0887586486404165e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The STATISTICS are a method of measuring variables and organizing and analyzing data statistical method can be descriptive or inferential and have a scale of measurement. From your knowledge about statistics measurement, what is the RATIO DATA?",professional_psychology,"['Ratio Data is scaled and at equal distances but no absolute zero'
 'Ratio Data orders the amount of variable, but no info about how much'
 'Ratio Data is an interval data with an absolute zero'
 'Ratio Data divides variables into unordered categories']",2,1.1476218156675049e-05,8.479841976323842e-05,0.9997777915857068,1.0127726976650824e-05,2.1440398177818423e-05,,,,,4.5476967504700334e-05,,,,,,,,,,,,,,,,,,6.142776924537458e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aronson and Mills examined the effects severity of initiation into a group on subsequent attitudes toward the group. Results of their study indicated that, compared to women who underwent a mild initiation, women who underwent a severe initiation as a precondition of group membership:",professional_psychology,"['rated the group as less interesting and enjoyable.'
 'rated the group as more interesting and enjoyable.'
 'were more likely to drop out of the group.'
 'were more likely to dislike fellow group members.']",1,0.0002609766653764,0.998920891199544,6.598523458826388e-05,0.0002303110988416,5.138935236849026e-05,2.427461122589705e-05,,,,0.0001413588941085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A graduate studentâs dissertation chair, Dr. X, turns out to be of little help, and the student ends up obtaining advice and assistance from an associate professor, Dr. Z. Dr. X does review the dissertation when it is completed and she is listed as the dissertation chair. Several months later, the student decides to write an article for a professional journal that is based his dissertation research. In terms of publication credit:",professional_psychology,"['Dr. Z should be listed as first author if her contribution was substantial.'
 'Dr. Z should be listed as second author if her contribution warrants it.'
 'Dr. X should be listed as second author since she was the studentâs official dissertation chair.'
 'Dr. Y and Dr. Z should be listed as co-authors.']",1,8.314843118647449e-07,4.539750520939704e-05,1.209802535152927e-06,0.9999479569396594,,,,,,,,,,5.714702530275283e-07,,5.043207282160288e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The TRANSTHEORETICAL MODEL OF CHANGE was originally developed to treat addictive behaviors and 5 stages people pass through in the process of change. Which stage is correctly defined?,professional_psychology,"['PRECONTEMPLATION: intend to take action in next 6 months'
 'PREPARATION: consider change in next 6 months'
 'ACTION: time and effort into modifying behavior'
 'MAINTENANCE: behavior change lasted at least 8 months']",2,0.0153845538495353,0.0135768211198608,0.8399681292039148,0.1136773314512362,0.0044077484754457,0.0014309864180484,,0.0005965238883602,,,,,,,0.004994633366459,,,,,,,,,,,,,,0.0006759501213127,0.0004099844730126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When a psychologist doesnât feel he or she is competent to accept a case, the most justifiable option is to:",professional_psychology,"['Try his or her best' 'Refer out' 'Read a chapter on the issue'
 'Charge the client less']",1,5.043351571542074e-07,0.999976534122433,8.939554559922333e-06,3.288678335825847e-06,1.7603026639735984e-06,,1.3709250931453186e-06,,,5.043351571542074e-07,,,,,5.043351571542074e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A personnel director decides to raise a selection testâs cutoff score when using the test to assist in hiring decisions. Most likely the personnel director has made this decision in order to:,professional_psychology,"['increase the number of true positives.'
 'decrease the number of false positives.'
 'increase the number of false negatives.'
 'decrease the number of true negatives.']",1,0.0003798502827854,0.9992826000199908,5.140714560827112e-05,0.0002628260826946,,,6.957200611281162e-06,,,,,,,,,1.7590557904888642e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Jones, a clinical psychologist, has been seeing Lisa L. in therapy for one month. Dr. Jones considers Lisa to be a very attractive woman and finds himself having sexual fantasies about her. As an ethical psychologist, Dr. Jones should:",professional_psychology,"['recognize that such attraction is normal but proceed with caution.'
 'confess his attraction to Lisa and make it a topic for mutual examination in therapy.'
 'recognize that such attraction is inappropriate and refer Lisa to another therapist without explaining the reason to her.'
 'continue working with Lisa but consult with a colleague if he believes his attraction might be interfering with his objectivity.']",3,5.826392828589805e-05,0.0003352857576286,0.9994863755517718,5.826392828589805e-05,1.3000439649309062e-05,,4.78259447317088e-06,2.900790180950328e-06,,,,,,,3.2870259062153037e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parametric Tests are used when data is interval or ration. When is it used the ONE-WAY ANOVA?,professional_psychology,"['used when there is 1 IV and means of more than 2 groups'
 'used when there is 2 IV and means of more than 4 groups'
 'used when there is 3 IV and means of more than 5 groups'
 'used when there is 4 IV and means of more than 6 groups']",0,1.6698897700474118e-05,7.48392673109083e-05,8.938275837848258e-06,0.9998421698732824,1.0128393438742343e-05,,,,,,,,,5.421338340623596e-06,,,,,,,,,,,,,,,,,3.2882079202638224e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A father brings his 22-year-old son to you for evaluation. Within the past 6 weeks, this formerly socially active young man has quit his job as a restaurant manager, has become withdrawn, and now spends most of his time in his room watching TV. He reports that he occasionally receives messages from aliens through the TV. Based on this information, which of the following is the most appropriate DSM-IV diagnosis",professional_psychology,"['Schizophreniform Disorder' 'Brief Reactive Psychosis' 'Schizophrenia'
 'Antisocial Personality Disorder']",0,3.119369130479478e-05,0.0001088766807629,0.0001233734423815,0.99971054257551,1.1475517725282382e-05,,1.5530424416378606e-06,,,,1.2095106696906923e-06,,,,,,,,,,8.312837158617018e-07,,,,,,,,,1.5530424416378606e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identify the only construct that is not pertinent to developmental models on intelligence:,professional_psychology,"['Investment theory' 'The positive manifold' 'G theory'
 'Primary mental ability theory']",0,8.69304765964543e-05,0.904481955791341,2.197946656576148e-05,0.0953441743340171,6.297222603518833e-06,,8.085793877458734e-06,,,,,,8.085793877458734e-06,,,,,,,,6.297222603518833e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
