question,subject,choices,answer,a,d,b,c,e,ad,the,none,cd,ab,output,f,3,?,sol,Unnamed: 19,.,'},Ð°,p,s,solution,den,4,n,1,g,}',u,z,he,',ex,bd,ac,what,unknown,peter,all,european,l,input
"This question refers to the following information.
The passage below is taken from testimony before Parliament.
Joshua Drake, called in; and Examined.
You say you would prefer moderate labour and lower wages; are you pretty comfortable upon your present wages?
âI have no wages, but two days a week at present; but when I am working at some jobs we can make a little, and at others we do very poorly.
When a child gets 3s. a week, does that go much towards its subsistence?
âNo, it will not keep it as it should do.
Why do you allow your children to go to work at those places where they are ill-treated or over-worked?
âNecessity compels a man that has children to let them work.
Then you would not allow your children to go to those factories under the present system, if it was not from necessity?
âNo.
âTestimony given before the Sadler Committee, 1831â32
According to the passage, why does the witness allow his children to work in a place where they will be ill-treated?",high_school_world_history,"['A factory owner is forcing him to do so.'
 'He doesnât earn enough on his own.' 'The children need discipline.'
 'Their labor is only moderately difficult.']",1,0.0004965451354672,0.0001232881697538,0.9990931808185882,0.000139703798838,4.5355182992110514e-05,,,,,,1.1467586135375532e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Bonesteel's prime consideration was to establish a surrender zone as far north as he thought the Soviets would accept. He knew that the Russian troops could reach the southern tip of Korea before American troops could arrive. He also knew that the Russians were on the verge of moving into Korea, or were already there. The nearest American troops to Korea were on Okinawa, 600 miles away. His problem, therefore, was to compose a surrender arrangement which, while acceptable to the Russians, would at the same time prevent them from seizing all of Korea. If they refused to confine their advance to north Korea, the United States would be unable to stop them. . . . He decided to use the 38th parallel as a hypothetical line dividing the zones within which Japanese forces in Korea would surrender to appointed American and Russian authorities.
âAdapted from U.S. Army Lt. Paul C. McGrath's account of Colonel Bonesteel's decision in the 1940s
Which best describes the relationship between the United States and the Soviets as depicted in the passage?",high_school_world_history,['Uneasy allies' 'Comrades-in-arms' 'Mortal enemies' 'Distant strangers'],0,0.9948428242947652,0.0005501977433591,0.0031661694062668,0.0013198557733407,5.117636206341116e-05,,4.200811609551251e-06,,,,,,,,,4.200811609551251e-06,4.200811609551251e-06,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""My little homestead in the city, which I recently insured for ï¿¡2,000 would no doubt have shared the common fate, as the insurance companies will not make good that which is destroyed by the Queen's enemies. And although I have a farm of 50 acres close to the town, no doubt the crops and premises would have been destroyed. In fact, this has already partly been the case, and I am now suing the Government for damages done by a contingent of 1,500 natives that have recently encamped not many hundred yards from the place, who have done much damage all around.""
Letter from a British citizen to his sister during the Anglo-Zulu War, South Africa, 1879
Incidents such as those described by the author of the letter were used by the British government to do which of the following?",high_school_world_history,"['Issue a casus belli to go to war with the Kingdom of Zulu'
 'Tax the Zulu kingdom to cover damages attributed to them'
 'Sever its responsibility to protect citizens who chose to live in South Africa'
 'Liberate the Zulus from British colonialism']",0,0.998168339419572,0.0002030761993411,0.0006255187308249,0.0003793962884698,,,,2.748337495645231e-05,,,,,,7.47075587288507e-05,3.114274381695949e-05,,,3.998807460637099e-05,2.748337495645231e-05,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The greatest contribution that Africa can make to the peace of the world is to avoid all the dangers inherent in disunity, by creating a political union which will also by its success, stand as an example to a divided world. A Union of African states will project more effectively the African personality. It will command respect from a world that has regard only for size and influence. The scant attention paid to African opposition to the French atomic tests in the Sahara, and the ignominious spectacle of the U.N. in the Congo quibbling about constitutional niceties while the Republic was tottering into anarchy, are evidence of the callous disregard of African Independence by the Great Powers.""
Kwame Nkrumah, Ghanian leader, 1961
Nkrumah's argument in the passage most clearly supports which of the following ideologies?",high_school_world_history,['Pan-Africanism' 'Communism' 'African socialism' 'Neocolonialism'],0,0.9928635296123988,0.0006222220144298,0.0027886056013941,0.0035806404693078,1.87894767435463e-05,5.383275217518999e-06,5.383275217518999e-06,,,,,,,,6.1000499851646365e-06,,,,,7.832619224017074e-06,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The spontaneous forces of capitalism have been steadily growing in the countryside in recent years, with new rich peasants springing up everywhere and many well-to-do middle peasants striving to become rich peasants. On the other hand, many poor peasants are still living in poverty for lack of sufficient means of production, with some in debt and others selling or renting out their land. If this tendency goes unchecked, the polarization in the countryside will inevitably be aggravated day by day. Those peasants who lose their land and those who remain in poverty will complain that we are doing nothing to save them from ruin or to help them overcome their difficulties. Nor will the well-to-do middle peasants who are heading in the capitalist direction be pleased with us, for we shall never be able to satisfy their demands unless we intend to take the capitalist road. Can the worker-peasant alliance continue to stand in these circumstances? Obviously not! There is no solution to this problem except on a new basis. And that means to bring about, step by step, the socialist transformation of the whole of agriculture simultaneously with the gradual realization of socialist industrialization and the socialist transformation of handicrafts and capitalist industry and commerce; in other words, it means to carry out co-operation and eliminate the rich-peasant economy and the individual economy in the countryside so that all the rural people will become increasingly well off together. We maintain that this is the only way to consolidate the worker-peasant alliance.""
Mao Zedong, On the Question of Agricultural Co-operation, 1955
Which of the following best explains Mao's concept of the ""socialist transformation of the whole of agriculture"" in China?",high_school_world_history,"['Agriculture fueled industrialization in cities as excess labor flowed from the countryside to urban centers.'
 'Agricultural surpluses allowed the state to invest more heavily in modernizing agricultural production.'
 'Agricultural efficiency reduced prices of basic commodities, raising the standard of living across the whole of China.'
 'Agriculture was collectivized, with the result that entire communities shared fields instead of individuals owning the land as private property.']",3,0.0008097217513057,0.9965152996882364,0.0011667002640068,0.0010296093692306,0.000294988163838,,,,,,2.7438173382589407e-05,3.109152372346056e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The condition of foreign states is not what it once was; they have invented the steamship, and introduced radical changes in the art of navigation. They have also built up their armies to a state of great efficiency and are possessed of war implements of great power and precision, in short have license to be formidable powers. If, therefore, we persistently cling to our antiquated systems, heaven only knows what a mighty calamity may befall our Empire.
âAdapted from a letter written by Lord Ii to Lord Tokugawa, 1847
Which event or period in Japan's history best reflects Lord Ii's concerns?",high_school_world_history,"['The expulsion of Christian missionaries from Japan'
 'The adoption of Chinese imperial customs in the Japanese court'
 'The annexation of Manchuria by the Japanese'
 'Commodore Perry forcing Japan to open its ports to trade']",3,0.0004865068098434,0.9968165539506614,0.0004293407527731,0.0014985464727931,0.0004293407527731,,,,,,0.0001393865347252,2.7446836053665488e-05,,,2.137561741142715e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The real grievance of the worker is the insecurity of his existence; he is not sure that he will always have work, he is not sure that he will always be healthy, and he foresees that he will one day be old and unfit to work. If he falls into poverty, even if only through a prolonged illness, he is then completely helpless, exam_ins to his own devices, and society does not currently recognize any real obligation towards him beyond the usual help for the poor, even if he has been working all the time ever so faithfully and diligently. The usual help for the poor, however, leaves a lot to be desired, especially in large cities, where it is very much worse than in the country.""
Otto von Bismarck, 1884
The long-term effects of Otto von Bismarck's speech include which of the following?",high_school_world_history,"['Development of socialized programs throughout much of Europe'
 'Disunity of the German states'
 'Communist overhaul of the eastern parts of Germany'
 'A decrease in German economic output']",0,0.9993291944469282,5.825292749178516e-05,0.0003352224524293,9.604284063625848e-05,1.0122840927780354e-05,,6.957320040569896e-06,,,,6.139813386092665e-06,,,,1.1470681537955866e-05,,,,1.2997985040356894e-05,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
This ruler of Syria made me spend many years as commander of his army,
Every land to which I turned
I overcame.
I destroyed its green fields and its wells,
I captured its cattle, I took captive its inhabitants, I deprived them of their provisions,
and I slew [many] peopleâ¦by my sword, my bow, my marchings, and my good devices.
Thus my excellence was in his heart; he loved me and he knew my valor;
â¦he set me at the head of his sons, when he saw the success of my handiwork.
There came a champion of Syria
to defy me in my tent;
a bold man without equal, for he had vanquished all his rivals.
He said, ""Let Sanehat fight with me.""
He thought to overcome me; he designed to take my cattle, thus being counseled by his tribe.
The Tale of Sanehat, Egyptian poem written during the Middle Kingdom, ca.1800 B.C.E.
The text of this passage is best seen as evidence of which of the following in Egyptian society?",high_school_world_history,"['Meritocratic appointments by rulers to their bureaucracies'
 'Long-distance contact between Egypt and other lands'
 'The clan as the basic political unit'
 'A lack of emphasis on martial ability']",1,0.0409584317228669,0.0193341874676114,0.0091191112806538,0.930217083380286,7.889577132355636e-05,,,,,,,,,,3.726772352595173e-05,,,,,,6.144408848780819e-05,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
I walk alongside the column, ask what's going on.
A soldier says simply: ""They call up more every day.
""Some of us were sent north to the Yellow River at age fifteen,
And now at forty we're heading off to the garrisons in the west.
On our first tour, the village headman had to tie our bandannas for us.
When we came back, our hair was white, but still there's more unrest.
The frontier garrisons run with blood, enough to fill an ocean,
But the Martial Emperor's territorial ambitions have yet to crest.
In the hundred districts east of the mountains, throughout the land of Han,
There must be ten thousand villages that brambles now infest.
Even if wives are strong enough to handle a hoe and plow,
The crops grow every which way, the fields are all a mess.
It's hardest for the Shanxi men, with their reputations as fighters:
They're rounded up like dogs or chickens, every male impressed.
""But sir, though it's good of you to ask,
Complaining isn't part of the soldier's task.
We can only shake our heads. Take this winter:
The Shanxi troops were never sent home.
The District Officers are demanding the land tax,
But where will it come from? You can't get blood from a stone!
I honestly think it's bad luck to bear a son now,
It's better to have a daughter: at least she can marry
And live with the neighbors next door.
But a son will end up lying on some distant prairie.""
Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.
Based on the poem and your knowledge of history, Tang relations with western nomadic peoples and frontier peoples relied on which of the following?",high_school_world_history,"['Adroit diplomacy and establishment of client relationships with bordering nomads'
 'The ability of the Tang emperor to project military power on the frontier in order to impose his will'
 'The permanent settlement of Han Chinese in frontier zones'
 'The payment of tribute to nomadic rulers']",1,0.0124149668350215,0.0027491634164283,0.9788271717307304,0.0051361134390627,7.326272347794619e-05,,8.301754177649738e-05,5.035268438142006e-05,,,,,,7.326272347794619e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
At the peak of their power, the domains of the Mongol khans, or rulers, made up a vast realm in which once-hostile peoples lived together in peace and virtually all religions were tolerated. . . . The law code first promulgated by Chinggis Khan ordered human interaction. The result was an important new stage in international contact. From eastern Europe to southern China, merchants and travelers could move across the well-policed Mongol domains without fear for their lives or property. The great swath of Mongol territory that covered or connected most of Europe, Asia, and the Middle East served as a bridge between the civilizations of the Eastern Hemisphere. The caravans and embassies that crossed the Mongol lands transmitted new food, inventions, and ideas from one civilized pool to others and from civilized pools to the nomadic peoples who served as intermediaries. Secure trade routes made for prosperous merchants and wealthy, cosmopolitan cities. They also facilitated the spread of foods [and] inventions . . . a major force for economic and social development and the enhancement of civilized life.
âRobert Guisepi, 1992
The Mongol empire used which of the following to integrate its vast, geographically diverse area?",high_school_world_history,"['Emphasis on trade networks'
 'Expansion of bureaucracy to reinforce dominance'
 'The use of state-sponsored religion to legitimize the government'
 'Expansion of an interregional canal system']",0,0.9946510260943908,0.0016943760602321,0.0024653026207724,0.0007063210265633,5.797836049347946e-05,,2.1329046858377654e-05,,,,9.559015618591956e-05,,,2.7387038279880727e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
This great purity of the French Revolution is precisely what causes both our strength and our weakness. Our strength, because it gives to us rights of the public interest over private interests; our weakness, because it rallies all vicious men against us. We must smother the internal and external enemies of the Republic or perish with it; now in this situation, the first maxim of your policy ought to be to lead the people by reason and the people's enemies by terror. Terror is nothing other than justice, prompt, severe, inflexible; it is therefore an emanation of virtue; it is not so much a special principle as it is a consequence of the general principle of democracy applied to our country's most urgent needs.
French revolutionary leader Maximilien Robespierre, 1794
With which of the following threats does the speaker in the passage above seem most concerned?",high_school_world_history,"['Counterrevolutionary opponents' 'Foreign invaders' 'Communist agitators'
 'Transnational corporations']",0,0.9983560066551478,0.0001396072390777,0.0011689171013985,0.0002301734246112,3.7204069030431976e-06,,6.133913996706909e-06,,,,,,,4.777097023927992e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Bonesteel's prime consideration was to establish a surrender zone as far north as he thought the Soviets would accept. He knew that the Russian troops could reach the southern tip of Korea before American troops could arrive. He also knew that the Russians were on the verge of moving into Korea, or were already there. The nearest American troops to Korea were on Okinawa, 600 miles away. His problem, therefore, was to compose a surrender arrangement which, while acceptable to the Russians, would at the same time prevent them from seizing all of Korea. If they refused to confine their advance to north Korea, the United States would be unable to stop them. . . . He decided to use the 38th parallel as a hypothetical line dividing the zones within which Japanese forces in Korea would surrender to appointed American and Russian authorities.
âAdapted from U.S. Army Lt. Paul C. McGrath's account of Colonel Bonesteel's decision in the 1940s
Which U.S. cold war policy, developed later, is consistent with the U.S. concern over limiting how much Korean territory the Soviet Union would occupy?",high_school_world_history,['DÃ©tente' 'Mutual Assured Destruction' 'Dollar Diplomacy' 'Containment'],3,0.0002030967292457,0.9982186779638176,0.000803263146341,0.000379434643381,7.471511125866505e-05,,2.140623777355033e-05,,,,3.999211718426834e-05,1.2983539518756975e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Source 1:
""You may well ask: ""Why direct action? Why sit-ins, marches and so forth? Isn't negotiation a better path?"" You are quite right in calling, for negotiation. Indeed, this is the very purpose of direct action. Nonviolent direct action seeks to create such a crisis and foster such a tension that a community which has constantly refused to negotiate is forced to confront the issue. It seeks so to dramatize the issue that it can no longer be ignored. My citing the creation of tension as part of the work of the nonviolent-resister may sound rather shocking. But I must confess that I am not afraid of the word ""tension."" I have earnestly opposed violent tension, but there is a type of constructive, nonviolent tension which is necessary for growth. Just as Socrates felt that it was necessary to create a tension in the mind so that individuals could rise from the bondage of myths and half-truths to the unfettered realm of creative analysis and objective appraisal, we must we see the need for nonviolent gadflies to create the kind of tension in society that will help men rise from the dark depths of prejudice and racism to the majestic heights of understanding and brotherhood.""
Martin Luther King, Jr., Letter from a Birmingham Jail, 1966
Source 2:
""We, men and women, who hereby constitute ourselves as the National Organization for Women, believe that the time has come for a new movement toward true equality for all women in America, and toward a fully equal partnership of the sexes, as part of the world-wide revolution of human rights now taking place within and beyond our national borders.
The purpose of NOW is to take action to bring women into full participation in the mainstream of American society now, exercising all the privileges and responsibilities thereof in truly equal partnership with men.
We believe the time has come to move beyond the abstract argument, discussion and symposia over the status and special nature of women which has raged in America in recent years; the time has come to confront, with concrete action, the conditions that now prevent women from enjoying the equality of opportunity and freedom of which is their right, as individual Americans, and as human beings.""
National Organization for Women, Statement of Purpose, 1966
Source 3:
""The long-term goal of Gay Liberation, which inevitably brings us into conflict with the institutionalized sexism of this society, is to rid society of the gender-role system which is at the root of our oppression. This can only be achieved by eliminating the social pressures on men and women to conform to narrowly defined gender roles. It is particularly important that children and young people be encouraged to develop their own talents and interests and to express their own individuality rather than act out stereotyped parts alien to their nature.
As we cannot carry out this revolutionary change alone, and as the abolition of gender rotes is also a necessary condition of women's liberation, we will work to form a strategic alliance with the women's liberation movement, aiming to develop our ideas and our practice in close inter-relation. In order to build this alliance, the brothers in gay liberation will have to be prepared to sacrifice that degree of male chauvinism and male privilege that they still all possess.""
Gay Liberation Front, Manifesto, 1971
The author of Source 1 endorses which of the following tactics as a means of achieving his aims?",high_school_world_history,"['Violent overthrow of the government' 'Nonviolent resistance'
 'Appeasement' 'Legal action']",1,0.0002920478281969,8.469828091412053e-05,0.9988289856885458,0.0003795913598492,4.533572283519488e-05,,,,,,,,,,,,,,,,,2.749750587977985e-05,,,,,,,,,,,,,,,,,,,,
