question,subject,choices,answer,c,a,b,sol,d,the,ca,e,.,solution,options,option,is,isn,are,',{',"{""",cannot,can,output,none,or,single,Unnamed: 28,letter,ac,ad,?,ab,either,choice,ba,not,Ñ,f,g,'},all,bd,abc,an,4,cd,artic,considered,accepted,held,regarded,valid,recognized,art,aa,social,Ð°,peace,pe,},that,which,",",among,without,from,based,when,wrong,clos,1,global,**,cho,correct,specific,ref,(,ach,false,band,cur,curities,cury,curr,curity,curb,ur,curs,bur,commercial,incorrect,input,energy,task,agents,}',both,{,possibly,aan,bc,da,impl,bad,\,and,non,bb,nations,"""",what,'',â,dd,co,to
"Considering commerce and marketing, which of the following present the most significant obstacle to developing IT security?",security_studies,"['There is no direct return on investment in building security systems.'
 'Security systems are detrimental to usability and can make IT systems less functional, and therefore less attractive to the consumer.'
 'There is pressure to reduce the time it takes to get a new IT product or system onto the market, so security systems are sacrificed in order to reduce the time-to-market.'
 'All of these options.']",3,0.0001583066532636,8.473544536993523e-05,0.0002957557649943,0.0002032697664212,0.999023676345047,,,7.477876807809404e-05,2.7509571412058123e-05,1.1467695499320706e-05,,,,,,,,,,,,,,,1.0120205757933828e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following best describes the 'Orient' according to Edward Said?,security_studies,"['The Orient is a constructed subject that is imagined as inferior, irrational, and backward, in comparison to the West.'
 'The Orient is a geographical term once used to describe the east Asia.'
 'The Orient is an imagined concept that must be rejected by scholars in order to analyse security.'
 'Where there is an imbalance of power, the Orient is the dominant intellectual force or otherwise superior party.']",0,6.143485808676075e-06,0.9998864164818336,4.006055972669166e-05,7.888391925400525e-06,2.7533193202520574e-05,,,,,3.726212500471501e-06,,,,,,,,,,,,,,,,,,1.9944978259676942e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can we best describe liberalism?,security_studies,"['Liberalism is a fundamentally pessimistic approach that regards the international system as destined to the escalation of conflict. It is the dominant conception in the practice of international politics.'
 'Liberalism is a novel conception in the theory of international politics. It is an optimistic approach that defines the ways in which states should relate to one another, particularly during conflict situations.'
 'Liberalism is an optimistic approach, offering an orientation for the better conduct of international affairs in the belief that a more peaceful world is possible. It is the dominant conception in the practice of international politics.'
 'Liberalism does not exist as a mainstream theory within International Relations, but rather offers a set of guidelines and advice for states and political actors wishing to accrue power within the international system independently from the restrictions of traditional security paradigms.']",2,0.9982741739577145,2.748780483533791e-05,0.0015007840081109,5.819168329305632e-05,5.1353980262305946e-05,,,4.21539139916311e-06,,,,,,,,,,,,,,,,,,,,,,,,5.412669697812334e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following is not one of the unifying principles of Critical Security Studies, as defined by Krause?",security_studies,"['Principle actors are social constructs that are made through political practices.'
 'Natural-science methodology is the best way to study social science, interpretive methodologies lack the coherence required for in-depth analysis.'
 'Knowledge of the social world is not objective, as there is no divide between the social world and knowledge of that world.'
 'The purpose of theory is not explanation in terms of generalizable causal claims, but contextual understanding and practical knowledge.']",1,,0.0019227730549631,0.9960211909126953,0.0002296426027596,5.806274286129268e-05,0.0002948669386976,,,,,,,,,,,7.455403759650453e-05,,,,0.0003999217226999,,,,,,,,,,,,0.000108475484628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Considering 'offensive' and 'defensive realism', which of these statements is not correct?",security_studies,"['Offensive realism defines the international system as an environment in which states seek to achieve security through the acquisition of power.'
 'Defensive realism regards cooperation as the way in which states can achieve security.'
 'Both defensive realism and offensive realism regard power and competition as a means by which security can be achieved for the state.'
 'Offensive realism theorizes that states will pursue hegemony where possible.']",2,0.9995721553512692,8.478046850693684e-05,0.0002033777713122,8.095997739693511e-05,4.2209709818144006e-06,,,,4.782986738482951e-06,,,,,,,,,,,,,,,,,,,,,,,,,4.2209709818144006e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Following the terrorist attacks of 9/11, what is the predominant paradigm in security and threat perception and to what extent is it an adequate response?",security_studies,"['The security paradigm has been the development of multi-level analysis, to aid the understanding of disempowerment and to promote peace research involvement by NGOs, policy-makers, and the academic community.'
 'The security paradigm of US led strategy has been the undertaking of short-term measures, many of which are drawn from research of the peace studies community. They focus on peace-keeping, peace-making, and structural change for preventing further conflict.'
 ""The security paradigm of recent years has been to some extent a reversion to 'liddism'; keeping the lid on a potentially fractured international system, without redress to the critical underlying causes of the problems.""
 'The dominant approach to security studies has been a US led initiative which recognizes the need to undertake responsibility for inter-governmental cooperation, particularly for the commitment towards ethical intervention and for securing peaceful transformations alongside demilitarization of the international community.']",2,0.9988105739503904,0.000123260542311,8.471564922831665e-05,0.0004302215657881,4.534501942386246e-05,,,,,,,,,,,,,,,,0.0003269191840775,,,,,,,,,,,1.2991565578655088e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways has the concept of environmental security been contested?,security_studies,"['Analysis of environmental security is understood as the integrity of the whole ecological system whose primary threat is human activity. However, it radically challenges security thinking in that it demands a shift in the reason for action from national security interest to the welfare of the entire social-ecological system of the planet.'
 'Environmental security contends that the principle threat to the ecological integrity is human activity and therefore humans can be secured to the extent that welfare is protected at the domestic level. The reason for action is to be found in individual and national interests.'
 'The crossover of common insecurity issue areas is unlikely because not all problems are truly global. Not all states are equally responsible for environmental problems, nor is there such a thing as equality of risk. Systemic interdependence is unlikely to manage those security areas.'
 'The ecological security and human security approaches to environmental security do not challenge the security community to consider alternative objects of security. Ecological security displays continuity with major interpretations of security, which typically centralize the security of the state.']",0,0.0016178954706721,0.949728750297274,0.0472818363632976,,0.0011119622111974,1.2352784354848654e-05,,1.3997538482764846e-05,,,,,,,,,,,,,,6.273261522984367e-05,,,,,,,,1.0901293931449388e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can the origins of weak state insecurity be explained?,security_studies,"['Weak state insecurity in a historical framework of analysis represents an abnormal state in the long term state-building process. Bloody and violent conflict between social forces is not consistent with the presence of the centralizing force with the capacity to attain monopoly of control over violence.'
 'The utility of explaining weak state insecurity with a comparison to the historical conditions of state consolidation in Europe does not stand in the contemporary context of global society because of the pervasion of international norms to prevent violent conflict from manifesting in the consolidation process.'
 'The contemporary state-building condition is constrained by the shortened time-frame operating within the established guidelines of international norms, a particular problematic rule of which is sovereignty. Thus, unlike some European entities which could not complete the state-building process and were absorbed into more viable units, weak states will remain quasi entities.'
 'Weak state insecurity originated from the denial of sovereignty as the norm and the corresponding extension of the right to inviolability of statehood. Without protection under international laws the possibility of its national status being revoked and its territory being subsumed into another state threatens the consolidation of the state-building process.']",2,8.475306378522547e-05,4.536504599304088e-05,0.0001088250880423,0.0001583395687967,0.9992320479075764,,,,2.1428930390670304e-05,5.824987208427287e-05,,,,,,,,,,,8.57651633583259e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following best describes the 'subaltern' in postcolonialism?,security_studies,"['Subaltern refers to those who are located geographically within the southern hemisphere.'
 'The subaltern is a term applied to a specific group of scholars from the global south.'
 'The subaltern refers to populations that are marginalised or outside of the hegemonic power structure.'
 'The subaltern refers to the subcontinent of India.']",2,0.999882174092508,6.143474090917993e-06,5.828765929214275e-05,3.119913577774052e-05,8.938702058215038e-06,,,1.7601347964343004e-06,,,,,,,,,,,,,2.9366262872940265e-06,,,,,,,,,,,,,,9.421322655254056e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do biological differences affect the roles that men and women must perform for the state?,security_studies,"['Biology determines the female body as weak, ensuring that men continue to dominate state security apparatus in order to protect them. Women are aware of practical biological differences, and by accepting them they allow men to act as their protectors and care-givers. In return, women must act as protectors and care-givers to those less capable than themselves, their children, infants, the elderly, and the infirm.'
 ""The most intimate of human activities for women are more important than the demands of the political and religious male dominated elite. Biology determines, and woman's intimate choice exerts, that the considerable responsibility of reproducing a state's population becomes the duty of women alone.""
 'Indiscriminate warfare is gender neutral and in contemporary conflicts there is no gender difference in levels of risk or duty. Men are just as likely to become victims of mass rape (as in the Democratic Republic of Congo or Balkans conflict) as women, and women are equally likely to be conscripted or coerced into military service.'
 'Gender roles are a social construct; the values that we attribute to masculinity or femininity, such as strength or care-giving, are the product of shared social ideals rather than innate biological properties. Men and women are equally able to care effectively for children or to conduct violent and aggressive behaviour. However, social constructs of gender roles are pervasive, and women are likely to be victims of gender-based violence in conflict whilst men are more likely to be involved as perpetrators of violence.']",3,0.0024531001684908,0.0024531001684908,0.0051932130974477,2.122347496050687e-05,0.9896547505712492,,,0.0001777019801861,,,,,,,,,,,,,,,,,,,,1.974090682726853e-06,,,,,,,,6.89025351184671e-06,4.179150008127674e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to motivational realism, what might inspire the behaviour of so called 'greedy states'?",security_studies,"['Human nature is fundamentally greedy.' 'All of these options.'
 'State desire to increase wealth and prosperity.'
 'State desire to spread its ideology.']",1,0.4552424546441066,0.0001189114678347,0.3545139193894683,,0.1897342118659406,,,9.260834426587704e-05,4.374508433592545e-05,,,,,,,,,,,,,3.006552746388846e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In which year was the seminal Human Development Report published?,security_studies,['1987' '1997' '1994' '2004'],2,0.1806169288933508,0.4334640935707503,0.0853173960680211,,0.2977869725150001,,,,,,,,,,,7.779937627368129e-05,,,,,,0.0014878283223666,,,,,,,,,,,,0.0001131974245408,,,,0.0002114806307901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does it mean to be secure?,security_studies,"['Security means the coercive capability to stop an aggressor. Security is freedom from war, and the ability to deter or defeat aggressive attacks.'
 'Security refers to safety from vulnerabilities (both external and internal) that could harm the state, societies within the state, and the values of those societies.'
 'Security means freedom to enjoy the things that are most important to human survival and well-being, such as food, healthcare, and the opportunity to live well.'
 'All of these options.']",3,1.2097563857289349e-06,3.288458800189255e-06,1.3006106854911852e-05,5.828932693930743e-05,0.9999093978062372,,,1.994551085516604e-06,3.7263120024084464e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What has been the effect of biological weapons on national security in the international community?,security_studies,"['The West, notably Canada, Britain, and the US, have conducted research into the weaponization of Anthrax, Tularemia, Q-fever, Venezuelan equine encephalitis, and anti-agricultural agents. However biological weapons were generally viewed in the West as lacking military utility. Instead strategists have concentrated on nuclear and conventional capabilities.'
 'The Soviet Union carried out the most extensive research program into genetic engineering to weaponize naturally occurring diseases. However, the Soviets most likely saw their biological weapons program as a counter to the global-strike complex that was emerging in NATO in the 1970s or as a way to inhibit recovery in a nuclear exchange. Biological weapons programs should therefore be regarded in a Cold War context.'
 ""Biological weapons make use of living organisms or toxins to weaken or kill, but because these organisms and toxins occur in nature it makes it difficult to differentiate between naturally occurring disease and subversive activities which, moreover, make a state's capacity hard to verify.""
 'All of these options.']",3,0.0005522271176575,0.0001396248146426,0.0008034857151111,2.8978205786461747e-06,0.99845421050702,,,3.530268169855927e-05,2.5573176849011493e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.991641015563367e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How are US 'military moms' important to a critical reading of security?,security_studies,"['Mothers are not passive objects but the specific target of military recruiters who rely on their active engagement to fuel recruitment.'
 ""Examining the role of 'military moms' reveals the extent of gendered strategizing that is required to raise and sustain a military force.""
 'All of these.'
 'Mothers are indispensable to the exercise of military power but often overlooked in traditional security analyses.']",2,0.9992044126655408,3.532888454700237e-05,0.0001233099233736,1.5522428553306671e-06,0.00055263647233,,,5.140322370392609e-05,3.286098150521928e-06,,,,,,,,,,,,,,,,,,,,,,,3.7236370358896815e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weak states face a number of security threats, which of the following threats is the odd one out?",security_studies,"['Warlordism and the assertion of the interests and influences of criminal gangs.'
 'A sudden influx of refugees fleeing conflict from neighbouring states.'
 ""Coup d'Ã©tat, military rebellion or mutiny; the violent intervention in politics by the state's own military forces, overthrowing and replacing the ruling elite.""
 'Competition for authoritative power or coercion from strongmen.']",1,9.576708259863238e-05,9.576708259863238e-05,0.9964146874646046,0.0002297332884211,0.001498049219713,0.0001085183215013,,,,,,,,,,,,,,,0.0003342599623048,0.0001630847603406,,,,,,,,,,,,,,,,,,0.0001229673681386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways may TNC be regarded as a new concept?,security_studies,"['Organized transnational crime groups are those structured groups randomly formed or otherwise but do not have a formally defined role for its members or continuity of membership but have a developed purpose for the intent of committing crimes.'
 'Transnational organized criminal activities consist of profit driven crime for a high level return that may result in the subversion or infiltration of the legal economy through the reinvestment of illicit profits.'
 'Transnational criminal organizations are those organizations whose modes of operation result in breaking domestic laws, e.g. murder, theft or money-laundering, underlined by the employment of systematic violence.'
 ""The terms 'transnational crime' and 'organized crime' are sometimes used interchangeably but not all transnational crime will be committed by an organized group nor will all organized groups engage in transnational crime. The pursuit of profit for illicit activity eludes definition and may include those individuals or businesses that engage in occasional transnational criminal activity but are otherwise legitimate operatives.""]",1,2.0131730648958963e-05,3.5332287628125805e-05,0.0002303954567304,1.4728688780522498e-05,0.9993223733914124,3.118063439304904e-05,,1.1470714355885936e-05,,,,,,,,,,,,,8.475775187045034e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does not characterise our understanding of disease pandemics within the contemporary international political system?,security_studies,"['Infectious disease transcends international borders and, to some extent, divisions of class, gender, education and wealth.'
 'Whilst pandemics present a direct risk to national security, they also have the potential to undermine wider international stability.'
 'Like terrorism, pandemics present a set of threats and risks that are diverse yet interconnected.'
 'The existing mechanisms for monitoring and treating infectious disease within the international system are capable of effectively containing pandemic outbreaks.']",3,1.4734982899743216e-05,,1.892009255772953e-05,6.603761181339746e-05,0.999727340522748,8.937218899035626e-06,,,,,,,,,,,,,,,5.152945247989053e-05,,,,1.892009255772953e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways does gender shape the conceptualization of nationhood and conflict?,security_studies,"['Although often missing from the traditional literature on war and security, women frequently serve the purposes of nationalise causes, with nationalism often presented in highly gendered and female terms, where women are symbols of statehood.'
 'A sense of national identity can be developed through a variety of shared experiences, including war. The glorification of iconic national figures such as political leaders is not noticeably gendered and men and women generally perform the same types of roles within the public realm.'
 'Measures of national pride and success are biased towards the glorification of female attributes such as the ability to bear children. The restriction of women to the domestic sphere creates a sense of national identity that is founded on a celebration of home life, feminine strength, and maternal characteristics.'
 'When thinking about national identity, violence, physical strength, aggression, and the ability to use force are attributed as feminine characteristics. The male identity is imagined as being one of domesticity, nurturing, care, and child rearing.']",0,0.0420661894317192,0.957117050420275,0.0004122642089166,8.556270685089293e-06,0.0001338425926283,,,,,,,,,,,,,,,,,,,,,,0.0001181156734283,1.5985218118113906e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What might the pragmatic implications of biology be on post-conflict gender security?,security_studies,"['Recent inquiry into the way in which women have been treated both in and after war has revealed a degree of ambiguity in the relationship between armed forces and civilian women. While women have often been the targets of violence by the enemy in conflict, it is also the case that they may suffer at the hands of their ""protectors"". This strengthens the argument for female soldiers to be engaged in certain types of peacekeeping work, particularly in post-conflict situations.'
 'Perpetuation of violence against women in post-conflict society has devalued the claim that violence is more prevalent in militarized societies. Women were as protected by men in pre-war society as they were in post-war society.'
 'Case studies revealed that in certain military families, levels of violence were dependent on the degree of psychological damage inflicted during fighting, however this was variable and dependent on the individual not on gender basis.'
 'Recent inquiry into the way in which women have been treated both in and after war has revealed a degree of ambiguity in the relationship between armed forces and civilian women. While women have often been the targets of violence by the enemy in conflict, it is also the case that they may suffer at the hands of their ""protectors"" which may actually undermine liberal feminists\' case of the ""right to fight"".']",0,3.313184038305089e-05,0.9974875551367444,0.0003791738341069,6.589053240599301e-05,0.0009095907427579,0.0001086351223155,,,,7.781078565498729e-05,,,,,,,,,,,0.0002029571281011,,,,,,,0.0001230997208005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
