question,subject,choices,answer,b,c,a,f,d,ÃÂÃÂ±,bi,p,ÃÂÃÂ°,<|end|>,aa,.a,e,(a,ÃÂÃÂ,_c,-c,(c,_a,.c,.b,_d,.d,ÃÂÃÂ­d,-a,ci,_b,j,(b,-d,ÃÂÃÂ´,g,civil,h,(d
What is the constitutive theory of recognition?,international_law,"['Recognition is determinative of statehood'
 'Recognition requires constitutional approval by third nations'
 'Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees'
 'Countries wishing to be recognised must possess a valid constitution']",0,8.878265477734205e-13,6.431393940926483e-14,0.9999999999806504,,,,,,1.7832472906689278e-11,2.882350793208868e-13,1.0603575990657417e-13,,1.0603575990657417e-13,6.431393940926483e-14,,,,,,,,,,,,,,,,,,,,,
The enforcement mechanism of the International Covenant on Civil and Political Rights (and Protocol) consists of,international_law,"['A reporting mechanism only' 'Judgment of an international tribunal'
 'Right to individual petition only'
 'A reporting mechanism and right to individual petition']",3,2.882350793172779e-13,9.357622967958389e-14,3.900837609813132e-14,,0.9999999999994276,,,,,7.68120468447828e-15,,,,,,,,,,,,7.287724095132955e-14,5.008774637371519e-14,2.0879679114491803e-14,,,,,,,,,,,
Is piracy under international (jure gentium) law subject to universal jurisdiction?,international_law,"['Piracy jure gentium is subject to flag State jurisdiction'
 'Piracy jure gentium is subject to universal jurisdiction'
 'Piracy jure gentium is subject to port State jurisdiction'
 'Piracy jure gentium is subject to nationality-based jurisdiction']",1,0.9999999999997704,1.7482341281113934e-13,3.628344177715673e-15,9.86286204567969e-15,1.8426252145552785e-14,8.70394520593149e-15,9.86286204567969e-15,,,,,,,,,,,,,,4.658886144677908e-15,,,,,,,,,,,,,,
What are self-executing treaties?,international_law,"['Self-executing treaties are adopted only by the executive'
 'Self-executive treaties are clear and precise enough so as not to require any further implementing measures'
 'Self-executing rely on implementing measures stipulated in the treaty Itself'
 'Self-executing treaties follow the doctrine of transformation']",1,0.999999999999842,1.0603575990975317e-13,5.279209628065288e-15,4.658886144862391e-15,2.087967911537921e-14,1.2664165548439052e-14,,,,4.111452592335346e-15,,,,,,,,,,,4.111452592335346e-15,,,,,,,,,,,,,,
"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",international_law,"['The ICJ was not hostile to the accumulation theory'
 'The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force'
 'In the Nicaragua case the ICJ dismissed the accumulation theory'
 'The ICJ has never addressed this issue']",0,3.466303236645938e-07,0.999994032096712,4.785084018168334e-06,,8.315229195788127e-07,,,,,,,,9.73614214369339e-10,,1.416600323057633e-09,,,8.59211528493276e-10,,,,,,,,,,,,,,1.416600323057633e-09,,,
Is there any priority among international courts and tribunals?,international_law,"['According to the lis pendens rule, the court or the tribunal that seizes first the dispute has exclusive jurisdiction to adjudicate it'
 'The International Court of Justice has by definition priority over any other court or tribunal'
 'Since there is no lis pendens rule in international law and all depends on the consent of the parties to a dispute, there is no priority or hierarchy among international courts and tribunals'
 'Regional or special courts have priority over all others in line of the principle of lex specialis']",2,9.54503491620384e-12,3.978962533070615e-12,0.9999999998808748,,,,,,1.0261879624566668e-10,1.4637785131081246e-12,3.70101167601931e-13,5.384940214009815e-13,,,,,,,6.101936673362567e-13,,,,,,,,,,,,,,,,
Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?,international_law,"[""When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States""
 ""Third States may never have access to fisheries within another State's EEZ""
 'The coastal State is to give access to fisheries within its EEZ only to neighbouring States'
 'Third States are free to fish within another EEZ, except from certain designated areas']",0,2.543665647211684e-13,,0.9999999999909462,,,,,,8.42346375392145e-12,1.3615261080012074e-13,1.201542573099125e-13,3.9008376099273126e-14,,3.0379753852457785e-14,,,,,5.0087746375181306e-14,,,,,,,,,,,,,,,,
What is the purpose of sovereign immunity?,international_law,"['The purpose of immunity is to protect foreign Heads of State from embarrassment'
 'Immunity protects a State from being invaded by another'
 'Immunity shields States from being sued in the courts of other States'
 'The purpose of immunity is to offer impunity in respect of all crimes']",2,1.361526108069513e-13,0.9999999999997864,,,5.9821282236786426e-15,,,,,,,,,,3.4424771084190536e-14,8.703945206597655e-15,1.4350379601125977e-14,6.778639342708856e-15,,,,,,,,6.778639342708856e-15,,,,,,,,,
What is passive personality jurisdiction?,international_law,"['It is jurisdiction based on the nationality of the offender'
 'It is jurisdiction based on where the offence was committed'
 'It is jurisdiction based on the nationality of the victims'
 'It is jurisdiction based on the country where the legal person was Registered']",2,4.752193062567223e-13,0.9999999999993472,,,3.0379753853127604e-14,,,,,,,,,,7.287724095506956e-14,2.6810038676667543e-14,1.8426252146444905e-14,1.266416554855072e-14,,1.6261110445480378e-14,,,,,,,,,,,,,,,
Which of the following types of rights have been described as first generation rights?,international_law,"['Social and economic rights' 'Civil and political rights'
 'Cultural rights' ""People's rights""]",1,0.9999999999998824,6.431393941044474e-14,,7.681204684715374e-15,9.862862045955492e-15,1.4350379600428946e-14,4.111452592287511e-15,,,,,,,,,,,,,,1.2664165548291712e-14,,,,,,,,4.111452592287511e-15,,,,,,
What is the problem of 'fragmentation' of international law?,international_law,"['Fragmentation of international law concerns the possibility of different legal regimes apply the same rules of international law'
 'It is possible for several legal regimes (ie foreign investment law and human rights law) to exist and develop in isolation of each other, ultimately culminating in the production of divergent rules of international law'
 'Fragmentation is when States assume different interpretations of the same rule of international law'
 'Fragmentation is when States disagree to abide by a certain rule of international law']",1,0.9999999999995908,3.266131342478859e-13,1.6261110444641822e-14,,1.4350379599982416e-14,2.3659776089112208e-14,,7.681204684476365e-15,,7.681204684476365e-15,,,,,,,,,,,1.2664165547897647e-14,,,,,,,,,,,,,,
What is functional (ratione materiae) immunity?,international_law,"['Functional immunity covers the person but not the act'
 'Functional immunity covers the act and incidentally also the person committing the act'
 'Functional immunity covers the State and incidentally also the act'
 'Functional immunity covers both private and public acts as long as they are sanctioned by the State']",1,0.9999999999991988,6.101936676781685e-13,9.357622967577085e-14,1.2664165547384768e-14,3.9008376096541806e-14,3.037975385033063e-14,,,,6.778639341894152e-15,,,,,,,,,,,8.703945205551555e-15,,,,,,,,,,,,,,
What is the meaning of implied authorisation?,international_law,"['Presumption of Security Council approval of armed force when a State has been forewarned'
 'Implicit authorisation on the basis of a specific number of votes by UNSC members'
 'Presumption that all unlawful attacks will be subject to armed force by a resolution of the UNSC'
 'In cases of repeated unlawful attacks the UNSC shall authorise neighbouring States to take whatever measures they deem necessary to rectify the situation']",0,2.129785170377536e-12,2.2447770544115045e-13,0.9999999999404616,,,,,,5.4927883494633576e-11,1.463778513728484e-12,3.701011677587825e-13,,2.2447770544115045e-13,1.9810087975111242e-13,,,,,,,,,,,,,,,,,,,,,
Which philosopher called the idea of natural rights 'nonsense on stilts'?,international_law,['Alan Gerwith' 'Emmanuel Kant' 'John Locke' 'Jeremy Bentham'],3,1.139991852945837e-12,3.70101167827283e-13,1.2664165547999735e-14,,0.999999999998008,,,,,,,,,,,,,,,,,2.882350793195294e-13,1.3615261079719905e-13,2.365977608930293e-14,,,,,,2.087967911465491e-14,,,,,
Who has the authority to conclude a treaty on the part of States?,international_law,"['Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority'
 'Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs'
 ""Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority""
 'Treaties are concluded only by members of the diplomatic missions of States']",0,1.9810087977656041e-13,,0.9999999999790254,,,,,,2.020683908733166e-11,2.882350793032078e-13,1.3615261078948925e-13,5.675685231820837e-14,,4.420228103008876e-14,,,,,4.420228103008876e-14,,,,,,,,,,,,,,,,
Who is a 'persistent objector'?,international_law,"['The State which persistently objects to the rule in question after its formation'
 'The State which denies to be bound by the rule in question for a short period'
 'The State which persistently and publicly objects to the formation of a rule of customary law from its outset'
 'The State which accepts the formation of a rule of customary law but it retains objections as to its content']",2,6.914400106744563e-13,0.9999999999991156,,,2.6810038677059465e-14,,,,,1.2664165548735851e-14,,,,,1.2015425731431816e-13,1.2664165548735851e-14,,9.862862046301388e-15,,1.1176086870577932e-14,,,,,,,,,,,,,,,
What is the meaning of collective security?,international_law,"['The right to self-defence by more than one nation acting in concert'
 ""The right of one's allies to defend the victim State""
 'The authorisation of armed force by the UN Security Council'
 'The authorisation of peacekeeping missions by the UN General Assembly']",2,2.061153609348408e-09,4.0586521006996607e-10,0.9999999969583282,,1.3887943776763289e-11,,,,4.5990553494442456e-10,7.052879806320132e-11,,7.433680625141739e-12,2.2897348311037107e-11,,,,,,,,,,,,,,,,,,,,,,
The European Convention on Human Rights is predominantly concerned with which of the following?,international_law,"['Economic and social rights' 'Environmental rights'
 'Civil and political rights' 'Economic freedom']",2,4.1937956582865897e-13,0.9999999999991792,,,2.3659776090823203e-14,,,,,1.6261110445817764e-14,,,,,3.266131342715055e-13,7.681204685031843e-15,,,,,,,,,,1.2664165548813478e-14,,,,,,,1.4350379601020188e-14,,
Is the jurisdiction of international tribunals regulated by the same principles applicable to national courts?,international_law,"['The jurisdictional principles applicable to national courts are also common to international tribunals'
 'The jurisdiction of all international tribunals is regulated by the UN Security Council'
 'International tribunals share some, but not all, of the jurisdictional principles applicable to national courts'
 'The jurisdiction of international tribunals is dictated solely by their founding treaties']",3,1.006039279228337e-12,0.9999999999983326,,,4.4202281033996084e-14,,,,,2.0879679115318265e-14,,,,,5.384940217459749e-13,1.842625214622864e-14,1.842625214622864e-14,2.0879679115318265e-14,,,,,,,,,,,,,,,,,
What is the meaning of collective rights?,international_law,"['Collective rights belong to distinct groups of people'
 'Collective rights are those that belong to particular groups as opposed to the individual members of the group'
 'Minority rights are collective rights'
 ""Collective rights entail a right of the group as such as well as individual rights of the group's members""]",1,2.734698290963538e-12,6.914400105351519e-13,5.0087746366926684e-14,,0.999999999995903,,,,,3.0379753847451093e-14,,,,,,,,,,,,3.2661313420370066e-13,2.2447770545052045e-13,3.9008376092844414e-14,,,,,,,,,,,
Are States under any obligation when they conduct negotiations?,international_law,"['States are under no obligation as to how they conduct their negotiation'
 'States are under an obligation so to conduct themselves that the negotiations are meaningful'
 'States are under an obligation to find a solution of the dispute whenever they conduct negotiations'
 'States are under an obligation to inform the UN Secretary-General about the progress of their negotiations']",1,0.99999999999971,2.2447770549045552e-13,1.6261110445334846e-14,1.435037960059401e-14,2.0879679115376464e-14,6.778639342457573e-15,3.62834417785887e-15,3.62834417785887e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the major difference between naturalism and positivism?,international_law,"['On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires'
 'While naturalism serves only the theory human rights law, positivism has a wider and more general scope'
 'Naturalism concerns the underpinning values of the international society, while positivism the international rules as such'
 'Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory']",0,4.752193062529525e-13,0.9999999999993654,,,1.8426252146298723e-14,,,,,1.266416554845025e-14,,,,,7.287724095449142e-14,2.6810038676454844e-14,1.266416554845025e-14,1.6261110445351374e-14,,,,,,,,,,,,,,,,,
What is an 'internationally wrongful conduct'?,international_law,"['An international wrongful conduct is an action or omission which is in breach of a rule of international criminal law'
 'An international wrongful conduct is every breach of an international obligation of the State, whether attributable to it or not'
 'An internationally wrongful conduct consists of an action or omission attributable to the State, which constitutes a breach of an international obligation of the State'
 'An internationally wrongful conduct is the conduct that cannot be excused on grounds of necessity, force majeure etc.']",2,8.87826547808002e-13,0.9999999999985204,,,5.675685232390029e-14,,,,,8.2580732852028e-14,,,,,4.1937956582002164e-13,1.8426252146447704e-14,,,,,,,,,,1.4350379600724627e-14,,,,,,,,,
What is the effects doctrine?,international_law,"['It posits that jurisdiction exists only when it is effective'
 'The effects doctrine serves to confer jurisdiction on the State which has an effective link with the harmful conduct'
 'The effects doctrine serves to confer jurisdiction on the State sharing the nationality of the offender'
 'The effects doctrine serves to confer jurisdiction to the State on whose territory the conduct produces effects']",3,3.701011678144183e-13,2.882350793095104e-13,2.087967911392913e-14,,0.9999999999990812,,,,,,,,9.86286204538527e-15,,,,,,,,,1.3615261079246637e-13,7.287724094936564e-14,2.087967911392913e-14,,,,,,,,,,,
Which persons are considered as 'de facto' organs of the State under the law of international responsibility?,international_law,"[""'De facto organs' are the individuals that are empowered by law to exercise elements of governmental authority""
 ""'De facto organs' are the persons, which are, in fact, acting on the instructions of, or under the direction or control of, that State in carrying out the conduct attributable to the State""
 ""'De facto organs' are the de jure organs of the State that act without due authority or ultra vires""
 ""'De facto organs' are the organs, whose acts or omission cannot be attributed to the State""]",1,0.9999999999997424,1.748234128203239e-13,1.1176086870460604e-14,2.365977609042979e-14,2.681003867677801e-14,5.982128223535074e-15,,9.862862046197847e-15,,5.279209628133591e-15,,,,,,,,,,,,,,,,,,,,,,,,,
What is the fundamental prerequisite for the incorporation of custom under English law?,international_law,"['Custom is incorporated if it is not in conflict with existing legislation'
 'Custom is superior to English law and is always incorporated'
 'Custom must first be recognised by Parliament before the courts can bring it into the domestic sphere'
 'Custom is incorporated with the passing of implementing legislation']",0,8.25807328499423e-14,,0.9999999999900016,,,,,,9.545034922191405e-12,9.357622968203697e-14,1.2015425730954534e-13,5.008774637502824e-14,,5.008774637502824e-14,,,,,5.67568523224668e-14,,,,,,,,,,,,,,,,
Was the use of armed force permitted prior to the United Nations Charter?,international_law,"['Armed force was prohibited'
 'Armed force was permitted with no restrictions'
 'Armed force was permitted subject to few restrictions'
 'Armed force was not regulated under international law prior to 1945']",2,1.388794386183768e-11,0.9999999999819228,,,1.291780004495201e-12,,,,,,,,,,2.413362771289937e-12,9.357622966733665e-14,1.361526107783158e-13,2.543665646804313e-13,,,,,,,,,,,,,,,,,
What is the protective principle of jurisdiction?,international_law,"['It is jurisdiction based on the harm to national interests by conduct committed abroad'
 ""It is jurisdiction in order to protect one's nationals abroad""
 'It is jurisdiction in order to protect international human rights'
 'It is jurisdiction based on the nationality of the offender']",0,3.7010116780147973e-13,,0.999999999949726,,,,,,4.8473687055133886e-11,4.1937956577247284e-13,3.7010116780147973e-13,2.8823507929943393e-13,,1.5428112029509938e-13,,,,,1.9810087977396654e-13,,,,,,,,,,,,,,,,
Which one of the following statements is correct?,international_law,"['The Council of Europe was established in 1950 and consists of 27 member states'
 'The Council of Europe was established in 1949 and consists of 47 member states'
 'The Council of Europe was established in 1959 and consists of 34 member states'
 'The Council of Europe was established in 1984 and consists of 19 member states']",1,0.9999999999999344,1.4350379600712194e-14,,1.4350379600712194e-14,9.862862046150164e-15,1.4350379600712194e-14,4.111452592368664e-15,,,,,,,,,,,,,,5.279209628108068e-15,,,,,,,,3.202002498497673e-15,,,,,,
What is the 'equitable result' in the law and practice of maritime delimitation?,international_law,"['It is the only method of delimitation that international courts and tribunals follow'
 'An equitable result is what a judge or the arbitrator would decide ex aequo et bono, i.e. upon their discretion and in light of what they consider as fair and equitable in a delimitation case'
 ""It is the end result that all delimitations of areas of continental shelf and EEZ should achieve, after, however, drawing a provisional 'equidistance line' and adjusting the zone in the light of the relevant circumstances and the proportionality test.""
 'Achieving an equitable result is an old method of delimitation which is currently not applicable']",2,1.2917800046222925e-12,0.9999999999979784,,,,,,,,,,,,,5.38494021707162e-13,5.675685231913458e-14,3.4424771080337215e-14,3.9008376096863736e-14,,3.0379753850581344e-14,,,,,,3.0379753850581344e-14,,,,,,,,,
What is a derogation?,international_law,"['Derogations are exemptions from particular human rights obligations contained in a treaty'
 'A derogation refers to the ability of rights holders to bring a claim against the State for breach of an obligation'
 'A State may suspend particular rights by means of a derogation in circumstances that threaten its existence'
 'Derogations are enforcement clauses in human rights treaties']",2,1.9555643297578413e-08,0.9999985984631786,1.370956437081474e-06,,9.237431811110035e-09,,,,,,,,,,1.1032539003622916e-09,,,2.46169219472218e-10,,,,,,,,2.46169219472218e-10,,,,,,1.917167808930399e-10,,,
What is an act jure gestionis?,international_law,"['Acts jure gestionis are those undertaken by States in a private capacity'
 'All purchases by the State are acts jure gestionis'
 'All acts undertaken by State corporations are jure gestionis'
 'All conduct undertaken by government officials in their free time is considered jus gestionis.']",0,1.542811203098397e-13,,0.9999999999872892,,,,,,1.2256067443356793e-11,7.287724095378075e-14,8.2580732850555e-14,5.6756852322887895e-14,,4.4202281033733166e-14,,,,,4.4202281033733166e-14,,,,,,,,,,,,,,,,
What is the meaning of cultural relativism?,international_law,"['Culture relativism posits that human rights apply equally to all without restrictions'
 'Culture relativism posits that human rights have a cultural origin'
 'Cultural relativism posits that the application of human rights is relative to the laws in each nation'
 'Cultural relativism posits that local culture should validate the existence and practice of all human rights']",3,3.7751345432136245e-11,0.9999999999552164,1.0603575988531153e-13,,5.109089026621364e-12,,,,,2.244777054387421e-13,,,6.431393939636838e-14,,1.4637785137127805e-12,,,6.431393939636838e-14,,,,,,,,,,,,,,,,,
Is recognition of governments prevalent in contemporary international practice?,international_law,"['Recognition of governments is very prevalent in contemporary practice'
 'Recognition of governments has largely been replaced by functional Recognition'
 'Government recognition is common in respect of rebel entities'
 'Only democratic governments are recognised in contemporary practice']",1,0.9999999999844827,9.545034917357868e-12,4.508755239704952e-12,3.2661313409113493e-13,6.101936674100315e-13,5.0087746349664174e-14,,3.701011676466776e-13,,1.0603575985433049e-13,,,,,,,,,,,,,,,,,,,,,,,,,
What is the legal nature of the Universal Declaration of Human Rights (UDHR)?,international_law,"['The UDHR is a multilateral treaty'
 'The UDHR is a UN General Assembly resolution'
 'The UDHR is a UN Security Council resolution'
 'The UDHR is a declaration adopted by several States at an international conference']",1,0.9999999999997632,1.2015425730643584e-13,5.0087746373732e-14,1.8426252145505463e-14,2.0879679114498812e-14,1.4350379599990812e-14,,,,6.778639342172641e-15,,,,,,,,,,,5.982128223205435e-15,,,,,,,,,,,,,,
Under what circumstances do human rights violations taking place outside the territory of ECHR member States fall within the remit of the ECHR?,international_law,"['The ECHR applies outside Europe where human rights are violated by ECHR member States abroad'
 'The ECHR applies extraterritorially in circumstances where a member State exercises effective control'
 'The ECHR applies extraterritorially where a member State has contributed forces to a UN peacekeeping mission'
 'The ECHR applies extraterritorially where human rights violations are taking place in former colonies of member States']",1,0.9999999999997772,1.201542573121788e-13,3.44247710831128e-14,1.1176086870378939e-14,2.365977609025691e-14,1.8426252146386185e-14,,5.279209628095016e-15,,9.86286204612578e-15,,,,,,,,,,,,,,,,,,,,,,,,,
What does the principle 'pacta sunt servanda' mean?,international_law,"['Parties to a treaty should be cognizant of its terms and not misinterpret them'
 'Parties to a treaty should safeguard the object and purpose of the treaty'
 'Parties to a treaty should adhere to its terms in good faith'
 'Parties to a treaty should not violate the most important provisions of the treaty']",2,5.384940217500901e-13,0.9999999999992816,,,2.681003867655776e-14,,,,,,,,,,1.0603575991025397e-13,1.6261110445413792e-14,1.1176086870368791e-14,1.1176086870368791e-14,,,,,,,,8.703945206317261e-15,,,,,,,,,
What was the consequence from the absence of implementing legislation in the Tin Council case?,international_law,"['The International Tin Council was headquartered in London and hence the absence of implementing legislation was inconsequential'
 'The constitutive treaties of international organisations are subject to the doctrine of incorporation'
 ""The absence of implementing legislation with respect to the Council's founding treaty meant that individuals did not derive rights and duties from it in the English legal system""
 'The absence of implementing legislation in England in respect of an international organisation is inconsequential under international law']",2,2.543665647331864e-13,0.9999999999996816,,,1.2664165548869841e-14,,,,,,,,,,2.36597760909285e-14,8.703945206572227e-15,7.681204685066028e-15,6.778639342689052e-15,,4.111452592475202e-15,,,,,,,,,,,,,,,
Which of the following statements is true?,international_law,"['The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law'
 'The Human Rights Act 1998 allows a court to invalidate primary legislation'
 'The Human Rights Act 1998 allows any person with a reasonable case to bring a case before a court'
 'The Human Rights Act 1998 incorporates the EU charter of fundamental rights into UK law']",0,1.0603575990467965e-13,,0.9999999999765514,,,,,,2.2897348454175452e-11,8.2580732847336e-14,1.361526107954076e-13,9.357622967908362e-14,,,,,,,8.2580732847336e-14,,,,,,5.0087746373447446e-14,,,,,,,,,,
What forms may the obligation of reparation take?,international_law,"['Reparation may take only the form of pecuniary compensation, including the interest'
 'Reparation denotes only the physical restitution of the wrongful act'
 'Reparation includes restitution, compensation, and satisfaction, either alone or alongside other forms of reparation'
 'The form of reparation is a matter for the responsible State to decide']",2,5.384940217544445e-13,0.999999999998914,,,4.42022810346913e-14,,,,,5.675685232411816e-14,,,,,4.193795658216316e-13,1.6261110445545282e-14,1.1176086870459162e-14,,,,,,,,,,,,,,,,,,
What is jus cogens?,international_law,"['They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States'
 'They are rules of international law that are laid down in multilateral treaties with a wide participation'
 'They are the decisions of the UN Security Council'
 'They are the rules of international law on which the ICJ founds its decisions']",0,5.008774637537263e-14,,0.9999999999856152,,,,,,1.3887943864114893e-11,1.3615261080064078e-13,1.5428112030975581e-13,7.287724095374113e-14,,3.9008376099422126e-14,,,,,4.4202281033709134e-14,,,,,,,,,,,,,,,,
What is 'unilateral acts'?,international_law,"['They are acts that States perform as practice in the context of custom'
 'They are acts creating unilateral legal obligations to the acting State'
 'Unilateral acts are simply political acts of State devoid of any legal effect'
 'Unilateral acts are those that State perform in order to be bound by a treaty']",1,0.9999999999997338,1.5428112030416376e-13,2.087967911442592e-14,3.4424771081347235e-14,3.037975385147268e-14,9.862862045619936e-15,7.681204684454044e-15,,,,,,,,,,,,,,8.703945205878759e-15,,,,,,,,,,,,,,
Is extra-territorial abduction a ground for refusal of otherwise lawful jurisdiction by English courts?,international_law,"['Such abduction constitutes abuse of process and leads to a stay of proceedings'
 ""Such abduction gives rise to the abductor's liability but does not lead to a stay of proceedings""
 'The stay of proceedings under such circumstances would prevent the administration of justice in respect of international criminals'
 'The courts may, but will seldom, stay proceedings in cases of extra-territorial abduction']",0,1.6918979169186894e-10,9.545034890703506e-12,0.9999999988288644,,9.056076959182015e-11,,,,8.592166590245191e-10,2.940077729385542e-11,7.433680647323772e-12,,,5.789356309238503e-12,,,,,,,,,,,,,,,,,,,,,
What is the meaning of 'secondary rules' in the law of international responsibility?,international_law,"['Secondary rules are the rules of interpretation of international law, including the law of international responsibility'
 'Secondary rules are the rules that govern the legal consequences arising from a breach of the primary rules, ie of the international obligations of the States'
 'Secondary rules are the rules that govern exclusively the concept of attribution in the law of international responsibility'
 'Secondary rules are the rules that govern exclusively the law of countermeasures']",1,0.9999999999999588,2.087967911593592e-14,,7.681204685009539e-15,5.982128223617173e-15,3.2020024985570976e-15,1.334793228564142e-15,,,,,,,,,,,,,,1.334793228564142e-15,,,,,,8.095930175009648e-16,,,,,,,,
What does the doctrine of incorporation suggest in respect of treaties?,international_law,"['The doctrine of incorporation requires that all treaties undergo legislative transformation before they become domestic law'
 'The doctrine of incorporation does not require any further action at the domestic level'
 'The doctrine of incorporation treats treaties as inferior to domestic law'
 'The doctrine of incorporation suggests that ratified treaties automatically pass into the sphere of domestic law']",3,9.42244521924626e-07,8.152004258493654e-09,6.825589597914428e-08,,0.9999989802512872,,,,,,,,5.211401967934714e-10,,,,,,,,,,1.9171676436835767e-10,,,,,,,,,1.9171676436835767e-10,,1.9171676436835767e-10,
Are the provisional measures issued by the ICJ binding upon the parties?,international_law,"['No, according to the literal interpretation of the relevant provision of the State, the provisional measures are not binding'
 'No, unless the parties have agreed so beforehand'
 'It depends upon the Court whether the provisional measures will be binding'
 'Yes, it has been consistently held by the Court since the La Grand case (2001) that they are binding']",3,9.545034920229511e-12,3.0988191378741205e-12,1.5428112027698408e-13,,0.9999999999865,,,,,5.6756852310800974e-14,,,,,,,,,,,,2.244777054406899e-13,3.266131341893973e-13,9.357622966280329e-14,,,,,,,,,,,
When are countermeasures illegal?,international_law,"['Countermeasures are illegal when inter alia are disproportionate or in violation of a peremptory norm of international law (e.g. the use of force, human rights)'
 'Countermeasures are illegal when they are taken in the course of an armed conflict'
 'Countermeasures are illegal when they violate bilateral treaties'
 'Countermeasures are illegal when the responsible State does not consent to them']",0,7.2877240949838e-14,,0.9999999999760368,,,,,,2.2897348453829235e-11,1.9810087978217612e-13,4.752193062226082e-13,1.0603575990307635e-13,,9.357622967766868e-14,,,,,1.2015425730393633e-13,,,,,,,,,,,,,,,,
What is the difference between political and legal means of dispute settlement?,international_law,"['The outcome arising from legal methods, ie arbitration or adjudication by the ICJ, is final and binding upon the parties, whereas this is not the case with diplomatic methods'
 'The political methods are pursued upon the consent of then parties to the dispute, whereas the legal methods not'
 'The political means lead to a final settlement of the dispute, whereas this is not the case with the legal methods'
 'The legal methods of dispute settlement are pursued only in respect of significant disputes, whereas the political means are employed in all disputes']",0,3.266131342203187e-13,,0.9999999999730872,,,,,,2.5946094978123308e-11,1.3615261078460977e-13,1.9810087976946082e-13,1.0603575989627028e-13,,9.357622967166241e-14,,,,,1.0603575989627028e-13,,,,,,,,,,,,,,,,
What is the rationale for the exhaustion of local remedies in international human rights?,international_law,"['The local remedies rule aims to free up international tribunals to deal with the most serious cases'
 'The local remedies rule aims to dissuade applicants abusing the system from filing unnecessary petitions'
 'The local remedies rule aims on the one hand to restrict the volume of petitions to international tribunals while at the same time building up the capacity of local courts'
 'The local remedies rule helps demonstrate that national courts are always better placed than international ones to deal with cases']",2,8.878265478035407e-13,0.9999999999989716,,,2.6810038676536908e-14,,,,,,,,,,7.287724095471446e-14,1.1176086870360101e-14,7.681204684835046e-15,1.4350379600652522e-14,,7.681204684835046e-15,,,,,,,,,,,,,,,
Which of the following cases best illustrates the 'living instrument principle' used by the European Court of Human Rights?,international_law,"['Golder v UK (1978)' 'A v UK (2009)' 'Goodwin v UK (2002)'
 'Osman v UK (1998)']",2,5.109089027918734e-12,0.9999999999946408,,,9.357622968575349e-14,,,,,,,,,,9.357622968575349e-14,1.4350379600932135e-14,1.6261110445717992e-14,2.3659776090678027e-14,,8.703945206480084e-15,,,,,,,,,,,,,,,
Is the recognition of foreign judgments subject to the same rules as those applicable to the incorporation and transformation of treaties?,international_law,"['Foreign judgments are enforced on the basis of the doctrine of incorporation'
 'Foreign judgments are enforced on the basis of the doctrine of transformation'
 'The recognition of foreign judgments is dependent on the existence of appropriate bilateral or multilateral treaties'
 'The courts exercise discretion as to the enforcement of foreign judgments on the basis of the rule of comity']",2,4.944440906945642e-09,2.2603250206807256e-06,5.905292539359092e-10,,0.9999977338441646,,,,,,,,1.0261859717929224e-10,,,,,,,,,7.052866164589705e-11,7.991944384092184e-11,,,,,,,,,4.2777795676735045e-11,,,
What was the most important finding by the House of Lords in the Pinochet case?,international_law,"['The Pinochet case confirmed that former heads of State enjoy absolute immunity'
 'The Pinochet case confirmed that all public acts enjoy immunity'
 'The Pinochet case confirmed that former heads of State cease to enjoy personal immunity once removed from office'
 'The Pinochet case confirmed that in respect of immunities there is no difference between a current and a former head of State']",2,3.7010116784451483e-13,0.9999999999993546,,,3.037975385322033e-14,,,,,1.6261110445530013e-14,,,,,1.5428112031303904e-13,1.4350379600766244e-14,2.0879679115627063e-14,3.9008376100252254e-14,,,,,,,,,,,,,,,,,
Which one of the statements below is false?,international_law,"['The war crimes trials at Nuremberg and Tokyo took place immediately after the First World War'
 ""The war crimes trials introduced a 'crime against humanity' as an offence""
 'The war crimes trials held individuals legally responsible for acts such as war crimes and crimes against humanity'
 'The war crimes trials found that ""superior orders"" could not be used as a defence for war crimes or crimes against humanity']",0,1.291780004645982e-12,7.287724095029786e-14,0.9999999999823468,,,,,,1.5737102105157177e-11,1.2015425730469454e-13,1.3615261079420797e-13,1.2015425730469454e-13,1.7482341280815684e-13,,,,,,,,,,,,,,,,,,,,,,
