question,subject,choices,answer,c,b,-c,d,ÃÂÃÂ,.c,_c,(c,a,e,g,ÃÂÃÂ°,aa,<|end|>,ÃÂÃÂ¡,.d,_d,ab,abc,f,-d,.a,.b,ÃÂÃÂ±,_a,ci,-b,bc,ac,h,w,-a,l,cd,j,t,da,abcd,m,ad,3,bd,ÃÂÃÂ­d,_b,k,o,all
"Considering commerce and marketing, which of the following present the most significant obstacle to developing IT security?",security_studies,"['There is no direct return on investment in building security systems.'
 'Security systems are detrimental to usability and can make IT systems less functional, and therefore less attractive to the consumer.'
 'There is pressure to reduce the time it takes to get a new IT product or system onto the market, so security systems are sacrificed in order to reduce the time-to-market.'
 'All of these options.']",3,3.331544540689549e-11,7.052879847985641e-11,,0.9999999996780948,,,,,2.1724399341159816e-10,2.8823507921666523e-13,,,,5.0087746356231333e-14,,2.2447770540258722e-13,2.543665646249324e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following best describes the 'Orient' according to Edward Said?,security_studies,"['The Orient is a constructed subject that is imagined as inferior, irrational, and backward, in comparison to the West.'
 'The Orient is a geographical term once used to describe the east Asia.'
 'The Orient is an imagined concept that must be rejected by scholars in order to analyse security.'
 'Where there is an imbalance of power, the Orient is the dominant intellectual force or otherwise superior party.']",0,1.3615261075959965e-13,8.258073282561737e-14,,,,,,,0.9999999999764092,,,2.2897348448153493e-11,2.5436656464546497e-13,1.060357598767924e-13,6.431393939120128e-14,,,,,,,,,,5.008774636027442e-14,,,,,,,,,,,,,,,,,,,,,,
How can we best describe liberalism?,security_studies,"['Liberalism is a fundamentally pessimistic approach that regards the international system as destined to the escalation of conflict. It is the dominant conception in the practice of international politics.'
 'Liberalism is a novel conception in the theory of international politics. It is an optimistic approach that defines the ways in which states should relate to one another, particularly during conflict situations.'
 'Liberalism is an optimistic approach, offering an orientation for the better conduct of international affairs in the belief that a more peaceful world is possible. It is the dominant conception in the practice of international politics.'
 'Liberalism does not exist as a mainstream theory within International Relations, but rather offers a set of guidelines and advice for states and political actors wishing to accrue power within the international system independently from the restrictions of traditional security paradigms.']",2,0.9999997294242124,2.6995786026397785e-07,,6.22414485180016e-11,1.3887944375691948e-11,7.43368094572515e-12,,,5.211412679537781e-10,,,,,7.43368094572515e-12,,,,,,,,,,,,5.789356541633728e-12,,,,,,,,,,,,,,,,,,,,,
"Which of the following is not one of the unifying principles of Critical Security Studies, as defined by Krause?",security_studies,"['Principle actors are social constructs that are made through political practices.'
 'Natural-science methodology is the best way to study social science, interpretive methodologies lack the coherence required for in-depth analysis.'
 'Knowledge of the social world is not objective, as there is no divide between the social world and knowledge of that world.'
 'The purpose of theory is not explanation in terms of generalizable causal claims, but contextual understanding and practical knowledge.']",1,2.6810038674260362e-14,0.9999999999999534,,6.778639341909608e-15,,,,,1.713908431314578e-15,,,,,,,,,,,6.778639341909608e-15,,,1.1779508896719628e-15,2.200701987683334e-15,,,1.0395380115322756e-15,,,,,,,,,,,,,,,,,,,,
"Considering 'offensive' and 'defensive realism', which of these statements is not correct?",security_studies,"['Offensive realism defines the international system as an environment in which states seek to achieve security through the acquisition of power.'
 'Defensive realism regards cooperation as the way in which states can achieve security.'
 'Both defensive realism and offensive realism regard power and competition as a means by which security can be achieved for the state.'
 'Offensive realism theorizes that states will pursue hegemony where possible.']",2,0.0109869409597351,0.989012970735258,,1.5875928328976322e-09,,,,,8.667963168208947e-08,2.5661048162751817e-11,,,,,,,,,,,,,,,,,,1.2121420860360227e-11,,,,,,,,,,,,,,,,,,,
"Following the terrorist attacks of 9/11, what is the predominant paradigm in security and threat perception and to what extent is it an adequate response?",security_studies,"['The security paradigm has been the development of multi-level analysis, to aid the understanding of disempowerment and to promote peace research involvement by NGOs, policy-makers, and the academic community.'
 'The security paradigm of US led strategy has been the undertaking of short-term measures, many of which are drawn from research of the peace studies community. They focus on peace-keeping, peace-making, and structural change for preventing further conflict.'
 ""The security paradigm of recent years has been to some extent a reversion to 'liddism'; keeping the lid on a potentially fractured international system, without redress to the critical underlying causes of the problems.""
 'The dominant approach to security studies has been a US led initiative which recognizes the need to undertake responsibility for inter-governmental cooperation, particularly for the commitment towards ethical intervention and for securing peaceful transformations alongside demilitarization of the international community.']",2,0.9999998284081852,1.2751906101784362e-07,,4.1399377794662895e-08,8.423463877935537e-12,3.5114221648451685e-12,,,2.6465736777012603e-09,7.433680781311335e-12,,,,7.433680781311335e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways has the concept of environmental security been contested?,security_studies,"['Analysis of environmental security is understood as the integrity of the whole ecological system whose primary threat is human activity. However, it radically challenges security thinking in that it demands a shift in the reason for action from national security interest to the welfare of the entire social-ecological system of the planet.'
 'Environmental security contends that the principle threat to the ecological integrity is human activity and therefore humans can be secured to the extent that welfare is protected at the domestic level. The reason for action is to be found in individual and national interests.'
 'The crossover of common insecurity issue areas is unlikely because not all problems are truly global. Not all states are equally responsible for environmental problems, nor is there such a thing as equality of risk. Systemic interdependence is unlikely to manage those security areas.'
 'The ecological security and human security approaches to environmental security do not challenge the security community to consider alternative objects of security. Ecological security displays continuity with major interpretations of security, which typically centralize the security of the state.']",0,0.0001394846530615,0.0021819083904802,,0.0002299713144388,,,,,0.9974482936261332,6.008197383105206e-08,,,,,,,,2.692687254429631e-07,,6.332593451939111e-09,,,,,,,,,6.332593451939111e-09,,,,,,,,,,,,,,,,,,
How can the origins of weak state insecurity be explained?,security_studies,"['Weak state insecurity in a historical framework of analysis represents an abnormal state in the long term state-building process. Bloody and violent conflict between social forces is not consistent with the presence of the centralizing force with the capacity to attain monopoly of control over violence.'
 'The utility of explaining weak state insecurity with a comparison to the historical conditions of state consolidation in Europe does not stand in the contemporary context of global society because of the pervasion of international norms to prevent violent conflict from manifesting in the consolidation process.'
 'The contemporary state-building condition is constrained by the shortened time-frame operating within the established guidelines of international norms, a particular problematic rule of which is sovereignty. Thus, unlike some European entities which could not complete the state-building process and were absorbed into more viable units, weak states will remain quasi entities.'
 'Weak state insecurity originated from the denial of sovereignty as the norm and the corresponding extension of the right to inviolability of statehood. Without protection under international laws the possibility of its national status being revoked and its territory being subsumed into another state threatens the consolidation of the state-building process.']",2,0.0004824535234164,9.50007315041057e-05,,0.0109806048655318,,,,,0.9884418333952876,8.662954040257795e-08,,,,,,,,,,,,,,,,,,,,1.1724033387040467e-08,9.13068638258241e-09,,,,,,,,,,,,,,,,
Which of the following best describes the 'subaltern' in postcolonialism?,security_studies,"['Subaltern refers to those who are located geographically within the southern hemisphere.'
 'The subaltern is a term applied to a specific group of scholars from the global south.'
 'The subaltern refers to populations that are marginalised or outside of the hegemonic power structure.'
 'The subaltern refers to the subcontinent of India.']",2,0.9999999999996284,3.2661313427259975e-13,1.2664165548855908e-14,5.982128223654586e-15,4.658886145015744e-15,1.1176086870683884e-14,,4.658886145015744e-15,,,,,,,,,,,,,,,,,,5.982128223654586e-15,,,,,,,,,,,,,,,,,,,,,
How do biological differences affect the roles that men and women must perform for the state?,security_studies,"['Biology determines the female body as weak, ensuring that men continue to dominate state security apparatus in order to protect them. Women are aware of practical biological differences, and by accepting them they allow men to act as their protectors and care-givers. In return, women must act as protectors and care-givers to those less capable than themselves, their children, infants, the elderly, and the infirm.'
 ""The most intimate of human activities for women are more important than the demands of the political and religious male dominated elite. Biology determines, and woman's intimate choice exerts, that the considerable responsibility of reproducing a state's population becomes the duty of women alone.""
 'Indiscriminate warfare is gender neutral and in contemporary conflicts there is no gender difference in levels of risk or duty. Men are just as likely to become victims of mass rape (as in the Democratic Republic of Congo or Balkans conflict) as women, and women are equally likely to be conscripted or coerced into military service.'
 'Gender roles are a social construct; the values that we attribute to masculinity or femininity, such as strength or care-giving, are the product of shared social ideals rather than innate biological properties. Men and women are equally able to care effectively for children or to conduct violent and aggressive behaviour. However, social constructs of gender roles are pervasive, and women are likely to be victims of gender-based violence in conflict whilst men are more likely to be involved as perpetrators of violence.']",3,2.657164066945767e-05,0.000415649977901,,0.1479817169742387,,,,,0.8515759754977579,5.812516983478695e-08,8.913783492869586e-09,,,,,,,,,,,,,,,,,,,1.88704798024867e-08,,,,,,,,,,,,,,,,,
"According to motivational realism, what might inspire the behaviour of so called 'greedy states'?",security_studies,"['Human nature is fundamentally greedy.' 'All of these options.'
 'State desire to increase wealth and prosperity.'
 'State desire to spread its ideology.']",1,1.0261879626052032e-10,0.9999999998565894,,2.7346982900862386e-12,,,,,3.7751345422006307e-11,5.675685229507874e-14,,,,6.431393937911082e-14,,,,,,6.431393937911082e-14,,,1.2015425725156482e-13,,,,,,,,,,,,,,,,,,,,,,,,
In which year was the seminal Human Development Report published?,security_studies,['1987' '1997' '1994' '2004'],2,1.74823412812218e-13,8.878265477703596e-13,,,,,,,0.9999999999950876,,,3.5114221130774835e-12,,2.244777054829812e-13,,,,,,,,5.675685232149388e-14,,,2.6810038675534925e-14,,,,,,,3.0379753851844184e-14,,,,,,,,,,,,,,,
What does it mean to be secure?,security_studies,"['Security means the coercive capability to stop an aggressor. Security is freedom from war, and the ability to deter or defeat aggressive attacks.'
 'Security refers to safety from vulnerabilities (both external and internal) that could harm the state, societies within the state, and the values of those societies.'
 'Security means freedom to enjoy the things that are most important to human survival and well-being, such as food, healthcare, and the opportunity to live well.'
 'All of these options.']",3,7.835041784318789e-13,1.2256067442933166e-11,,0.999999999977246,,,,,9.5450349219323e-12,3.4424771081423824e-14,,,,5.279209627836002e-15,,7.287724095126176e-14,5.6756852320926124e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What has been the effect of biological weapons on national security in the international community?,security_studies,"['The West, notably Canada, Britain, and the US, have conducted research into the weaponization of Anthrax, Tularemia, Q-fever, Venezuelan equine encephalitis, and anti-agricultural agents. However biological weapons were generally viewed in the West as lacking military utility. Instead strategists have concentrated on nuclear and conventional capabilities.'
 'The Soviet Union carried out the most extensive research program into genetic engineering to weaponize naturally occurring diseases. However, the Soviets most likely saw their biological weapons program as a counter to the global-strike complex that was emerging in NATO in the 1970s or as a way to inhibit recovery in a nuclear exchange. Biological weapons programs should therefore be regarded in a Cold War context.'
 ""Biological weapons make use of living organisms or toxins to weaken or kill, but because these organisms and toxins occur in nature it makes it difficult to differentiate between naturally occurring disease and subversive activities which, moreover, make a state's capacity hard to verify.""
 'All of these options.']",3,2.940077736328571e-11,1.3176514256848034e-10,,0.9999999993164956,,,,,5.211412482649076e-10,5.384940212340113e-13,,,,8.258073277253404e-14,,2.8823507905465254e-13,2.8823507905465254e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How are US 'military moms' important to a critical reading of security?,security_studies,"['Mothers are not passive objects but the specific target of military recruiters who rely on their active engagement to fuel recruitment.'
 ""Examining the role of 'military moms' reveals the extent of gendered strategizing that is required to raise and sustain a military force.""
 'All of these.'
 'Mothers are indispensable to the exercise of military power but often overlooked in traditional security analyses.']",2,0.999999999990897,7.433680670855589e-12,1.98100879765015e-13,1.3615261078155426e-13,6.914400105548154e-13,4.193795657535222e-13,2.2447770545690412e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weak states face a number of security threats, which of the following threats is the odd one out?",security_studies,"['Warlordism and the assertion of the interests and influences of criminal gangs.'
 'A sudden influx of refugees fleeing conflict from neighbouring states.'
 ""Coup d'ÃÂÃÂ©tat, military rebellion or mutiny; the violent intervention in politics by the state's own military forces, overthrowing and replacing the ruling elite.""
 'Competition for authoritative power or coercion from strongmen.']",1,1.6918979219465263e-10,0.9999999998239436,,1.0060392788857504e-12,,,,,5.789356326442815e-12,1.2664165544089552e-14,,,,2.6810038667223247e-14,,,,,,2.3659776081997752e-14,,,,7.681204682166637e-15,,,,,,,,,,,,,,,,,,,,,,,
In what ways may TNC be regarded as a new concept?,security_studies,"['Organized transnational crime groups are those structured groups randomly formed or otherwise but do not have a formally defined role for its members or continuity of membership but have a developed purpose for the intent of committing crimes.'
 'Transnational organized criminal activities consist of profit driven crime for a high level return that may result in the subversion or infiltration of the legal economy through the reinvestment of illicit profits.'
 'Transnational criminal organizations are those organizations whose modes of operation result in breaking domestic laws, e.g. murder, theft or money-laundering, underlined by the employment of systematic violence.'
 ""The terms 'transnational crime' and 'organized crime' are sometimes used interchangeably but not all transnational crime will be committed by an organized group nor will all organized groups engage in transnational crime. The pursuit of profit for illicit activity eludes definition and may include those individuals or businesses that engage in occasional transnational criminal activity but are otherwise legitimate operatives.""]",1,0.0001114097294555,0.0951505564409699,,0.9027631737557598,,,,,0.0019747847058569,6.161891842531529e-08,,,,,,,,,,,,,,,,,,,,1.3749039136413633e-08,,,,,,,,,,,,,,,,,
Which of the following statements does not characterise our understanding of disease pandemics within the contemporary international political system?,security_studies,"['Infectious disease transcends international borders and, to some extent, divisions of class, gender, education and wealth.'
 'Whilst pandemics present a direct risk to national security, they also have the potential to undermine wider international stability.'
 'Like terrorism, pandemics present a set of threats and risks that are diverse yet interconnected.'
 'The existing mechanisms for monitoring and treating infectious disease within the international system are capable of effectively containing pandemic outbreaks.']",3,3.0988191382242897e-12,5.109089027243028e-12,,0.9999999999914156,,,,,1.2015425729842634e-13,8.258073284230033e-14,,,,,,8.258073284230033e-14,6.4313939404194e-14,,,2.681003867351352e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways does gender shape the conceptualization of nationhood and conflict?,security_studies,"['Although often missing from the traditional literature on war and security, women frequently serve the purposes of nationalise causes, with nationalism often presented in highly gendered and female terms, where women are symbols of statehood.'
 'A sense of national identity can be developed through a variety of shared experiences, including war. The glorification of iconic national figures such as political leaders is not noticeably gendered and men and women generally perform the same types of roles within the public realm.'
 'Measures of national pride and success are biased towards the glorification of female attributes such as the ability to bear children. The restriction of women to the domestic sphere creates a sense of national identity that is founded on a celebration of home life, feminine strength, and maternal characteristics.'
 'When thinking about national identity, violence, physical strength, aggression, and the ability to use force are attributed as feminine characteristics. The male identity is imagined as being one of domesticity, nurturing, care, and child rearing.']",0,7.338208230734757e-07,1.818961781437347e-09,,,,,,,0.9999992641764168,6.560200506753438e-12,,1.3176514950191064e-10,,2.020684013318255e-11,,,,7.433681056035868e-12,,,,,,,,,,,1.7832473828555688e-11,,,,,,,,,,,,,,,,,,
What might the pragmatic implications of biology be on post-conflict gender security?,security_studies,"['Recent inquiry into the way in which women have been treated both in and after war has revealed a degree of ambiguity in the relationship between armed forces and civilian women. While women have often been the targets of violence by the enemy in conflict, it is also the case that they may suffer at the hands of their ""protectors"". This strengthens the argument for female soldiers to be engaged in certain types of peacekeeping work, particularly in post-conflict situations.'
 'Perpetuation of violence against women in post-conflict society has devalued the claim that violence is more prevalent in militarized societies. Women were as protected by men in pre-war society as they were in post-war society.'
 'Case studies revealed that in certain military families, levels of violence were dependent on the degree of psychological damage inflicted during fighting, however this was variable and dependent on the individual not on gender basis.'
 'Recent inquiry into the way in which women have been treated both in and after war has revealed a degree of ambiguity in the relationship between armed forces and civilian women. While women have often been the targets of violence by the enemy in conflict, it is also the case that they may suffer at the hands of their ""protectors"" which may actually undermine liberal feminists\' case of the ""right to fight"".']",0,1.5485630253074496e-06,4.209430731916804e-06,,0.0031726652625223,,,,,0.9968215670210882,6.328623142487994e-09,,2.638162624961693e-09,,,,,,,,,,,,,,,,,,7.558462469487956e-10,,,,,,,,,,,,,,,,,
"How have the World Bank and International Monetary Fund, as international financial institutions (IFIs), affected the development of poorer countries?",security_studies,"['Financial policies advocated by the World Bank and IMF were readily adopted by developing countries that sought to bring their economic development into line with wealthier nations. The IFIs focus has been on achieving human security and the promotion of development at a societal level.'
 'Through the implementation of specific financial policies adopted at the bequest of global financial institutions, many developing countries have gained economic prosperity and the correlating levels of human security.'
 'The World Bank and IMF tend to operate in an economic arena that includes only major financial institutions and wealthy states; coupled with a respect for sovereignty, the scope of such institutions does not reach to interference in national politics.'
 'IFIs identified the economic failings of developing countries as being the result of political problems. Thus, IFIs adopted an approach that involved political and economic restructuring of these states, coercing governments into the adoption of specific financial policies designed to promote debt repayment and economic development.']",3,2.697646528832934e-07,0.0003352225514416,,0.99928464428207,,,,,0.0003798570295563,2.9968175918367403e-09,,,,,,5.207688107351365e-10,,,,,,,,,,,,,,2.333923887244615e-09,,,5.207688107351365e-10,,,,,,,,,,,,,,
When may an issue fail to become securitized?,security_studies,"['When the general public is not convinced of the legitimacy of the proposed threat.'
 'When, following the discursive element of the process, extraordinary measures are not implemented.'
 'When the securitizing actor is not granted the special right to implement extraordinary measure.'
 'When the audience are convinced via the speech act or the securitizing actor but fail to grant that actor the special rights requested in order to address the proposed threat.']",2,0.3765072280486514,0.0011983355007763,,0.620755026024873,,,,,0.001538693240716,6.627806356726868e-07,,,,,,,,,,,,,,,,,,,,,,,,5.4404347567139364e-08,,,,,,,,,,,,,
What are the practical problems associated with applying coercive diplomacy in the West?,security_studies,"[""Different natures of the adversaries complicate the use of Western coercion. Their tendency to rely on irregular or asymmetric military strategies makes it hard to threaten or even defeat their opponent's military strategy. Those actors deny forces the ability to win quickly with little cost.""
 'Increased verification capabilities brought in with the technological and communication revolution have resulted in a practical difficulty for practitioners, enabling the verification of tactical/temporary and strategic/lasting - only the latter of which constituting a compliance success. The capacity to verify processes have highlighted instances of non-compliance following inconclusive coercive diplomacy exchanges.'
 'Coalitional coercive diplomacy is the only credible means for Western democracies to gain the sincerity required to make a threat of force real in the mind of the adversary. However, past efforts of coalitional building have proved to be extremely limited. Disagreements over the means and coordination of the policy often result in splits and consequently states are reluctant to employ it. Where it has been employed it collapses under the weight of its own inadequacy.'
 'All of these options.']",0,2.289734955912188e-11,6.224144922643573e-11,,0.999999855414337,,,,,1.444980315695079e-07,1.6586784387911137e-12,,,,,,3.701011856822088e-13,3.701011856822088e-13,,,,,,,,,,,,,,,,,,9.357623419474709e-14,,,,,,,,,,,,
Some governmental regimes are reluctant to fully join the liberalist camp; which of the following is not a valid reason for this reluctance?,security_studies,"['The dominance of Western ideologies can be regarded as contemporary imperialism.'
 'Liberalism advocates the enforcement of certain values that are not shared by all political regimes.'
 'The fear that cooperation may be recurring.'
 'Adherence to liberalism does not guarantee the favoured treatment of state regimes over its citizens; other states may threaten regime security in their efforts to secure societal security.']",2,0.999999976324805,6.3487999529692014e-09,,1.5229979353517292e-08,1.6586783163096286e-12,,,,2.061153569496025e-09,2.9400776637660065e-11,6.914399929337797e-13,,,,,,,,,3.5114220231825666e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the themes that make post-structuralism a different field of study and why is it criticized?,security_studies,"['One of the founding assumptions of Critical Security Studies is that theories about the world constitute that world and thus that theory, including security theory, has political effects. The consequence is that theory is the product of the system, and that analyses of the agent of security and the referent object is produced by its own practices.'
 'Central to the political and critical nature of post-structural literature is the idea of fostering an ethos of democracy and an ethos of critique which is finite and attainable. It is to this end that we must strive, but one that can only be met under the conditions prescribed, that of true democracy.'
 'A central notion of critique is to provide an answer to the problem of what it means to be critical. This invariably raises the question of revealing the interest behind knowledge claims with the goal of social change, what is accepted as the end of theory: that the practical and contextual understandings inform to whom knowledge claims serve.'
 'Poststructuralism accepts the form and foundations for knowledge claims that dominate the security studies debate. This has brought it into confrontation with the critical studies community, having little to contribute to the understanding of the ways in which knowledge is constructed.']",0,0.0669302158097968,0.0042786926956311,,0.9239424182709148,,,,,0.0048483940092027,2.494249518995419e-07,,,,,,,,,,,,,,,,,,,,,,,,,,2.9789502786080894e-08,,,,,,,,,,,
How is capitalism defined or regarded within the HM paradigm?,security_studies,"['HM regards capitalism as producing extreme insecurity in its disempowerment of the worker or labourer, from whom the ability to control labour or output is removed by the capitalist.'
 'HM regards the assertion by liberalists and realists that the capitalist economic sphere is non-political to be a misrepresentation, serving the interests of the unelected capitalist elite.'
 ""HM regards the capitalist's accumulation of surplus value as a by-product of labour to be exploitation of those labourers by which the value was originally produced.""
 'All of these options.']",3,7.835041784383816e-13,3.0988191384526538e-12,,0.9999999999864008,,,,,9.54503492201152e-12,3.9008376098418783e-14,,,,9.862862045723736e-15,,5.0087746374084303e-14,7.287724095186662e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
