question,subject,choices,answer,c,b,d,Ñ,_c,.c,ci,(c,a,e,_d,.d,<|end|>,Ð°,aa,.a,_a,(a,Ð´,g,f,h,.b,p,Ð±,Â­d,-d,bi,-a,-c,1,du,o,ac,an,co,(b,none,n,k,ab,de,4,l,_b,199,(d,bc,ca,feminist,the,feminism,investigations,femin,feminine,gender,Unnamed: 60,women's
"Considering commerce and marketing, which of the following present the most significant obstacle to developing IT security?",security_studies,"['There is no direct return on investment in building security systems.'
 'Security systems are detrimental to usability and can make IT systems less functional, and therefore less attractive to the consumer.'
 'There is pressure to reduce the time it takes to get a new IT product or system onto the market, so security systems are sacrificed in order to reduce the time-to-market.'
 'All of these options.']",3,1.291780004613758e-12,1.4637785139307377e-12,0.9999999999968362,,,,,,7.287724094847991e-14,1.8426252144778777e-14,1.9810087977848443e-13,1.0603575990110031e-13,1.2664165547405612e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following best describes the 'Orient' according to Edward Said?,security_studies,"['The Orient is a constructed subject that is imagined as inferior, irrational, and backward, in comparison to the West.'
 'The Orient is a geographical term once used to describe the east Asia.'
 'The Orient is an imagined concept that must be rejected by scholars in order to analyse security.'
 'Where there is an imbalance of power, the Orient is the dominant intellectual force or otherwise superior party.']",0,,5.0087746375995795e-14,,,,,,,0.9999999999920492,,,,4.4202281034259084e-14,7.433680671990169e-12,2.882350793304017e-13,5.0087746375995795e-14,5.0087746375995795e-14,,,,,,,,,,,,3.442477108302328e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can we best describe liberalism?,security_studies,"['Liberalism is a fundamentally pessimistic approach that regards the international system as destined to the escalation of conflict. It is the dominant conception in the practice of international politics.'
 'Liberalism is a novel conception in the theory of international politics. It is an optimistic approach that defines the ways in which states should relate to one another, particularly during conflict situations.'
 'Liberalism is an optimistic approach, offering an orientation for the better conduct of international affairs in the belief that a more peaceful world is possible. It is the dominant conception in the practice of international politics.'
 'Liberalism does not exist as a mainstream theory within International Relations, but rather offers a set of guidelines and advice for states and political actors wishing to accrue power within the international system independently from the restrictions of traditional security paradigms.']",2,0.9999999999988304,6.101936676987204e-13,,4.1937956579547173e-13,5.008774637336123e-14,3.4424771081212573e-14,3.4424771081212573e-14,2.0879679114344242e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following is not one of the unifying principles of Critical Security Studies, as defined by Krause?",security_studies,"['Principle actors are social constructs that are made through political practices.'
 'Natural-science methodology is the best way to study social science, interpretive methodologies lack the coherence required for in-depth analysis.'
 'Knowledge of the social world is not objective, as there is no divide between the social world and knowledge of that world.'
 'The purpose of theory is not explanation in terms of generalizable causal claims, but contextual understanding and practical knowledge.']",1,3.701011678289817e-13,0.9999999999995532,3.900837609861508e-14,,,,,,8.703945206014165e-15,,,,,,,,,,,,1.8426252145727802e-14,,2.8257572868843786e-15,3.2020024983753456e-15,4.65888614472216e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Considering 'offensive' and 'defensive realism', which of these statements is not correct?",security_studies,"['Offensive realism defines the international system as an environment in which states seek to achieve security through the acquisition of power.'
 'Defensive realism regards cooperation as the way in which states can achieve security.'
 'Both defensive realism and offensive realism regard power and competition as a means by which security can be achieved for the state.'
 'Offensive realism theorizes that states will pursue hegemony where possible.']",2,0.9999999999989088,6.91440010642751e-13,2.0879679114911137e-14,2.8823507932306654e-13,2.0879679114911137e-14,2.0879679114911137e-14,1.8426252145869342e-14,,,,,,,,,,,,,,,,,,,,,,,3.037975385217866e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Following the terrorist attacks of 9/11, what is the predominant paradigm in security and threat perception and to what extent is it an adequate response?",security_studies,"['The security paradigm has been the development of multi-level analysis, to aid the understanding of disempowerment and to promote peace research involvement by NGOs, policy-makers, and the academic community.'
 'The security paradigm of US led strategy has been the undertaking of short-term measures, many of which are drawn from research of the peace studies community. They focus on peace-keeping, peace-making, and structural change for preventing further conflict.'
 ""The security paradigm of recent years has been to some extent a reversion to 'liddism'; keeping the lid on a potentially fractured international system, without redress to the critical underlying causes of the problems.""
 'The dominant approach to security studies has been a US led initiative which recognizes the need to undertake responsibility for inter-governmental cooperation, particularly for the commitment towards ethical intervention and for securing peaceful transformations alongside demilitarization of the international community.']",2,0.9999999999971432,2.129785170820386e-12,1.7482341281599148e-13,3.701011678357384e-13,3.0379753852499917e-14,,,5.6756852322718965e-14,,,,,6.43139394104313e-14,,,,,,,,,,,,,,,,,3.0379753852499917e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways has the concept of environmental security been contested?,security_studies,"['Analysis of environmental security is understood as the integrity of the whole ecological system whose primary threat is human activity. However, it radically challenges security thinking in that it demands a shift in the reason for action from national security interest to the welfare of the entire social-ecological system of the planet.'
 'Environmental security contends that the principle threat to the ecological integrity is human activity and therefore humans can be secured to the extent that welfare is protected at the domestic level. The reason for action is to be found in individual and national interests.'
 'The crossover of common insecurity issue areas is unlikely because not all problems are truly global. Not all states are equally responsible for environmental problems, nor is there such a thing as equality of risk. Systemic interdependence is unlikely to manage those security areas.'
 'The ecological security and human security approaches to environmental security do not challenge the security community to consider alternative objects of security. Ecological security displays continuity with major interpretations of security, which typically centralize the security of the state.']",0,6.224144547715977e-11,7.582560336309535e-10,2.2897348179840333e-11,,,,,,0.9999999978082358,,,,5.492788284598148e-11,1.2501528512840647e-09,2.940077703766378e-11,,,,,,,,,,,,,,,,1.3887943697188423e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can the origins of weak state insecurity be explained?,security_studies,"['Weak state insecurity in a historical framework of analysis represents an abnormal state in the long term state-building process. Bloody and violent conflict between social forces is not consistent with the presence of the centralizing force with the capacity to attain monopoly of control over violence.'
 'The utility of explaining weak state insecurity with a comparison to the historical conditions of state consolidation in Europe does not stand in the contemporary context of global society because of the pervasion of international norms to prevent violent conflict from manifesting in the consolidation process.'
 'The contemporary state-building condition is constrained by the shortened time-frame operating within the established guidelines of international norms, a particular problematic rule of which is sovereignty. Thus, unlike some European entities which could not complete the state-building process and were absorbed into more viable units, weak states will remain quasi entities.'
 'Weak state insecurity originated from the denial of sovereignty as the norm and the corresponding extension of the right to inviolability of statehood. Without protection under international laws the possibility of its national status being revoked and its territory being subsumed into another state threatens the consolidation of the state-building process.']",2,6.224144597747912e-11,2.1724399262973596e-10,6.224144597747912e-11,,,,,,0.9999999990268128,8.423463720418465e-12,,,2.5946094877882718e-11,5.905303975073017e-10,6.560200141635469e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following best describes the 'subaltern' in postcolonialism?,security_studies,"['Subaltern refers to those who are located geographically within the southern hemisphere.'
 'The subaltern is a term applied to a specific group of scholars from the global south.'
 'The subaltern refers to populations that are marginalised or outside of the hegemonic power structure.'
 'The subaltern refers to the subcontinent of India.']",2,0.9999999999995632,3.7010116785342394e-13,1.2664165548894228e-14,3.0379753853951635e-14,7.68120468508082e-15,4.11145259248312e-15,,4.658886145029841e-15,,,,,,,,,,,,,,,,,,,,,,6.778639342702106e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do biological differences affect the roles that men and women must perform for the state?,security_studies,"['Biology determines the female body as weak, ensuring that men continue to dominate state security apparatus in order to protect them. Women are aware of practical biological differences, and by accepting them they allow men to act as their protectors and care-givers. In return, women must act as protectors and care-givers to those less capable than themselves, their children, infants, the elderly, and the infirm.'
 ""The most intimate of human activities for women are more important than the demands of the political and religious male dominated elite. Biology determines, and woman's intimate choice exerts, that the considerable responsibility of reproducing a state's population becomes the duty of women alone.""
 'Indiscriminate warfare is gender neutral and in contemporary conflicts there is no gender difference in levels of risk or duty. Men are just as likely to become victims of mass rape (as in the Democratic Republic of Congo or Balkans conflict) as women, and women are equally likely to be conscripted or coerced into military service.'
 'Gender roles are a social construct; the values that we attribute to masculinity or femininity, such as strength or care-giving, are the product of shared social ideals rather than innate biological properties. Men and women are equally able to care effectively for children or to conduct violent and aggressive behaviour. However, social constructs of gender roles are pervasive, and women are likely to be victims of gender-based violence in conflict whilst men are more likely to be involved as perpetrators of violence.']",3,3.331544538616716e-11,5.4927883451022236e-11,0.9999999998963548,,,,,,9.545034912670578e-12,1.0060392782114017e-12,3.0988191354200938e-12,1.4637785125662813e-12,,,,,,,2.8823507903732986e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to motivational realism, what might inspire the behaviour of so called 'greedy states'?",security_studies,"['Human nature is fundamentally greedy.' 'All of these options.'
 'State desire to increase wealth and prosperity.'
 'State desire to spread its ideology.']",1,6.560200166818202e-12,0.999999999992638,2.8823507928575763e-13,,,,,,3.701011677839191e-13,,,,,,,,,,,,1.4350379598416694e-14,,9.357622966935077e-14,,2.0879679112208487e-14,,,1.4350379598416694e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In which year was the seminal Human Development Report published?,security_studies,['1987' '1997' '1994' '2004'],2,,1.2256067436500935e-11,,,,,,,0.999999999902165,8.878265472955289e-13,,,1.4637785132183918e-12,7.991959887999057e-11,2.413362770336971e-12,4.193795655779465e-13,4.752193059824876e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does it mean to be secure?,security_studies,"['Security means the coercive capability to stop an aggressor. Security is freedom from war, and the ability to deter or defeat aggressive attacks.'
 'Security refers to safety from vulnerabilities (both external and internal) that could harm the state, societies within the state, and the values of those societies.'
 'Security means freedom to enjoy the things that are most important to human survival and well-being, such as food, healthcare, and the opportunity to live well.'
 'All of these options.']",3,8.87826547719269e-13,1.2917800046016532e-12,0.999999999997484,,,,,,1.201542573005713e-13,,1.201542573005713e-13,5.6756852318227765e-14,,,,,,,2.087967911347971e-14,,,,,,,1.8426252144606114e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What has been the effect of biological weapons on national security in the international community?,security_studies,"['The West, notably Canada, Britain, and the US, have conducted research into the weaponization of Anthrax, Tularemia, Q-fever, Venezuelan equine encephalitis, and anti-agricultural agents. However biological weapons were generally viewed in the West as lacking military utility. Instead strategists have concentrated on nuclear and conventional capabilities.'
 'The Soviet Union carried out the most extensive research program into genetic engineering to weaponize naturally occurring diseases. However, the Soviets most likely saw their biological weapons program as a counter to the global-strike complex that was emerging in NATO in the 1970s or as a way to inhibit recovery in a nuclear exchange. Biological weapons programs should therefore be regarded in a Cold War context.'
 ""Biological weapons make use of living organisms or toxins to weaken or kill, but because these organisms and toxins occur in nature it makes it difficult to differentiate between naturally occurring disease and subversive activities which, moreover, make a state's capacity hard to verify.""
 'All of these options.']",3,1.5428112030406213e-13,5.384940217226065e-13,0.999999999999075,,,,,,2.3659776089027872e-14,,1.3615261079561618e-13,5.6756852320762445e-14,,,,,,,8.703945205873025e-15,,,,,,,6.778639342144512e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How are US 'military moms' important to a critical reading of security?,security_studies,"['Mothers are not passive objects but the specific target of military recruiters who rely on their active engagement to fuel recruitment.'
 ""Examining the role of 'military moms' reveals the extent of gendered strategizing that is required to raise and sustain a military force.""
 'All of these.'
 'Mothers are indispensable to the exercise of military power but often overlooked in traditional security analyses.']",2,0.9999999999980328,1.291780004694505e-12,,3.2661313425561215e-13,7.287724095303536e-14,1.2015425730920786e-13,,7.287724095303536e-14,,,,,,,,,,,,,,,,,,,,,,8.258073284971037e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weak states face a number of security threats, which of the following threats is the odd one out?",security_studies,"['Warlordism and the assertion of the interests and influences of criminal gangs.'
 'A sudden influx of refugees fleeing conflict from neighbouring states.'
 ""Coup d'Ã©tat, military rebellion or mutiny; the violent intervention in politics by the state's own military forces, overthrowing and replacing the ruling elite.""
 'Competition for authoritative power or coercion from strongmen.']",1,1.0815941554735536e-11,0.9999999999889,1.5428112028281274e-13,,,,,,4.420228102598982e-14,,,,1.6261110442344183e-14,,,,,,,,3.4424771076583184e-14,,1.117608686825908e-14,,2.3659776085769173e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways may TNC be regarded as a new concept?,security_studies,"['Organized transnational crime groups are those structured groups randomly formed or otherwise but do not have a formally defined role for its members or continuity of membership but have a developed purpose for the intent of committing crimes.'
 'Transnational organized criminal activities consist of profit driven crime for a high level return that may result in the subversion or infiltration of the legal economy through the reinvestment of illicit profits.'
 'Transnational criminal organizations are those organizations whose modes of operation result in breaking domestic laws, e.g. murder, theft or money-laundering, underlined by the employment of systematic violence.'
 ""The terms 'transnational crime' and 'organized crime' are sometimes used interchangeably but not all transnational crime will be committed by an organized group nor will all organized groups engage in transnational crime. The pursuit of profit for illicit activity eludes definition and may include those individuals or businesses that engage in occasional transnational criminal activity but are otherwise legitimate operatives.""]",1,4.508755241531155e-12,0.999999999988358,6.560200167042645e-12,,,,,,2.244777054640765e-13,,,,5.6756852316714036e-14,,,,,,,,1.542811202930574e-13,,,7.287724094585334e-14,6.431393940362684e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements does not characterise our understanding of disease pandemics within the contemporary international political system?,security_studies,"['Infectious disease transcends international borders and, to some extent, divisions of class, gender, education and wealth.'
 'Whilst pandemics present a direct risk to national security, they also have the potential to undermine wider international stability.'
 'Like terrorism, pandemics present a set of threats and risks that are diverse yet interconnected.'
 'The existing mechanisms for monitoring and treating infectious disease within the international system are capable of effectively containing pandemic outbreaks.']",3,9.357622967600245e-14,1.5428112029874577e-13,0.9999999999995144,,,,,,,6.778639341910928e-15,1.2015425730179686e-13,9.357622967600245e-14,,,,,,,5.982128222974474e-15,,,,,,,1.1176086869413266e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways does gender shape the conceptualization of nationhood and conflict?,security_studies,"['Although often missing from the traditional literature on war and security, women frequently serve the purposes of nationalise causes, with nationalism often presented in highly gendered and female terms, where women are symbols of statehood.'
 'A sense of national identity can be developed through a variety of shared experiences, including war. The glorification of iconic national figures such as political leaders is not noticeably gendered and men and women generally perform the same types of roles within the public realm.'
 'Measures of national pride and success are biased towards the glorification of female attributes such as the ability to bear children. The restriction of women to the domestic sphere creates a sense of national identity that is founded on a celebration of home life, feminine strength, and maternal characteristics.'
 'When thinking about national identity, violence, physical strength, aggression, and the ability to use force are attributed as feminine characteristics. The male identity is imagined as being one of domesticity, nurturing, care, and child rearing.']",0,,6.914400105428014e-13,,,,,,,0.999999999927088,,,,8.87826547651797e-13,7.052879849569687e-11,4.752193061731844e-13,1.5428112028544729e-13,1.748234127888716e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What might the pragmatic implications of biology be on post-conflict gender security?,security_studies,"['Recent inquiry into the way in which women have been treated both in and after war has revealed a degree of ambiguity in the relationship between armed forces and civilian women. While women have often been the targets of violence by the enemy in conflict, it is also the case that they may suffer at the hands of their ""protectors"". This strengthens the argument for female soldiers to be engaged in certain types of peacekeeping work, particularly in post-conflict situations.'
 'Perpetuation of violence against women in post-conflict society has devalued the claim that violence is more prevalent in militarized societies. Women were as protected by men in pre-war society as they were in post-war society.'
 'Case studies revealed that in certain military families, levels of violence were dependent on the degree of psychological damage inflicted during fighting, however this was variable and dependent on the individual not on gender basis.'
 'Recent inquiry into the way in which women have been treated both in and after war has revealed a degree of ambiguity in the relationship between armed forces and civilian women. While women have often been the targets of violence by the enemy in conflict, it is also the case that they may suffer at the hands of their ""protectors"" which may actually undermine liberal feminists\' case of the ""right to fight"".']",0,2.543665646116565e-13,5.109089025531828e-12,,,,,,,0.9999999999111596,4.1937956563015653e-13,,,2.1297851699004998e-12,7.991959888994004e-11,7.835041781182212e-13,,,2.244777053908712e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How have the World Bank and International Monetary Fund, as international financial institutions (IFIs), affected the development of poorer countries?",security_studies,"['Financial policies advocated by the World Bank and IMF were readily adopted by developing countries that sought to bring their economic development into line with wealthier nations. The IFIs focus has been on achieving human security and the promotion of development at a societal level.'
 'Through the implementation of specific financial policies adopted at the bequest of global financial institutions, many developing countries have gained economic prosperity and the correlating levels of human security.'
 'The World Bank and IMF tend to operate in an economic arena that includes only major financial institutions and wealthy states; coupled with a respect for sovereignty, the scope of such institutions does not reach to interference in national politics.'
 'IFIs identified the economic failings of developing countries as being the result of political problems. Thus, IFIs adopted an approach that involved political and economic restructuring of these states, coercing governments into the adoption of specific financial policies designed to promote debt repayment and economic development.']",3,6.914400105955845e-13,8.878265477195718e-13,0.9999999999978252,,,,,,,2.0879679113486836e-14,3.2661313423224697e-13,1.7482341280221721e-13,3.442477107979894e-14,,,,,,,,,,,,,3.900837609625378e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When may an issue fail to become securitized?,security_studies,"['When the general public is not convinced of the legitimacy of the proposed threat.'
 'When, following the discursive element of the process, extraordinary measures are not implemented.'
 'When the securitizing actor is not granted the special right to implement extraordinary measure.'
 'When the audience are convinced via the speech act or the securitizing actor but fail to grant that actor the special rights requested in order to address the proposed threat.']",2,4.363462224923988e-09,1.1628232955550964e-10,0.99999999550014,,,,,,8.423463700377876e-12,7.835041734752135e-13,5.789356291554645e-12,4.5087552133421215e-12,,,,,,,,,,,,,,,,,,,,6.101936638422101e-13,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the practical problems associated with applying coercive diplomacy in the West?,security_studies,"[""Different natures of the adversaries complicate the use of Western coercion. Their tendency to rely on irregular or asymmetric military strategies makes it hard to threaten or even defeat their opponent's military strategy. Those actors deny forces the ability to win quickly with little cost.""
 'Increased verification capabilities brought in with the technological and communication revolution have resulted in a practical difficulty for practitioners, enabling the verification of tactical/temporary and strategic/lasting - only the latter of which constituting a compliance success. The capacity to verify processes have highlighted instances of non-compliance following inconclusive coercive diplomacy exchanges.'
 'Coalitional coercive diplomacy is the only credible means for Western democracies to gain the sincerity required to make a threat of force real in the mind of the adversary. However, past efforts of coalitional building have proved to be extremely limited. Disagreements over the means and coordination of the policy often result in splits and consequently states are reluctant to employ it. Where it has been employed it collapses under the weight of its own inadequacy.'
 'All of these options.']",0,8.87826547511814e-13,1.879528815831684e-12,0.9999999999913493,,,,,,5.109089026140414e-12,6.431393939031411e-14,3.266131341558172e-13,3.266131341558172e-13,,,,,,,5.675685230496561e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some governmental regimes are reluctant to fully join the liberalist camp; which of the following is not a valid reason for this reluctance?,security_studies,"['The dominance of Western ideologies can be regarded as contemporary imperialism.'
 'Liberalism advocates the enforcement of certain values that are not shared by all political regimes.'
 'The fear that cooperation may be recurring.'
 'Adherence to liberalism does not guarantee the favoured treatment of state regimes over its citizens; other states may threaten regime security in their efforts to secure societal security.']",2,0.9999999999962768,3.0988191383743968e-12,3.7010116781777283e-13,1.201542573042466e-13,,,2.6810038674812183e-14,,2.6810038674812183e-14,3.0379753851025214e-14,,,5.0087746372819393e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
