question,subject,choices,answer,b,a,c,<|end|>,d,б,e,а,с,g,aa,cc,cj,​,f,ц,bb,ba,s,'b,ad,ai,ci,3,ac,be,j,aac,д,',ab,n,t,all,bcc,i,­a,2,ch,civil,cd,aio,q
Are the peremptory norms of international law the only norms that set out obligations erga omnes?,international_law,"['Yes'
 'No, acts of international organizations also set out such obligations'
 'No, decisions of international courts also set out such obligations'
 'No, even though all peremptory norms set out obligations erga omnes, the latter may also spring from treaties regulating objective regimes or unilateral acts']",3,3.850741884265796e-09,1.605228039135665e-09,4.3634622093154235e-09,1.317651413834948e-10,0.9999999900339602,,,,,,,,,,,,,,,,,,,,,,,,1.0815941449142003e-11,,,2.7346982642488677e-12,1.2917799918700741e-12,,,,,,,,,,
What is the constitutive theory of recognition?,international_law,"['Recognition is determinative of statehood'
 'Recognition requires constitutional approval by third nations'
 'Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees'
 'Countries wishing to be recognised must possess a valid constitution']",0,2.215948875936079e-08,0.9999999549205845,1.9555680192994055e-08,4.2777876732199465e-11,2.3355929319239764e-09,,,9.736199867486776e-10,,,1.225606688326906e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The enforcement mechanism of the International Covenant on Civil and Political Rights (and Protocol) consists of,international_law,"['A reporting mechanism only' 'Judgment of an international tribunal'
 'Right to individual petition only'
 'A reporting mechanism and right to individual petition']",3,6.224144927139546e-11,1.4449803167388518e-07,1.4930947491785702e-10,2.2897349575661643e-11,0.9999998552672852,,1.5428112786034024e-13,,,,,,,,,,,,,,,,,,,,,,4.152420224143094e-14,,,,3.900837800850884e-14,,,,,,,,,,
Is piracy under international (jure gentium) law subject to universal jurisdiction?,international_law,"['Piracy jure gentium is subject to flag State jurisdiction'
 'Piracy jure gentium is subject to universal jurisdiction'
 'Piracy jure gentium is subject to port State jurisdiction'
 'Piracy jure gentium is subject to nationality-based jurisdiction']",1,0.9999999999999973,1.7139084315420077e-15,1.3085852357321728e-17,3.8242466280971237e-16,1.6802567025824295e-17,3.3748858040152946e-16,,,,,,,,,,,1.154822417301575e-17,,,,,,,,,,,,,,,,,,2.0067804543947026e-18,,,,,,,,
What are self-executing treaties?,international_law,"['Self-executing treaties are adopted only by the executive'
 'Self-executive treaties are clear and precise enough so as not to require any further implementing measures'
 'Self-executing rely on implementing measures stipulated in the treaty Itself'
 'Self-executing treaties follow the doctrine of transformation']",1,0.9999999997398149,1.6918979221268336e-10,5.492788349369416e-11,2.12978517034111e-12,3.3315445412048986e-11,6.10193667584425e-13,,,,,,,,,,,,,,1.1896882543017916e-14,,,,,,,,,,,,,,,,,,,,,,,
"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",international_law,"['The ICJ was not hostile to the accumulation theory'
 'The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force'
 'In the Nicaragua case the ICJ dismissed the accumulation theory'
 'The ICJ has never addressed this issue']",0,0.0016445369474213049,0.9653194230765348,0.033031416904821066,1.0004709224754913e-09,4.619167678266368e-06,,2.4000049782589277e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.030683726623942e-10,,,,,,,
Is there any priority among international courts and tribunals?,international_law,"['According to the lis pendens rule, the court or the tribunal that seizes first the dispute has exclusive jurisdiction to adjudicate it'
 'The International Court of Justice has by definition priority over any other court or tribunal'
 'Since there is no lis pendens rule in international law and all depends on the consent of the parties to a dispute, there is no priority or hierarchy among international courts and tribunals'
 'Regional or special courts have priority over all others in line of the principle of lex specialis']",2,6.560200167860601e-12,1.7832472907349452e-11,0.9999999999557011,2.2447770549206545e-13,5.789356328471924e-12,,4.111452592364292e-15,,1.3887943864343366e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?,international_law,"[""When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States""
 ""Third States may never have access to fisheries within another State's EEZ""
 'The coastal State is to give access to fisheries within its EEZ only to neighbouring States'
 'Third States are free to fish within another EEZ, except from certain designated areas']",0,1.2664165549081882e-14,0.9999999999990677,9.862862046570878e-15,2.8823507934415893e-13,1.1176086870883302e-14,,,6.101936677599401e-13,,,,,,,,,,,,,,2.178990046222778e-16,,,,,,,,,,,,,,,8.016056405225709e-17,,,,,,
What is the purpose of sovereign immunity?,international_law,"['The purpose of immunity is to protect foreign Heads of State from embarrassment'
 'Immunity protects a State from being invaded by another'
 'Immunity shields States from being sued in the courts of other States'
 'The purpose of immunity is to offer impunity in respect of all crimes']",2,1.2501528621525318e-09,6.691586068628684e-10,0.999999996617803,9.54503489051203e-12,8.592166590072832e-10,,2.1297851637422997e-12,,5.905303978943044e-10,,,,,,,,,,1.4637785091681577e-12,,,,,,,,,,,,,,,,,,,,,,,,
What is passive personality jurisdiction?,international_law,"['It is jurisdiction based on the nationality of the offender'
 'It is jurisdiction based on where the offence was committed'
 'It is jurisdiction based on the nationality of the victims'
 'It is jurisdiction based on the country where the legal person was Registered']",2,1.9171715129596215e-10,4.84736870425085e-11,0.9999999995854769,1.1399918525694368e-12,1.0261879627426809e-10,,2.0879679107760898e-14,,7.052879848173942e-11,,,,2.3659776081490994e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following types of rights have been described as first generation rights?,international_law,"['Social and economic rights' 'Civil and political rights'
 'Cultural rights' ""People's rights""]",1,0.9999999998442965,1.4930946759251313e-10,3.5114221127367518e-12,2.129785170567751e-12,6.101936676493588e-13,1.3615261078415917e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.367942345576051e-15,,,,,
What is the problem of 'fragmentation' of international law?,international_law,"['Fragmentation of international law concerns the possibility of different legal regimes apply the same rules of international law'
 'It is possible for several legal regimes (ie foreign investment law and human rights law) to exist and develop in isolation of each other, ultimately culminating in the production of divergent rules of international law'
 'Fragmentation is when States assume different interpretations of the same rule of international law'
 'Fragmentation is when States disagree to abide by a certain rule of international law']",1,0.9999999673334803,7.194132791994233e-09,2.5109990725582367e-08,3.978962404020006e-12,3.5817478116250884e-10,1.5428111520807993e-13,8.790672962589676e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is functional (ratione materiae) immunity?,international_law,"['Functional immunity covers the person but not the act'
 'Functional immunity covers the act and incidentally also the person committing the act'
 'Functional immunity covers the State and incidentally also the act'
 'Functional immunity covers both private and public acts as long as they are sanctioned by the State']",1,0.9999999984601012,9.73620029787535e-10,4.5990553715034196e-10,3.5114221079182615e-12,1.0261879615750544e-10,2.2447770515316316e-13,,,,,,,,,,,,,,1.8426252118593356e-14,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of implied authorisation?,international_law,"['Presumption of Security Council approval of armed force when a State has been forewarned'
 'Implicit authorisation on the basis of a specific number of votes by UNSC members'
 'Presumption that all unlawful attacks will be subject to armed force by a resolution of the UNSC'
 'In cases of repeated unlawful attacks the UNSC shall authorise neighbouring States to take whatever measures they deem necessary to rectify the situation']",0,0.320821141859218,0.6791783883004581,1.6180548033584407e-07,2.6153420057439955e-09,3.0229243452781966e-07,,2.0368304020729626e-09,1.0902367506644832e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which philosopher called the idea of natural rights 'nonsense on stilts'?,international_law,['Alan Gerwith' 'Emmanuel Kant' 'John Locke' 'Jeremy Bentham'],3,1.9810087980477677e-13,5.6756852326292505e-14,2.5436656473753667e-13,9.357622968834451e-14,0.9999999999993959,,,,,,,,,,,,,,2.3195228302421507e-16,,,,,,,,,,7.144633303161911e-16,,,2.6283637069420796e-16,,,,,,,,,,,
Who has the authority to conclude a treaty on the part of States?,international_law,"['Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority'
 'Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs'
 ""Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority""
 'Treaties are concluded only by members of the diplomatic missions of States']",0,4.277787867335392e-11,0.9999999996240904,2.4616969508753093e-10,2.4133627709115965e-12,4.508755240573017e-12,,,7.991959889901955e-11,,,,,,,,,,,,,,1.2015425727183325e-13,,,,,,,,,,,,,,,,,,,,,
Who is a 'persistent objector'?,international_law,"['The State which persistently objects to the rule in question after its formation'
 'The State which denies to be bound by the rule in question for a short period'
 'The State which persistently and publicly objects to the formation of a rule of customary law from its outset'
 'The State which accepts the formation of a rule of customary law but it retains objections as to its content']",2,4.8473686999331474e-11,9.736200300281141e-10,0.9999999987074653,6.560200159577435e-12,1.317651425286942e-10,,1.8609855400027127e-13,,1.317651425286942e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6423139748071146e-13,,,,
What is the meaning of collective security?,international_law,"['The right to self-defence by more than one nation acting in concert'
 ""The right of one's allies to defend the victim State""
 'The authorisation of armed force by the UN Security Council'
 'The authorisation of peacekeeping missions by the UN General Assembly']",2,4.328839808573361e-06,0.9046463727509501,0.09534904805205349,1.130945312232026e-09,2.4421643052997953e-07,,3.947387005823535e-09,,,,,,,,,,,,,,,,,,1.0624247996384303e-09,,,,,,,,,,,,,,,,,,
The European Convention on Human Rights is predominantly concerned with which of the following?,international_law,"['Economic and social rights' 'Environmental rights'
 'Civil and political rights' 'Economic freedom']",2,4.111452592539413e-15,8.703945206708162e-15,0.9999999999979379,9.357622968820554e-14,7.287724095804411e-14,,,,1.8795288165351424e-12,,,9.173890754159962e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4937220533301474e-15,,,
Is the jurisdiction of international tribunals regulated by the same principles applicable to national courts?,international_law,"['The jurisdictional principles applicable to national courts are also common to international tribunals'
 'The jurisdiction of all international tribunals is regulated by the UN Security Council'
 'International tribunals share some, but not all, of the jurisdictional principles applicable to national courts'
 'The jurisdiction of international tribunals is dictated solely by their founding treaties']",3,1.2158832665647462e-08,2.6255793988441254e-06,0.9046481442447496,2.370594972839562e-10,0.09534921700117048,,6.053526331980076e-10,,1.7343643320317634e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective rights?,international_law,"['Collective rights belong to distinct groups of people'
 'Collective rights are those that belong to particular groups as opposed to the individual members of the group'
 'Minority rights are collective rights'
 ""Collective rights entail a right of the group as such as well as individual rights of the group's members""]",1,0.9967528389035655,0.0013224721505652333,5.027101850377866e-07,5.194492471236616e-10,0.0019241856541958,,,,,,,,,,,,,,,,,,,,,,,,,,6.203936544789168e-11,,,,,,,,,,,,
Are States under any obligation when they conduct negotiations?,international_law,"['States are under no obligation as to how they conduct their negotiation'
 'States are under an obligation so to conduct themselves that the negotiations are meaningful'
 'States are under an obligation to find a solution of the dispute whenever they conduct negotiations'
 'States are under an obligation to inform the UN Secretary-General about the progress of their negotiations']",1,0.9999999999975883,1.658678358910027e-12,6.914400106922678e-13,1.6261110446136972e-14,3.9008376101708276e-14,5.982128223751973e-15,,,,,,,,,,,2.9783262686126797e-16,,,,,,,,,4.030726291337408e-17,,,,,,,,,,,,,,,,,
What is the major difference between naturalism and positivism?,international_law,"['On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires'
 'While naturalism serves only the theory human rights law, positivism has a wider and more general scope'
 'Naturalism concerns the underpinning values of the international society, while positivism the international rules as such'
 'Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory']",0,1.6050290798003796e-09,0.00012339463077540183,0.9998766026040496,2.0204334359770126e-11,1.1031192786945406e-09,,3.5109868564885796e-12,,3.331131581929046e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is an 'internationally wrongful conduct'?,international_law,"['An international wrongful conduct is an action or omission which is in breach of a rule of international criminal law'
 'An international wrongful conduct is every breach of an international obligation of the State, whether attributable to it or not'
 'An internationally wrongful conduct consists of an action or omission attributable to the State, which constitutes a breach of an international obligation of the State'
 'An internationally wrongful conduct is the conduct that cannot be excused on grounds of necessity, force majeure etc.']",2,1.317651426405289e-10,7.052879847877802e-11,0.9999999995420378,6.101936674807056e-13,2.172439934082765e-10,,3.900837608391843e-14,,3.7751345425478714e-11,,,,,,,,,,2.3659776080497556e-14,,,,,,,,,,,,,,,,,,,,,,,,
What is the effects doctrine?,international_law,"['It posits that jurisdiction exists only when it is effective'
 'The effects doctrine serves to confer jurisdiction on the State which has an effective link with the harmful conduct'
 'The effects doctrine serves to confer jurisdiction on the State sharing the nationality of the offender'
 'The effects doctrine serves to confer jurisdiction to the State on whose territory the conduct produces effects']",3,2.9023117620604513e-06,1.1861072953628076e-08,2.789456993030084e-10,2.9400660401404065e-11,0.9999970855161596,,2.000740049214846e-12,,,,,,,,,,,,4.1937789704467954e-13,,,,,,,,,,,,,,2.3895432280783166e-13,,,,,,,,,,
Which persons are considered as 'de facto' organs of the State under the law of international responsibility?,international_law,"[""'De facto organs' are the individuals that are empowered by law to exercise elements of governmental authority""
 ""'De facto organs' are the persons, which are, in fact, acting on the instructions of, or under the direction or control of, that State in carrying out the conduct attributable to the State""
 ""'De facto organs' are the de jure organs of the State that act without due authority or ultra vires""
 ""'De facto organs' are the organs, whose acts or omission cannot be attributed to the State""]",1,0.9999999999410477,5.492788350629722e-11,3.5114221131687707e-12,2.0879679115224062e-14,4.752193062490005e-13,1.6261110445216157e-14,,,,,,,,,,,3.3748858038156413e-16,,,,,,,,,3.8242466278708873e-16,,,,,,,,,,,,,,,,,
What is the fundamental prerequisite for the incorporation of custom under English law?,international_law,"['Custom is incorporated if it is not in conflict with existing legislation'
 'Custom is superior to English law and is always incorporated'
 'Custom must first be recognised by Parliament before the courts can bring it into the domestic sphere'
 'Custom is incorporated with the passing of implementing legislation']",0,3.2241740227580596e-08,0.9999967645778157,2.2603227537509574e-06,1.2378140814598812e-10,9.42242708253912e-07,,3.129684120377399e-11,4.5990372423940053e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Was the use of armed force permitted prior to the United Nations Charter?,international_law,"['Armed force was prohibited'
 'Armed force was permitted with no restrictions'
 'Armed force was permitted subject to few restrictions'
 'Armed force was not regulated under international law prior to 1945']",2,1.1478005688451303e-05,1.6372495794889342e-07,0.999922306596839,1.1627327194962764e-10,6.605136224997087e-05,,6.223659764233473e-11,,1.3175487824273896e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the protective principle of jurisdiction?,international_law,"['It is jurisdiction based on the harm to national interests by conduct committed abroad'
 ""It is jurisdiction in order to protect one's nationals abroad""
 'It is jurisdiction in order to protect international human rights'
 'It is jurisdiction based on the nationality of the offender']",0,7.734422803127117e-08,0.9999999222747813,6.224145343936934e-11,1.7832474973929495e-11,1.493094849163066e-10,,,1.493094849163066e-10,,,8.340359531770553e-13,,,,,,,,,,,,,,,,,,,,1.4637786836957122e-12,,,,,,,,,,,,
Which one of the following statements is correct?,international_law,"['The Council of Europe was established in 1950 and consists of 27 member states'
 'The Council of Europe was established in 1949 and consists of 47 member states'
 'The Council of Europe was established in 1959 and consists of 34 member states'
 'The Council of Europe was established in 1984 and consists of 19 member states']",1,0.9999999999999943,1.1779508898282537e-15,2.319522830243525e-16,3.2020024986373046e-15,7.936970663188337e-18,1.0395380116702018e-15,,,,,,,,,,,1.9039802832864157e-17,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'equitable result' in the law and practice of maritime delimitation?,international_law,"['It is the only method of delimitation that international courts and tribunals follow'
 'An equitable result is what a judge or the arbitrator would decide ex aequo et bono, i.e. upon their discretion and in light of what they consider as fair and equitable in a delimitation case'
 ""It is the end result that all delimitations of areas of continental shelf and EEZ should achieve, after, however, drawing a provisional 'equidistance line' and adjusting the zone in the light of the relevant circumstances and the proportionality test.""
 'Achieving an equitable result is an old method of delimitation which is currently not applicable']",2,9.736200298160629e-10,7.991959880765183e-11,0.999999998479985,2.734698287421114e-12,2.1724399317657715e-10,,3.266131337806184e-13,,2.4616969480609855e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is a derogation?,international_law,"['Derogations are exemptions from particular human rights obligations contained in a treaty'
 'A derogation refers to the ability of rights holders to bring a claim against the State for breach of an obligation'
 'A State may suspend particular rights by means of a derogation in circumstances that threaten its existence'
 'Derogations are enforcement clauses in human rights treaties']",2,1.0466407756313768e-08,0.9999038826792993,9.610242870101038e-05,7.432974731717045e-12,4.363047876075763e-09,,5.108603842633329e-12,3.774776038043035e-11,,,,,,,,,,,,,,,,,1.2254903544758471e-11,,,,,,,,,,,,,,,,,,
What is an act jure gestionis?,international_law,"['Acts jure gestionis are those undertaken by States in a private capacity'
 'All purchases by the State are acts jure gestionis'
 'All acts undertaken by State corporations are jure gestionis'
 'All conduct undertaken by government officials in their free time is considered jus gestionis.']",0,2.0206839087252075e-11,0.9999999998610238,2.289734845308997e-11,3.0988191382663467e-12,2.1297851706427393e-12,,,9.056076988341763e-11,,,8.258073284342111e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of cultural relativism?,international_law,"['Culture relativism posits that human rights apply equally to all without restrictions'
 'Culture relativism posits that human rights have a cultural origin'
 'Cultural relativism posits that the application of human rights is relative to the laws in each nation'
 'Cultural relativism posits that local culture should validate the existence and practice of all human rights']",3,0.006692346051618367,1.981231340354966e-06,7.434515756194532e-05,8.016956911924372e-10,0.9932312939810384,,3.2023622047732114e-08,,,,,,,,,,,,7.531234047074539e-10,,,,,,,,,,,,,,,,,,,,,,,,
Is recognition of governments prevalent in contemporary international practice?,international_law,"['Recognition of governments is very prevalent in contemporary practice'
 'Recognition of governments has largely been replaced by functional Recognition'
 'Government recognition is common in respect of rebel entities'
 'Only democratic governments are recognised in contemporary practice']",1,0.9999997612272474,2.3823698437647116e-07,4.058652426760648e-10,2.594609690242216e-11,1.0261880390941156e-10,1.1399919373882191e-12,,,,,,,,,,,,,,,,,,,,,,,,,1.9810089446166378e-13,,,,,,,,,,,,
What is the legal nature of the Universal Declaration of Human Rights (UDHR)?,international_law,"['The UDHR is a multilateral treaty'
 'The UDHR is a UN General Assembly resolution'
 'The UDHR is a UN Security Council resolution'
 'The UDHR is a declaration adopted by several States at an international conference']",1,0.9999999999712763,2.4133627717542726e-12,2.2447770549475475e-13,1.361526108045118e-13,2.594609498191597e-11,3.2020024985326287e-15,,,,,,,,,,,,,,2.0469717130972478e-16,,,,,,,,,,,,,,,,,,,,,,,
Under what circumstances do human rights violations taking place outside the territory of ECHR member States fall within the remit of the ECHR?,international_law,"['The ECHR applies outside Europe where human rights are violated by ECHR member States abroad'
 'The ECHR applies extraterritorially in circumstances where a member State exercises effective control'
 'The ECHR applies extraterritorially where a member State has contributed forces to a UN peacekeeping mission'
 'The ECHR applies extraterritorially where human rights violations are taking place in former colonies of member States']",1,0.9999999994080997,5.90530399542868e-10,1.1399918523657314e-12,1.0603575985211659e-13,1.2015425724619143e-13,3.6283441758871334e-15,2.7978786003968153e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the principle 'pacta sunt servanda' mean?,international_law,"['Parties to a treaty should be cognizant of its terms and not misinterpret them'
 'Parties to a treaty should safeguard the object and purpose of the treaty'
 'Parties to a treaty should adhere to its terms in good faith'
 'Parties to a treaty should not violate the most important provisions of the treaty']",2,1.081594155710976e-11,6.101936677506069e-13,0.99999999998389,4.193795658311328e-13,1.139991853025812e-12,,1.84262521469359e-14,,3.09881913867142e-12,,,,,,,,,,6.7786393426988684e-15,,,,,,,,,,,,,,,,,,,,,,,,
What was the consequence from the absence of implementing legislation in the Tin Council case?,international_law,"['The International Tin Council was headquartered in London and hence the absence of implementing legislation was inconsequential'
 'The constitutive treaties of international organisations are subject to the doctrine of incorporation'
 ""The absence of implementing legislation with respect to the Council's founding treaty meant that individuals did not derive rights and duties from it in the English legal system""
 'The absence of implementing legislation in England in respect of an international organisation is inconsequential under international law']",2,4.0586521221343174e-10,1.2256067430989664e-11,0.999999998934858,1.2917800034042315e-12,5.905303992627375e-10,,1.9810087959299748e-13,,5.4927883450792706e-11,7.287724088024309e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is true?,international_law,"['The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law'
 'The Human Rights Act 1998 allows a court to invalidate primary legislation'
 'The Human Rights Act 1998 allows any person with a reasonable case to bring a case before a court'
 'The Human Rights Act 1998 incorporates the EU charter of fundamental rights into UK law']",0,3.0988191386512854e-12,0.9999999999777637,8.4234637542769e-12,5.384940217631455e-13,2.734698291529623e-12,,,7.433680672182972e-12,,,,,,,,,,,,,,7.215824019258662e-15,,,,,,,,,,,,,,,,,,,,,
What forms may the obligation of reparation take?,international_law,"['Reparation may take only the form of pecuniary compensation, including the interest'
 'Reparation denotes only the physical restitution of the wrongful act'
 'Reparation includes restitution, compensation, and satisfaction, either alone or alongside other forms of reparation'
 'The form of reparation is a matter for the responsible State to decide']",2,1.1399918530237233e-12,4.752193062685146e-13,0.9999999999825454,4.752193062685146e-13,3.0988191386657417e-12,,,,1.2256067443877668e-11,,,4.376618502791641e-15,,,,,,,4.9593584861019965e-15,,,,,,,,,,,,,,,,,,,,,,,,
What is jus cogens?,international_law,"['They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States'
 'They are rules of international law that are laid down in multilateral treaties with a wide participation'
 'They are the decisions of the UN Security Council'
 'They are the rules of international law on which the ICJ founds its decisions']",0,3.701011678587458e-13,0.9999999999986097,5.675685232624726e-14,5.675685232624726e-14,1.8426252147209664e-14,,,8.87826547844715e-13,,,2.628363706939984e-16,,,,,,,,,,,2.9783262686160324e-16,,,,,,,,,,,,,,,,,,,,,
What is 'unilateral acts'?,international_law,"['They are acts that States perform as practice in the context of custom'
 'They are acts creating unilateral legal obligations to the acting State'
 'Unilateral acts are simply political acts of State devoid of any legal effect'
 'Unilateral acts are those that State perform in order to be bound by a treaty']",1,0.9999998711030402,1.1253518198962601e-07,8.152021241133779e-09,5.492788705817833e-11,8.152021241133779e-09,2.4133629277492004e-12,3.9397066787780365e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is extra-territorial abduction a ground for refusal of otherwise lawful jurisdiction by English courts?,international_law,"['Such abduction constitutes abuse of process and leads to a stay of proceedings'
 ""Such abduction gives rise to the abductor's liability but does not lead to a stay of proceedings""
 'The stay of proceedings under such circumstances would prevent the administration of justice in respect of international criminals'
 'The courts may, but will seldom, stay proceedings in cases of extra-territorial abduction']",0,0.0009888247262574148,0.956960094786577,5.188873350163958e-06,1.3556389211231483e-09,0.042045889424816935,,3.0248392957365276e-10,5.308758292538902e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of 'secondary rules' in the law of international responsibility?,international_law,"['Secondary rules are the rules of interpretation of international law, including the law of international responsibility'
 'Secondary rules are the rules that govern the legal consequences arising from a breach of the primary rules, ie of the international obligations of the States'
 'Secondary rules are the rules that govern exclusively the concept of attribution in the law of international responsibility'
 'Secondary rules are the rules that govern exclusively the law of countermeasures']",1,0.9999999999997536,2.2447770550203736e-13,1.4068617124457702e-16,1.2664165549090787e-14,1.7139084315415545e-15,6.778639342807317e-15,,,,,,,,,,,2.978326268619432e-16,5.175555005800484e-17,,,,,,,,,,,,,,,,,,,,,,,,,
What does the doctrine of incorporation suggest in respect of treaties?,international_law,"['The doctrine of incorporation requires that all treaties undergo legislative transformation before they become domestic law'
 'The doctrine of incorporation does not require any further action at the domestic level'
 'The doctrine of incorporation treats treaties as inferior to domestic law'
 'The doctrine of incorporation suggests that ratified treaties automatically pass into the sphere of domestic law']",3,0.0006263292614666187,7.884324941135078e-06,5.312411045279882e-08,3.810330671073419e-10,0.999365731527408,,1.2493593284554795e-09,,,,,,,,,,,,1.3168150441833912e-10,,,,,,,,,,,,,,,,,,,,,,,,
Are the provisional measures issued by the ICJ binding upon the parties?,international_law,"['No, according to the literal interpretation of the relevant provision of the State, the provisional measures are not binding'
 'No, unless the parties have agreed so beforehand'
 'It depends upon the Court whether the provisional measures will be binding'
 'Yes, it has been consistently held by the Court since the La Grand case (2001) that they are binding']",3,8.42346375389957e-12,2.2897348454908615e-11,3.3315445419413375e-11,2.734698291407122e-12,0.9999999999325764,,2.4937220531669036e-15,,,,,,,,,,,,,,,,,,,,,,5.00877463750512e-14,,,,,,,,,,,,,,
When are countermeasures illegal?,international_law,"['Countermeasures are illegal when inter alia are disproportionate or in violation of a peremptory norm of international law (e.g. the use of force, human rights)'
 'Countermeasures are illegal when they are taken in the course of an armed conflict'
 'Countermeasures are illegal when they violate bilateral treaties'
 'Countermeasures are illegal when the responsible State does not consent to them']",0,5.789356328387961e-12,0.9999999999444177,1.2256067443374005e-11,3.0988191385383962e-12,8.423463753970035e-12,,,2.5946094981228832e-11,,,,,,,,,,,,,,6.846183213388298e-14,,,,,,,,,,,,,,,,,,,,,
What is the difference between political and legal means of dispute settlement?,international_law,"['The outcome arising from legal methods, ie arbitration or adjudication by the ICJ, is final and binding upon the parties, whereas this is not the case with diplomatic methods'
 'The political methods are pursued upon the consent of then parties to the dispute, whereas the legal methods not'
 'The political means lead to a final settlement of the dispute, whereas this is not the case with the legal methods'
 'The legal methods of dispute settlement are pursued only in respect of significant disputes, whereas the political means are employed in all disputes']",0,8.939696110266055e-06,0.9999910264382489,1.5229828032072885e-08,1.4026186705857994e-10,1.5229828032072885e-08,,,2.9989309508672658e-09,,,7.507676732851619e-11,,,,,,,,,,,,,,,,,,,,1.9171524159554212e-10,,,,,,,,,,,,
What is the rationale for the exhaustion of local remedies in international human rights?,international_law,"['The local remedies rule aims to free up international tribunals to deal with the most serious cases'
 'The local remedies rule aims to dissuade applicants abusing the system from filing unnecessary petitions'
 'The local remedies rule aims on the one hand to restrict the volume of petitions to international tribunals while at the same time building up the capacity of local courts'
 'The local remedies rule helps demonstrate that national courts are always better placed than international ones to deal with cases']",2,4.944450397757276e-09,1.3440409667940701e-08,0.9999999789483571,5.789356206746811e-12,2.646573583144849e-09,,4.193795570014747e-13,,1.3887943572339998e-11,1.1287447649860955e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following cases best illustrates the 'living instrument principle' used by the European Court of Human Rights?,international_law,"['Golder v UK (1978)' 'A v UK (2009)' 'Goodwin v UK (2002)'
 'Osman v UK (1998)']",2,1.553495672711015e-06,1.3709551193460433e-06,0.9999970530965052,1.0261839675851412e-10,2.2159403492753472e-08,,2.7619366799996792e-11,,1.3176462965767905e-10,3.1296842764101626e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is the recognition of foreign judgments subject to the same rules as those applicable to the incorporation and transformation of treaties?,international_law,"['Foreign judgments are enforced on the basis of the doctrine of incorporation'
 'Foreign judgments are enforced on the basis of the doctrine of transformation'
 'The recognition of foreign judgments is dependent on the existence of appropriate bilateral or multilateral treaties'
 'The courts exercise discretion as to the enforcement of foreign judgments on the basis of the rule of comity']",2,8.732744975131754e-08,1.270608167094225e-07,0.0035936036305467215,2.6110434652633887e-10,0.9964061809762965,,5.527579059339009e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9102802070456932e-10,,
