question,subject,choices,answer,b,a,c,d,bc,bd,ba,ab,bcd,cd,ac,3,e,4,option,cb,ad,f,abc,cc,2,band,db,1,bb,dc,abcd,'},da,aa,ca,acd,none,g,dd,bac,Ð°
How are the members of the arbitral tribunal appointed?,international_law,"['All the members of the arbitral tribunal are appointed by the parties'
 'All the members of the arbitral tribunal are appointed by the parties'
 'All the members of the arbitral tribunal are appointed by an impartial third party, such as the president of the ICJ'
 'All the members of the arbitral tribunal are appointed by the parties from a restricted list of arbitrators']",0,0.0613343365760303,0.188946371901701,0.1667240125752142,0.5819239831316784,,2.6419314260138232e-05,,,,3.3923071001478385e-05,3.611092111055086e-05,,0.0001520326565396,,,,7.644682059093516e-05,,,,,,,,,,,,,,,,,,,,
Are the peremptory norms of international law the only norms that set out obligations erga omnes?,international_law,"['Yes'
 'No, acts of international organizations also set out such obligations'
 'No, decisions of international courts also set out such obligations'
 'No, even though all peremptory norms set out obligations erga omnes, the latter may also spring from treaties regulating objective regimes or unilateral acts']",3,0.2514424042499345,0.0561043839283941,0.008603885937194,0.6834913183766504,,9.558058466808352e-05,,1.2935425497976124e-05,1.0074119507185622e-05,,,,2.738429599410747e-05,,,,8.890379261358362e-06,,,,,,2.572516537281529e-05,,,,,,,,,,,,,,
What is the constitutive theory of recognition?,international_law,"['Recognition is determinative of statehood'
 'Recognition requires constitutional approval by third nations'
 'Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees'
 'Countries wishing to be recognised must possess a valid constitution']",0,0.0942230805667988,0.2561248571936978,0.4222785000102823,0.2260293931483601,7.582442324773398e-05,8.592032790785407e-05,,,6.286065474160635e-05,0.0002061121518677,8.592032790785407e-05,,,,,,9.73604866557793e-05,,,,,,,,,,,,,,,,,,,,
The enforcement mechanism of the International Covenant on Civil and Political Rights (and Protocol) consists of,international_law,"['A reporting mechanism only' 'Judgment of an international tribunal'
 'Right to individual petition only'
 'A reporting mechanism and right to individual petition']",3,0.0039543371290871,0.0227556390248736,0.0050774693798999,0.9675945082867288,,6.00434663870824e-05,,,,1.3397508270816556e-05,,,9.899494019895091e-05,,,,0.0001632150635976,,,,,,,,,,1.949325951131444e-05,,,,,,,,1.616047974312671e-05,,
Is piracy under international (jure gentium) law subject to universal jurisdiction?,international_law,"['Piracy jure gentium is subject to flag State jurisdiction'
 'Piracy jure gentium is subject to universal jurisdiction'
 'Piracy jure gentium is subject to port State jurisdiction'
 'Piracy jure gentium is subject to nationality-based jurisdiction']",1,0.9704504906392184,0.0177744194547527,0.0057705091318477,0.0057705091318477,1.8366265650928664e-05,1.113970322171524e-05,1.4303662071040688e-05,4.138901855556679e-05,,,,,2.08117055109642e-05,,,,,,,,5.262023209399604e-06,,,,,,,,,,,,,,,,
What are self-executing treaties?,international_law,"['Self-executing treaties are adopted only by the executive'
 'Self-executive treaties are clear and precise enough so as not to require any further implementing measures'
 'Self-executing rely on implementing measures stipulated in the treaty Itself'
 'Self-executing treaties follow the doctrine of transformation']",1,0.6740858057963257,0.0018933405609001,0.3184228700277201,0.0045418878946092,0.000789261770156,,,,3.257670829631376e-05,,,,2.3833628929218872e-05,,,9.333383192809042e-06,,,,,,,,,,,,,,,,,,,,,
"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",international_law,"['The ICJ was not hostile to the accumulation theory'
 'The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force'
 'In the Nicaragua case the ICJ dismissed the accumulation theory'
 'The ICJ has never addressed this issue']",0,0.1232895925098094,0.430322909646462,0.3797586348741935,0.0659921634083247,8.755706926082677e-05,,,3.649921672919929e-05,,3.649921672919929e-05,0.0001273947840636,,3.649921672919929e-05,,,,2.508552034224677e-05,,,,,,,,,,,,,,,,,,,,
Is there any priority among international courts and tribunals?,international_law,"['According to the lis pendens rule, the court or the tribunal that seizes first the dispute has exclusive jurisdiction to adjudicate it'
 'The International Court of Justice has by definition priority over any other court or tribunal'
 'Since there is no lis pendens rule in international law and all depends on the consent of the parties to a dispute, there is no priority or hierarchy among international courts and tribunals'
 'Regional or special courts have priority over all others in line of the principle of lex specialis']",2,0.0021453990991802,0.0084852180385427,0.9807578231596796,0.0084852180385427,6.828331797717055e-06,,,,4.693039236598417e-06,8.236540367489457e-06,4.408702363156736e-06,1.6380316448553382e-05,4.693039236598417e-06,,,,,,,,,,,,,,,,,,,,,,,,
Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?,international_law,"[""When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States""
 ""Third States may never have access to fisheries within another State's EEZ""
 'The coastal State is to give access to fisheries within its EEZ only to neighbouring States'
 'Third States are free to fish within another EEZ, except from certain designated areas']",0,0.0666281142596086,0.7163198203604267,0.1410517358091389,0.0754995446040353,,2.235124230171715e-05,,2.53272756383126e-05,,2.8699563209951035e-05,3.685096860941356e-05,,4.7317580324049125e-05,,,,5.361784294706156e-05,,,,,,,,,,,,,,,,,,,,
What is the purpose of sovereign immunity?,international_law,"['The purpose of immunity is to protect foreign Heads of State from embarrassment'
 'Immunity protects a State from being invaded by another'
 'Immunity shields States from being sued in the courts of other States'
 'The purpose of immunity is to offer impunity in respect of all crimes']",2,0.0035211143720674,0.0021356638230136,0.9763074078252352,0.0178816942591956,6.79734656246022e-06,,,,6.385516153245406e-06,3.674610834314384e-05,,5.293778825651742e-06,1.269911523658212e-05,,,,,,,,,,,,,4.388696791672138e-06,,,,,,,,,,,
What is passive personality jurisdiction?,international_law,"['It is jurisdiction based on the nationality of the offender'
 'It is jurisdiction based on where the offence was committed'
 'It is jurisdiction based on the nationality of the victims'
 'It is jurisdiction based on the country where the legal person was Registered']",2,0.0064271961572864,0.8417963986079822,0.1290936549514165,0.0224331134953387,,,,2.7684654814603144e-06,,3.137082377685662e-06,6.300998392808673e-05,,5.2237111412462936e-05,,,,2.467506424305344e-05,5.172174444028884e-06,,,,,,,,,,,,,,,,,,,
Which of the following types of rights have been described as first generation rights?,international_law,"['Social and economic rights' 'Civil and political rights'
 'Cultural rights' ""People's rights""]",1,0.9991889961285252,0.0006270428434803,0.000108819380089,4.5362666564087e-05,,,,2.8999382520751075e-06,,,,,,,,,,,,,7.405251749532426e-06,,,2.121640148198355e-06,,,,,,,,,,,,,
What is the problem of 'fragmentation' of international law?,international_law,"['Fragmentation of international law concerns the possibility of different legal regimes apply the same rules of international law'
 'It is possible for several legal regimes (ie foreign investment law and human rights law) to exist and develop in isolation of each other, ultimately culminating in the production of divergent rules of international law'
 'Fragmentation is when States assume different interpretations of the same rule of international law'
 'Fragmentation is when States disagree to abide by a certain rule of international law']",1,0.9969689017366384,0.0013227590355124,0.0013227590355124,0.0002951474354316,2.745298794851456e-05,,2.3988153530958137e-06,9.487498765613757e-06,2.253478477975728e-06,,,,3.715357899703532e-06,,,,,,,,1.648680073981933e-06,,,,,,,,,,,,,,,,
What is functional (ratione materiae) immunity?,international_law,"['Functional immunity covers the person but not the act'
 'Functional immunity covers the act and incidentally also the person committing the act'
 'Functional immunity covers the State and incidentally also the act'
 'Functional immunity covers both private and public acts as long as they are sanctioned by the State']",1,0.2988522807567043,0.4927240827121801,0.1411678216398343,0.0666829572659669,0.0001002537953596,1.854508741165177e-05,,4.179199961406703e-05,,,4.179199961406703e-05,,1.854508741165177e-05,,,,3.254764202555525e-05,,,,,,,,,,,,,,,,,,,,
What is the meaning of implied authorisation?,international_law,"['Presumption of Security Council approval of armed force when a State has been forewarned'
 'Implicit authorisation on the basis of a specific number of votes by UNSC members'
 'Presumption that all unlawful attacks will be subject to armed force by a resolution of the UNSC'
 'In cases of repeated unlawful attacks the UNSC shall authorise neighbouring States to take whatever measures they deem necessary to rectify the situation']",0,0.0517269798446656,0.7140688455632398,0.1095060171904807,0.1240865739809025,1.2695337222823995e-05,,,2.0931072517981014e-05,,1.3514116127789788e-05,3.67351762978563e-05,,0.0002113963438271,,,,6.863034461403002e-05,,,,,,,,,,,,,,,,,,,,
Which philosopher called the idea of natural rights 'nonsense on stilts'?,international_law,['Alan Gerwith' 'Emmanuel Kant' 'John Locke' 'Jeremy Bentham'],3,0.0062887341548207,0.028191514478584,0.031936827251606,0.9333309722117868,,8.343769412547178e-06,,,,1.2140112860810098e-05,,,2.26807167749794e-05,,,,2.1306561612388372e-05,,,,,,,,,5.734583261947724e-06,,,,,,,,,,,
Who has the authority to conclude a treaty on the part of States?,international_law,"['Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority'
 'Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs'
 ""Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority""
 'Treaties are concluded only by members of the diplomatic missions of States']",0,0.0039843747123663,0.9749651009453808,0.0157585076802737,0.0045148880417565,,,,3.238305174845606e-05,,,0.0002886269984691,,6.855492108945058e-05,,,,6.855492108945058e-05,,,,,,,5.015585171024578e-05,,,,,,,,,,,,,
Who is a 'persistent objector'?,international_law,"['The State which persistently objects to the rule in question after its formation'
 'The State which denies to be bound by the rule in question for a short period'
 'The State which persistently and publicly objects to the formation of a rule of customary law from its outset'
 'The State which accepts the formation of a rule of customary law but it retains objections as to its content']",2,0.0060244652686612,0.0831882868185517,0.8941097159150067,0.0163761944659843,9.641565825792388e-06,,,,,9.057412882725364e-06,8.593434079212882e-05,,1.4933149277262674e-05,,,,,,1.2380015576985357e-05,,,,,,,,,,,,,,,,,,
What is the meaning of collective security?,international_law,"['The right to self-defence by more than one nation acting in concert'
 ""The right of one's allies to defend the victim State""
 'The authorisation of armed force by the UN Security Council'
 'The authorisation of peacekeeping missions by the UN General Assembly']",2,0.0635770665571995,0.7745272524550364,0.1345926509577765,0.0265028643702691,4.241524532478182e-05,,,7.444107383337186e-05,,,0.0002023518182922,,0.0001227325818428,,,,4.515079362187189e-05,,2.5726146728713107e-05,,,,,,,,,,,,,,,,,,
The European Convention on Human Rights is predominantly concerned with which of the following?,international_law,"['Economic and social rights' 'Environmental rights'
 'Civil and political rights' 'Economic freedom']",2,0.0013198614375593,0.0031703838216554,0.9947913609314928,0.0006234583973557,,,,,,,4.760161335527961e-06,1.882680329549317e-05,3.707217375655401e-06,,,,,,,,,,,,,,,,,,,,,,,,
Is the jurisdiction of international tribunals regulated by the same principles applicable to national courts?,international_law,"['The jurisdictional principles applicable to national courts are also common to international tribunals'
 'The jurisdiction of all international tribunals is regulated by the UN Security Council'
 'International tribunals share some, but not all, of the jurisdictional principles applicable to national courts'
 'The jurisdiction of international tribunals is dictated solely by their founding treaties']",3,0.0283890953650342,0.2376989852721003,0.5702102231702907,0.1633679641570078,,1.3856579111939532e-05,,,1.013768984203054e-05,6.210087915825414e-05,1.7792199768074812e-05,,2.28456367209938e-05,,,,1.3017051423664347e-05,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective rights?,international_law,"['Collective rights belong to distinct groups of people'
 'Collective rights are those that belong to particular groups as opposed to the individual members of the group'
 'Minority rights are collective rights'
 ""Collective rights entail a right of the group as such as well as individual rights of the group's members""]",1,0.5283800549720509,0.3204787033211955,0.0298091628923167,0.1178975262851498,0.0001772517617721,0.0009001587213576,,0.0005459738631111,,,,,0.0002275957672681,,,,0.0003311498873786,,,,,,,,,,0.0002275957672681,,,,,,,,,,
Are States under any obligation when they conduct negotiations?,international_law,"['States are under no obligation as to how they conduct their negotiation'
 'States are under an obligation so to conduct themselves that the negotiations are meaningful'
 'States are under an obligation to find a solution of the dispute whenever they conduct negotiations'
 'States are under an obligation to inform the UN Secretary-General about the progress of their negotiations']",1,0.901314987553029,0.050848714726604,0.0396010188472537,0.0060730129323459,0.0013550723481778,,5.593048881394572e-05,0.0001833890126,,,5.593048881394572e-05,,,,,,,,9.816106485898132e-05,,,,,,,,,,,,,,,,,4.935848313834946e-05,
What is the major difference between naturalism and positivism?,international_law,"['On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires'
 'While naturalism serves only the theory human rights law, positivism has a wider and more general scope'
 'Naturalism concerns the underpinning values of the international society, while positivism the international rules as such'
 'Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory']",0,0.0598439887956599,0.2366875670924344,0.6433835126495455,0.0598439887956599,1.771649750853662e-05,,,9.482957764772444e-06,,1.3797622132930911e-05,2.920956628463015e-05,,1.2176358795344187e-05,,,,7.385334933037838e-06,,,,,,,,,,,,,,,,,,,,
What is an 'internationally wrongful conduct'?,international_law,"['An international wrongful conduct is an action or omission which is in breach of a rule of international criminal law'
 'An international wrongful conduct is every breach of an international obligation of the State, whether attributable to it or not'
 'An internationally wrongful conduct consists of an action or omission attributable to the State, which constitutes a breach of an international obligation of the State'
 'An internationally wrongful conduct is the conduct that cannot be excused on grounds of necessity, force majeure etc.']",2,0.01588861745561,0.0004234173131146,0.9829938459685856,0.0004234173131146,0.0001557664502556,,,,,,,8.78774178763312e-06,6.843900185637981e-06,,,1.9803481819478422e-05,,,8.255319427934397e-06,6.843900185637981e-06,,,,,,,,,,,,,,,,,
What is the effects doctrine?,international_law,"['It posits that jurisdiction exists only when it is effective'
 'The effects doctrine serves to confer jurisdiction on the State which has an effective link with the harmful conduct'
 'The effects doctrine serves to confer jurisdiction on the State sharing the nationality of the offender'
 'The effects doctrine serves to confer jurisdiction to the State on whose territory the conduct produces effects']",3,0.0442569430262101,0.6109481804231605,0.0162812194684385,0.3270169958043786,,6.653759097937648e-05,,0.0001243085853644,,,,,0.0001097019415488,,,,0.0007153468590929,,,,,,,,,,3.143013247861971e-05,,9.681162362437026e-05,,,,,,,,
Which persons are considered as 'de facto' organs of the State under the law of international responsibility?,international_law,"[""'De facto organs' are the individuals that are empowered by law to exercise elements of governmental authority""
 ""'De facto organs' are the persons, which are, in fact, acting on the instructions of, or under the direction or control of, that State in carrying out the conduct attributable to the State""
 ""'De facto organs' are the de jure organs of the State that act without due authority or ultra vires""
 ""'De facto organs' are the organs, whose acts or omission cannot be attributed to the State""]",1,0.9859440292181302,0.0075277742535965,0.0031380431790381,0.002156743433336,0.0001216751964281,,,0.0007001920770914,,,,,2.3959266759472837e-05,,,2.2507648169281475e-05,,,2.7149406065112078e-05,,,,2.5504506705193688e-05,,,,,,,,,,,,,,
What is the fundamental prerequisite for the incorporation of custom under English law?,international_law,"['Custom is incorporated if it is not in conflict with existing legislation'
 'Custom is superior to English law and is always incorporated'
 'Custom must first be recognised by Parliament before the courts can bring it into the domestic sphere'
 'Custom is incorporated with the passing of implementing legislation']",0,0.0196970831518245,0.7391275702961395,0.1868807216912997,0.0535422232052515,1.3140845592919276e-05,,,1.0894143634042666e-05,,3.802429751065857e-05,0.0001503890139898,,0.0001503890139898,,,,8.049743846174948e-05,,,,,,,,,,,,,,,,,,,,
Was the use of armed force permitted prior to the United Nations Charter?,international_law,"['Armed force was prohibited'
 'Armed force was permitted with no restrictions'
 'Armed force was permitted subject to few restrictions'
 'Armed force was not regulated under international law prior to 1945']",2,0.1571982733041457,0.0953455724128503,0.621731194570466,0.1224261383467414,0.0005003276455169,0.0003438698266465,,,0.0003896555621208,0.0009347351011285,0.0001624326046046,,,,,,0.0001116381876708,,,,,,,,,,,,,,,,,,,,
What is the protective principle of jurisdiction?,international_law,"['It is jurisdiction based on the harm to national interests by conduct committed abroad'
 ""It is jurisdiction in order to protect one's nationals abroad""
 'It is jurisdiction in order to protect international human rights'
 'It is jurisdiction based on the nationality of the offender']",0,0.3086659593460289,0.3497643543473406,0.2403892908461737,0.1002091652912203,0.0001506584584339,,,0.0001035459432408,,,6.280378926441557e-05,,7.116601665170745e-05,,,,4.316437102888038e-05,,6.280378926441557e-05,,,,,,,,,,,,,,,,,,
Which one of the following statements is correct?,international_law,"['The Council of Europe was established in 1950 and consists of 27 member states'
 'The Council of Europe was established in 1949 and consists of 47 member states'
 'The Council of Europe was established in 1959 and consists of 34 member states'
 'The Council of Europe was established in 1984 and consists of 19 member states']",1,0.9283125343431816,0.0672467334376158,0.0026074394399764,0.0015814919636896,7.796102749144863e-06,3.682618180428307e-06,3.4939708482075075e-05,6.948590743458491e-05,,,,,1.1343262567487133e-05,,,,,,,,5.358177835840089e-06,,,,,,,,,,,,,,,,
What is the 'equitable result' in the law and practice of maritime delimitation?,international_law,"['It is the only method of delimitation that international courts and tribunals follow'
 'An equitable result is what a judge or the arbitrator would decide ex aequo et bono, i.e. upon their discretion and in light of what they consider as fair and equitable in a delimitation case'
 ""It is the end result that all delimitations of areas of continental shelf and EEZ should achieve, after, however, drawing a provisional 'equidistance line' and adjusting the zone in the light of the relevant circumstances and the proportionality test.""
 'Achieving an equitable result is an old method of delimitation which is currently not applicable']",2,0.0259346051624855,0.0002542539831221,0.9731955585415826,0.0003699371861753,0.0001360923502125,,,,5.617202144971802e-06,,,3.036630789791097e-05,,,,8.172980895108918e-06,,,4.109632880213971e-06,,,,,,,,,,,,,,,,,,
What is a derogation?,international_law,"['Derogations are exemptions from particular human rights obligations contained in a treaty'
 'A derogation refers to the ability of rights holders to bring a claim against the State for breach of an obligation'
 'A State may suspend particular rights by means of a derogation in circumstances that threaten its existence'
 'Derogations are enforcement clauses in human rights treaties']",2,0.0091446891819647,0.1262385402209572,0.8231785886648394,0.04098365355845,1.4635185168266707e-05,,,,,8.965137814979385e-05,6.161643103118854e-05,,2.4129341087556358e-05,,,,2.266741821473236e-05,,1.374848412376378e-05,,,,,,,,,,,,,,,,,,
What is an act jure gestionis?,international_law,"['Acts jure gestionis are those undertaken by States in a private capacity'
 'All purchases by the State are acts jure gestionis'
 'All acts undertaken by State corporations are jure gestionis'
 'All conduct undertaken by government officials in their free time is considered jus gestionis.']",0,0.0979770386600216,0.8203517008906429,0.0594260778951531,0.0218616323270795,1.75927813832537e-05,,,3.498742353104642e-05,,,3.087629289556385e-05,,6.140484060320534e-05,,,,2.122094507593089e-05,,1.0024064671423887e-05,,,,,,,,,,,,,,,,,,
What is the meaning of cultural relativism?,international_law,"['Culture relativism posits that human rights apply equally to all without restrictions'
 'Culture relativism posits that human rights have a cultural origin'
 'Cultural relativism posits that the application of human rights is relative to the laws in each nation'
 'Cultural relativism posits that local culture should validate the existence and practice of all human rights']",3,0.0039896675405381,0.0016631408687945,0.0178804494107121,0.9762393486644646,,2.861590569455516e-05,,,8.7273581479e-06,2.093584384259976e-05,,,1.4388981015460806e-05,1.4388981015460806e-05,,,,,,,,,,,,1.1206149682440454e-05,,,,,,,,,,,
Is recognition of governments prevalent in contemporary international practice?,international_law,"['Recognition of governments is very prevalent in contemporary practice'
 'Recognition of governments has largely been replaced by functional Recognition'
 'Government recognition is common in respect of rebel entities'
 'Only democratic governments are recognised in contemporary practice']",1,0.0987551351006118,0.6439643540032197,0.2369012537452407,0.0194460390876779,7.94714981872943e-05,,,7.94714981872943e-05,,,0.0003143158726161,,9.005300523383562e-05,,,,3.7539677639896006e-05,,3.7539677639896006e-05,,,,,,,,,,,,,,,,,,
What is the legal nature of the Universal Declaration of Human Rights (UDHR)?,international_law,"['The UDHR is a multilateral treaty'
 'The UDHR is a UN General Assembly resolution'
 'The UDHR is a UN Security Council resolution'
 'The UDHR is a declaration adopted by several States at an international conference']",1,0.8015294041221851,0.0580625961556195,0.0166352083505978,0.1229185170260215,,0.0002688832283613,,1.7189129703497987e-05,4.389398040412878e-05,,,,0.0001193162093112,,,,2.501003614334828e-05,1.425028904037946e-05,,,,,,,,,,,,,,,,,,,
Under what circumstances do human rights violations taking place outside the territory of ECHR member States fall within the remit of the ECHR?,international_law,"['The ECHR applies outside Europe where human rights are violated by ECHR member States abroad'
 'The ECHR applies extraterritorially in circumstances where a member State exercises effective control'
 'The ECHR applies extraterritorially where a member State has contributed forces to a UN peacekeeping mission'
 'The ECHR applies extraterritorially where human rights violations are taking place in former colonies of member States']",1,0.9835034762035892,0.0066267950860515,0.0051609532022707,0.0024378616730143,0.0011515643145412,5.385937970624978e-05,4.46509940636156e-05,0.0004236368365063,,,,,,,,4.46509940636156e-05,,,6.496681301672897e-05,,,,,,,,,,,,,,,,,,
What does the principle 'pacta sunt servanda' mean?,international_law,"['Parties to a treaty should be cognizant of its terms and not misinterpret them'
 'Parties to a treaty should safeguard the object and purpose of the treaty'
 'Parties to a treaty should adhere to its terms in good faith'
 'Parties to a treaty should not violate the most important provisions of the treaty']",2,0.0013154049349877,0.0019139028871536,0.991430648038648,0.005202527439585,,,,,,8.863128734283238e-06,6.902611598722456e-06,8.326138910383141e-06,8.863128734283238e-06,,4.45666100721923e-06,,,,,,,,,,,,,,,,,,,,,,
What was the consequence from the absence of implementing legislation in the Tin Council case?,international_law,"['The International Tin Council was headquartered in London and hence the absence of implementing legislation was inconsequential'
 'The constitutive treaties of international organisations are subject to the doctrine of incorporation'
 ""The absence of implementing legislation with respect to the Council's founding treaty meant that individuals did not derive rights and duties from it in the English legal system""
 'The absence of implementing legislation in England in respect of an international organisation is inconsequential under international law']",2,0.0073092167706135,0.0023729552590367,0.9573185342260486,0.0327576369135902,4.346219162363899e-05,,,,1.5020131511858077e-05,4.346219162363899e-05,8.039697049580254e-06,6.665142955451085e-06,,,,,,,,,,,,,,1.2452126382229343e-05,,,,,,,,,,,
Which of the following statements is true?,international_law,"['The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law'
 'The Human Rights Act 1998 allows a court to invalidate primary legislation'
 'The Human Rights Act 1998 allows any person with a reasonable case to bring a case before a court'
 'The Human Rights Act 1998 incorporates the EU charter of fundamental rights into UK law']",0,0.0572794992740094,0.6158126152814333,0.2908892995532722,0.0347417724826742,5.918675723152876e-05,,,9.75824655913861e-05,,6.70673823989486e-05,0.0004955646509542,,8.61162236309661e-05,,,,0.0001419816496527,,,,,,,,,,,,,,,,,,,,
What forms may the obligation of reparation take?,international_law,"['Reparation may take only the form of pecuniary compensation, including the interest'
 'Reparation denotes only the physical restitution of the wrongful act'
 'Reparation includes restitution, compensation, and satisfaction, either alone or alongside other forms of reparation'
 'The form of reparation is a matter for the responsible State to decide']",2,0.0003326866957996,0.005211000207251,0.991724875532382,0.0024582406586312,,,,,,5.781227906259866e-05,6.154085071954925e-05,1.656349526885445e-05,7.350006471094855e-06,,7.824041161490882e-06,,,,,,,,,,,,,,,,,,,,,,
What is jus cogens?,international_law,"['They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States'
 'They are rules of international law that are laid down in multilateral treaties with a wide participation'
 'They are the decisions of the UN Security Council'
 'They are the rules of international law on which the ICJ founds its decisions']",0,0.0003795357959138,0.9984472888521688,0.0003795357959138,0.0007090662164168,,,,,,,,,6.530270975453346e-06,,,,2.7222219478754247e-06,,,,3.2836264591650416e-06,,,2.0114650686591784e-05,,,,,,,,,,,,,
What is 'unilateral acts'?,international_law,"['They are acts that States perform as practice in the context of custom'
 'They are acts creating unilateral legal obligations to the acting State'
 'Unilateral acts are simply political acts of State devoid of any legal effect'
 'Unilateral acts are those that State perform in order to be bound by a treaty']",1,0.2180512493485105,0.4616144984932112,0.1498642859042082,0.1698184837423181,2.0957258314035492e-05,2.690965233931206e-05,,2.690965233931206e-05,,2.374768483907121e-05,,,0.0001988369307378,,,,3.049263092085757e-05,,,,,,,,,,,,,,,,,,,,
Is extra-territorial abduction a ground for refusal of otherwise lawful jurisdiction by English courts?,international_law,"['Such abduction constitutes abuse of process and leads to a stay of proceedings'
 ""Such abduction gives rise to the abductor's liability but does not lead to a stay of proceedings""
 'The stay of proceedings under such circumstances would prevent the administration of justice in respect of international criminals'
 'The courts may, but will seldom, stay proceedings in cases of extra-territorial abduction']",0,0.1278858740763369,0.4463655333357347,0.1860728488320146,0.2389222672558027,4.861313562913677e-05,2.9485357223840043e-05,,2.9485357223840043e-05,,,3.341128692631712e-05,,0.0001497389994436,,,,5.508589943688414e-05,,,,,,,,,,,,,,,,,,,,
What is the meaning of 'secondary rules' in the law of international responsibility?,international_law,"['Secondary rules are the rules of interpretation of international law, including the law of international responsibility'
 'Secondary rules are the rules that govern the legal consequences arising from a breach of the primary rules, ie of the international obligations of the States'
 'Secondary rules are the rules that govern exclusively the concept of attribution in the law of international responsibility'
 'Secondary rules are the rules that govern exclusively the law of countermeasures']",1,0.995461496181302,0.0019216823133847,0.0021775513406977,0.0002946996679793,4.5193657812179394e-05,,,1.4672232517672996e-05,,,,,,,,,,,,,5.397612699339007e-06,,,3.484960685556706e-06,3.7097213393216974e-06,,,,,,,,,,,,
What does the doctrine of incorporation suggest in respect of treaties?,international_law,"['The doctrine of incorporation requires that all treaties undergo legislative transformation before they become domestic law'
 'The doctrine of incorporation does not require any further action at the domestic level'
 'The doctrine of incorporation treats treaties as inferior to domestic law'
 'The doctrine of incorporation suggests that ratified treaties automatically pass into the sphere of domestic law']",3,0.0035787799060216,0.0031647522773843,0.0007985337335665,0.9922963029116908,,1.2125094285688078e-05,,,,,,,2.5668824804231908e-05,2.9086589118958768e-05,,,9.443032924508491e-06,,,,,,,5.380477973753557e-06,,,,,,,,,,,,,
Are the provisional measures issued by the ICJ binding upon the parties?,international_law,"['No, according to the literal interpretation of the relevant provision of the State, the provisional measures are not binding'
 'No, unless the parties have agreed so beforehand'
 'It depends upon the Court whether the provisional measures will be binding'
 'Yes, it has been consistently held by the Court since the La Grand case (2001) that they are binding']",3,0.0336247615434428,0.0806616097320999,0.0179980336062875,0.867194016917754,,5.728382305207639e-05,,,,2.541954239051945e-05,,,3.4744394986637654e-05,,,,8.334747073727936e-05,,,,,,,,,,,,1.2007341611263766e-05,,,,,,1.4483618666637614e-05,,
When are countermeasures illegal?,international_law,"['Countermeasures are illegal when inter alia are disproportionate or in violation of a peremptory norm of international law (e.g. the use of force, human rights)'
 'Countermeasures are illegal when they are taken in the course of an armed conflict'
 'Countermeasures are illegal when they violate bilateral treaties'
 'Countermeasures are illegal when the responsible State does not consent to them']",0,0.0373798950039074,0.8507624508639318,0.0616290279894796,0.0479967352581363,,,,0.0001961517335586,,7.21601901263786e-05,0.0004152530251942,,0.0006041895865518,,,,0.0003233995354029,,,,,,,,,,7.21601901263786e-05,,,,,,,,,,
What is the difference between political and legal means of dispute settlement?,international_law,"['The outcome arising from legal methods, ie arbitration or adjudication by the ICJ, is final and binding upon the parties, whereas this is not the case with diplomatic methods'
 'The political methods are pursued upon the consent of then parties to the dispute, whereas the legal methods not'
 'The political means lead to a final settlement of the dispute, whereas this is not the case with the legal methods'
 'The legal methods of dispute settlement are pursued only in respect of significant disputes, whereas the political means are employed in all disputes']",0,0.2403291480907807,0.5765196557751339,0.1135234376737777,0.0688554455451224,7.114816928980597e-05,,,0.0001706755855203,,,3.80828707305725e-05,,9.135605771891307e-05,,,,3.80828707305725e-05,,3.3608015461259776e-05,,,,,,,,,,,,,,,,,,
What is the rationale for the exhaustion of local remedies in international human rights?,international_law,"['The local remedies rule aims to free up international tribunals to deal with the most serious cases'
 'The local remedies rule aims to dissuade applicants abusing the system from filing unnecessary petitions'
 'The local remedies rule aims on the one hand to restrict the volume of petitions to international tribunals while at the same time building up the capacity of local courts'
 'The local remedies rule helps demonstrate that national courts are always better placed than international ones to deal with cases']",2,0.0530220464303968,0.0990582238983724,0.7319467952592212,0.1122476731739881,0.0004048283201728,0.0001489280872099,,,0.0002782342968781,0.0011004374663714,0.0005198098524969,,,,,,,,,,,,,,,,0.000216689088286,,,,,,,,,,
