question,subject,choices,answer,b,d,c,a,2,band,Ø¨,Ñ,3,option,e,r,Ð°,1,ac,rock,choice,cd,bs,ab,no,ad,da,bd,the,bc,ba,abc,letter,sol,4,under,none,there,bcd,f,hand,Ð±,i,g,un,yes,mon,db,cb
Are the peremptory norms of international law the only norms that set out obligations erga omnes?,international_law,"['Yes'
 'No, acts of international organizations also set out such obligations'
 'No, decisions of international courts also set out such obligations'
 'No, even though all peremptory norms set out obligations erga omnes, the latter may also spring from treaties regulating objective regimes or unilateral acts']",3,5.8286436381211776e-05,0.9998625158146924,1.6699343615103473e-05,4.583854472958149e-05,,,,,,,3.288295726060487e-06,,,,,,,,,,1.067553320869453e-06,,,,,,,,,,6.143345197054159e-06,,,,,,,,,,,,,,
What is the constitutive theory of recognition?,international_law,"['Recognition is determinative of statehood'
 'Recognition requires constitutional approval by third nations'
 'Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees'
 'Countries wishing to be recognised must possess a valid constitution']",0,4.539469115835924e-05,2.1442933775217172e-05,2.4298027236601744e-05,0.999893272908686,4.737361126759086e-07,,,,,8.850555773964221e-07,,,2.4058304932130223e-06,1.994503532279909e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The enforcement mechanism of the International Covenant on Civil and Political Rights (and Protocol) consists of,international_law,"['A reporting mechanism only' 'Judgment of an international tribunal'
 'Right to individual petition only'
 'A reporting mechanism and right to individual petition']",3,0.0001049646250471,0.9637862448402932,0.0030706856463982,0.0330023334865968,,,,,,,6.3036156979642485e-06,,,,,,,,,,,5.562921328537082e-06,,,,,,,,,4.909260841755757e-06,,,,,,,,,,,,,,
Is piracy under international (jure gentium) law subject to universal jurisdiction?,international_law,"['Piracy jure gentium is subject to flag State jurisdiction'
 'Piracy jure gentium is subject to universal jurisdiction'
 'Piracy jure gentium is subject to port State jurisdiction'
 'Piracy jure gentium is subject to nationality-based jurisdiction']",1,0.9999407102337236,3.5355342865678106e-05,1.1478199295642824e-05,8.016354591961953e-06,1.7602388724227866e-06,,,,,,2.535864528538428e-07,,,1.275112762405514e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are self-executing treaties?,international_law,"['Self-executing treaties are adopted only by the executive'
 'Self-executive treaties are clear and precise enough so as not to require any further implementing measures'
 'Self-executing rely on implementing measures stipulated in the treaty Itself'
 'Self-executing treaties follow the doctrine of transformation']",1,0.9997720079610984,2.1440439072171577e-05,0.0001584246070899,2.8739655515331117e-05,2.405550595288535e-06,6.474451594052239e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89201784640051e-07,,,,,,,
"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",international_law,"['The ICJ was not hostile to the accumulation theory'
 'The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force'
 'In the Nicaragua case the ICJ dismissed the accumulation theory'
 'The ICJ has never addressed this issue']",0,0.0002304679764771,1.2214355277437886e-05,0.000123360618317,0.9996120957852308,,,,,,,,,1.7596447148328484e-06,2.4051491592194825e-06,,,2.122536683265137e-06,,,7.808376089054654e-07,,,,,,,,,,,,,,,,,,,,,,,,,
Is there any priority among international courts and tribunals?,international_law,"['According to the lis pendens rule, the court or the tribunal that seizes first the dispute has exclusive jurisdiction to adjudicate it'
 'The International Court of Justice has by definition priority over any other court or tribunal'
 'Since there is no lis pendens rule in international law and all depends on the consent of the parties to a dispute, there is no priority or hierarchy among international courts and tribunals'
 'Regional or special courts have priority over all others in line of the principle of lex specialis']",2,1.1478221188591436e-05,3.535541030070729e-05,0.9999418530545912,4.222601596501226e-06,,,,1.0029557899147604e-06,9.42189770470334e-07,,,,,,,,,2.5358693653207824e-07,,,,,,,,,,,,,3.2561207184716965e-07,,,,,,,,,,,,,,
Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?,international_law,"[""When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States""
 ""Third States may never have access to fisheries within another State's EEZ""
 'The coastal State is to give access to fisheries within its EEZ only to neighbouring States'
 'Third States are free to fish within another EEZ, except from certain designated areas']",0,0.9998218878440488,2.01424081871957e-05,3.320921682135396e-05,9.609405510339044e-05,3.725970863971808e-06,,,,,,,,,7.810059212817051e-07,,,,,,,,,,,,,,,,,,,8.31376475586413e-07,,,,,,1.2096456342937696e-06,,,,,,
What is the purpose of sovereign immunity?,international_law,"['The purpose of immunity is to protect foreign Heads of State from embarrassment'
 'Immunity protects a State from being invaded by another'
 'Immunity shields States from being sued in the courts of other States'
 'The purpose of immunity is to offer impunity in respect of all crimes']",2,7.484197950696203e-05,2.586469602216151e-05,0.9998708937474392,7.41035947967995e-06,,,,1.7601146534053747e-06,3.7261627504993913e-06,9.421214837389684e-07,4.7372843230878964e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is passive personality jurisdiction?,international_law,"['It is jurisdiction based on the nationality of the offender'
 'It is jurisdiction based on where the offence was committed'
 'It is jurisdiction based on the nationality of the victims'
 'It is jurisdiction based on the country where the legal person was Registered']",2,4.539607651553189e-05,1.4737948249155864e-05,0.999916569813594,1.892390014174473e-05,,,,1.370842728408425e-06,3.256036877026218e-07,,1.6372381608066677e-07,,,1.5380429151984936e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following types of rights have been described as first generation rights?,international_law,"['Social and economic rights' 'Civil and political rights'
 'Cultural rights' ""People's rights""]",1,0.9999749470175592,1.7603009852189593e-06,3.726557214951845e-06,1.67836010343846e-05,1.1365357371761877e-06,,,,,,,,,2.2379715593679674e-07,,,,,,,,,,,,,,,,,,,,,,,,6.825421115494573e-08,,,,,,,
What is the problem of 'fragmentation' of international law?,international_law,"['Fragmentation of international law concerns the possibility of different legal regimes apply the same rules of international law'
 'It is possible for several legal regimes (ie foreign investment law and human rights law) to exist and develop in isolation of each other, ultimately culminating in the production of divergent rules of international law'
 'Fragmentation is when States assume different interpretations of the same rule of international law'
 'Fragmentation is when States disagree to abide by a certain rule of international law']",1,0.9998472661495524,4.005895516029647e-05,5.828543583680685e-05,4.134664816389389e-05,2.5608833255731545e-06,,,,4.180527108179868e-07,,6.474927049410314e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is functional (ratione materiae) immunity?,international_law,"['Functional immunity covers the person but not the act'
 'Functional immunity covers the act and incidentally also the person committing the act'
 'Functional immunity covers the State and incidentally also the act'
 'Functional immunity covers both private and public acts as long as they are sanctioned by the State']",1,0.999873779111012,3.119886799455936e-05,5.1438237284395465e-05,2.4945214672740263e-05,4.78450136690495e-06,1.067566556227883e-06,,,5.368061760570696e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of implied authorisation?,international_law,"['Presumption of Security Council approval of armed force when a State has been forewarned'
 'Implicit authorisation on the basis of a specific number of votes by UNSC members'
 'Presumption that all unlawful attacks will be subject to armed force by a resolution of the UNSC'
 'In cases of repeated unlawful attacks the UNSC shall authorise neighbouring States to take whatever measures they deem necessary to rectify the situation']",0,5.14118522884694e-05,0.000430466168886,0.0001088388921487,0.9993643065736192,,,,,,3.286649757477023e-06,,,4.782047179986062e-06,2.1220205727996286e-06,,,,,,,,2.9004582308538845e-06,,,,,,,,,,,,,,,,,,,,,,,
Which philosopher called the idea of natural rights 'nonsense on stilts'?,international_law,['Alan Gerwith' 'Emmanuel Kant' 'John Locke' 'Jeremy Bentham'],3,8.473778889286218e-05,0.999056207724294,0.0008051784760142,3.661064118194357e-05,,,,,,,6.138384839018629e-06,,,,,,,,,,,,,,,,,,,,3.963239125959691e-06,,,,,,,,,,,,,,
Who has the authority to conclude a treaty on the part of States?,international_law,"['Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority'
 'Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs'
 ""Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority""
 'Treaties are concluded only by members of the diplomatic missions of States']",0,5.1438384450583325e-05,1.0782071117498232e-05,1.6699598428809247e-05,0.9998842685906352,,,,,,3.288345901854156e-06,,,,3.966502297375998e-06,,,3.966502297375998e-06,,,,,,,,,,,,,5.0930897651811e-06,,,,,,,,,,,,,,,
Who is a 'persistent objector'?,international_law,"['The State which persistently objects to the rule in question after its formation'
 'The State which denies to be bound by the rule in question for a short period'
 'The State which persistently and publicly objects to the formation of a rule of customary law from its outset'
 'The State which accepts the formation of a rule of customary law but it retains objections as to its content']",2,5.14356374178345e-05,4.0058114698786366e-05,0.9998227327729636,7.552764878402429e-05,,,,9.420765609569206e-07,1.0675125977188502e-06,,4.18043939815068e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective security?,international_law,"['The right to self-defence by more than one nation acting in concert'
 ""The right of one's allies to defend the victim State""
 'The authorisation of armed force by the UN Security Council'
 'The authorisation of peacekeeping missions by the UN General Assembly']",2,0.0007086447196714,0.0002300632567218,0.0011683576226917,0.9978502037038488,,,,,,1.4562349453696949e-06,3.2816761077461336e-06,,1.869842682523573e-06,,1.1454175091342504e-05,,,,,1.550154030228592e-06,,,,,,,,,,,,,,,,,,,,,,,,,
The European Convention on Human Rights is predominantly concerned with which of the following?,international_law,"['Economic and social rights' 'Environmental rights'
 'Civil and political rights' 'Economic freedom']",2,3.5355511453492245e-05,4.784848156533677e-06,0.9999449900786896,8.939273225371063e-06,,,,9.42192466100746e-07,1.2878244105546056e-06,2.699426611033958e-07,1.855286968646687e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is the jurisdiction of international tribunals regulated by the same principles applicable to national courts?,international_law,"['The jurisdictional principles applicable to national courts are also common to international tribunals'
 'The jurisdiction of all international tribunals is regulated by the UN Security Council'
 'International tribunals share some, but not all, of the jurisdictional principles applicable to national courts'
 'The jurisdiction of international tribunals is dictated solely by their founding treaties']",3,0.0002608124518116,0.0011688803146922,0.9983010733325112,0.0002319235213562,,,,,2.8973646243059487e-06,,2.8973646243059487e-06,,,,2.55691530660818e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective rights?,international_law,"['Collective rights belong to distinct groups of people'
 'Collective rights are those that belong to particular groups as opposed to the individual members of the group'
 'Minority rights are collective rights'
 ""Collective rights entail a right of the group as such as well as individual rights of the group's members""]",1,3.5353994192104624e-05,0.9999018443304318,1.7118121792239357e-05,3.24095375245815e-05,,,,,,,1.2877691443126016e-06,,,,,,,,,,,,,,,,,,,,5.771380899184389e-06,,,,,,,,,,,,,,
Are States under any obligation when they conduct negotiations?,international_law,"['States are under no obligation as to how they conduct their negotiation'
 'States are under an obligation so to conduct themselves that the negotiations are meaningful'
 'States are under an obligation to find a solution of the dispute whenever they conduct negotiations'
 'States are under an obligation to inform the UN Secretary-General about the progress of their negotiations']",1,0.999202291110404,5.824781671847905e-05,0.0002033048568708,0.000487702998291,4.219457690862233e-06,,,,,,1.7589316549608456e-06,,,1.8723730003210405e-06,,,,,,4.491589331561193e-06,,,,,,,,,,,,,,,,,,,,,,,,,
What is the major difference between naturalism and positivism?,international_law,"['On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires'
 'While naturalism serves only the theory human rights law, positivism has a wider and more general scope'
 'Naturalism concerns the underpinning values of the international society, while positivism the international rules as such'
 'Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory']",0,0.0170150796448975,0.0132486616666022,0.9288087274261168,0.0408181694853367,,,,,,,6.883672456791875e-06,,,,1.208122140228192e-05,,,,,,,,,,,8.303293944488397e-06,,,,,,,,,,,,,,,,,,,
What is an 'internationally wrongful conduct'?,international_law,"['An international wrongful conduct is an action or omission which is in breach of a rule of international criminal law'
 'An international wrongful conduct is every breach of an international obligation of the State, whether attributable to it or not'
 'An internationally wrongful conduct consists of an action or omission attributable to the State, which constitutes a breach of an international obligation of the State'
 'An internationally wrongful conduct is the conduct that cannot be excused on grounds of necessity, force majeure etc.']",2,0.0001233894449186,1.473676765941559e-05,0.9998384297341364,6.539401008155519e-06,,,,1.2876844073478987e-06,4.784327981516004e-06,7.810200730903925e-07,,,,,,,,,,,,,,,,4.737126201803249e-07,,,,,,,,,,,,,,,,,,,
What is the effects doctrine?,international_law,"['It posits that jurisdiction exists only when it is effective'
 'The effects doctrine serves to confer jurisdiction on the State which has an effective link with the harmful conduct'
 'The effects doctrine serves to confer jurisdiction on the State sharing the nationality of the offender'
 'The effects doctrine serves to confer jurisdiction to the State on whose territory the conduct produces effects']",3,0.0001233747366272,0.9997173074177416,2.752862474191288e-05,0.0001237927367148,,,,,,,1.3705695220988875e-06,,,,,,,,,,,,,3.058153969604817e-07,,,,,,,2.5605609690410598e-06,,,,,,,,,,,,,,
Which persons are considered as 'de facto' organs of the State under the law of international responsibility?,international_law,"[""'De facto organs' are the individuals that are empowered by law to exercise elements of governmental authority""
 ""'De facto organs' are the persons, which are, in fact, acting on the instructions of, or under the direction or control of, that State in carrying out the conduct attributable to the State""
 ""'De facto organs' are the de jure organs of the State that act without due authority or ultra vires""
 ""'De facto organs' are the organs, whose acts or omission cannot be attributed to the State""]",1,0.9995431403098112,4.537893569578757e-05,4.537893569578757e-05,0.0003353075015659,5.419740986932507e-06,1.1360394262705826e-06,,,,,,,,1.552781790495944e-06,,,,,,1.2873013185014355e-06,,,,,,,,,,,,,,,,,,,,,,,,,
What is the fundamental prerequisite for the incorporation of custom under English law?,international_law,"['Custom is incorporated if it is not in conflict with existing legislation'
 'Custom is superior to English law and is always incorporated'
 'Custom must first be recognised by Parliament before the courts can bring it into the domestic sphere'
 'Custom is incorporated with the passing of implementing legislation']",0,3.535392675977645e-05,1.4737709312646475e-05,4.006124741767856e-05,0.9999027053270524,,,,,,3.927466499876286e-07,,,1.4592308305204312e-06,8.314446645483821e-07,,,3.465977021145585e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Was the use of armed force permitted prior to the United Nations Charter?,international_law,"['Armed force was prohibited'
 'Armed force was permitted with no restrictions'
 'Armed force was permitted subject to few restrictions'
 'Armed force was not regulated under international law prior to 1945']",2,6.602892136961801e-05,0.999585547737795,0.0001596825071809,0.0001437485725807,,,,,,,1.221412230932126e-05,,,,,,,,,,,,,,,,,,,,8.394635313038132e-06,,,,,,,,,8.847880524738625e-07,,,,,
What is the protective principle of jurisdiction?,international_law,"['It is jurisdiction based on the harm to national interests by conduct committed abroad'
 ""It is jurisdiction in order to protect one's nationals abroad""
 'It is jurisdiction in order to protect international human rights'
 'It is jurisdiction based on the nationality of the offender']",0,0.9999075094350184,2.753384965282619e-05,3.535416277348777e-05,1.5211553749958225e-05,3.726301341359542e-06,,,,,,,,,5.043000474578635e-07,,,,,,,,,,,,,,,,,,,,,,,,4.180794236423266e-07,,,,,,,
Which one of the following statements is correct?,international_law,"['The Council of Europe was established in 1950 and consists of 27 member states'
 'The Council of Europe was established in 1949 and consists of 47 member states'
 'The Council of Europe was established in 1959 and consists of 34 member states'
 'The Council of Europe was established in 1984 and consists of 19 member states']",1,0.999675906351931,1.1475123751410636e-05,3.5345869522514525e-05,0.0002611726127673,3.088487658907708e-06,9.419355173436104e-07,,,,,,,,8.312551764901547e-07,,,,,,1.370508090858907e-06,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'equitable result' in the law and practice of maritime delimitation?,international_law,"['It is the only method of delimitation that international courts and tribunals follow'
 'An equitable result is what a judge or the arbitrator would decide ex aequo et bono, i.e. upon their discretion and in light of what they consider as fair and equitable in a delimitation case'
 ""It is the end result that all delimitations of areas of continental shelf and EEZ should achieve, after, however, drawing a provisional 'equidistance line' and adjusting the zone in the light of the relevant circumstances and the proportionality test.""
 'Achieving an equitable result is an old method of delimitation which is currently not applicable']",2,0.0002959467776665,6.142179416323567e-06,0.9996726571507928,6.960001104065952e-06,,,,1.2094668382729924e-06,7.408882609340389e-06,,3.9265639323342906e-07,,,,,,,,,,,,,,,1.0026832264018956e-06,,,,,,,,,,,,,,,,,,,
What is a derogation?,international_law,"['Derogations are exemptions from particular human rights obligations contained in a treaty'
 'A derogation refers to the ability of rights holders to bring a claim against the State for breach of an obligation'
 'A State may suspend particular rights by means of a derogation in circumstances that threaten its existence'
 'Derogations are enforcement clauses in human rights treaties']",2,5.141087169455938e-05,0.0004304579584738,0.9993415431430156,0.0001423088348964,,,,3.964380741437923e-06,3.087462825825051e-06,,,,,,2.90040290953106e-06,,,2.404518466456402e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is an act jure gestionis?,international_law,"['Acts jure gestionis are those undertaken by States in a private capacity'
 'All purchases by the State are acts jure gestionis'
 'All acts undertaken by State corporations are jure gestionis'
 'All conduct undertaken by government officials in their free time is considered jus gestionis.']",0,4.006185870846625e-05,3.726333324597759e-06,1.8923882094515803e-05,0.9999226080295346,,,,,,2.1232007275782826e-06,,,1.3708414210715464e-06,2.4059016200056917e-06,,,5.714517234468414e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of cultural relativism?,international_law,"['Culture relativism posits that human rights apply equally to all without restrictions'
 'Culture relativism posits that human rights have a cultural origin'
 'Cultural relativism posits that the application of human rights is relative to the laws in each nation'
 'Cultural relativism posits that local culture should validate the existence and practice of all human rights']",3,0.0001397720302402,0.9995032084259337,0.000262337795462,6.814595827021502e-05,,,,,,5.712163410821419e-07,3.499124309731008e-06,,,,,,,,,,,,,,,,,,,,9.5116060266611e-06,,,,,,,,,,,,,,
Is recognition of governments prevalent in contemporary international practice?,international_law,"['Recognition of governments is very prevalent in contemporary practice'
 'Recognition of governments has largely been replaced by functional Recognition'
 'Government recognition is common in respect of rebel entities'
 'Only democratic governments are recognised in contemporary practice']",1,0.0002304202866803,1.4730276106109275e-05,0.0003352595388737,0.9994035203361984,,,,,,6.889441813702908e-07,,,1.1358769261502854e-06,1.5525596791660764e-06,1.6526911756115778e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the legal nature of the Universal Declaration of Human Rights (UDHR)?,international_law,"['The UDHR is a multilateral treaty'
 'The UDHR is a UN General Assembly resolution'
 'The UDHR is a UN Security Council resolution'
 'The UDHR is a declaration adopted by several States at an international conference']",1,0.0005524989332583,0.998944250549016,0.0002303157113651,0.0002325736471487,,,,,9.412476710367384e-07,1.7584821563568809e-06,4.218379399766509e-06,,,,,,,,,,,,,,,,,,,,1.0119366122679634e-05,,,,,,,,,,,,,,
Under what circumstances do human rights violations taking place outside the territory of ECHR member States fall within the remit of the ECHR?,international_law,"['The ECHR applies outside Europe where human rights are violated by ECHR member States abroad'
 'The ECHR applies extraterritorially in circumstances where a member State exercises effective control'
 'The ECHR applies extraterritorially where a member State has contributed forces to a UN peacekeeping mission'
 'The ECHR applies extraterritorially where human rights violations are taking place in former colonies of member States']",1,0.9999609433915814,4.784907478329737e-06,1.1478396333683614e-05,1.3006727049201516e-05,1.1365151435488623e-06,2.8735602952086777e-07,,,,,2.382265157575061e-07,,,2.382265157575061e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the principle 'pacta sunt servanda' mean?,international_law,"['Parties to a treaty should be cognizant of its terms and not misinterpret them'
 'Parties to a treaty should safeguard the object and purpose of the treaty'
 'Parties to a treaty should adhere to its terms in good faith'
 'Parties to a treaty should not violate the most important provisions of the treaty']",2,2.753374461972554e-05,5.828893781736811e-05,0.9999034057819444,2.123174404795423e-06,,,,2.405871792385013e-06,2.7262098998181905e-06,2.2378093587503545e-07,3.058722736653788e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the consequence from the absence of implementing legislation in the Tin Council case?,international_law,"['The International Tin Council was headquartered in London and hence the absence of implementing legislation was inconsequential'
 'The constitutive treaties of international organisations are subject to the doctrine of incorporation'
 ""The absence of implementing legislation with respect to the Council's founding treaty meant that individuals did not derive rights and duties from it in the English legal system""
 'The absence of implementing legislation in England in respect of an international organisation is inconsequential under international law']",2,1.4734505126747831e-05,0.0002959504467681,0.9996828000608372,1.3705224681363522e-06,,,,2.237316426405827e-07,1.5530054146620362e-06,,,,,,,,,,,,,,,,,,,,,,1.7424237848633755e-07,,,,,,,,1.8548004640737472e-07,,,,,,
Which of the following statements is true?,international_law,"['The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law'
 'The Human Rights Act 1998 allows a court to invalidate primary legislation'
 'The Human Rights Act 1998 allows any person with a reasonable case to bring a case before a court'
 'The Human Rights Act 1998 incorporates the EU charter of fundamental rights into UK law']",0,9.609863733425404e-05,1.3707734412718882e-06,2.7532720567991536e-05,0.9998671431855184,,,,,,6.082770272949855e-07,,,1.873625148283788e-06,7.337221503510831e-07,4.737266251816811e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What forms may the obligation of reparation take?,international_law,"['Reparation may take only the form of pecuniary compensation, including the interest'
 'Reparation denotes only the physical restitution of the wrongful act'
 'Reparation includes restitution, compensation, and satisfaction, either alone or alongside other forms of reparation'
 'The form of reparation is a matter for the responsible State to decide']",2,3.535392675977645e-05,1.4737709312646475e-05,0.9999043195486068,2.2826210715889285e-05,,,,2.405864909140449e-06,3.08919169245348e-06,2.123168330353415e-06,,,,,7.810699788833185e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is jus cogens?,international_law,"['They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States'
 'They are rules of international law that are laid down in multilateral treaties with a wide participation'
 'They are the decisions of the UN Security Council'
 'They are the rules of international law on which the ICJ founds its decisions']",0,5.093570645622728e-06,5.093570645622728e-06,3.500756495500911e-06,0.9999757267853934,,,,,,9.42215828554044e-07,,,1.459332423117167e-06,1.1365292338851404e-06,,,2.102367687196493e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is 'unilateral acts'?,international_law,"['They are acts that States perform as practice in the context of custom'
 'They are acts creating unilateral legal obligations to the acting State'
 'Unilateral acts are simply political acts of State devoid of any legal effect'
 'Unilateral acts are those that State perform in order to be bound by a treaty']",1,0.0152855234945654,0.0081817511413616,0.7364977667601499,0.2391318579030115,,,,,,,7.078601710284575e-05,,,,9.089104510614712e-05,,,,,,,,,,,,,,,,,,0.0002466070132634,,,,,,,,4.033265677631088e-05,,,,
Is extra-territorial abduction a ground for refusal of otherwise lawful jurisdiction by English courts?,international_law,"['Such abduction constitutes abuse of process and leads to a stay of proceedings'
 ""Such abduction gives rise to the abductor's liability but does not lead to a stay of proceedings""
 'The stay of proceedings under such circumstances would prevent the administration of justice in respect of international criminals'
 'The courts may, but will seldom, stay proceedings in cases of extra-territorial abduction']",0,0.009528757454923,0.5202524671344001,0.010797496769695,0.459129879906036,,,,,,,0.0001199492970399,,,,,,,,,8.689097934001733e-06,,5.000230622308224e-05,8.162652103266812e-06,,,,,,,,,,,,,1.2642562894749272e-05,,,,,,,,,
What is the meaning of 'secondary rules' in the law of international responsibility?,international_law,"['Secondary rules are the rules of interpretation of international law, including the law of international responsibility'
 'Secondary rules are the rules that govern the legal consequences arising from a breach of the primary rules, ie of the international obligations of the States'
 'Secondary rules are the rules that govern exclusively the concept of attribution in the law of international responsibility'
 'Secondary rules are the rules that govern exclusively the law of countermeasures']",1,0.9999275801926124,1.6700426600206054e-05,2.4298977323761244e-05,1.7006305583103238e-05,3.089268291555298e-06,,,,,,3.256064823934839e-07,,,5.368343333999836e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the doctrine of incorporation suggest in respect of treaties?,international_law,"['The doctrine of incorporation requires that all treaties undergo legislative transformation before they become domestic law'
 'The doctrine of incorporation does not require any further action at the domestic level'
 'The doctrine of incorporation treats treaties as inferior to domestic law'
 'The doctrine of incorporation suggests that ratified treaties automatically pass into the sphere of domestic law']",3,0.0002034212221323,0.9997691593277348,7.887496744340837e-06,1.1845143177629205e-05,,,,,,,6.474451594052239e-07,,,,,,,,,,,,,1.974596173039783e-07,,,,,,,4.221872774814762e-06,,,,,,,,,,,,,,
Are the provisional measures issued by the ICJ binding upon the parties?,international_law,"['No, according to the literal interpretation of the relevant provision of the State, the provisional measures are not binding'
 'No, unless the parties have agreed so beforehand'
 'It depends upon the Court whether the provisional measures will be binding'
 'Yes, it has been consistently held by the Court since the La Grand case (2001) that they are binding']",3,7.483113131245599e-05,0.9997252842045316,5.1430634270850414e-05,0.000125028912935,,,,,,,3.2878504494398634e-06,,,,,,,,,,,,,,,,,,,,3.7256226506978503e-06,,,,,,,,,,,1.87336071637468e-06,,,
When are countermeasures illegal?,international_law,"['Countermeasures are illegal when inter alia are disproportionate or in violation of a peremptory norm of international law (e.g. the use of force, human rights)'
 'Countermeasures are illegal when they are taken in the course of an armed conflict'
 'Countermeasures are illegal when they violate bilateral treaties'
 'Countermeasures are illegal when the responsible State does not consent to them']",0,0.0001233832083889,2.014175508167401e-05,3.119616053816473e-05,0.9997967810462088,,,,,,3.5001122085555354e-06,,,1.7599669449033353e-06,2.9016949377912493e-06,,,2.5607367948461776e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the difference between political and legal means of dispute settlement?,international_law,"['The outcome arising from legal methods, ie arbitration or adjudication by the ICJ, is final and binding upon the parties, whereas this is not the case with diplomatic methods'
 'The political methods are pursued upon the consent of then parties to the dispute, whereas the legal methods not'
 'The political means lead to a final settlement of the dispute, whereas this is not the case with the legal methods'
 'The legal methods of dispute settlement are pursued only in respect of significant disputes, whereas the political means are employed in all disputes']",0,0.998899446775088,0.0002609694477607,8.472437512067615e-05,0.0007093888458939,2.121033228907598e-06,,,,,,2.2578281193527937e-06,,,,,,,,,3.2851205293418743e-06,,,,,,,2.121033228907598e-06,,,,,,,,,,,,,,,,,,
What is the rationale for the exhaustion of local remedies in international human rights?,international_law,"['The local remedies rule aims to free up international tribunals to deal with the most serious cases'
 'The local remedies rule aims to dissuade applicants abusing the system from filing unnecessary petitions'
 'The local remedies rule aims on the one hand to restrict the volume of petitions to international tribunals while at the same time building up the capacity of local courts'
 'The local remedies rule helps demonstrate that national courts are always better placed than international ones to deal with cases']",2,4.00608271606727e-05,2.144301557367403e-05,4.00608271606727e-05,0.9998910983950274,,,,,,,,,7.337396438588754e-07,6.475229630089816e-07,,,9.421403519462076e-07,,,,,,,,,,,,,3.927425299329168e-07,,,,,,,,,,,,,,,
Which of the following cases best illustrates the 'living instrument principle' used by the European Court of Human Rights?,international_law,"['Golder v UK (1978)' 'A v UK (2009)' 'Goodwin v UK (2002)'
 'Osman v UK (1998)']",2,0.000296660834414,6.603030672605283e-05,0.9996109714737078,5.769663901107413e-06,,,,4.493418764241271e-06,3.725174995734204e-06,,8.84806616260708e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is the recognition of foreign judgments subject to the same rules as those applicable to the incorporation and transformation of treaties?,international_law,"['Foreign judgments are enforced on the basis of the doctrine of incorporation'
 'Foreign judgments are enforced on the basis of the doctrine of transformation'
 'The recognition of foreign judgments is dependent on the existence of appropriate bilateral or multilateral treaties'
 'The courts exercise discretion as to the enforcement of foreign judgments on the basis of the rule of comity']",2,0.0001397276493882,0.9991891298728456,0.0003351892060016,0.0002983626372452,,,,,,,7.882894560424488e-06,,,,,,,,,,,,,,1.0021975775655238e-06,,,,,,5.767248861745024e-06,,,,,,,,,,,,,,
