question,subject,choices,answer,b,a,c,d,e,1,,'},''',{',cd,f,',...',...,},abc,bc,ab,i,none,option,bb,options,the,v,j,g,4,'.,3,all,either,civil,db,(,{,it,l
What is the constitutive theory of recognition?,international_law,"['Recognition is determinative of statehood'
 'Recognition requires constitutional approval by third nations'
 'Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees'
 'Countries wishing to be recognised must possess a valid constitution']",0,0.0033377801398424924,0.9853473409019062,0.0014811309586971568,0.009664240115997603,4.472625813129732e-05,,,7.301360928791655e-06,,,,8.80712241424896e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
The enforcement mechanism of the International Covenant on Civil and Political Rights (and Protocol) consists of,international_law,"['A reporting mechanism only' 'Judgment of an international tribunal'
 'Right to individual petition only'
 'A reporting mechanism and right to individual petition']",3,5.8288437521548805e-05,2.1443117822183905e-05,1.6699916951409222e-05,0.999900396104179,1.0029079663961044e-06,,1.3155289649145646e-07,,,,,,,,,,,,,,,,,,,,,,1.2358250941502327e-07,1.400373293697501e-07,,,,,,,,,
Is piracy under international (jure gentium) law subject to universal jurisdiction?,international_law,"['Piracy jure gentium is subject to flag State jurisdiction'
 'Piracy jure gentium is subject to universal jurisdiction'
 'Piracy jure gentium is subject to port State jurisdiction'
 'Piracy jure gentium is subject to nationality-based jurisdiction']",1,0.9998816368824617,9.514962879393852e-06,9.027545429244615e-05,8.396925269272478e-06,5.367974731771465e-07,,8.576948094871501e-07,,,,,,,,,,,6.475013499590217e-07,,,,,,,,,,,,,,,,,,,,,
What are self-executing treaties?,international_law,"['Self-executing treaties are adopted only by the executive'
 'Self-executive treaties are clear and precise enough so as not to require any further implementing measures'
 'Self-executing rely on implementing measures stipulated in the treaty Itself'
 'Self-executing treaties follow the doctrine of transformation']",1,0.9996597039891176,6.202949605583423e-05,0.00026115393291442363,4.636037502025381e-06,6.081157813772694e-07,,9.65056001927659e-07,,,,,,,,,,,1.370410067987019e-06,,,,,,,,,,,,,,,,,,,,,
"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",international_law,"['The ICJ was not hostile to the accumulation theory'
 'The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force'
 'In the Nicaragua case the ICJ dismissed the accumulation theory'
 'The ICJ has never addressed this issue']",0,0.05456718562896615,0.8551224136214918,0.0700656532647106,0.00239751538460818,,,0.0010638910027978856,0.002097263968203057,,,,,0.004768028679270287,,,0.003078470690736789,,,,,,,,,,,,,,,,,,,,,,,
Is there any priority among international courts and tribunals?,international_law,"['According to the lis pendens rule, the court or the tribunal that seizes first the dispute has exclusive jurisdiction to adjudicate it'
 'The International Court of Justice has by definition priority over any other court or tribunal'
 'Since there is no lis pendens rule in international law and all depends on the consent of the parties to a dispute, there is no priority or hierarchy among international courts and tribunals'
 'Regional or special courts have priority over all others in line of the principle of lex specialis']",2,0.0002956923095002995,0.00016848039935829097,0.9989526249314458,0.000552425698450569,4.4898505617671405e-06,,,1.651723715606182e-06,,,,,,,,,,,,,4.318082555721784e-06,,,,,,,,,,,,,,,,,,
Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?,international_law,"[""When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States""
 ""Third States may never have access to fisheries within another State's EEZ""
 'The coastal State is to give access to fisheries within its EEZ only to neighbouring States'
 'Third States are free to fish within another EEZ, except from certain designated areas']",0,0.0026241558251327755,0.9946828082650657,0.001803554164490634,0.0007062819588309053,3.103186354456366e-05,,,,,,,9.46418366208481e-06,,,,,,,7.6046852140243464e-06,,1.0074571066470215e-05,,,,,,,,,,,,,,,,,,
What is the purpose of sovereign immunity?,international_law,"['The purpose of immunity is to protect foreign Heads of State from embarrassment'
 'Immunity protects a State from being invaded by another'
 'Immunity shields States from being sued in the courts of other States'
 'The purpose of immunity is to offer impunity in respect of all crimes']",2,4.5393738749827144e-05,1.0128712196984915e-05,0.9999320224309718,6.961355300947086e-06,5.202864168211859e-07,,3.255869200611673e-07,7.337214506194466e-07,3.255869200611673e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is passive personality jurisdiction?,international_law,"['It is jurisdiction based on the nationality of the offender'
 'It is jurisdiction based on where the offence was committed'
 'It is jurisdiction based on the nationality of the victims'
 'It is jurisdiction based on the country where the legal person was Registered']",2,0.00012337661919071361,4.538772172150157e-05,0.9998045226919119,1.4735235844659649e-05,6.891761514291534e-07,,8.849196950100727e-07,2.4818186593560424e-06,5.537685949214752e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following types of rights have been described as first generation rights?,international_law,"['Social and economic rights' 'Civil and political rights'
 'Cultural rights' ""People's rights""]",1,0.9999765484927157,1.0782965739445271e-05,4.7849120415752816e-06,1.653621353462629e-06,,,,,,,,,,,,,,,,,,,3.359535551209994e-07,1.9749690663327213e-07,,,,,,,,,,1.4211098859655354e-06,,,,,
What is the problem of 'fragmentation' of international law?,international_law,"['Fragmentation of international law concerns the possibility of different legal regimes apply the same rules of international law'
 'It is possible for several legal regimes (ie foreign investment law and human rights law) to exist and develop in isolation of each other, ultimately culminating in the production of divergent rules of international law'
 'Fragmentation is when States assume different interpretations of the same rule of international law'
 'Fragmentation is when States disagree to abide by a certain rule of international law']",1,0.9999807965636655,2.4060484690684223e-06,1.3006975135197989e-05,1.3709250931453186e-06,1.4908118769574122e-07,,1.7562307457104178e-07,,,,,,,,,,,1.0907012690013207e-07,,,,,,,,,,,,,,,,,,,,,
What is functional (ratione materiae) immunity?,international_law,"['Functional immunity covers the person but not the act'
 'Functional immunity covers the act and incidentally also the person committing the act'
 'Functional immunity covers the State and incidentally also the act'
 'Functional immunity covers both private and public acts as long as they are sanctioned by the State']",1,0.12790077521245324,0.008699235007344869,0.8341408345905041,0.028523700267296167,0.0001320909064245791,,5.506368203331491e-05,5.506368203331491e-05,,,,,5.172754218870371e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of implied authorisation?,international_law,"['Presumption of Security Council approval of armed force when a State has been forewarned'
 'Implicit authorisation on the basis of a specific number of votes by UNSC members'
 'Presumption that all unlawful attacks will be subject to armed force by a resolution of the UNSC'
 'In cases of repeated unlawful attacks the UNSC shall authorise neighbouring States to take whatever measures they deem necessary to rectify the situation']",0,0.007062802975091226,0.9849622219481,0.004283806547902431,0.0031340998218293797,9.464161400360187e-05,,,3.945249435917528e-05,,,,3.2707266608604304e-05,5.3925166164065956e-05,,,,,,,,2.886406147410186e-05,,,,,,,,,,,,,,,,,,
Which philosopher called the idea of natural rights 'nonsense on stilts'?,international_law,['Alan Gerwith' 'Emmanuel Kant' 'John Locke' 'Jeremy Bentham'],3,0.0011672823261889777,0.0008022606281118707,0.0009677110375480145,0.9969703064317894,4.251827589767485e-05,,,4.209879414382314e-06,,,,4.209879414382314e-06,,,,,,,,,,,,,,,2.324916221483494e-06,2.804384273722919e-06,,,,,,,,,,,
Who has the authority to conclude a treaty on the part of States?,international_law,"['Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority'
 'Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs'
 ""Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority""
 'Treaties are concluded only by members of the diplomatic missions of States']",0,0.0005875529426264586,0.9981464038311993,0.0007544329119820473,0.0004298629156591067,7.873210180630532e-06,,,3.837096190824724e-06,,,,3.837096190824724e-06,5.0833265513811805e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
Who is a 'persistent objector'?,international_law,"['The State which persistently objects to the rule in question after its formation'
 'The State which denies to be bound by the rule in question for a short period'
 'The State which persistently and publicly objects to the formation of a rule of customary law from its outset'
 'The State which accepts the formation of a rule of customary law but it retains objections as to its content']",2,0.00021602778357632024,0.0003791407483867862,0.9975325546227869,0.001808779348964871,6.128236512531399e-06,,,2.1389647153174485e-05,,,5.080486511984837e-06,,3.0814708357752997e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective security?,international_law,"['The right to self-defence by more than one nation acting in concert'
 ""The right of one's allies to defend the victim State""
 'The authorisation of armed force by the UN Security Council'
 'The authorisation of peacekeeping missions by the UN General Assembly']",2,0.0009636198107510473,0.9928122973064478,0.005907154371534284,0.00027608169812968364,7.357328046244251e-06,,,,,,,2.3150859855434165e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
The European Convention on Human Rights is predominantly concerned with which of the following?,international_law,"['Economic and social rights' 'Environmental rights'
 'Civil and political rights' 'Economic freedom']",2,3.535466852246039e-05,1.4738018525337025e-05,0.9999428877091429,3.089256506954471e-06,2.7850492084228656e-07,,1.3155640937968008e-07,7.111872298815129e-07,1.490729417796106e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is the jurisdiction of international tribunals regulated by the same principles applicable to national courts?,international_law,"['The jurisdictional principles applicable to national courts are also common to international tribunals'
 'The jurisdiction of all international tribunals is regulated by the UN Security Council'
 'International tribunals share some, but not all, of the jurisdictional principles applicable to national courts'
 'The jurisdiction of international tribunals is dictated solely by their founding treaties']",3,6.202931858827635e-05,9.02521260005593e-05,0.9997156647096833,0.00012336003008916254,1.0026105553092217e-06,,1.4220210773721344e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective rights?,international_law,"['Collective rights belong to distinct groups of people'
 'Collective rights are those that belong to particular groups as opposed to the individual members of the group'
 'Minority rights are collective rights'
 ""Collective rights entail a right of the group as such as well as individual rights of the group's members""]",1,2.5866003379505042e-05,1.6700346966556305e-05,2.7534217271833745e-05,0.9999262641582142,1.8737270002584726e-06,,1.1609801307297264e-07,2.382176554924053e-07,,,,9.930398769526062e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are States under any obligation when they conduct negotiations?,international_law,"['States are under no obligation as to how they conduct their negotiation'
 'States are under an obligation so to conduct themselves that the negotiations are meaningful'
 'States are under an obligation to find a solution of the dispute whenever they conduct negotiations'
 'States are under an obligation to inform the UN Secretary-General about the progress of their negotiations']",1,0.9995674851287244,0.00020337078901045322,0.00020337078901045322,1.077825695351255e-05,8.055587522099529e-07,,,,,,,,,,,,,8.055587522099529e-07,5.893593731515567e-07,4.448717946582119e-07,,,,,,,,,,,,,,,,,,,
What is the major difference between naturalism and positivism?,international_law,"['On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires'
 'While naturalism serves only the theory human rights law, positivism has a wider and more general scope'
 'Naturalism concerns the underpinning values of the international society, while positivism the international rules as such'
 'Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory']",0,6.540180611970875e-06,4.222657974691264e-06,0.9999735392336682,1.3006702240862122e-05,3.806841621399789e-07,,1.400458768308742e-07,2.1690729723444188e-07,,1.4449141016768576e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is an 'internationally wrongful conduct'?,international_law,"['An international wrongful conduct is an action or omission which is in breach of a rule of international criminal law'
 'An international wrongful conduct is every breach of an international obligation of the State, whether attributable to it or not'
 'An internationally wrongful conduct consists of an action or omission attributable to the State, which constitutes a breach of an international obligation of the State'
 'An internationally wrongful conduct is the conduct that cannot be excused on grounds of necessity, force majeure etc.']",2,0.00012333815000542168,6.20183165912428e-05,0.9995514649854407,0.00024528720034474347,2.900635266177836e-06,,7.806953908868689e-07,2.724894659504902e-06,,,1.5525981761869098e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the effects doctrine?,international_law,"['It posits that jurisdiction exists only when it is effective'
 'The effects doctrine serves to confer jurisdiction on the State which has an effective link with the harmful conduct'
 'The effects doctrine serves to confer jurisdiction on the State sharing the nationality of the offender'
 'The effects doctrine serves to confer jurisdiction to the State on whose territory the conduct produces effects']",3,0.14643803171975964,0.0007681441802334591,0.009961445297149,0.8427033090857786,2.628446097305091e-05,,1.644839537801119e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.769671822832386e-06,,,,
Which persons are considered as 'de facto' organs of the State under the law of international responsibility?,international_law,"[""'De facto organs' are the individuals that are empowered by law to exercise elements of governmental authority""
 ""'De facto organs' are the persons, which are, in fact, acting on the instructions of, or under the direction or control of, that State in carrying out the conduct attributable to the State""
 ""'De facto organs' are the de jure organs of the State that act without due authority or ultra vires""
 ""'De facto organs' are the organs, whose acts or omission cannot be attributed to the State""]",1,0.9998589596688557,5.47524810758615e-05,7.483776850788778e-05,2.4056561267469975e-06,5.202596235862799e-07,,5.931595067028352e-07,,,,,,,,,,,,3.6891931555758485e-07,,,,,,,,,,,,,,,,,,,,
What is the fundamental prerequisite for the incorporation of custom under English law?,international_law,"['Custom is incorporated if it is not in conflict with existing legislation'
 'Custom is superior to English law and is always incorporated'
 'Custom must first be recognised by Parliament before the courts can bring it into the domestic sphere'
 'Custom is incorporated with the passing of implementing legislation']",0,0.005522284519289386,0.9888135436529844,0.004040189661802208,0.0013962521857759371,3.0847214020822445e-05,,,,,,,1.2859031938175246e-05,1.2079942577857514e-05,,,,,,,,1.2859031938175246e-05,,,,,,,,,,,,,,,,,,
Was the use of armed force permitted prior to the United Nations Charter?,international_law,"['Armed force was prohibited'
 'Armed force was permitted with no restrictions'
 'Armed force was permitted subject to few restrictions'
 'Armed force was not regulated under international law prior to 1945']",2,0.0010040205495706917,0.0011377043325933342,0.025914898168629776,0.9718556567738235,2.5135162638996047e-05,,5.43586014141883e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the protective principle of jurisdiction?,international_law,"['It is jurisdiction based on the harm to national interests by conduct committed abroad'
 ""It is jurisdiction in order to protect one's nationals abroad""
 'It is jurisdiction in order to protect international human rights'
 'It is jurisdiction based on the nationality of the offender']",0,0.528895935226712,0.4667896105958627,0.004037530023759128,0.00010759653060161467,2.2553458032049994e-05,,,7.096760439028431e-06,,,,,1.0653499222988606e-05,,,,,,2.555641608032504e-05,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is correct?,international_law,"['The Council of Europe was established in 1950 and consists of 27 member states'
 'The Council of Europe was established in 1949 and consists of 47 member states'
 'The Council of Europe was established in 1959 and consists of 34 member states'
 'The Council of Europe was established in 1984 and consists of 19 member states']",1,0.9982701921026127,0.0007545868971190457,0.0002607781293113633,9.593491248079846e-05,,,,3.529248199226737e-05,,,,,3.529248199226737e-05,3.529248199226737e-05,,,,,,,0.00015633708457570458,,,,,,,,,,,,,,,,,,
What is the 'equitable result' in the law and practice of maritime delimitation?,international_law,"['It is the only method of delimitation that international courts and tribunals follow'
 'An equitable result is what a judge or the arbitrator would decide ex aequo et bono, i.e. upon their discretion and in light of what they consider as fair and equitable in a delimitation case'
 ""It is the end result that all delimitations of areas of continental shelf and EEZ should achieve, after, however, drawing a provisional 'equidistance line' and adjusting the zone in the light of the relevant circumstances and the proportionality test.""
 'Achieving an equitable result is an old method of delimitation which is currently not applicable']",2,0.0002958717121884498,0.00013129227641270805,0.999492831118535,5.82605944925608e-05,3.842702732488277e-06,,,1.7051890009828885e-06,,,,,8.846403998581058e-07,,,,,,,,1.0024289006196312e-06,,,,,,,,,,,,,,,,,,
What is a derogation?,international_law,"['Derogations are exemptions from particular human rights obligations contained in a treaty'
 'A derogation refers to the ability of rights holders to bring a claim against the State for breach of an obligation'
 'A State may suspend particular rights by means of a derogation in circumstances that threaten its existence'
 'Derogations are enforcement clauses in human rights treaties']",2,0.0005187369637044836,0.0009104117238869994,0.9984917588441743,3.5300493394430825e-05,3.387685487014243e-06,,2.3283199151406627e-06,7.634267093123917e-06,,,,,1.8708576105853206e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
What is an act jure gestionis?,international_law,"['Acts jure gestionis are those undertaken by States in a private capacity'
 'All purchases by the State are acts jure gestionis'
 'All acts undertaken by State corporations are jure gestionis'
 'All conduct undertaken by government officials in their free time is considered jus gestionis.']",0,0.003586352800466321,0.9945282620173966,0.0014044359359107067,0.0003133718658705803,2.1325223099903935e-05,,,,,,,1.0073322122134676e-05,,,,,,,,,2.1285478991364252e-05,,,,,,,,,,,,,,,,,,
What is the meaning of cultural relativism?,international_law,"['Culture relativism posits that human rights apply equally to all without restrictions'
 'Culture relativism posits that human rights have a cultural origin'
 'Cultural relativism posits that the application of human rights is relative to the laws in each nation'
 'Cultural relativism posits that local culture should validate the existence and practice of all human rights']",3,0.0015937574396663618,0.0020464250605667883,0.9360297381530599,0.059840517395177054,0.00012289737738497392,,3.748158242219727e-05,,,,,,4.247219714020958e-05,,,,,,,,6.578222578031858e-05,,,,,,,,,,,,,,,,,,
Is recognition of governments prevalent in contemporary international practice?,international_law,"['Recognition of governments is very prevalent in contemporary practice'
 'Recognition of governments has largely been replaced by functional Recognition'
 'Government recognition is common in respect of rebel entities'
 'Only democratic governments are recognised in contemporary practice']",1,0.8618351151499734,0.13223824458652622,0.0048126550258196545,0.0003711121066551172,,,,,,,,,6.864880427730385e-05,,,,,,5.022453811777457e-05,,0.000223351272816799,,,,,,,,,,,,,,,,,,
What is the legal nature of the Universal Declaration of Human Rights (UDHR)?,international_law,"['The UDHR is a multilateral treaty'
 'The UDHR is a UN General Assembly resolution'
 'The UDHR is a UN Security Council resolution'
 'The UDHR is a declaration adopted by several States at an international conference']",1,0.9997975252254164,5.827982198953619e-05,0.00010888104183182054,1.4735446635406907e-05,1.1723448950566346e-06,,1.002759727979403e-06,,,,,,,,,,,7.569227539585778e-07,,,,,,,,,,,,6.082045193446082e-07,,,,,,,,,
Under what circumstances do human rights violations taking place outside the territory of ECHR member States fall within the remit of the ECHR?,international_law,"['The ECHR applies outside Europe where human rights are violated by ECHR member States abroad'
 'The ECHR applies extraterritorially in circumstances where a member State exercises effective control'
 'The ECHR applies extraterritorially where a member State has contributed forces to a UN peacekeeping mission'
 'The ECHR applies extraterritorially where human rights violations are taking place in former colonies of member States']",1,0.9997859750670531,0.00010887470795581474,7.482841950952964e-05,1.0780055919321413e-05,1.2874940765257773e-06,,8.312686532935078e-07,,,,,,8.312686532935078e-07,,,,,,,,1.414035612482608e-06,,,,,,,,,,,,,,,,,,
What does the principle 'pacta sunt servanda' mean?,international_law,"['Parties to a treaty should be cognizant of its terms and not misinterpret them'
 'Parties to a treaty should safeguard the object and purpose of the treaty'
 'Parties to a treaty should adhere to its terms in good faith'
 'Parties to a treaty should not violate the most important provisions of the treaty']",2,4.006220256363338e-05,6.961766922793104e-06,0.999944045492966,5.093337485799204e-06,3.256061718710924e-07,,1.5868777450769532e-07,9.131850918313774e-07,1.4448686291359504e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the consequence from the absence of implementing legislation in the Tin Council case?,international_law,"['The International Tin Council was headquartered in London and hence the absence of implementing legislation was inconsequential'
 'The constitutive treaties of international organisations are subject to the doctrine of incorporation'
 ""The absence of implementing legislation with respect to the Council's founding treaty meant that individuals did not derive rights and duties from it in the English legal system""
 'The absence of implementing legislation in England in respect of an international organisation is inconsequential under international law']",2,0.00020335857055912246,5.826320594782002e-05,0.9995962349849945,0.00013129816141797994,1.9936572743394695e-06,,7.567069492490515e-07,8.574613089664802e-07,,,,,,,,,,,,4.17893266778173e-07,,,,,,,,,,,,,,,,,,,
Which of the following statements is true?,international_law,"['The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law'
 'The Human Rights Act 1998 allows a court to invalidate primary legislation'
 'The Human Rights Act 1998 allows any person with a reasonable case to bring a case before a court'
 'The Human Rights Act 1998 incorporates the EU charter of fundamental rights into UK law']",0,0.9993197779627171,,0.00010883463656087797,2.7517705517608867e-05,,,0.0004084341479375511,,,0.00010224067927184585,,,3.609537452024412e-06,,,,,,,,,,,,,,,,,,,,,,,5.4185574912480555e-06,2.3304925369858498e-06,,
What forms may the obligation of reparation take?,international_law,"['Reparation may take only the form of pecuniary compensation, including the interest'
 'Reparation denotes only the physical restitution of the wrongful act'
 'Reparation includes restitution, compensation, and satisfaction, either alone or alongside other forms of reparation'
 'The form of reparation is a matter for the responsible State to decide']",2,2.4290891184104844e-05,1.8917765075683137e-05,0.9996692291892968,0.0002779945284555935,1.552864720204691e-06,,6.081105619000501e-07,2.057211513694939e-06,,,1.2477618565698165e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is jus cogens?,international_law,"['They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States'
 'They are rules of international law that are laid down in multilateral treaties with a wide participation'
 'They are the decisions of the UN Security Council'
 'They are the rules of international law on which the ICJ founds its decisions']",0,0.00010888955680311445,0.9998608080304261,6.961076474169401e-06,4.784273229540691e-06,6.474809726012331e-07,,,8.850015595394767e-07,,5.5381982443493e-07,,,9.71984061991459e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
What is 'unilateral acts'?,international_law,"['They are acts that States perform as practice in the context of custom'
 'They are acts creating unilateral legal obligations to the acting State'
 'Unilateral acts are simply political acts of State devoid of any legal effect'
 'Unilateral acts are those that State perform in order to be bound by a treaty']",1,0.9977340845238118,0.0002774581861220649,0.0019275904528626281,3.1129945732310464e-05,3.835961963067088e-06,,,,,,,,,,,,,3.082282029137008e-06,,1.5498687364624356e-06,,,,,,,,,,,,,,,,,,,
Is extra-territorial abduction a ground for refusal of otherwise lawful jurisdiction by English courts?,international_law,"['Such abduction constitutes abuse of process and leads to a stay of proceedings'
 ""Such abduction gives rise to the abductor's liability but does not lead to a stay of proceedings""
 'The stay of proceedings under such circumstances would prevent the administration of justice in respect of international criminals'
 'The courts may, but will seldom, stay proceedings in cases of extra-territorial abduction']",0,0.00016862908970460903,0.9997357459624984,3.5346577407010006e-05,4.538590378352153e-05,9.718552236143154e-07,,,,,,,4.051295313509719e-07,6.081714585885328e-07,,,,,,8.576592246002925e-07,,,,,,,,,,,,,,,,,,,,
What is the meaning of 'secondary rules' in the law of international responsibility?,international_law,"['Secondary rules are the rules of interpretation of international law, including the law of international responsibility'
 'Secondary rules are the rules that govern the legal consequences arising from a breach of the primary rules, ie of the international obligations of the States'
 'Secondary rules are the rules that govern exclusively the concept of attribution in the law of international responsibility'
 'Secondary rules are the rules that govern exclusively the law of countermeasures']",1,0.0038220624138255686,0.995689785785428,0.0004028424146442624,2.5752853971553347e-05,3.949328066969848e-06,,,,,,,,2.714330838856651e-06,,,,3.075739791161995e-06,,3.274107964765118e-06,,,,,,,,,,,,,,,,,,,,
What does the doctrine of incorporation suggest in respect of treaties?,international_law,"['The doctrine of incorporation requires that all treaties undergo legislative transformation before they become domestic law'
 'The doctrine of incorporation does not require any further action at the domestic level'
 'The doctrine of incorporation treats treaties as inferior to domestic law'
 'The doctrine of incorporation suggests that ratified treaties automatically pass into the sphere of domestic law']",3,0.00011589619175312632,4.831272056725592e-05,0.00013132759040139136,0.9996953913649552,1.2478784779461423e-06,,2.5352189009118435e-07,3.2877218948734408e-06,,,,,3.465233382947239e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
Are the provisional measures issued by the ICJ binding upon the parties?,international_law,"['No, according to the literal interpretation of the relevant provision of the State, the provisional measures are not binding'
 'No, unless the parties have agreed so beforehand'
 'It depends upon the Court whether the provisional measures will be binding'
 'Yes, it has been consistently held by the Court since the La Grand case (2001) that they are binding']",3,0.005881567513389702,0.00168509730564321,0.9893447292881494,0.0027782557710134357,4.218558560179544e-05,,,,,,,,,,,,,,,,7.1052119291556395e-06,,,,,,,,,,,,,,,,,0.00015190095939156584,
When are countermeasures illegal?,international_law,"['Countermeasures are illegal when inter alia are disproportionate or in violation of a peremptory norm of international law (e.g. the use of force, human rights)'
 'Countermeasures are illegal when they are taken in the course of an armed conflict'
 'Countermeasures are illegal when they violate bilateral treaties'
 'Countermeasures are illegal when the responsible State does not consent to them']",0,0.0003149519960002115,0.9994777948471772,6.601752476761134e-05,7.96323353665916e-05,6.958195917999909e-06,,,3.9646605251891655e-06,,,,,2.2589954731414675e-06,,,,,,,1.8727730250719872e-06,,,,,,,,,,,,,,,,,,,
What is the difference between political and legal means of dispute settlement?,international_law,"['The outcome arising from legal methods, ie arbitration or adjudication by the ICJ, is final and binding upon the parties, whereas this is not the case with diplomatic methods'
 'The political methods are pursued upon the consent of then parties to the dispute, whereas the legal methods not'
 'The political means lead to a final settlement of the dispute, whereas this is not the case with the legal methods'
 'The legal methods of dispute settlement are pursued only in respect of significant disputes, whereas the political means are employed in all disputes']",0,6.204523353117848e-05,0.9998995205792752,1.568749176763427e-05,6.539519501945996e-06,6.475001149493848e-07,,,7.337137536154877e-07,,4.1805749507896104e-07,,,3.806456809219767e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the rationale for the exhaustion of local remedies in international human rights?,international_law,"['The local remedies rule aims to free up international tribunals to deal with the most serious cases'
 'The local remedies rule aims to dissuade applicants abusing the system from filing unnecessary petitions'
 'The local remedies rule aims on the one hand to restrict the volume of petitions to international tribunals while at the same time building up the capacity of local courts'
 'The local remedies rule helps demonstrate that national courts are always better placed than international ones to deal with cases']",2,0.0003788134819259396,0.00040324485247354345,0.9967046306671364,0.0024701741959814926,8.369079914066129e-06,,1.8673941415205824e-06,2.6334478358400725e-06,,,,,,,,,,,,,,,,,,,,,,,,1.80994046382817e-06,,,,,,,
Which of the following cases best illustrates the 'living instrument principle' used by the European Court of Human Rights?,international_law,"['Golder v UK (1978)' 'A v UK (2009)' 'Goodwin v UK (2002)'
 'Osman v UK (1998)']",2,0.031125562650247695,0.9099375006895744,0.05819601970156276,0.00039181310343262116,,,,,,,,,1.9507225768024855e-05,,,,,,,,,,,,,,,0.00010545506617314005,,,,,,,,,,,
Is the recognition of foreign judgments subject to the same rules as those applicable to the incorporation and transformation of treaties?,international_law,"['Foreign judgments are enforced on the basis of the doctrine of incorporation'
 'Foreign judgments are enforced on the basis of the doctrine of transformation'
 'The recognition of foreign judgments is dependent on the existence of appropriate bilateral or multilateral treaties'
 'The courts exercise discretion as to the enforcement of foreign judgments on the basis of the rule of comity']",2,9.0256601810536e-05,5.142666153022134e-05,0.00017949668589778187,0.9996708914660193,3.7253348663319206e-06,,6.878333407377719e-07,,,,,,,,,,,,,,,,,,,,,,2.7842870321518723e-07,,,,,,,,,,
What was the most important finding by the House of Lords in the Pinochet case?,international_law,"['The Pinochet case confirmed that former heads of State enjoy absolute immunity'
 'The Pinochet case confirmed that all public acts enjoy immunity'
 'The Pinochet case confirmed that former heads of State cease to enjoy personal immunity once removed from office'
 'The Pinochet case confirmed that in respect of immunities there is no difference between a current and a former head of State']",2,0.0005872560405669816,0.0004296456974721268,0.9976664507855763,0.0012432210476361935,1.665916362407927e-05,,,3.835157230641196e-06,,,,2.9868234544253233e-06,,,,,,,,2.9868234544253233e-06,,,,,,,,,,,,,,,,,,,
Which one of the statements below is false?,international_law,"['The war crimes trials at Nuremberg and Tokyo took place immediately after the First World War'
 ""The war crimes trials introduced a 'crime against humanity' as an offence""
 'The war crimes trials held individuals legally responsible for acts such as war crimes and crimes against humanity'
 'The war crimes trials found that ""superior orders"" could not be used as a defence for war crimes or crimes against humanity']",0,6.204576607197496e-05,0.9999029715630705,1.0781937444730924e-05,6.143362773330896e-06,8.850353203137008e-07,1.7601029034116224e-06,,7.111458583841871e-07,,,,,5.714217503971784e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
