question,subject,choices,answer,d,c,b,a,'},e,',},Unnamed: 12,none,i,...',sol,f,}',''',db,g,cd,{',1,l,n,bc,manifest,ab,j,solution,q,p,']}
"This question refers to the following information.
""If any person or persons shall, from and after the passing of this act, by force and violence, take and carry away, or cause to be taken or carried away, and shall, by fraud or false pretense, seduce, or cause to be seduced, or shall attempt so to take, carry away or seduce, any negro or mulatto, from any part or parts of this commonwealth, to any other place or places whatsoever, out of this commonwealth, with a design and intention of selling and disposing of, or of causing to be sold, or of keeping and detaining, or of causing to be kept and detained, such negro or mulatto, as a slave or servant for life, or for any term whatsoever, every such person or persons, his or their aiders or abettors, shall on conviction thereof, in any court of this commonwealth having competent jurisdiction, be deemed guilty of a felony.""
âExcerpt from Pennsylvania law, 1826
The passage and implementation of this Pennsylvania law reflected an ongoing conflict between",high_school_us_history,"['rural and urban interests.' 'federal law and state law.'
 'those who favored gradual emancipation and those who favored immediate emancipation.'
 'supporters and opponents of government regulation of commerce.']",1,0.0127019749302279,0.2892053402131307,0.6935900009046606,0.0032115622072808,0.0003179878719437,8.558527467381775e-05,,,,,,,,4.876501955901981e-05,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The far-reaching, the boundless future will be the era of American greatness. In its magnificent domain of space and time, the nation of many nations is destined to manifest to mankind the excellence of divine principles; to establish on earth the noblest temple ever dedicated to the worship of the Most Highâthe Sacred and the True. Its floor shall be a hemisphereâits roof the firmament of the star-studded heavens, and its congregation a Union of many Republics, comprising hundreds of happy millions, calling, owning no man master, but governed by God's natural and moral law of equality, the law of brotherhoodâof 'peace and good will amongst men.'""
John L. O'Sullivan, ""The Great Nation of Futurity,"" 1839
Which of the following best states the principle described above?",high_school_us_history,"['Colonists were destined to leave the British Empire because of the distance between the New World and England.'
 'Women are biologically predestined to lives of child rearing and domestic labor.'
 ""America's expansion to the West Coast was inevitable and divinely sanctioned.""
 'The abolition of slavery in the United States was certain to come about because slavery was immoral.']",2,0.0002303526148793,0.9991761303675794,0.0001793987968506,0.0002303526148793,9.020738010648364e-05,7.404672671906226e-06,,2.6402173493904126e-06,,,,,,,,3.963435672080055e-06,,,,,,,,,,,,,,,
"This question refers to the following information.
""I observe the great and wonderful mistake, both our own and our fathers, as to the civil powers of this world, acting in spiritual matters. I have readâ¦the last will and testament of the Lord Jesus over many times, and yet I cannot find by one tittle of that testament that if He had been pleased to have accepted of a temporal crown and government that ever He would have put forth the least finger of temporal or civil power in the matters of His spiritual affairs and Kingdom. Hence must it lamentably be against the testimony of Christ Jesus for the civil state to impose upon the souls of the people a religion, a worship, a ministry, oaths (in religious and civil affairs), tithes, times, days, marryings, and buryings in holy groundâ¦""
Roger Williams, The Hireling Ministry None of Christ's, 1652
The Puritans believed that the freedom to practice religion should be extended to",high_school_us_history,"['Puritans only' 'all Protestants only' 'all Christians only'
 'all Jews and Christians only']",0,0.0267951022127394,0.3698949542715537,0.2542248515026973,0.2880744972114251,0.0117860845177281,,0.012657107044885,0.0059787940224663,,0.0078565072958055,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Tonight, the daughter of a woman whose highest goal was a future for her children talks to our nation's oldest political party about a future for us all. Tonight, the daughter of working Americans tells all Americans that the future is within our reach, if we're willing to reach for it. Tonight, the daughter of an immigrant from Italy has been chosen to run for (vice) president in the new land my father came to love.â¦ Americans want to live by the same set of rules. But under this administration, the rules are rigged against too many of our people. It isn't right that every year the share of taxes paid by individual citizens is going up, while the share paid by large corporations is getting smaller and smaller.â¦ It isn't right that young couples question whether to bring children into a world of 50,000 nuclear warheads. That isn't the vision for which Americans have struggled for more than two centuries.â¦ Tonight, we reclaim our dream. We're going to make the rules of American life work for all Americans again.â¦ The issue is not what America can do for women, but what women can do for America.
âGeraldine Ferraro, Vice Presidential Nomination Acceptance Address, July 19, 1984
The ideas expressed in the passage above would most directly have strengthened which of the following during the 1980s?",high_school_us_history,"[""Opposition to the administration's arms buildup""
 'Efforts to deregulate many industries'
 'Efforts to reform the welfare system'
 ""Support for the administration's cold war policies""]",0,0.0024562311908501,0.0029627803619747,0.0029627803619747,0.9910366125241404,0.0001213437681452,7.895538460363851e-05,1.8753547623053144e-05,,,,,,,2.72862507851759e-05,,,,,,,,,,,,,,,,,
"This question refers to the following information.
I appeal to any white man to say, if ever he entered Logan's cabin hungry, and he gave him not meat: if ever he came cold and naked, and he clothed him not? During the course of the last long and bloody war, Logan remained idle in his cabin, an advocate for peace. Such was my love for the whites, that my countrymen pointed as they passed, and said, ""Logan is the friend of the white man."" I had even thought to have lived with you but for the injuries of one man. Colonel Cresap, the last spring, in cold blood and unprovoked; murdered all the relations of Logan, not even sparing my women and children. There runs not a drop of my blood in the veins of any living creature. This called on me for revenge. I have sought it: I have killed many; I have fully glutted my vengeance. For my country, I rejoice at the beams of peace. But do not harbor a thought that mine is the joy of fear. Logan never felt fear. He will not turn on his heel to save his life. Who is there to mourn for Logan? Not one.
âAddress attributed to Logan, an Indian leader, 1774
Which of the following best expresses the perspective of Logan in the passage above?",high_school_us_history,"['Logan believes the expansion of British settlements must be stopped'
 'Logan laments the loss of his family' 'Logan opposes a new peace treaty'
 'Logan believes that Indians need to find strength in unity']",1,0.0024730982228142,0.1350266200087646,0.6858900132327906,0.1734932804189439,0.0004037221867322,0.0003562835792959,0.0002030043610164,,,0.0001395227208744,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Those who came before us made certain that this country rode the first waves of the industrial revolutions, the first waves of modern invention, and the first wave of nuclear power, and this generation does not intend to flounder in the backwash of the coming age of space. We mean to be a part of itâwe mean to lead it. For the eyes of the world now look into space, to the moon, and the planets beyond, and we have vowed that we shall not see it governed by a hostile flag of conquest, but by a banner of freedom and peace. We have vowed that we shall not see space filled with weapons of mass destruction, but with instruments of knowledge and understanding.â¦ We choose to go to the moon. We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard, because that goal will serve to organize and measure the best of our energies and skills, because that challenge is one that we are willing to accept, one we are unwilling to postpone, and one which we intend to win, and the others, too.
âJohn F. Kennedy, September 12, 1962
Kennedy's speech most directly led to which of the following?",high_school_us_history,"['The Vietnam War'
 'The Mutually Assured Destruction (MAD) nuclear strategy'
 'The Apollo space program' 'The Great Society social programs']",2,2.4297957719487643e-05,0.9998923117373032,2.2825818881376223e-05,1.66997258371202e-05,2.0143714461771493e-05,1.248124846681704e-06,,,,,,,5.042880241511174e-07,,,5.202958443986637e-07,,,,,,,,,,,,,,,
"This question refers to the following information.
The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills.
At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two actsâone of international terrorism and one of military aggressionâpresent a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.â¦
Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.
Each of these factors is important in its own right. Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail.
âJimmy Carter, State of the Union Address, January 23, 1980
The situation Carter described led most directly to which of the following?",high_school_us_history,"['The creation of the North Atlantic Treaty Organization (NATO)'
 ""Carter's defeat in the next presidential election""
 'An American invasion in the Middle East'
 ""Carter's victory in the next presidential election""]",1,0.0008518919475017,0.0026240119301524,0.9945067497121792,0.0013194360594531,9.557958199310655e-05,7.443745330186895e-05,,,,7.727299969359098e-05,2.5724895506506286e-05,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Americans have more freedom and broader rights than citizens of almost any other nation in the world, including the capacity to criticize their government and their elected officials. But we do not have the right to resort to violenceâor the threat of violenceâwhen we don't get our way. Our founders constructed a system of government so that reason could prevail over fear. Oklahoma City proved once again that without the law there is no freedom. Criticism is part of the lifeblood of democracy. No one is right all the time. But we should remember that there is a big difference between criticizing a policy or a politician and demonizing the government that guarantees our freedoms and the public servants who enforce our laws.""
President Bill Clinton, ""What We Learned in Oklahoma City,"" 2010
(Written on the 15th anniversary of the Oklahoma City bombing)
""If there would not have been a Waco, I would have put down roots somewhere and not been so unsettled with the fact that my governmentâ¦was a threat to me. Everything that Waco implies was on the forefront of my thoughts. That sort of guided my path for the next couple of years.""
Timothy McVeigh, Oklahoma City bomber, 2001
U.S. Representative John Conyers, Events Surrounding the Branch Davidian Cult Standoff in Waco, Texas: Hearing Before the Committee on the Judiciary, House of Representatives, 1993
In the third excerpt, Representative Conyers refers to ""Wounded Knee"" as an example of",high_school_us_history,"['a violent cult' 'a federal misuse of power' 'the site of a bombing'
 'a recent conflict between federal agents and Lakota Indians']",1,0.8912793335193023,0.0127112512362689,0.0939486869599184,0.0016160542424062,0.000103310891311,3.800595296243658e-05,,,,,,,,,,,1.9110593300391345e-05,,,,,,,,,,,,,,
"This question refers to the following information.
""If any person or persons shall, from and after the passing of this act, by force and violence, take and carry away, or cause to be taken or carried away, and shall, by fraud or false pretense, seduce, or cause to be seduced, or shall attempt so to take, carry away or seduce, any negro or mulatto, from any part or parts of this commonwealth, to any other place or places whatsoever, out of this commonwealth, with a design and intention of selling and disposing of, or of causing to be sold, or of keeping and detaining, or of causing to be kept and detained, such negro or mulatto, as a slave or servant for life, or for any term whatsoever, every such person or persons, his or their aiders or abettors, shall on conviction thereof, in any court of this commonwealth having competent jurisdiction, be deemed guilty of a felony.""
âExcerpt from Pennsylvania law, 1826
Debate and conflict over the Pennsylvania law, excerpted above, reflected the fact that the framers of the Constitution",high_school_us_history,"['specifically declared that the institution of slavery would be protected ""in perpetuity"" in the original 13 states.'
 ""allowed for a state to be exempt from federal laws that went against that state's constitution.""
 'postponed a solution to the problems of slavery.'
 'declared that slaves could be both citizens and property.']",2,0.0011666746732897,0.9964903408181762,0.0012419187250767,0.000801842994789,0.0001578923226435,1.8857548759846872e-05,,,,,6.937304499635692e-06,,,4.767935006307982e-06,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Whereas the laws and treaties of the United States, without interfering with the free expression of opinion and sympathy, or with the commercial manufacture or sale of arms or munitions of war, nevertheless impose upon all persons who may be within their territory and jurisdiction the duty of an impartial neutrality during the existence of the contest; And Whereas it is the duty of a neutral government not to permit or suffer the making of its waters subservient to the purposes of war;
""Now, Therefore, I, Woodrow Wilson, President of the United States of America, in order to preserve the neutrality of the United Statesâ¦do hereby declare and proclaimâ¦.
""That the statutes and the treaties of the United States and the law of nations alike require that no person, within the territory and jurisdiction of the United States, shall take part, directly or indirectly, in the said wars, but shall remain at peace with all of the said belligerents, and shall maintain a strict and impartial neutralityâ¦.""
Woodrow Wilson, 1914
All of the following increased federal government power during World War I EXCEPT the",high_school_us_history,['War Industries Board' 'Food Administration' 'Espionage Act' 'Dawes Plan'],3,0.9995541927731963,0.0002779820682714,7.028487378272751e-05,6.202618341180626e-05,1.3839912238072212e-05,7.407971195127988e-06,,,,,,,,9.71714355152966e-07,,,,6.273859415133419e-07,,,,,,,,,,,,,
"This question refers to the following information.
All this while the Indians came skulking about them, and would sometimes show themselves aloof off, but when any approached near them, they would run away; and once they stole away their tools where they had been at work and were gone to dinner. But about the 16th of March, a certain Indian came boldly amongst them and spoke to them in broken English, which they could well understand but marveled at it. At length they understood by discourse with him, that he was not of these parts, but belonged to the eastern parts where some English ships came to fish, with whom he was acquainted and could name sundry of them by their names, amongst whom he had got his language. He became profitable to them in acquainting them with many things concerning the state of the country in the east parts where he lived, which was afterwards profitable unto them; as also of the people here, of their names, number and strength, of their situation and distance from the place, and who was chief amongst them. His name was Samoset. He told them also of another Indian whose name was Squanto, a native of this place, who had been in England and could speak better English than himself.
âWilliam Bradford, History of Plymouth Plantation
Which of the following best expresses the perspective of William Bradford in the passage above?",high_school_us_history,"['The only good Indian is a dead Indian.'
 'The native peoples of America need to be converted to Christianity.'
 'Native Americans need to be incorporated into their new colony.'
 'Surprise that Native Americans could learn English and serve as cultural intermediaries.']",3,0.99894227592243,0.0006260546542253,0.0001396916752589,0.000158291405726,7.477156565132907e-05,6.9548389865399645e-06,2.7235540797602163e-06,,,,,,,1.7584586782438574e-06,1.6519190527599985e-06,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Wherever I goâthe street, the shop, the house, or the steamboatâI hear the people talk in such a way as to indicate that they are yet unable to conceive of the Negro as possessing any rights at all. Men who are honorable in their dealings with their white neighbors will cheat a Negro without feeling a single twinge of their honor. To kill a Negro they do not deem murder; to debauch a Negro woman they do not think fornication; to take the property away from a Negro they do not consider robbery. The people boast that when they get freedmen affairs in their own hands, to use their own classic expression, 'the niggers will catch hell.'
""The reason of all this is simple and manifest. The whites esteem the blacks their property by natural right, and however much they may admit that the individual relations of masters and slaves have been destroyed by the war and the President's emancipation proclamation, they still have an ingrained feeling that the blacks at large belong to the whites at large, and whenever opportunity serves they treat the colored people just as their profit, caprice or passion may dictate.""
âCongressional testimony of Col. Samuel Thomas, Assistant Commissioner, Bureau of Refugees, Freedmen and Abandoned Lands, 1865
Which of the following factors did Alexander Hamilton believe was a source for the problems in the excerpt from Federalist #15?",high_school_us_history,"['economic class divisions among the American people that prevented them from forging a unified vision.'
 'a failure of American policy-makers to abandon mercantilist principles and to embrace a laissez-faire approach to trade.'
 'a weak central government without the powers to address pressing issues.'
 'an unhealthy obsession among the American people with religion and individual salvation, at the expense of interest in solving practical national problems.']",2,0.0048694593818309,0.987917309965393,0.0016828401324099,0.0042972828217272,0.0005815739878262,9.493938894321292e-05,3.281017487408305e-05,,,3.492624934958738e-05,2.72005903432058e-05,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""I was once a tool of oppression
And as green as a sucker could be
And monopolies banded together
To beat a poor hayseed like me.
""The railroads and old party bosses
Together did sweetly agree;
And they thought there would be little trouble
In working a hayseed like me. . . .""
â""The Hayseed""
Which of the following is an accomplishment of the political movement that was organized around sentiments similar to the one in the song lyrics above?",high_school_us_history,"['Establishment of the minimum wage law.'
 'Enactment of laws regulating railroads.'
 'Shift in U.S. currency from the gold standard to the silver standard.'
 'Creation of a price-support system for small-scale farmers.']",1,0.0029737679709045,0.0009069479892707,0.9946508014370724,0.0011645442698374,7.444682445123601e-05,3.743421421374064e-05,,,,,1.2936918262254305e-05,9.765298232044358e-06,,9.765298232044358e-06,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""We found that not only was it a civil war, an effort by a people who had for years been seeking their liberation from any colonial influence whatsoever, but also we found that the Vietnamese whom we had enthusiastically molded after our own image were hard put to take up the fight against the threat we were supposedly saving them from.
""We found most people didn't even know the difference between communism and democracy. They only wanted to work in rice paddies without helicopters strafing them and bombs with napalm burning their villages and tearing their country apart. They wanted everything to do with the war, particularly with this foreign presence of the United States of America, to leave them alone in peace, and they practiced the art of survival by siding with whichever military force was present at a particular time, be it Viet Cong, North Vietnamese or American.""
John Kerry, 1971
The conflict described above is most likely a result of which of the following doctrines?",high_school_us_history,['Imperialism' 'Containment' 'Big-stick diplomacy' 'Isolationism'],1,0.0001147512959009,0.0020340163582268,0.9299545138111668,0.0673799668639632,8.936839910615428e-05,2.9013671273678728e-05,2.259586990771732e-05,1.13619169213236e-05,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
One of the rights which the freeman has always guarded with most jealous care is that of enjoying the rewards of his own industry. Realizing that the power to tax is the power to destroy and that the power to take a certain amount of property or of income is only another way of saying that for a certain proportion of his time a citizen must work for the government, the authority to impose a tax on the people has been most carefully guarded.â¦ A government which lays taxes on the people not required by urgent necessity and sound public policy is not a protector of liberty, but an instrument of tyranny. It condemns the citizen to tyranny. One of the first signs of the breaking down of free government is a disregard by the taxing power of the right of the people to their own property.â¦ Unless the people can enjoy that reasonable security in the possession of their property, which is guaranteed by the Constitution, against unreasonable taxation, freedom is at an end.â¦ With us economy is imperative. It is a full test of our national character.â¦ It is always the people who toil that pay.
âCalvin Coolidge, ""Economy in the Interest of All,"" June 30, 1924
In the passage above Coolidge is reacting against which of the following?",high_school_us_history,"['The economic policies of his predecessor Warren G. Harding'
 'The growing strength of radical politics in America following the Russian Revolution'
 'Populist agitation in the West'
 'The governmental policies of the Progressive Era']",3,0.9630640039442576,0.0199858369442778,0.0078265643352256,0.0078265643352256,0.0004415445453713,0.0001959342977182,2.82270118727653e-05,,,,,,,3.198539483832294e-05,,,,2.82270118727653e-05,,,,,,,,,,,,,
