question,subject,choices,answer,c,d,a,b,e,cd,f,Unnamed: 11,','},s,4,bc,ab,'.,{',la,none,abc,g,''',l,rational,1,h,nico,j,adam,human,liberalism,liberal,i,material,materialism,ad,sol,solution,bs,cb,revival,influence,resurgence,shift,renaissance,emphasis,tradition,-,vs,3,p,ana,darwin,choice,they,da,n,all,pred,...',neo,france,religious,the,emp,mexico,national,options,w,william
"This question refers to the following information.
The assumption by a government of the office of Reliever-general to the poor is necessarily forbidden by the principle that a government cannot rightly do anything more than protect. In demanding from a citizen contributions for the mitigation of distress â¦ the state is â¦ reversing its function. â¦ To enforce the fundamental lawâto take care that every man has freedom to do all that he wills, provided he infringes not the equal freedom of any other man. â¦ [But that] is quite a separate thing from insuring him satisfaction. â¦
The poverty of the incapable, the distresses that come upon the imprudent, the starvation of the idle, and those shoulderings aside of the weak by the strong â¦ are the decrees of a large, farseeing benevolence. â¦ When regarded not separately, but in connection with the interests of universal humanity, these harsh fatalities are seen to be full of the highest beneficence.
Herbert Spencer, Social Statistics: Survival of the Fittest Applied to Humankind, 1851
From the passage, one may infer that Spencer advocated which social philosophy?",high_school_european_history,"['Utopian socialism' 'Social conservatism' 'Romanticism'
 'Social Darwinism']",3,4.006220256363338e-05,0.9999265842202116,9.515607167682362e-06,2.0144540532063247e-05,9.131850918313774e-07,,,1.5868777450769532e-07,,2.102271450643978e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Read the following governmental regulation.
Press Law
So long as this decree shall remain in force no publication which appears in the form of daily issues, or as a serial not exceeding twenty sheets of printed matter, shall go to press in any state of the union without the previous knowledge and approval of the state officials. Writings which do not belong to one of the above-mentioned classes shall be treated according to the laws now in force, or which may be enacted, in the individual states of the union. . . . Each state of the union is responsible, not only to the state against which the offense is directly committed, but to the whole Confederation, for every publication appearing under its supervision in which the honor or security of other states is infringed or their constitution or administration attacked. . . .
âCarlsbad Resolutions adopted by the Germanic States, 1819
The Carlsbad Resolutions were another of Metternich's schemes, like the Concert of Europe, which aimed to accomplish which of the following?",high_school_european_history,"['Establish control of European states by democracy in the tradition of the Enlightenment.'
 ""Suppress all voices in government other than his own and control all aspects of his citizens' lives.""
 'Suppress all nationalist revolutions across the continent.'
 'Suppress all speech but that of monarchs and the churches that they approve of.']",2,0.9769223263762576,0.0229748750989403,2.230084469341921e-05,5.694720191501386e-05,1.7196564910558638e-06,1.6315646516417275e-05,,,,1.0430243859992251e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
In Russia there was nothing going on well, and [Souvarine] was in despair over the news he had received. His old companions were all turning to the politicians; the famous Nihilists who made Europe tremble-sons of village priests, of the lower middle class, of tradesmen-could not rise above the idea of national liberation, and seemed to believe that the world would be delivered-when they had killed their despot&â¦
""Foolery! They'll never get out of it with their foolery.""
Then, lowering his voice still more, in a few bitter words he described his old dream of fraternity. He had renounced his rank and his fortune; he had gone among workmen, only in the hope of seeing at last the foundation of a new society of labour in common. All the sous in his pockets had long gone to the urchins of the settlement; he had been as tender as a brother with the colliers, smiling at their suspicion, winning them over by his quiet workmanlike ways and his dislike of chattering. But decidedly the fusion had not taken place.
His voice changed, his eyes grew bright, he fixed them on Ã©tienne, directly addressing him:
""Now, do you understand that? These hatworkers at Marseilles who have won the great lottery prize of a hundred thousand francs have gone off at once and invested it, declaring that they are going to live without doing anything! Yes, that is your idea, all of you French workmen; you want to unearth a treasure in order to devour it alone afterwards in some lazy, selfish corner. You may cry out as much as you like against the rich, you haven't got courage enough to give back to the poor the money that luck brings you. You will never be worthy of happiness as long as you own anything, and your hatred of the bourgeois proceeds solely from an angry desire to be bourgeois yourselves in their place.""
Ã©mile Zola, French writer, Germinal, 1885
The radical movement known as anarchism, alluded to in the first paragraph, had been related to all of the following EXCEPT",high_school_european_history,"[""the International Workingman's Association"" 'Pierre-Joseph Proudhon'
 'the Congress of Vienna' 'the Paris Commune']",2,0.9957055890447788,0.0035907384822547,0.000314609391829,0.0003555312556711,1.5620953181472123e-05,1.364943677241288e-06,1.364943677241288e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Read the documents below.
Source 1
If then by the Use of Machines, the Manufacture of Cotton, an Article which we import, and are supplied with from other Countries, and which can everywhere be procured on equal Terms, has met with such amazing Success, may not greater Advantages be reasonably expected from cultivating to the utmost the Manufacture of Wool, the Produce of our own Island, an Article in Demand in all Countries, almost the universal Clothing of Mankind?
In the Manufacture of Woollens, the Scribbling Mill, the Spinning Frame, and the Fly Shuttle, have reduced manual Labour nearly One third, and each of them at its-first Introduction carried an Alarm to the Work People, yet each has contributed to advance the Wages and to increase the Trade, so that if an Attempt was now made to deprive us of the Use of them, there is no Doubt, but every Person engaged in the Business, would exert himself to defend them.
âStatement by the Cloth Merchants of Leeds, 1791
Source 2
Come, cropper lads of high renown,
Who love to drink good ale that's brown,
And strike each haughty tyrant down,
With hatchet, pike, and gun!
Oh, the cropper lads for me,
The gallant lads for me,
Who with lusty stroke,
The shear frames broke,
The cropper lads for me!
What though the specials still advance,
And soldiers nightly round us prance;
The cropper lads still lead the dance,
With hatchet, pike, and gun!
Oh, the cropper lads for me,
The gallant lads for me,
Who with lusty stroke
The shear frames broke,
The cropper lads for me!
âLuddite Song, The Cropper's Song, c. 1812
Which of the following economic theories is Source 1 above referencing in support of the expansion and use of machines?",high_school_european_history,"['Laissez-faire capitalism' 'Mercantilism' 'Industrialization'
 'Bullionism']",1,4.831225982344532e-05,1.6696270231078797e-05,0.9997308762068554,0.0001686263558338,1.1722621633699224e-06,,,,6.679348467700972e-07,,,,,,,,5.6713431645099466e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""A specter is haunting Europe-the specter of Communism. All the powers of old Europe have entered into a holy alliance to exorcise this specter; Pope and Czar, Metternich and Guizot, French radicals and German police spies.
Two things result from this fact.
I. Communism is already acknowledged by all European powers to be in itself a power.
II. It is high time that Communists should openly, in the face of the whole world, publish their views, their aims, their tendencies, and meet this nursery tale of the Specter of Communism with a Manifesto of the party itself.""
Karl Marx and Friedrich Engels, The Communist Manifesto, 1848
In this passage, Marx and Engels seem to be chiefly preoccupied with",high_school_european_history,"['provoking fear to drive their readers to action'
 'attacking the extreme communists who threatened to sink the entire movement'
 'demonstrating the understanding of the others in point of fact'
 'explaining the reasons for debunking opponents of communism']",3,0.997552263575316,0.0014991661266824,0.0007081559352471,0.0001394441050231,2.008882800976296e-05,,,6.321230193770579e-06,6.321230193770579e-06,,,,,,,,,6.728914514813048e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
As with a Commander of the Army, or leader of any enterprise, so it is with the mistress of the house. Her spirit will be seen through the whole establishment; and just in proportion as she performs her duties intelligently and thoroughly, so will her domestics follow in her path. Of all of those acquirements, which more particularly belong to the feminine character, there are none which take a higher rank, in our estimation, than such as enter into a knowledge of household duties; for on these are perpetually dependent the happiness, comfort, and well-being of the family.
Isabella Beeton, Book of Household Management, 1861
From the passage, one may infer that the subject of Beeton's book was",high_school_european_history,"['the role of women in army regiments'
 'the running of a school for domestic servants'
 'the running of a school for girls'
 'the role of a woman in running her own domestic household']",3,1.6700952191817936e-05,0.999957495997222,1.0129639550732485e-05,1.1478385387037056e-05,4.181001571600653e-07,,,1.6892773404204976e-07,,5.043250568541368e-07,,1.235901703877053e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
First we must remark that the cosmos is spherical in form, partly because this form being a perfect whole requiring no joints, is the most complete of all, partly because it makes the most capacious form, which is best suited to contain and preserve everything; or again because all the constituent parts of the universe, that is the sun, moon and the planets appear in this form; or because everything strives to attain this form, as appears in the case of drops of water and other fluid bodies if they attempt to define themselves. So no one will doubt that this form belongs to the heavenly bodies. â¦
That the earth is also spherical is therefore beyond question, because it presses from all sides upon its center. Although by reason of the elevations of the mountains and the depressions of the valleys a perfect circle cannot be understood, yet this does not affect the general spherical nature of the earth. â¦
As it has been already shown that the earth has the form of a sphere, we must consider whether a movement also coincides with this form, and what place the earth holds in the universe. â¦ The great majority of authors of course agree that the earth stands still in the center of the universe, and consider it inconceivable and ridiculous to suppose the opposite. But if the matter is carefully weighed, it will be seen that the question is not yet settled and therefore by no means to be regarded lightly. Every change of place which is observed is due, namely, to a movement of the observed object or of the observer, or to movements of both. â¦ Now it is from the earth that the revolution of the heavens is observed and it is produced for our eyes. Therefore if the earth undergoes no movement this movement must take place in everything outside of the earth, but in the opposite direction than if everything on the earth moved, and of this kind is the daily revolution. So this appears to affect the whole universe, that is, everything outside the earth with the single exception of the earth itself. If, however, one should admit that this movement was not peculiar to the heavens, but that the earth revolved from west to east, and if this was carefully considered in regard to the apparent rising and setting of the sun, the moon and the stars, it would be discovered that this was the real situation.""
Nicolas Copernicus, The Revolutions of the Heavenly Bodies, 1543
From the passage, one may say that Copernicus's argument for a spherical cosmos was based on",high_school_european_history,"['observation and induction' 'ancient textual authority' 'experimentation'
 'deduction from first principles']",0,0.000428049855023,0.0001389673753207,0.993975294834634,0.0052197766599739,1.0066762903925192e-05,,,,,,,,,0.0001082279007212,,,,,7.365001073411952e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Buckingham Palace, 10th May 1839.
The Queen forgot to ask Lord Melbourne if he thought there would be any harm in her writing to the Duke of Cambridge that she really was fearful of fatiguing herself, if she went out to a party at Gloucester House on Tuesday, an Ancient Concert on Wednesday, and a ball at Northumberland House on Thursday, considering how much she had to do these last four days. If she went to the Ancient Concert on Wednesday, having besides a concert of her own here on Monday, it would be four nights of fatigue, really exhausted as the Queen is.
But if Lord Melbourne thinks that as there are only to be English singers at the Ancient Concert, she ought to go, she could go there for one act; but she would much rather, if possible, get out of it, for it is a fatiguing time&â¦.
As the negotiations with the Tories are quite at an end, and Lord Melbourne has been here, the Queen hopes Lord Melbourne will not object to dining with her on Sunday?""
The Letters of Queen Victoria, Volume 1 (of 3), 1837-1843: A Selection from Her Majesty's Correspondence Between the Years 1837 and 1861
A similar fondness for entertainment amongst the nobility was taken to its most outrageous degree in which of the following eras and places?",high_school_european_history,"['Sixteenth-century Spain' 'Seventeenth-century Netherlands'
 'Eighteenth-century France' 'Nineteenth-century Prussia']",3,0.9991974394188782,0.0003567830637048,0.000123300868698,0.0002778627969046,2.1426478184524344e-05,,1.504374888664343e-06,8.307947182286046e-07,,4.491233814020884e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The pair of excerpts below is written by explorer Christopher Columbus and the Dominican Bishop of Chiapas, Mexico, Bartholomew de las Casas.
Source 1
Indians would give whatever the seller required. . . . Thus they bartered, like idiots, cotton and gold for fragments of bows, glasses, bottles, and jars; which I forbad as being unjust, and myself gave them many beautiful and acceptable articles which I had brought with me, taking nothing from them in return; I did this in order that I might the more easily conciliate them, that they might be led to become Christians, and be inclined to entertain a regard for the King and Queen, our Princes and all Spaniards, and that I might induce them to take an interest in seeking out, and collecting and delivering to us such things as they possessed in abundance, but which we greatly needed.
âChristopher Columbus: letter to Raphael Sanchez, 1493
Source 2
It was upon these gentle lambs . . . that from the very first day they clapped eyes on them the Spanish fell like ravening wolves upon the fold, or like tigers and savage lions who have not eaten meat for days. The pattern established at the outset has remained unchanged to this day, and the Spaniards still do nothing save tear the natives to shreds, murder them and inflict upon them untold misery, suffering and distress, tormenting, harrying and persecuting them mercilessly. We shall in due course describe some of the many ingenious methods of torture they have invented and refined for this purpose, but one can get some idea of the effectiveness of their methods from the figures alone. When the Spanish first journeyed there, the indigenous population of the island of Hispaniola stood at some three million; today only two hundred survive. Their reason for killing and destroying such an infinite number of souls is that the Christians have an ultimate aim, which is to acquire gold, and to swell themselves with riches in a very brief time and thus rise to a high estate disproportionate to their merits.
âBartholomew de las Casas: A Short Account of the Destruction of the Indies, 1542
Which of the following motives for exploration is de las Casas most likely to think is most important in Source 2?",high_school_european_history,"['Converting the natives to Christianity' 'Financial gain'
 'Personal glory' 'Finding new mates']",0,0.0001686335926472,1.4735039109349404e-05,5.474731193242328e-05,0.9997468988638905,1.8733499969493448e-06,,3.575351036525893e-07,,,3.688844861430674e-07,,,2.725708162136331e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
For a long time, educated Germans answered it in the positive, initially by laying claim to a special German mission, then, after the collapse of 1945, by criticizing Germany's deviation from the West. Today, the negative view is predominant. Germany did not, according to the now prevailing opinion, differ from the great European nations to an extent that would justify speaking of a ""unique German path."" And, in any case, no country on earth ever took what can be described as the ""normal path.""
Heinrich August Winkler, Germany: The Long Road West, Volume 1, 2006
From this passage, one may infer that the belief that Germany had a unique mission in history",high_school_european_history,"[""resulted from Germany's defeat in World War II""
 ""was unaffected by Germany's defeat in World War II""
 ""was proven correct by Germany's defeat in World War II""
 ""was discredited by Germany's defeat in World War II""]",3,0.0002609903545063,0.999004522642414,0.0002303231794563,0.0004875941747353,4.780205086581338e-06,,4.446283344505786e-07,9.042529570398816e-07,,6.270264531078621e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
