question,subject,choices,answer,c,b,a,d,'},},Unnamed: 10,',e,...',f,l,all,']},i,none,db,j,}',s,aff,cultural,dis,ab,abc,''',...,bc,g,social,solution,{',cd,participant,bcd,mass,bd,da,sol,h,height,fashion,m
"In their study of depression, Brown & Harris (1978) found that:",sociology,"[""women's susceptibility to stress depended on their levels of social support""
 'self-reported depression is highest amongst men and the relatively affluent'
 'men and women have fairly similar levels of diagnosed depression'
 'men are more vulnerable to depression because of conventional gender roles']",0,8.476421862042015e-05,0.0002610921743799,0.999420904802811,4.262212580437968e-05,5.68426062813868e-05,3.087536437552564e-06,,,4.492339008959847e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The alternative form of 'network organization' means that:,sociology,"['work can be subcontracted out to independent suppliers and retailers'
 'business transactions occur only through electronic communication'
 'the Japanese model is applied, through lateral networks of flexible roles'
 'activities are redistributed equally between men and women']",0,0.0016961027023665,0.0014061185276863,0.995698715535962,0.0006239613143159,0.0001766963775005,,,,3.988851229994735e-05,,2.2727789212578167e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Mead suggested that:,sociology,"['adolescence and gender roles varied between societies and so were culturally determined'
 'gender roles in three New Guinea societies were identical and so must be biologically determined'
 'adolescence in the USA is a time of relative calm compared to the experience in Japan and Europe'
 ""anthropological fieldwork can be problematic because the researcher's values affect the way they interpret their observations""]",0,0.0001685392168299,0.0003351802556037,0.999206817827082,0.0001088170969915,4.8963824087959065e-05,,,,5.089443352310525e-06,,3.608955746288312e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The term 'secondary deviation' refers to:,sociology,"['the punishment or stigmatization of deviant acts'
 'the labelling of an act as deviant through social reactions to it'
 'the ways in which taking on a deviant role affects future action'
 'all of the above']",3,0.0588263690572609,0.919544353771008,0.0039993035099253,0.0168376966918342,0.0002256252647338,,,,5.359069768822444e-05,,,,,,,,,,,,,,,,,,,4.1736477324932125e-05,,,,,,,,,,,,,,,
The effect of the Internet upon the public sphere has been to:,sociology,"['repress it, by promoting only the interests of elite groups'
 'revive it, by reaffirming a commitment to freedom of speech'
 'reproduce it, by emphasizing face-to-face contact with peer groups'
 'replace it with a superior form of communication']",1,0.0201821356541158,0.9725425023117044,0.0024104123671326,0.0027313550450695,0.000445881454026,,,0.0001127365403697,,8.779930592071823e-05,,,,,,0.0003058785546339,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weber said that the 'spirit of capitalism' could be traced back to:,sociology,"['the movement towards religious pluralism'
 'inspirational Protestant groups who revived religious ideas'
 'new religious movements who rejected traditional forms of labour'
 'Calvinists who engaged in ascetic practices to gain signs of salvation']",3,0.0045730968351579,0.0055162077360989,0.0019141412011858,0.9875509913244592,0.0002138865852024,,,1.0648786040443449e-05,2.894640158888577e-05,,,,,,7.790818296497252e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The terms 'crisis of the 1970s' is used to refer to:,sociology,"['declining profits and rising unemployment'
 'the eradication of the welfare state'
 'rising divorce rates and the decline of the traditional family'
 'an unfortunate twist in fashion sensibility']",0,0.0001909717570373,0.0002957828434828,0.999179380549268,5.824309520687272e-05,0.0001079715299002,6.956145741597959e-06,,6.956145741597959e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Macpherson Report highlighted the increasing problem of:,sociology,"['hate crimes: violence against ethnic minorities simply because of their race'
 'institutional racism: systematic forms of disadvantage built into the routines and practices of social institutions'
 'overt racism in the police force that must be tackled by institutional reforms'
 'growing numbers of asylum seekers in need of long term accommodation']",1,0.0004576504089957,0.9981925673429656,0.0009101465163395,0.0001087014481711,9.59286913175e-05,,,7.397226381802154e-06,8.382155631524227e-06,1.7745023611186815e-05,,,,,6.949051091653407e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven people standing silently while waiting for a bus at a bus stop is an example of which of the following?,sociology,['A primary group' 'A secondary group' 'An aggregate' 'A social category'],2,0.998849127107185,0.0004579726220585,0.0002302832060247,0.0003350600876967,4.534545186972853e-05,,,,2.141967478218727e-05,,2.809649892030897e-06,,,,,,,,,,,,,,,,,,2.5582153385444265e-06,,,,,,,,,,,,,,
Environmentalist social movements are global in the sense that:,sociology,"['they increase our awareness of risks that affect the whole planet'
 'they appeal to universal values and human rights'
 'they use global media to generate publicity' 'all of the above']",3,0.0007538424473868,0.000624957339404,0.0010968342889226,0.9972101952385324,0.0001309982372875,,,,2.276408027851593e-05,,,,4.252890095499997e-05,6.126869089140586e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chodorow (1978) argued that gender socialization occurred through:,sociology,"['both boys and girls being closely attached to their mothers, but then boys breaking away'
 'girls being attached to their mothers but then breaking away'
 'boys being attached to their fathers and girls to their mothers'
 'both boys and girls being closely attached to their fathers, but girls breaking away']",0,0.0286964459481592,0.0174052742923449,0.9504890614185914,0.0022128323040403,0.0002679877741605,3.807386476900373e-05,,5.8969955340331655e-05,7.113134393851235e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The 'new man' of the 1980s was alleged to be:,sociology,"['sensitive, caring, and emotional' 'laddish, aggressive, and violent'
 'a strong and dependable breadwinner' 'openly bisexual and proud of it']",0,0.0077568790867089,0.9544463688880164,0.0370219404985213,0.0004110995308651,5.2265415242461233e-05,,,1.696809601597374e-05,2.4688434025659097e-05,,,1.8062444187390253e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:",sociology,"['they tended to recruit pupils from the inner cities and traditionally working class areas'
 ""selective schools could still 'cream off' the most able pupils, while the comprehensives put children into ability streams""
 'teachers in comprehensive schools used the restricted code in the classroom, whereas working class pupils used elaborated codes of speech'
 'national testing and league tables made the new schools highly competitive and selective']",1,0.0062382894837606,0.9857025730031342,0.0037837138360637,0.0033391157405926,0.0003306172303973,,,3.273553884545349e-05,5.397177920232948e-05,2.2498784883925584e-05,3.484679971067558e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In idealized views of science, the experimental method is said to involve:",sociology,"['testing out new research methods to see which one works best'
 'isolating and measuring the effect of one variable upon another'
 'using personal beliefs and values to decide what to study'
 'interpreting data subjectively, drawing on theoretical paradigms']",1,0.0002033166842987,0.9993115445455512,0.0002610637902762,6.200808530258134e-05,3.760980488609191e-05,,,,6.5356041074580105e-06,3.964044270917104e-06,,,,,2.9001567424393494e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An 'open' society is one that:,sociology,"['grants every member equal status'
 'does not have any official secrets in its government'
 'has permissive attitudes towards sexual behaviour'
 'allows people to move between levels of the hierarchy']",3,0.0143551484846533,0.0208866128209829,0.8883394008170296,0.0729014419649499,0.0009106020447531,0.0002179714162907,,0.0003376007337873,0.0001498094174995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nation of Islam group appealed to:,sociology,"['British-born second generation immigrants from the Asian subcontinent'
 'White Americans who wanted to convert to Islam'
 ""African-Americans who felt excluded from the 'ethnic melting pot' in the USA""
 'African-Caribbeans who lived in the inner cities and had a distinctive youth culture']",2,0.9995881153515068,0.0001583885017753,9.606748247272663e-05,5.142121790257472e-05,7.204400892852464e-05,,,,2.641378359933654e-06,,,,,,,,,,,,,,,,,1.7595373179202613e-06,,,,,,,,,,,,,,,,,
Comte's term 'positivism' refers to:,sociology,"['a theory that emphasizes the positive aspects of society'
 'the precise, scientific study of observable phenomena'
 'a theory that posits difficult questions and sets out to answer them'
 'an unscientific set of laws about social progress']",1,0.0001685927489266,0.999509051673649,0.000216477374691,3.533895996612614e-05,1.891558219384409e-05,,1.3702401782834787e-06,,2.811550293518112e-06,1.8728962641986056e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theories of racialized discourse suggest that:,sociology,"['race is an objective way of categorizing people on biological grounds'
 'the idea of race is socially constructed through powerful ideologies'
 'race relations in Britain and America can be traced back to colonial times'
 'people choose their racial identity and this becomes fixed']",1,0.0001088616260342,0.999594653365297,0.0001583927312611,7.964486699917528e-05,1.1473930968549774e-05,,1.6021197398425826e-06,,2.901064068379688e-06,2.0571624665350283e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A major car accident occurs. One man stops his car and starts helping people. After seeing him stop, others also stop and start helping. Which of the following theories best explains the scenario?",sociology,['Convergence' 'Emergent-norm' 'Contagion' 'Value-added'],1,0.7045508677926825,0.2936627417354225,0.0007278689930297,0.000683769640069,4.9532106593999137e-05,,,,5.272665300784085e-05,,,,,,,,,,,,,,,,,,,1.8221843693844714e-05,,,,,,,,,,,,,,,
A new highway extends from a major city though an area used for farmland. Which of the following is most likely to happen as a result?,sociology,"['Farmers will increase the acreage under production.'
 'The city will evolve into a multiple nuclei model.'
 'Suburbanization will develop because the time it takes to commute to the city has been decreased.'
 'People from the countryside will move to the city, depopulating the farmland region.']",2,0.9924752756178444,0.001401609355542,0.0003329114021802,0.0055434725367321,0.0001150511020209,,,,2.128231391270687e-05,,3.815708626994682e-06,,,,,,,,,,,,,,,,,,4.899466859735856e-06,,,,,,,,,,,,,,
"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery",sociology,"['depended on the small group of African Americans receiving the same thorough and extensive education as the most talented White Americans were able to access'
 'involved their use of skills they already had from farming, domestic work, and labors of rural life rather than being forced to learn new skills in the late 1800s'
 'required that they be trained and prepared as craftspeople and service employees so they could become immediately self-sufficient'
 'required them to move to large cities where they would be accepted as equals in government, religion, and education']",0,0.0070728798995668,0.0045665944847567,0.9862269398369846,0.0013083512251981,0.0002347299941751,,,,9.477664486881568e-05,,3.486637915044416e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pluralist theories suggest that:,sociology,"[""the state's power can be exercised through several different administrative structures""
 'the ruling elite is composed of people from various class backgrounds'
 ""political parties must compete for the votes of 'consumers' in the electorate""
 'there is a close alignment between class background and party preference']",2,0.0102504726595483,0.0048419804341568,0.9823840782816226,0.0014767205988539,0.0002665314439147,4.189135887115078e-05,,5.37895695301451e-05,5.725869871241638e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The term 'over-urbanization' means that:,sociology,"['life in modern Western cities is so far removed from that of the Third World that we find it difficult to understand these societies'
 'in poorer countries, the rapidly developing cities drain resources from the rural areas'
 'the extent to which urbanization affects development has been exaggerated'
 'governments are so preoccupied with urbanization in the West that they forget to attend to problems in the Third World']",1,0.0008545070952017,0.997568526052191,0.001167972718724,0.0002029631283948,6.58924804161502e-05,,,,1.3811814222855794e-05,,5.58047740408656e-06,4.924754024049712e-06,,,6.945016340320064e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The capitalist class of the mid-twentieth century were said to join the upper class because they:,sociology,"[""participated in the same leisure pursuits and events of the 'social calendar'""
 'emulated the lifestyle and cultural values of the traditional aristocracy'
 'owned companies and financial assets that generated wealth through corporations'
 'had direct, personal ownerships of land and businesses as physical assets']",2,0.0145164207626172,0.898382370071582,0.0836766671062749,0.0018455557932051,0.0004967246031171,,,8.63178342520675e-05,,,,,,,,,,,,,,,,6.72243969085379e-05,,,,,,,,,,,,,,,,,,,
The term inter-generational mobility refers to:,sociology,"[""movement into a different occupational category over a person's lifetime""
 'movement into different occupational categories between generations'
 'movement into a higher occupational category'
 'movement into an occupation that generates a lower income']",1,0.0006258737735305,0.9986783220736928,0.0004578990344627,7.474996253304074e-05,6.596661040372301e-05,,,,5.764098178490004e-06,4.087357654543409e-06,,,,,,,,,,,,,,,,,,3.2842841421664025e-06,,,,,,,,,,,,,,,
"The term 'culture industry', used by members of the Frankfurt School, referred to:",sociology,"['the globalization of culture through new technologies'
 'the way in which cultural products were bought and sold for profit'
 'the development of subcultures and counter-cultures in society'
 'the way in which industrialization had created new means of communication']",1,0.0014096645172428,0.9981563663224908,0.0002775794015662,2.2785104795585e-05,3.756628693161248e-05,,,5.943849717449106e-06,3.959457512260453e-06,6.132527761143519e-06,,,,,,,,,,,,,,,,,,6.528041820897223e-06,,,,,,,,,,,,,,,
"According to Hakim (1995, 1996), the majority of part-time work is done by women because:",sociology,"['part-time jobs pay relatively high wages and so are financially beneficial'
 ""they make a rational choice to combine employment with their 'home-centred' lives""
 'their choices are constrained by structural factors, such as being unable to afford childcare'
 'full time work is not available in the kinds of occupations that they want to enter']",1,0.6413279139415068,0.3431228872654865,0.0040575868155547,0.0091439130409902,0.0004276665039519,,,9.542529551690962e-05,0.0001388429857145,,,,,,,,,,,,,,,,,,,0.0001782779225862,,,,,,,,,,,,,,,
