question,subject,choices,answer,b,c,d,a,2,band,ب,с,e,3,r,bc,а,1,option,choice,ac,i,cd,rock,bs,ab,no,ad,the,ba,abc,4,require,recommend,impose,propose,suggest,required,provide,mandate,allow,have,letter,under,none,there,bcd,f,hand,bd,sol,g,un,yes,da,cb,mon
Which of the examples below has not been developed by the European Court of Human Rights as a situation where the state has a positive obligation to protect?,international_law,"['When the applicant is in the custody of the state'
 'Where the state must investigate claims against it'
 'The development of a legal framework to protect those within the state'
 'To provide housing for all those homeless within a state']",3,0.00026068712194517234,0.9978224072146004,0.0013238778115597645,0.0004971353661412338,,,,6.526174400300315e-06,8.920222781047617e-06,3.0827465040565186e-06,,,,,7.872068974639068e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which case was the first to define the meaning of the doctrine of 'margin of appreciation' as applied by the European Court of Human Rights?,international_law,"['Goodwin v UK (2002)' 'Airey v Ireland (1979)' 'Osman v UK ( 1998)'
 'Handyside v UK (1976)']",3,4.538239796589933e-05,6.603099941517005e-05,0.9996236798548703,0.00020735526669017675,,,,,5.0917639361306774e-06,,,,,,,,,,,,,,,,,,,3.088310939282335e-06,,,,,,,,,,,,,,,,,3.4063770087364e-05,,,,,,,,
How are the members of the arbitral tribunal appointed?,international_law,"['All the members of the arbitral tribunal are appointed by the parties'
 'All the members of the arbitral tribunal are appointed by the parties'
 'All the members of the arbitral tribunal are appointed by an impartial third party, such as the president of the ICJ'
 'All the members of the arbitral tribunal are appointed by the parties from a restricted list of arbitrators']",0,0.00278282735435525,0.9907708190888135,0.0045881066518116635,0.0016926109908726326,,,,6.0874101210884854e-06,1.6547296314532508e-05,1.2106260600523148e-05,,,,,,,6.480014343059189e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are the peremptory norms of international law the only norms that set out obligations erga omnes?,international_law,"['Yes'
 'No, acts of international organizations also set out such obligations'
 'No, decisions of international courts also set out such obligations'
 'No, even though all peremptory norms set out obligations erga omnes, the latter may also spring from treaties regulating objective regimes or unilateral acts']",3,0.9979485877220661,6.592045013566277e-05,0.0017001108164931182,0.00023008497888372503,6.131556997905685e-06,2.25567376190039e-06,,,1.6502861780111914e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4708840595827017e-05,,,,,,,
What is the constitutive theory of recognition?,international_law,"['Recognition is determinative of statehood'
 'Recognition requires constitutional approval by third nations'
 'Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees'
 'Countries wishing to be recognised must possess a valid constitution']",0,7.483719754320406e-05,4.539105479692423e-05,3.535058902028164e-05,0.9998195148099673,6.474686229995298e-07,,,,,,,,2.7259447212470087e-06,2.7259447212470087e-06,1.5531964833324692e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The enforcement mechanism of the International Covenant on Civil and Political Rights (and Protocol) consists of,international_law,"['A reporting mechanism only' 'Judgment of an international tribunal'
 'Right to individual petition only'
 'A reporting mechanism and right to individual petition']",3,0.00010861668263103628,0.0011719503561990715,0.9973196039401138,0.0013490201726488948,,,,,8.915800244301065e-06,,,,,,,,,,,,,,,2.719165443781678e-06,,,,7.39145801440551e-06,,,,,,,,,,,,,,,,,,,,,,,,,
Is piracy under international (jure gentium) law subject to universal jurisdiction?,international_law,"['Piracy jure gentium is subject to flag State jurisdiction'
 'Piracy jure gentium is subject to universal jurisdiction'
 'Piracy jure gentium is subject to port State jurisdiction'
 'Piracy jure gentium is subject to nationality-based jurisdiction']",1,0.9997529214592167,3.1195030021520726e-05,0.00013980642509631722,4.112264664998212e-05,8.396028428789578e-06,,,,1.7599031655186355e-06,,,,,7.80952295702072e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are self-executing treaties?,international_law,"['Self-executing treaties are adopted only by the executive'
 'Self-executive treaties are clear and precise enough so as not to require any further implementing measures'
 'Self-executing rely on implementing measures stipulated in the treaty Itself'
 'Self-executing treaties follow the doctrine of transformation']",1,0.00013981082504885002,0.9997893365701384,2.9305940977228907e-05,8.097085751429812e-06,,,,1.994294311506969e-06,,5.092608930139058e-06,,,,,9.420379290775622e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",international_law,"['The ICJ was not hostile to the accumulation theory'
 'The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force'
 'In the Nicaragua case the ICJ dismissed the accumulation theory'
 'The ICJ has never addressed this issue']",0,0.0004876499786533408,0.0003351566021310876,3.117442015280468e-05,0.9991021202878354,,,,,,,,,1.8721694491054802e-06,2.8996727669517415e-06,,6.534513451860528e-06,2.4039131569977238e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is there any priority among international courts and tribunals?,international_law,"['According to the lis pendens rule, the court or the tribunal that seizes first the dispute has exclusive jurisdiction to adjudicate it'
 'The International Court of Justice has by definition priority over any other court or tribunal'
 'Since there is no lis pendens rule in international law and all depends on the consent of the parties to a dispute, there is no priority or hierarchy among international courts and tribunals'
 'Regional or special courts have priority over all others in line of the principle of lex specialis']",2,2.753419101317043e-05,0.9999201894694464,3.120032595302058e-05,9.515561793839738e-06,,,,1.8737252133340084e-06,2.535811324541406e-07,2.9020823817264172e-06,,,,,,,2.535811324541406e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?,international_law,"[""When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States""
 ""Third States may never have access to fisheries within another State's EEZ""
 'The coastal State is to give access to fisheries within its EEZ only to neighbouring States'
 'Third States are free to fish within another EEZ, except from certain designated areas']",0,0.9996283979414561,7.482328162611559e-05,6.203067918586236e-05,0.000179491721706431,4.783292362824711e-06,,,,,,,,,1.2094057076325306e-06,,,,2.122573119334838e-06,,,,,,,,,,,,,,,,,,,,,,,1.7596749213955824e-06,,,,,,,,,,,,
What is the purpose of sovereign immunity?,international_law,"['The purpose of immunity is to protect foreign Heads of State from embarrassment'
 'Immunity protects a State from being invaded by another'
 'Immunity shields States from being sued in the courts of other States'
 'The purpose of immunity is to offer impunity in respect of all crimes']",2,3.53523758517261e-05,0.9998582251648267,7.484098026540167e-05,1.5273860271161417e-05,,,,2.2600017767765065e-06,9.42108905144072e-07,2.405759368523108e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is passive personality jurisdiction?,international_law,"['It is jurisdiction based on the nationality of the offender'
 'It is jurisdiction based on where the offence was committed'
 'It is jurisdiction based on the nationality of the victims'
 'It is jurisdiction based on the country where the legal person was Registered']",2,0.0007065820948851648,0.994943663666733,0.0007065820948851648,0.0035908682961465254,,,,,3.946937144301428e-06,1.6453281895176178e-06,,,,,1.8644010927391307e-06,,2.2488969951154705e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following types of rights have been described as first generation rights?,international_law,"['Social and economic rights' 'Civil and political rights'
 'Cultural rights' ""People's rights""]",1,0.9998781566024885,1.6699630280795858e-05,1.8923160219471755e-05,7.528758058096344e-05,5.4215761746325855e-06,,,,2.535704919896095e-07,,,,,7.337305471827722e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the problem of 'fragmentation' of international law?,international_law,"['Fragmentation of international law concerns the possibility of different legal regimes apply the same rules of international law'
 'It is possible for several legal regimes (ie foreign investment law and human rights law) to exist and develop in isolation of each other, ultimately culminating in the production of divergent rules of international law'
 'Fragmentation is when States assume different interpretations of the same rule of international law'
 'Fragmentation is when States disagree to abide by a certain rule of international law']",1,0.9997698633676245,9.677802946772969e-05,5.143264528124027e-05,6.027508251504226e-05,3.287979009032951e-06,,,,1.2095798804264746e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is functional (ratione materiae) immunity?,international_law,"['Functional immunity covers the person but not the act'
 'Functional immunity covers the act and incidentally also the person committing the act'
 'Functional immunity covers the State and incidentally also the act'
 'Functional immunity covers both private and public acts as long as they are sanctioned by the State']",1,0.9997680996433231,8.479817715336047e-05,6.604088677006485e-05,4.6942326230077985e-05,6.96065825494272e-06,1.2875923082756383e-06,,,,8.313320764780539e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of implied authorisation?,international_law,"['Presumption of Security Council approval of armed force when a State has been forewarned'
 'Implicit authorisation on the basis of a specific number of votes by UNSC members'
 'Presumption that all unlawful attacks will be subject to armed force by a resolution of the UNSC'
 'In cases of repeated unlawful attacks the UNSC shall authorise neighbouring States to take whatever measures they deem necessary to rectify the situation']",0,8.471209449278835e-05,0.0001793355054485274,0.0009107408449121137,0.9987580637034216,,,,,2.403097147642172e-06,,,,3.7219896728294586e-06,2.403097147642172e-06,3.7219896728294586e-06,,,,,,,,,7.40206032375428e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which philosopher called the idea of natural rights 'nonsense on stilts'?,international_law,['Alan Gerwith' 'Emmanuel Kant' 'John Locke' 'Jeremy Bentham'],3,0.00015962357497677264,0.002185036693656932,0.9975609806977045,5.3573875679534964e-05,,,,,1.4703160578199588e-05,,,,,,,,,,,,,,,,,,,9.493073961147237e-06,,,,,,,,,,,,,,,,,,,,,,,,,
Who has the authority to conclude a treaty on the part of States?,international_law,"['Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority'
 'Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs'
 ""Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority""
 'Treaties are concluded only by members of the diplomatic missions of States']",0,8.47980962835554e-05,4.005578442046372e-05,1.77746465897684e-05,0.9998003901404211,,,,,,,,,2.560680626957204e-06,5.420960929808155e-06,7.409575076482567e-06,2.725830338454254e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who is a 'persistent objector'?,international_law,"['The State which persistently objects to the rule in question after its formation'
 'The State which denies to be bound by the rule in question for a short period'
 'The State which persistently and publicly objects to the formation of a rule of customary law from its outset'
 'The State which accepts the formation of a rule of customary law but it retains objections as to its content']",2,2.1443117822183905e-05,0.9998961379884002,3.5353724463563614e-05,4.042996740826211e-05,,,,8.31439906997461e-07,4.7374017880302923e-07,8.31439906997461e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective security?,international_law,"['The right to self-defence by more than one nation acting in concert'
 ""The right of one's allies to defend the victim State""
 'The authorisation of armed force by the UN Security Council'
 'The authorisation of peacekeeping missions by the UN General Assembly']",2,0.00023045500914993774,0.00010885923823405509,6.602646558191615e-05,0.9995527602094008,,,,,,,,,2.5601238988672575e-06,1.6529402227764743e-06,3.4992744790775543e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7249582932107356e-06,,,,,,
The European Convention on Human Rights is predominantly concerned with which of the following?,international_law,"['Economic and social rights' 'Environmental rights'
 'Civil and political rights' 'Economic freedom']",2,5.144000330643913e-05,0.9999088940222419,1.1477816175801523e-05,1.568831463090385e-05,,,,1.2877752848890338e-06,4.737460521593727e-07,2.7262202995034763e-06,,,,,6.08301972028111e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is the jurisdiction of international tribunals regulated by the same principles applicable to national courts?,international_law,"['The jurisdictional principles applicable to national courts are also common to international tribunals'
 'The jurisdiction of all international tribunals is regulated by the UN Security Council'
 'International tribunals share some, but not all, of the jurisdictional principles applicable to national courts'
 'The jurisdiction of international tribunals is dictated solely by their founding treaties']",3,0.00037883515842740867,0.9966068688856642,0.002470315544526734,0.0004885501280223958,,,,,6.9386079601128206e-06,3.078988618007233e-06,,,,,,,1.9879444641046217e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective rights?,international_law,"['Collective rights belong to distinct groups of people'
 'Collective rights are those that belong to particular groups as opposed to the individual members of the group'
 'Minority rights are collective rights'
 ""Collective rights entail a right of the group as such as well as individual rights of the group's members""]",1,5.8284991155917756e-05,3.613265346539576e-05,0.9998364643565294,4.7386799476706255e-05,,,,,2.259954360549634e-06,,,,,,,,,,,,,,,,,,,8.938292886272716e-06,,,,,,,,,,,,,,,,,,,,,,,,,
Are States under any obligation when they conduct negotiations?,international_law,"['States are under no obligation as to how they conduct their negotiation'
 'States are under an obligation so to conduct themselves that the negotiations are meaningful'
 'States are under an obligation to find a solution of the dispute whenever they conduct negotiations'
 'States are under an obligation to inform the UN Secretary-General about the progress of their negotiations']",1,0.999853820668549,4.264282046876301e-05,8.938420750492642e-06,6.604649236123594e-05,3.2882612306464573e-06,,,,,,,,,9.421026159096019e-07,,,,1.0028630143677917e-06,,,,1.1363926733687975e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the major difference between naturalism and positivism?,international_law,"['On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires'
 'While naturalism serves only the theory human rights law, positivism has a wider and more general scope'
 'Naturalism concerns the underpinning values of the international society, while positivism the international rules as such'
 'Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory']",0,7.482820542401041e-05,0.9996912383666514,0.00012337085393088467,7.658799614203353e-05,,,,1.8732874681906917e-06,,3.7254769792897744e-06,,,,,,,1.8732874681906917e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is an 'internationally wrongful conduct'?,international_law,"['An international wrongful conduct is an action or omission which is in breach of a rule of international criminal law'
 'An international wrongful conduct is every breach of an international obligation of the State, whether attributable to it or not'
 'An internationally wrongful conduct consists of an action or omission attributable to the State, which constitutes a breach of an international obligation of the State'
 'An internationally wrongful conduct is the conduct that cannot be excused on grounds of necessity, force majeure etc.']",2,0.0007095590125698401,0.9991501788254633,2.9286998138876385e-05,2.584568514355922e-05,,,,4.219192115983984e-06,,1.2996026644475989e-05,,,,,8.390865452423544e-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.12154302944278e-06,,,,,,,,,,,,
What is the effects doctrine?,international_law,"['It posits that jurisdiction exists only when it is effective'
 'The effects doctrine serves to confer jurisdiction on the State which has an effective link with the harmful conduct'
 'The effects doctrine serves to confer jurisdiction on the State sharing the nationality of the offender'
 'The effects doctrine serves to confer jurisdiction to the State on whose territory the conduct produces effects']",3,0.00017948042440340506,4.537975796102129e-05,0.9995582784920903,0.0002040252727507857,,,,,2.1224395234703833e-06,,,,,,,,,,,,,,,4.448874926589421e-07,,,,3.499311188120265e-06,,,,,,,,,,,,,,,,,,,,,,,,,
Which persons are considered as 'de facto' organs of the State under the law of international responsibility?,international_law,"[""'De facto organs' are the individuals that are empowered by law to exercise elements of governmental authority""
 ""'De facto organs' are the persons, which are, in fact, acting on the instructions of, or under the direction or control of, that State in carrying out the conduct attributable to the State""
 ""'De facto organs' are the de jure organs of the State that act without due authority or ultra vires""
 ""'De facto organs' are the organs, whose acts or omission cannot be attributed to the State""]",1,0.999453869261591,6.601991726123915e-05,6.601991726123915e-05,0.0003809856862758168,5.419244817538728e-06,,,,,,,,,1.6527762887760207e-06,,,,,,,,1.2871834679406153e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the fundamental prerequisite for the incorporation of custom under English law?,international_law,"['Custom is incorporated if it is not in conflict with existing legislation'
 'Custom is superior to English law and is always incorporated'
 'Custom must first be recognised by Parliament before the courts can bring it into the domestic sphere'
 'Custom is incorporated with the passing of implementing legislation']",0,5.143396964809729e-05,0.00010888571459947778,3.535001590479754e-05,0.9997928771223523,,,,,,,,,1.65334224515023e-06,1.2876242352080337e-06,,6.474581260232816e-07,6.474581260232816e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Was the use of armed force permitted prior to the United Nations Charter?,international_law,"['Armed force was prohibited'
 'Armed force was permitted with no restrictions'
 'Armed force was permitted subject to few restrictions'
 'Armed force was not regulated under international law prior to 1945']",2,0.0004867929308651271,0.0011700098325581486,0.9973318433187913,0.0009148567036005483,,,,,2.9234173856945098e-05,,,,,,,,,,,,,,,,,,,1.5647925660240954e-05,,,,,,,,,,,,,,,,2.8945751942768e-06,,,,2.3996871208181567e-06,,,,,
What is the protective principle of jurisdiction?,international_law,"['It is jurisdiction based on the harm to national interests by conduct committed abroad'
 ""It is jurisdiction in order to protect one's nationals abroad""
 'It is jurisdiction in order to protect international human rights'
 'It is jurisdiction based on the nationality of the offender']",0,0.9998095303871012,8.480181637441244e-05,5.828337921613438e-05,2.7531118922422702e-05,5.0927449192842265e-06,,,,6.082416423353705e-07,5.042500323858907e-07,,,,6.474698579491005e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which one of the following statements is correct?,international_law,"['The Council of Europe was established in 1950 and consists of 27 member states'
 'The Council of Europe was established in 1949 and consists of 47 member states'
 'The Council of Europe was established in 1959 and consists of 34 member states'
 'The Council of Europe was established in 1984 and consists of 19 member states']",1,0.999385882341864,6.601544714611667e-05,2.751933262731002e-05,0.00048779184235864736,4.782142951772161e-06,,,,,,,,,1.5525345085531737e-06,,,,,,,,2.9005163193784886e-06,,,,1.4584711978035513e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'equitable result' in the law and practice of maritime delimitation?,international_law,"['It is the only method of delimitation that international courts and tribunals follow'
 'An equitable result is what a judge or the arbitrator would decide ex aequo et bono, i.e. upon their discretion and in light of what they consider as fair and equitable in a delimitation case'
 ""It is the end result that all delimitations of areas of continental shelf and EEZ should achieve, after, however, drawing a provisional 'equidistance line' and adjusting the zone in the light of the relevant circumstances and the proportionality test.""
 'Achieving an equitable result is an old method of delimitation which is currently not applicable']",2,0.0005527476879486998,0.9993958655780955,1.473021991467247e-05,8.934330002558464e-06,,,,1.458489279700432e-06,8.310221416274814e-07,1.2999373449088379e-05,,9.416714542494616e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is a derogation?,international_law,"['Derogations are exemptions from particular human rights obligations contained in a treaty'
 'A derogation refers to the ability of rights holders to bring a claim against the State for breach of an obligation'
 'A State may suspend particular rights by means of a derogation in circumstances that threaten its existence'
 'Derogations are enforcement clauses in human rights treaties']",2,3.533939809300238e-05,0.9994929988792284,0.0003352908737223188,0.00011194093162838651,,,,2.900834443833512e-06,,1.4586311608252617e-06,,,,,,,1.75944502893547e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is an act jure gestionis?,international_law,"['Acts jure gestionis are those undertaken by States in a private capacity'
 'All purchases by the State are acts jure gestionis'
 'All acts undertaken by State corporations are jure gestionis'
 'All conduct undertaken by government officials in their free time is considered jus gestionis.']",0,0.00012338226705340435,4.5389799454072057e-05,1.0781022344909774e-05,0.9997898116948315,,,,,,,,,1.6533233242580713e-06,4.221909011594965e-06,3.725821625726547e-06,1.4590527126286146e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of cultural relativism?,international_law,"['Culture relativism posits that human rights apply equally to all without restrictions'
 'Culture relativism posits that human rights have a cultural origin'
 'Cultural relativism posits that the application of human rights is relative to the laws in each nation'
 'Cultural relativism posits that local culture should validate the existence and practice of all human rights']",3,0.0002033197866888055,0.00038197302079564745,0.9992711770478102,9.912871463185439e-05,,,,,6.139725555985869e-06,,,,,,1.0022826447135777e-06,,,,,,,,,,,,,1.3836085124356112e-05,,,,,,,,,,,,,,,,,,,,,,,,,
Is recognition of governments prevalent in contemporary international practice?,international_law,"['Recognition of governments is very prevalent in contemporary practice'
 'Recognition of governments has largely been replaced by functional Recognition'
 'Government recognition is common in respect of rebel entities'
 'Only democratic governments are recognised in contemporary practice']",1,0.002173230957074161,0.004060129950120362,0.00020214196740905445,0.9934881720017418,,,,,5.38690096524629e-06,,,,,2.245594416180675e-06,,,2.414241517893787e-05,,,,,4.7539234163598185e-06,,,,,,,,,,,,,,,,,,,,,,,,,1.4498647257617553e-06,,,,,,
What is the legal nature of the Universal Declaration of Human Rights (UDHR)?,international_law,"['The UDHR is a multilateral treaty'
 'The UDHR is a UN General Assembly resolution'
 'The UDHR is a UN Security Council resolution'
 'The UDHR is a declaration adopted by several States at an international conference']",1,0.00033516683045494827,0.00020328895878963214,0.9991213953982067,0.00029818767624531284,,,,,6.534712872428205e-06,,,,,,3.2858599852300946e-06,,,,,,,,,,,,,1.146877825865353e-05,,,,,,,,,,,,,,,,,,,,,,,,,
Under what circumstances do human rights violations taking place outside the territory of ECHR member States fall within the remit of the ECHR?,international_law,"['The ECHR applies outside Europe where human rights are violated by ECHR member States abroad'
 'The ECHR applies extraterritorially in circumstances where a member State exercises effective control'
 'The ECHR applies extraterritorially where a member State has contributed forces to a UN peacekeeping mission'
 'The ECHR applies extraterritorially where human rights violations are taking place in former colonies of member States']",1,0.9998109312239875,9.609222227222351e-05,1.3843397151726685e-05,5.1434460162994686e-05,3.5001589404071536e-06,,,,1.0674881645741412e-06,9.420549987823945e-07,,,,,,,,,,,,9.420549987823945e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the principle 'pacta sunt servanda' mean?,international_law,"['Parties to a treaty should be cognizant of its terms and not misinterpret them'
 'Parties to a treaty should safeguard the object and purpose of the treaty'
 'Parties to a treaty should adhere to its terms in good faith'
 'Parties to a treaty should not violate the most important provisions of the treaty']",2,2.144244299102874e-05,0.9998640733204364,9.609836239424055e-05,5.421498618918026e-06,,,,2.405775428753163e-06,6.475056725113008e-07,2.726100705517828e-06,,,,,1.2096998550836702e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was the consequence from the absence of implementing legislation in the Tin Council case?,international_law,"['The International Tin Council was headquartered in London and hence the absence of implementing legislation was inconsequential'
 'The constitutive treaties of international organisations are subject to the doctrine of incorporation'
 ""The absence of implementing legislation with respect to the Council's founding treaty meant that individuals did not derive rights and duties from it in the English legal system""
 'The absence of implementing legislation in England in respect of an international organisation is inconsequential under international law']",2,0.00010870393617832573,0.9981301091614292,0.0017004156579998341,2.4336161223599828e-05,,,,,1.5505783724765648e-06,8.92296245161025e-06,,,,,,,,1.2854746208038468e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is true?,international_law,"['The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law'
 'The Human Rights Act 1998 allows a court to invalidate primary legislation'
 'The Human Rights Act 1998 allows any person with a reasonable case to bring a case before a court'
 'The Human Rights Act 1998 incorporates the EU charter of fundamental rights into UK law']",0,0.0002034132683864098,4.538763515137516e-05,4.783821549651757e-06,0.9997330306527896,,,,,,,,,1.9941935129694035e-06,1.0027434709058192e-06,8.849180071613119e-07,,,,,,,7.809374003611906e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What forms may the obligation of reparation take?,international_law,"['Reparation may take only the form of pecuniary compensation, including the interest'
 'Reparation denotes only the physical restitution of the wrongful act'
 'Reparation includes restitution, compensation, and satisfaction, either alone or alongside other forms of reparation'
 'The form of reparation is a matter for the responsible State to decide']",2,3.119919528542625e-05,0.9998909289646267,2.2825818881376223e-05,2.9308931600398025e-05,,,,2.726155302121296e-06,,3.500452697761793e-06,,,,,2.901977213257663e-06,,1.7601381536281998e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is jus cogens?,international_law,"['They are peremptory norms of international law, from which no derogations are allowed and which can never be altered even with the consent of the States'
 'They are rules of international law that are laid down in multilateral treaties with a wide participation'
 'They are the decisions of the UN Security Council'
 'They are the rules of international law on which the ICJ founds its decisions']",0,1.4738187189539035e-05,8.397565928268655e-06,1.1478111724265948e-05,0.9999431105934886,,,,,,,,,1.6535787745730436e-06,1.994596737690482e-06,2.2601742078061082e-06,6.89314187666032e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is 'unilateral acts'?,international_law,"['They are acts that States perform as practice in the context of custom'
 'They are acts creating unilateral legal obligations to the acting State'
 'Unilateral acts are simply political acts of State devoid of any legal effect'
 'Unilateral acts are those that State perform in order to be bound by a treaty']",1,0.02522721912829705,0.6506185564842957,0.015301085508663805,0.307366074357773,,,,,0.00015000656400055232,,,,,,,,6.253203923430366e-05,,,,,,,,,,,,,,,,,,,,,,,,0.0005524592811605247,,,,,,,,7.542803728239666e-05,,,,
Is extra-territorial abduction a ground for refusal of otherwise lawful jurisdiction by English courts?,international_law,"['Such abduction constitutes abuse of process and leads to a stay of proceedings'
 ""Such abduction gives rise to the abductor's liability but does not lead to a stay of proceedings""
 'The stay of proceedings under such circumstances would prevent the administration of justice in respect of international criminals'
 'The courts may, but will seldom, stay proceedings in cases of extra-territorial abduction']",0,8.479041400374628e-05,5.142798574299954e-05,0.9996748999048855,0.0001594120342866092,,,,,6.538334660654522e-06,,,,,,,,,,,,,,,8.848673731954417e-07,,,,8.9368438862743e-06,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of 'secondary rules' in the law of international responsibility?,international_law,"['Secondary rules are the rules of interpretation of international law, including the law of international responsibility'
 'Secondary rules are the rules that govern the legal consequences arising from a breach of the primary rules, ie of the international obligations of the States'
 'Secondary rules are the rules that govern exclusively the concept of attribution in the law of international responsibility'
 'Secondary rules are the rules that govern exclusively the law of countermeasures']",1,0.9998461218569452,4.5392699781490724e-05,5.143666753792308e-05,3.58255854663436e-05,3.966369903287731e-06,,,,6.892517392774697e-07,,,,,8.313962973825071e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does the doctrine of incorporation suggest in respect of treaties?,international_law,"['The doctrine of incorporation requires that all treaties undergo legislative transformation before they become domestic law'
 'The doctrine of incorporation does not require any further action at the domestic level'
 'The doctrine of incorporation treats treaties as inferior to domestic law'
 'The doctrine of incorporation suggests that ratified treaties automatically pass into the sphere of domestic law']",3,0.0003353350032708167,1.3002349110073827e-05,0.9996215284844753,1.7232017775349816e-05,,,,,1.3704375136844283e-06,,,,,,,,,,,,,,,,,,,6.141874826660774e-06,,,,,,,,,,,,,,,,,,3.9263692146774107e-07,,,,,,,
Are the provisional measures issued by the ICJ binding upon the parties?,international_law,"['No, according to the literal interpretation of the relevant provision of the State, the provisional measures are not binding'
 'No, unless the parties have agreed so beforehand'
 'It depends upon the Court whether the provisional measures will be binding'
 'Yes, it has been consistently held by the Court since the La Grand case (2001) that they are binding']",3,0.0001088624565856762,9.607078074460924e-05,0.9995760829042666,0.00018147773319683735,,,,,5.091564848758791e-06,,,,,,,,,,,,,,1.2093526533548303e-06,,,,,4.783082529085927e-06,,,,,,,,,,,,,,,,,,,,,,4.493290208338236e-06,,,
When are countermeasures illegal?,international_law,"['Countermeasures are illegal when inter alia are disproportionate or in violation of a peremptory norm of international law (e.g. the use of force, human rights)'
 'Countermeasures are illegal when they are taken in the course of an armed conflict'
 'Countermeasures are illegal when they violate bilateral treaties'
 'Countermeasures are illegal when the responsible State does not consent to them']",0,0.000179496001173571,6.603288860424185e-05,4.538369638529399e-05,0.9996617275142984,,,,,2.725502814280318e-06,,,,,4.2213413377699555e-06,4.4935944632570215e-06,4.783406406761072e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
