question,subject,choices,answer,d,c,a,b,e,4,g,1,choice,Ð°,option,re,2,bcd,band,cd,none,not,there,this,3,Ñ,all,i,ac,f,bc,ron,r,bd,ad,wood,sol,da,ab,im,ba,lin,p,char,yes,no,s,self,bs,states,george,'b,spanish,the,wrong,world,support,cc
"This question refers to the following information.
""If any person or persons shall, from and after the passing of this act, by force and violence, take and carry away, or cause to be taken or carried away, and shall, by fraud or false pretense, seduce, or cause to be seduced, or shall attempt so to take, carry away or seduce, any negro or mulatto, from any part or parts of this commonwealth, to any other place or places whatsoever, out of this commonwealth, with a design and intention of selling and disposing of, or of causing to be sold, or of keeping and detaining, or of causing to be kept and detained, such negro or mulatto, as a slave or servant for life, or for any term whatsoever, every such person or persons, his or their aiders or abettors, shall on conviction thereof, in any court of this commonwealth having competent jurisdiction, be deemed guilty of a felony.""
âExcerpt from Pennsylvania law, 1826
The passage and implementation of this Pennsylvania law reflected an ongoing conflict between",high_school_us_history,"['rural and urban interests.' 'federal law and state law.'
 'those who favored gradual emancipation and those who favored immediate emancipation.'
 'supporters and opponents of government regulation of commerce.']",1,5.1410675578021765e-05,0.9993507853515552,8.55928505430274e-05,0.0004877711416403,2.258827440406075e-06,,,,,,,,,,,,,,,,3.087451048111516e-06,1.20906320252965e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The far-reaching, the boundless future will be the era of American greatness. In its magnificent domain of space and time, the nation of many nations is destined to manifest to mankind the excellence of divine principles; to establish on earth the noblest temple ever dedicated to the worship of the Most Highâthe Sacred and the True. Its floor shall be a hemisphereâits roof the firmament of the star-studded heavens, and its congregation a Union of many Republics, comprising hundreds of happy millions, calling, owning no man master, but governed by God's natural and moral law of equality, the law of brotherhoodâof 'peace and good will amongst men.'""
John L. O'Sullivan, ""The Great Nation of Futurity,"" 1839
Which of the following best states the principle described above?",high_school_us_history,"['Colonists were destined to leave the British Empire because of the distance between the New World and England.'
 'Women are biologically predestined to lives of child rearing and domestic labor.'
 ""America's expansion to the West Coast was inevitable and divinely sanctioned.""
 'The abolition of slavery in the United States was certain to come about because slavery was immoral.']",2,5.143681469961985e-05,0.9998571296574432,3.0086245565044776e-05,3.5351971278206606e-05,1.4591501181567208e-06,,,,,,,,,,,,,,,,5.092934338787924e-06,2.123050894557162e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""I observe the great and wonderful mistake, both our own and our fathers, as to the civil powers of this world, acting in spiritual matters. I have readâ¦the last will and testament of the Lord Jesus over many times, and yet I cannot find by one tittle of that testament that if He had been pleased to have accepted of a temporal crown and government that ever He would have put forth the least finger of temporal or civil power in the matters of His spiritual affairs and Kingdom. Hence must it lamentably be against the testimony of Christ Jesus for the civil state to impose upon the souls of the people a religion, a worship, a ministry, oaths (in religious and civil affairs), tithes, times, days, marryings, and buryings in holy groundâ¦""
Roger Williams, The Hireling Ministry None of Christ's, 1652
The Puritans believed that the freedom to practice religion should be extended to",high_school_us_history,"['Puritans only' 'all Protestants only' 'all Christians only'
 'all Jews and Christians only']",0,0.9985448557003748,0.0006258125963469,0.0003369650079422,0.0004301142880016,5.086299144867135e-06,1.2201397356347748e-05,,,,,,,,,,,,,,,,,1.2988319876887195e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Tonight, the daughter of a woman whose highest goal was a future for her children talks to our nation's oldest political party about a future for us all. Tonight, the daughter of working Americans tells all Americans that the future is within our reach, if we're willing to reach for it. Tonight, the daughter of an immigrant from Italy has been chosen to run for (vice) president in the new land my father came to love.â¦ Americans want to live by the same set of rules. But under this administration, the rules are rigged against too many of our people. It isn't right that every year the share of taxes paid by individual citizens is going up, while the share paid by large corporations is getting smaller and smaller.â¦ It isn't right that young couples question whether to bring children into a world of 50,000 nuclear warheads. That isn't the vision for which Americans have struggled for more than two centuries.â¦ Tonight, we reclaim our dream. We're going to make the rules of American life work for all Americans again.â¦ The issue is not what America can do for women, but what women can do for America.
âGeraldine Ferraro, Vice Presidential Nomination Acceptance Address, July 19, 1984
The ideas expressed in the passage above would most directly have strengthened which of the following during the 1980s?",high_school_us_history,"[""Opposition to the administration's arms buildup""
 'Efforts to deregulate many industries'
 'Efforts to reform the welfare system'
 ""Support for the administration's cold war policies""]",0,8.939000424564659e-06,4.006182050251875e-05,0.9999240818558882,1.8923864047304088e-05,,,,4.450466252781655e-07,1.7848547717976748e-06,3.2560306666346546e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
I appeal to any white man to say, if ever he entered Logan's cabin hungry, and he gave him not meat: if ever he came cold and naked, and he clothed him not? During the course of the last long and bloody war, Logan remained idle in his cabin, an advocate for peace. Such was my love for the whites, that my countrymen pointed as they passed, and said, ""Logan is the friend of the white man."" I had even thought to have lived with you but for the injuries of one man. Colonel Cresap, the last spring, in cold blood and unprovoked; murdered all the relations of Logan, not even sparing my women and children. There runs not a drop of my blood in the veins of any living creature. This called on me for revenge. I have sought it: I have killed many; I have fully glutted my vengeance. For my country, I rejoice at the beams of peace. But do not harbor a thought that mine is the joy of fear. Logan never felt fear. He will not turn on his heel to save his life. Who is there to mourn for Logan? Not one.
âAddress attributed to Logan, an Indian leader, 1774
Which of the following best expresses the perspective of Logan in the passage above?",high_school_us_history,"['Logan believes the expansion of British settlements must be stopped'
 'Logan laments the loss of his family' 'Logan opposes a new peace treaty'
 'Logan believes that Indians need to find strength in unity']",1,9.607352939101337e-05,0.0001397861604359,0.0001412449599246,0.9996053070294167,5.712740879623755e-07,,,,,,,,1.993942489699914e-06,,,,,,,,,,,5.712740879623755e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Those who came before us made certain that this country rode the first waves of the industrial revolutions, the first waves of modern invention, and the first wave of nuclear power, and this generation does not intend to flounder in the backwash of the coming age of space. We mean to be a part of itâwe mean to lead it. For the eyes of the world now look into space, to the moon, and the planets beyond, and we have vowed that we shall not see it governed by a hostile flag of conquest, but by a banner of freedom and peace. We have vowed that we shall not see space filled with weapons of mass destruction, but with instruments of knowledge and understanding.â¦ We choose to go to the moon. We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard, because that goal will serve to organize and measure the best of our energies and skills, because that challenge is one that we are willing to accept, one we are unwilling to postpone, and one which we intend to win, and the others, too.
âJohn F. Kennedy, September 12, 1962
Kennedy's speech most directly led to which of the following?",high_school_us_history,"['The Vietnam War'
 'The Mutually Assured Destruction (MAD) nuclear strategy'
 'The Apollo space program' 'The Great Society social programs']",2,1.8924802525135624e-05,0.999966176016524,2.129255748996467e-06,5.093541500061093e-06,4.181033470232862e-07,,,,,,,,,,,,,,,,2.9022124637889925e-06,8.314977923829771e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills.
At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two actsâone of international terrorism and one of military aggressionâpresent a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.â¦
Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.
Each of these factors is important in its own right. Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail.
âJimmy Carter, State of the Union Address, January 23, 1980
The situation Carter described led most directly to which of the following?",high_school_us_history,"['The creation of the North Atlantic Treaty Organization (NATO)'
 ""Carter's defeat in the next presidential election""
 'An American invasion in the Middle East'
 ""Carter's victory in the next presidential election""]",1,0.0001233630889046,0.9996306995321098,0.0002050444150333,2.7526025783707665e-05,9.418888069168786e-07,,,,,,,,,,,,,,,,,1.873169562495757e-06,,,7.335437403930563e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Americans have more freedom and broader rights than citizens of almost any other nation in the world, including the capacity to criticize their government and their elected officials. But we do not have the right to resort to violenceâor the threat of violenceâwhen we don't get our way. Our founders constructed a system of government so that reason could prevail over fear. Oklahoma City proved once again that without the law there is no freedom. Criticism is part of the lifeblood of democracy. No one is right all the time. But we should remember that there is a big difference between criticizing a policy or a politician and demonizing the government that guarantees our freedoms and the public servants who enforce our laws.""
President Bill Clinton, ""What We Learned in Oklahoma City,"" 2010
(Written on the 15th anniversary of the Oklahoma City bombing)
""If there would not have been a Waco, I would have put down roots somewhere and not been so unsettled with the fact that my governmentâ¦was a threat to me. Everything that Waco implies was on the forefront of my thoughts. That sort of guided my path for the next couple of years.""
Timothy McVeigh, Oklahoma City bomber, 2001
U.S. Representative John Conyers, Events Surrounding the Branch Davidian Cult Standoff in Waco, Texas: Hearing Before the Committee on the Judiciary, House of Representatives, 1993
In the third excerpt, Representative Conyers refers to ""Wounded Knee"" as an example of",high_school_us_history,"['a violent cult' 'a federal misuse of power' 'the site of a bombing'
 'a recent conflict between federal agents and Lakota Indians']",1,0.0002033981377284,8.478895849231704e-05,3.1839486354470055e-05,0.9996624502115228,6.081494190828858e-07,,,,,,,,3.499658274465705e-06,,,,,,,,,,,6.891235734672611e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""If any person or persons shall, from and after the passing of this act, by force and violence, take and carry away, or cause to be taken or carried away, and shall, by fraud or false pretense, seduce, or cause to be seduced, or shall attempt so to take, carry away or seduce, any negro or mulatto, from any part or parts of this commonwealth, to any other place or places whatsoever, out of this commonwealth, with a design and intention of selling and disposing of, or of causing to be sold, or of keeping and detaining, or of causing to be kept and detained, such negro or mulatto, as a slave or servant for life, or for any term whatsoever, every such person or persons, his or their aiders or abettors, shall on conviction thereof, in any court of this commonwealth having competent jurisdiction, be deemed guilty of a felony.""
âExcerpt from Pennsylvania law, 1826
Debate and conflict over the Pennsylvania law, excerpted above, reflected the fact that the framers of the Constitution",high_school_us_history,"['specifically declared that the institution of slavery would be protected ""in perpetuity"" in the original 13 states.'
 ""allowed for a state to be exempt from federal laws that went against that state's constitution.""
 'postponed a solution to the problems of slavery.'
 'declared that slaves could be both citizens and property.']",2,3.119925479322547e-05,0.9998897160749898,1.758481242269187e-05,4.539464786662883e-05,7.337361451239506e-07,,,,,,,,,,,,,,,,2.2600664368709582e-06,1.7601415108285023e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Whereas the laws and treaties of the United States, without interfering with the free expression of opinion and sympathy, or with the commercial manufacture or sale of arms or munitions of war, nevertheless impose upon all persons who may be within their territory and jurisdiction the duty of an impartial neutrality during the existence of the contest; And Whereas it is the duty of a neutral government not to permit or suffer the making of its waters subservient to the purposes of war;
""Now, Therefore, I, Woodrow Wilson, President of the United States of America, in order to preserve the neutrality of the United Statesâ¦do hereby declare and proclaimâ¦.
""That the statutes and the treaties of the United States and the law of nations alike require that no person, within the territory and jurisdiction of the United States, shall take part, directly or indirectly, in the said wars, but shall remain at peace with all of the said belligerents, and shall maintain a strict and impartial neutralityâ¦.""
Woodrow Wilson, 1914
All of the following increased federal government power during World War I EXCEPT the",high_school_us_history,['War Industries Board' 'Food Administration' 'Espionage Act' 'Dawes Plan'],3,0.9994153531155614,0.0002623890099864,0.0001839450326317,8.47673713399215e-05,2.0134015473227016e-05,3.286787673682872e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
All this while the Indians came skulking about them, and would sometimes show themselves aloof off, but when any approached near them, they would run away; and once they stole away their tools where they had been at work and were gone to dinner. But about the 16th of March, a certain Indian came boldly amongst them and spoke to them in broken English, which they could well understand but marveled at it. At length they understood by discourse with him, that he was not of these parts, but belonged to the eastern parts where some English ships came to fish, with whom he was acquainted and could name sundry of them by their names, amongst whom he had got his language. He became profitable to them in acquainting them with many things concerning the state of the country in the east parts where he lived, which was afterwards profitable unto them; as also of the people here, of their names, number and strength, of their situation and distance from the place, and who was chief amongst them. His name was Samoset. He told them also of another Indian whose name was Squanto, a native of this place, who had been in England and could speak better English than himself.
âWilliam Bradford, History of Plymouth Plantation
Which of the following best expresses the perspective of William Bradford in the passage above?",high_school_us_history,"['The only good Indian is a dead Indian.'
 'The native peoples of America need to be converted to Christianity.'
 'Native Americans need to be incorporated into their new colony.'
 'Surprise that Native Americans could learn English and serve as cultural intermediaries.']",3,0.9987038181180165,0.0010350359261545,0.0001033880160948,0.0001087667772354,9.503935077249106e-06,6.13620167789224e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Wherever I goâthe street, the shop, the house, or the steamboatâI hear the people talk in such a way as to indicate that they are yet unable to conceive of the Negro as possessing any rights at all. Men who are honorable in their dealings with their white neighbors will cheat a Negro without feeling a single twinge of their honor. To kill a Negro they do not deem murder; to debauch a Negro woman they do not think fornication; to take the property away from a Negro they do not consider robbery. The people boast that when they get freedmen affairs in their own hands, to use their own classic expression, 'the niggers will catch hell.'
""The reason of all this is simple and manifest. The whites esteem the blacks their property by natural right, and however much they may admit that the individual relations of masters and slaves have been destroyed by the war and the President's emancipation proclamation, they still have an ingrained feeling that the blacks at large belong to the whites at large, and whenever opportunity serves they treat the colored people just as their profit, caprice or passion may dictate.""
âCongressional testimony of Col. Samuel Thomas, Assistant Commissioner, Bureau of Refugees, Freedmen and Abandoned Lands, 1865
Which of the following factors did Alexander Hamilton believe was a source for the problems in the excerpt from Federalist #15?",high_school_us_history,"['economic class divisions among the American people that prevented them from forging a unified vision.'
 'a failure of American policy-makers to abandon mercantilist principles and to embrace a laissez-faire approach to trade.'
 'a weak central government without the powers to address pressing issues.'
 'an unhealthy obsession among the American people with religion and individual salvation, at the expense of interest in solving practical national problems.']",2,5.827520903464787e-05,0.9996842061525336,0.0001237807836753,4.831184515777262e-05,9.513166362222638e-06,,,,,,,,,,,,4.221441983590108e-06,,,,3.72540947495884e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""I was once a tool of oppression
And as green as a sucker could be
And monopolies banded together
To beat a poor hayseed like me.
""The railroads and old party bosses
Together did sweetly agree;
And they thought there would be little trouble
In working a hayseed like me. . . .""
â""The Hayseed""
Which of the following is an accomplishment of the political movement that was organized around sentiments similar to the one in the song lyrics above?",high_school_us_history,"['Establishment of the minimum wage law.'
 'Enactment of laws regulating railroads.'
 'Shift in U.S. currency from the gold standard to the silver standard.'
 'Creation of a price-support system for small-scale farmers.']",1,0.9998972225982176,2.7533587070825823e-05,3.672464219343308e-05,2.7533587070825823e-05,1.6535204275049894e-06,3.50050277249746e-06,,,,,,,,,,,,,,,,,,,,1.9748485274657605e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""We found that not only was it a civil war, an effort by a people who had for years been seeking their liberation from any colonial influence whatsoever, but also we found that the Vietnamese whom we had enthusiastically molded after our own image were hard put to take up the fight against the threat we were supposedly saving them from.
""We found most people didn't even know the difference between communism and democracy. They only wanted to work in rice paddies without helicopters strafing them and bombs with napalm burning their villages and tearing their country apart. They wanted everything to do with the war, particularly with this foreign presence of the United States of America, to leave them alone in peace, and they practiced the art of survival by siding with whichever military force was present at a particular time, be it Viet Cong, North Vietnamese or American.""
John Kerry, 1971
The conflict described above is most likely a result of which of the following doctrines?",high_school_us_history,['Imperialism' 'Containment' 'Big-stick diplomacy' 'Isolationism'],1,6.602514327252426e-05,0.0003353033445277,5.189399910151851e-05,0.99953229834047,8.847374259438465e-07,,,,,,,,1.993786566913928e-06,,,,,,,,,,,,,,5.366203746301783e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
