question,subject,choices,answer,c,the,d,b,a,3,yes,not,none,s,Ð°,option,(,all,e,options,choice,ab,Ð±,other,national,4,n,business,bus,comput,both,cho,con,Ð´,ad,sol,2,ba,bl,and,or,Unnamed: 41,&,',Ñ,state,states,g,1,inc,poss,maybe,possible,trans,wrong,when,cd,bo,f,ac,\,bc,pe,.,in,involved,within,",",that,on,among,towards,multiple,there,correct,db,true,?',an,aid,p,per,no,ap,o,k,soc,res,false,best,intern,global,cl,is,would,to,for,should,can,does,century,-,centuries,siÃ¨cle,cent,third,worldwide,vulnerable,online,ind,h,as,under,according,dis,bb,**,di,agents,agent,ag,agencies,9,bd,eff,correctly,defined,accurate,valid,applicable,appropriate,with,market,mark,w,first,partial,unknown,part,one,any,abc,med,{',:,therefore,comprehensive,act,cor,social,strong,ce,acy,cy,ancy,ity,acies,icity,acity,ality,ency,icy,pre,mal,ve,v
"Considering commerce and marketing, which of the following present the most significant obstacle to developing IT security?",security_studies,"['There is no direct return on investment in building security systems.'
 'Security systems are detrimental to usability and can make IT systems less functional, and therefore less attractive to the consumer.'
 'There is pressure to reduce the time it takes to get a new IT product or system onto the market, so security systems are sacrificed in order to reduce the time-to-market.'
 'All of these options.']",3,1.209846378736376e-06,,0.9999878432043736,2.902270587446253e-06,6.144106881838195e-06,,,,,,,,,1.4160119564837075e-06,1.1253324294153495e-07,,,,,,,,,,,,,,,4.6910834933580506e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following best describes the 'Orient' according to Edward Said?,security_studies,"['The Orient is a constructed subject that is imagined as inferior, irrational, and backward, in comparison to the West.'
 'The Orient is a geographical term once used to describe the east Asia.'
 'The Orient is an imagined concept that must be rejected by scholars in order to analyse security.'
 'Where there is an imbalance of power, the Orient is the dominant intellectual force or otherwise superior party.']",0,5.043433337357545e-07,2.5109799984138346e-08,4.1811530922711597e-07,4.222815032189829e-06,0.9999936180808596,,,,,,7.33815220605445e-07,,,,,,,2.215932071052081e-08,,,,,,,,,,,,,2.215932071052081e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can we best describe liberalism?,security_studies,"['Liberalism is a fundamentally pessimistic approach that regards the international system as destined to the escalation of conflict. It is the dominant conception in the practice of international politics.'
 'Liberalism is a novel conception in the theory of international politics. It is an optimistic approach that defines the ways in which states should relate to one another, particularly during conflict situations.'
 'Liberalism is an optimistic approach, offering an orientation for the better conduct of international affairs in the belief that a more peaceful world is possible. It is the dominant conception in the practice of international politics.'
 'Liberalism does not exist as a mainstream theory within International Relations, but rather offers a set of guidelines and advice for states and political actors wishing to accrue power within the international system independently from the restrictions of traditional security paradigms.']",2,0.9998095952241474,,8.938020115383429e-06,0.0001584301973513,4.494318758554262e-06,,,,,3.927091965342821e-07,,1.553195002089581e-06,,,,,2.5607856374902224e-06,,,,,,,,,,,,,,,8.938020115383429e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following is not one of the unifying principles of Critical Security Studies, as defined by Krause?",security_studies,"['Principle actors are social constructs that are made through political practices.'
 'Natural-science methodology is the best way to study social science, interpretive methodologies lack the coherence required for in-depth analysis.'
 'Knowledge of the social world is not objective, as there is no divide between the social world and knowledge of that world.'
 'The purpose of theory is not explanation in terms of generalizable causal claims, but contextual understanding and practical knowledge.']",1,1.5534690560681525e-06,,4.222766706183484e-06,0.9999820926231304,1.0129890723650378e-05,,,,,4.18110524304515e-07,,7.734274386157936e-08,,,,,,,,,,,,,,,,,,,,1.4449513075475077e-07,1.1253302830161259e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Considering 'offensive' and 'defensive realism', which of these statements is not correct?",security_studies,"['Offensive realism defines the international system as an environment in which states seek to achieve security through the acquisition of power.'
 'Defensive realism regards cooperation as the way in which states can achieve security.'
 'Both defensive realism and offensive realism regard power and competition as a means by which security can be achieved for the state.'
 'Offensive realism theorizes that states will pursue hegemony where possible.']",2,2.5610787129188887e-06,,6.961733726580695e-06,0.9999237109909926,6.605109056086544e-05,,,,,,,,,,,,,2.672725472418583e-08,5.6581598695112586e-08,,,,,,,,,,,,,,,3.0285947345434194e-08,1.7256412628133496e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Following the terrorist attacks of 9/11, what is the predominant paradigm in security and threat perception and to what extent is it an adequate response?",security_studies,"['The security paradigm has been the development of multi-level analysis, to aid the understanding of disempowerment and to promote peace research involvement by NGOs, policy-makers, and the academic community.'
 'The security paradigm of US led strategy has been the undertaking of short-term measures, many of which are drawn from research of the peace studies community. They focus on peace-keeping, peace-making, and structural change for preventing further conflict.'
 ""The security paradigm of recent years has been to some extent a reversion to 'liddism'; keeping the lid on a potentially fractured international system, without redress to the critical underlying causes of the problems.""
 'The dominant approach to security studies has been a US led initiative which recognizes the need to undertake responsibility for inter-governmental cooperation, particularly for the commitment towards ethical intervention and for securing peaceful transformations alongside demilitarization of the international community.']",2,5.422082899270794e-06,9.930891240782473e-08,0.999972096646916,7.889084067787171e-06,1.30069007089022e-05,,,,,,,,,,1.637327162568765e-07,,,,,,,1.7429256919901516e-07,,,,,,,,8.232998008091355e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways has the concept of environmental security been contested?,security_studies,"['Analysis of environmental security is understood as the integrity of the whole ecological system whose primary threat is human activity. However, it radically challenges security thinking in that it demands a shift in the reason for action from national security interest to the welfare of the entire social-ecological system of the planet.'
 'Environmental security contends that the principle threat to the ecological integrity is human activity and therefore humans can be secured to the extent that welfare is protected at the domestic level. The reason for action is to be found in individual and national interests.'
 'The crossover of common insecurity issue areas is unlikely because not all problems are truly global. Not all states are equally responsible for environmental problems, nor is there such a thing as equality of risk. Systemic interdependence is unlikely to manage those security areas.'
 'The ecological security and human security approaches to environmental security do not challenge the security community to consider alternative objects of security. Ecological security displays continuity with major interpretations of security, which typically centralize the security of the state.']",0,2.8712072206484425e-07,,0.9991487809712902,,,,,,,,,,1.27409048084812e-07,,,,,,,,,,,,,,,,,1.356262257022815e-07,,,,,,0.00055260722265,0.0002957893314055,6.078345733811185e-07,5.71007738263879e-07,2.533831478900776e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can the origins of weak state insecurity be explained?,security_studies,"['Weak state insecurity in a historical framework of analysis represents an abnormal state in the long term state-building process. Bloody and violent conflict between social forces is not consistent with the presence of the centralizing force with the capacity to attain monopoly of control over violence.'
 'The utility of explaining weak state insecurity with a comparison to the historical conditions of state consolidation in Europe does not stand in the contemporary context of global society because of the pervasion of international norms to prevent violent conflict from manifesting in the consolidation process.'
 'The contemporary state-building condition is constrained by the shortened time-frame operating within the established guidelines of international norms, a particular problematic rule of which is sovereignty. Thus, unlike some European entities which could not complete the state-building process and were absorbed into more viable units, weak states will remain quasi entities.'
 'Weak state insecurity originated from the denial of sovereignty as the norm and the corresponding extension of the right to inviolability of statehood. Without protection under international laws the possibility of its national status being revoked and its territory being subsumed into another state threatens the consolidation of the state-building process.']",2,1.0029969199647103e-06,,2.699529587951193e-07,5.771848759654428e-06,0.9999880136292912,,,,,7.338082224315262e-07,5.368655641804583e-07,,,,,,,4.1811132178781243e-07,,,,,,,,,,,,,,2.873634288058857e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following best describes the 'subaltern' in postcolonialism?,security_studies,"['Subaltern refers to those who are located geographically within the southern hemisphere.'
 'The subaltern is a term applied to a specific group of scholars from the global south.'
 'The subaltern refers to populations that are marginalised or outside of the hegemonic power structure.'
 'The subaltern refers to the subcontinent of India.']",2,0.9999921748079724,,4.495150342054429e-06,1.370943397092225e-06,8.851475841486435e-07,1.8553701294684026e-07,,,,8.764147921156396e-08,,,,,,,,,,,,,,,,,,,,,,6.825525263950225e-08,,,,,,,,,5.3157244204380926e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How do biological differences affect the roles that men and women must perform for the state?,security_studies,"['Biology determines the female body as weak, ensuring that men continue to dominate state security apparatus in order to protect them. Women are aware of practical biological differences, and by accepting them they allow men to act as their protectors and care-givers. In return, women must act as protectors and care-givers to those less capable than themselves, their children, infants, the elderly, and the infirm.'
 ""The most intimate of human activities for women are more important than the demands of the political and religious male dominated elite. Biology determines, and woman's intimate choice exerts, that the considerable responsibility of reproducing a state's population becomes the duty of women alone.""
 'Indiscriminate warfare is gender neutral and in contemporary conflicts there is no gender difference in levels of risk or duty. Men are just as likely to become victims of mass rape (as in the Democratic Republic of Congo or Balkans conflict) as women, and women are equally likely to be conscripted or coerced into military service.'
 'Gender roles are a social construct; the values that we attribute to masculinity or femininity, such as strength or care-giving, are the product of shared social ideals rather than innate biological properties. Men and women are equally able to care effectively for children or to conduct violent and aggressive behaviour. However, social constructs of gender roles are pervasive, and women are likely to be victims of gender-based violence in conflict whilst men are more likely to be involved as perpetrators of violence.']",3,5.422000165482765e-06,,0.999957136851568,1.670093626455637e-05,1.8924640092949707e-05,,,,,2.8735548143326044e-07,,,,,2.699454929294601e-07,,,,,,,,,,,,,,,5.31554192265619e-08,,5.714746130161836e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to motivational realism, what might inspire the behaviour of so called 'greedy states'?",security_studies,"['Human nature is fundamentally greedy.' 'All of these options.'
 'State desire to increase wealth and prosperity.'
 'State desire to spread its ideology.']",1,0.999980576986409,,1.637341215920838e-07,1.4738875921730212e-05,4.450754874224652e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8728402992701184e-06,1.0676805907281155e-06,1.197904423486183e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In which year was the seminal Human Development Report published?,security_studies,['1987' '1997' '1994' '2004'],2,0.0619254010531427,,0.015657189639358,0.4575702623304509,0.4575702623304509,,,0.0048682740992326,0.0004441602818076,,,,,,,,,,,,,,,,,,,,,,,,6.011055754089335e-05,,,,,,,,,,,,0.0012852203900008,7.2507172815386e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does it mean to be secure?,security_studies,"['Security means the coercive capability to stop an aggressor. Security is freedom from war, and the ability to deter or defeat aggressive attacks.'
 'Security refers to safety from vulnerabilities (both external and internal) that could harm the state, societies within the state, and the values of those societies.'
 'Security means freedom to enjoy the things that are most important to human survival and well-being, such as food, healthcare, and the opportunity to live well.'
 'All of these options.']",3,6.143567833608455e-06,,4.006109459643906e-05,0.9999096911682046,8.938838453024844e-06,,,,,,,1.7601616541647885e-06,,1.5533372078486038e-06,,,,,,,,,,,,,1.1364457782863766e-06,,,,,1.3005933205810192e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What has been the effect of biological weapons on national security in the international community?,security_studies,"['The West, notably Canada, Britain, and the US, have conducted research into the weaponization of Anthrax, Tularemia, Q-fever, Venezuelan equine encephalitis, and anti-agricultural agents. However biological weapons were generally viewed in the West as lacking military utility. Instead strategists have concentrated on nuclear and conventional capabilities.'
 'The Soviet Union carried out the most extensive research program into genetic engineering to weaponize naturally occurring diseases. However, the Soviets most likely saw their biological weapons program as a counter to the global-strike complex that was emerging in NATO in the 1970s or as a way to inhibit recovery in a nuclear exchange. Biological weapons programs should therefore be regarded in a Cold War context.'
 ""Biological weapons make use of living organisms or toxins to weaken or kill, but because these organisms and toxins occur in nature it makes it difficult to differentiate between naturally occurring disease and subversive activities which, moreover, make a state's capacity hard to verify.""
 'All of these options.']",3,8.939580136229673e-06,,0.9999800298856522,4.785012434078284e-06,4.222758651902861e-06,,,,,1.0571479514933113e-07,,1.3574035443952768e-07,,,8.764064340127165e-08,,,,,,,7.338054231806457e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How are US 'military moms' important to a critical reading of security?,security_studies,"['Mothers are not passive objects but the specific target of military recruiters who rely on their active engagement to fuel recruitment.'
 ""Examining the role of 'military moms' reveals the extent of gendered strategizing that is required to raise and sustain a military force.""
 'All of these.'
 'Mothers are indispensable to the exercise of military power but often overlooked in traditional security analyses.']",2,0.9999809776861858,,1.1478571481448312e-05,1.8738252837284224e-06,4.2227304620416605e-06,1.742929016360258e-07,,,,,,4.691029808475114e-08,,,4.737772273466087e-07,,,,,,,,,,,,,,,,,,,,,,,,,,8.233013711303827e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weak states face a number of security threats, which of the following threats is the odd one out?",security_studies,"['Warlordism and the assertion of the interests and influences of criminal gangs.'
 'A sudden influx of refugees fleeing conflict from neighbouring states.'
 ""Coup d'Ã©tat, military rebellion or mutiny; the violent intervention in politics by the state's own military forces, overthrowing and replacing the ruling elite.""
 'Competition for authoritative power or coercion from strongmen.']",1,2.013468752971361e-05,,5.141572581726775e-05,0.99944624271987,0.0002611106008008,,,1.6692242247596378e-05,,3.533747711546432e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.428706916097996e-05,1.4730852080695528e-05,6.958361816295951e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what ways may TNC be regarded as a new concept?,security_studies,"['Organized transnational crime groups are those structured groups randomly formed or otherwise but do not have a formally defined role for its members or continuity of membership but have a developed purpose for the intent of committing crimes.'
 'Transnational organized criminal activities consist of profit driven crime for a high level return that may result in the subversion or infiltration of the legal economy through the reinvestment of illicit profits.'
 'Transnational criminal organizations are those organizations whose modes of operation result in breaking domestic laws, e.g. murder, theft or money-laundering, underlined by the employment of systematic violence.'
 ""The terms 'transnational crime' and 'organized crime' are sometimes used interchangeably but not all transnational crime will be committed by an organized group nor will all organized groups engage in transnational crime. The pursuit of profit for illicit activity eludes definition and may include those individuals or businesses that engage in occasional transnational criminal activity but are otherwise legitimate operatives.""]",1,1.3845219160358176e-05,1.974914446247073e-07,0.9999327106415348,3.5355005692461486e-05,1.3006379736755894e-05,,,,,,,,,,9.421789880258084e-07,,,,,,,7.337697336679235e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68962593047559e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
