question,subject,choices,answer,b,a,c,d,total,ab,option,,1,mp,-,+,(,<<,$,sol,б,2,4,e,sub,д,f,а,ad,ac,cho,с,3,r,rac,false,pat,inc,true,constant,the,price,right,j,h,s,plant,both,given,options,provided,available,listed,presented,current,multiple,g,market,mark,{',not,pop,none,dis,i,iv,ii,iii,mon,douglas,dou,doug,do,dol,du,l,correct,an,cl,hom,choice,place,bc,p,best,ch,one,how,public,vol,intern,international,ba,db,el,progress,pro,**,dem,k,mc,com,de,dec,':,"',",:,_,',';,:',air,ind,super,single,initial,init,fe,in,most,only,characteristic,statement,possible,lab,m,wrong,op,opportunity,less,pay,min,bo,sc,cd,all,abc,more,mr,redu,reduce,red,set,external,dim,tax,no,this,their,transaction,our,that,what,these,compare,comp,compar,incre,fact,factor,explanation,answers,response,che,invalid,scar,autom,therefore,since,however,there,so,reg,regulations,policies,policy,regulation,subs,intervention,wage,al,mand,dead,she,.,er,",",and,per,hired,being,(',w,where,at,when,law,up,left,horizontal,as,because,correctly,accurately,be,supp,sup,7,6,5,inter
"Which of the following is most likely an example of production inputs that can be adjusted in the long run, but not in the short run?",high_school_microeconomics,"['Amount of wood used to make a desk.'
 'Number of pickles put on a sandwich.'
 'The size of a McDonald’s kitchen.'
 'Number of teacher’s assistants in local high schools.']",2,4.495124620671441e-06,1.0029978764975686e-06,0.9999862805443008,7.41120757654885e-06,,,,,,,,,,,,,,,,4.406865112409226e-08,,,,,,,,1.057151984200403e-07,3.889044811809257e-08,,,,,,,,4.6910834933580506e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The apple market is in equilibrium. Suppose we observe that apple growers are using more pesticides to increase apple production. At the same time, we hear that the price of pears, a substitute for apples, is rising. Which of the following is a reasonable prediction for the new price and quantity of apples?",high_school_microeconomics,"['Price rises, but quantity is ambiguous.'
 'Price falls, but quantity is ambiguous.'
 'Price is ambiguous, but quantity rises.'
 'Price is ambiguous, but quantity falls.']",2,0.00031242413933808746,0.002615895291494195,0.4985121938725693,0.4985045861290466,,,,,,,,,,,,,,,,8.862790639202457e-06,,,,,,,,,,,,,,,,,,3.211255476825454e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is most likely to result in a shift to the right in the demand curve for orange juice?,high_school_microeconomics,"['A bumper crop of oranges in Florida' 'A decrease in the price of Tang'
 'Expectations of lower future prices for orange juice'
 'Expectations of higher future income among juice drinkers']",3,3.120032595302058e-05,1.7777409854037596e-05,2.0144444475637657e-05,0.9999202771137138,,,,,,,,,,,,,,,,1.2877912505247913e-06,,,,,,,,,,,,,,,,,,,1.3708466504265411e-06,9.421682057046774e-07,5.368312616180764e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is accurate in regard to a perfectly competitive firm?,high_school_microeconomics,"['Demand is downward-sloping.'
 'The demand curve lies above the marginal revenue curve.'
 'Price is determined by the equilibrium in the entire market.'
 'Average revenue differs from price.']",2,2.1442872426579305e-05,2.7533193202520574e-05,0.9998925570007053,4.832225895107137e-05,,,,,,,,,,,,3.7262125004715013e-06,,,,1.002896489090947e-06,,,,,,,,6.89280004689315e-07,,,,,,,,,,,,,,6.475186403412764e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Economists use the term ""capital"" to mean",high_school_microeconomics,"['money.' 'plant and equipment.'
 'where the central government is located.' 'the center of the economy.']",1,0.9999649077010181,5.422026019655913e-06,1.0782986306339847e-05,1.994651902128037e-06,,,,,,,,,,,,,,9.930796532874923e-08,,,,,,,,,,,,,,,,,,,,,,,,,1.4976821999992804e-05,1.1253066728948622e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ray and Dorothy can both cook and can both pull weeds in the garden on a Saturday afternoon. For every hour of cooking, Ray can pull 50 weeds and Dorothy can pull 100 weeds. Based on this information,",high_school_microeconomics,0.12882047897001886,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002817936535869814,,,,,,,,,,,,,,,,,,0.8400151424953844,0.01743395600808361,0.006025013977227481,0.003890041396104376,0.0011145155199686146,0.0008153969731126315,0.0004364505486383278,0.00031931404264613707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Your aunt runs a small firm from her home making apple pies. She hires some friends to help her. Which of the following situations would most likely increase her demand for labor?,high_school_microeconomics,"['The price of apple peelers/corers rises.'
 'Your aunt’s friends gossip all day, slowing their dough-making process.'
 'There is a sale on ovens.'
 'A new study reveals that apples increase your risk of cancer.']",2,2.144463115713681e-05,3.2886407001044353e-06,0.9999706319653051,2.12330602197322e-06,,,9.329155574961861e-08,,,,,,,,,,,,,2.873582218817511e-07,,,,,,,,4.45069120612086e-07,,,,,,,,,,,,,,5.714800630487805e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mrs. Johnson spends her entire daily budget on potato chips, at a price of $1 each, and onion dip at a price of $2 each. At her current consumption bundle, the marginal utility of chips is 12 and the marginal utility of dip is 30. Mrs. Johnson should",high_school_microeconomics,"['do nothing; she is consuming her utility maximizing combination of chips and dip.'
 'increase her consumption of chips until the marginal utility of chip consumption equals 30.'
 'decrease her consumption of chips until the marginal utility of chip consumption equals 30.'
 'decrease her consumption of chips and increase her consumption of dip until the marginal utility per dollar is equal for both goods.']",3,1.3006516179824914e-05,8.939239124814976e-06,1.8924369375737974e-05,0.999956833055363,,,,,,,,,,,,,,,1.85527989130206e-07,1.0029548334220392e-06,,,1.5380810522639757e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.315470952988633e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the absence of intervention, imperfect competition, externalities, public goods, and imperfect information all result in which of the following?",high_school_microeconomics,"['Demand curves that should be added vertically' 'Market failure'
 'Prices that are too low' 'Quantities of output that are too high']",1,0.02033169979357808,1.853997686958833e-05,0.9796333502438302,9.82582776931308e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3302186121672545e-05,4.641392391217354e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marginal cost (MC) is equal to average variable cost (AVC) and average total cost (ATC) when:,high_school_microeconomics,"['marginal cost (MC) intersects AVC and ATC at their maximum points.'
 'AVC and ATC intersect MC at its maximum point.'
 'MC intersects AVC and ATC at their minimum points.'
 'AVC and ATC intersect MC at its minimum point.']",2,3.0543881941739197e-07,2.2346381397277494e-07,5.035834784709894e-07,0.9984872217332301,,,,,,,,,,,,0.0015016349809978526,,,,,,,,,,,,,,,,,,,,,,,,,,5.414032617331805e-06,,,,,,,,,,,,,,1.651186657525837e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"After Julia received a raise in her income, she began purchasing more ice cream cones and fewer popsicles. For Julia, popsicles",high_school_microeconomics,"['disobey the law of demand' 'are a joint product'
 'are a complementary good with ice cream' 'are an inferior good']",3,0.013846389076852726,0.9707068663717419,0.0029023608214329088,0.008398259501421285,,,,,,,,,,,,,,,,,0.0001357452220012356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014593986716821459,0.0005368827677847731,0.0007111830830282796,0.00028737263723170695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following conditions is characteristic of oligopoly?,high_school_microeconomics,"['A rival firm matches price decreases of rivals, but fails to match any price increases of rivals.'
 'A rival firm matches price increases of rivals, but fails to match any price decrease of rivals.'
 'A rival firm fails to match both price increases or price decreases of rivals.'
 '(I)) Rival firms act independently of each other.']",0,0.003631459409496743,0.005987264372121407,0.0007611952442075189,0.9458979489840837,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018260124652146688,,0.002344646416524275,,,,,,,,,,,,,,,,,,,,,,,0.02493508874242978,,0.010009632572868316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is characteristic of oligopoly? I. Formidable barriers to entry. II. Price (P) = Marginal Revenue (MR). III. Relatively few sellers.,high_school_microeconomics,['I only.' 'II only.' 'III only.' 'I and III only.'],3,0.00023035459202022974,0.0002957811510047102,0.0003351639537073127,0.9991194679669652,,,,,,,,,,,,,,,,5.417420751896427e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.963469690667294e-06,2.258316956083808e-06,1.286750214375172e-06,7.804534564103456e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A monopoly is less efficient than a perfect competitor because,high_school_microeconomics,"['a monopoly produces more output and sells for a higher price'
 'a monopoly produces less output and sells for a higher price'
 'a monopoly can make profit in the short run but not in the long run'
 'a perfect competitor breaks even in the short run and the monopoly does not']",1,0.4683982292756947,0.5307698429771206,0.0007979601184610916,2.7304680721603216e-05,,2.6768567065785253e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.343147953940856e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the design of a competitive market system, which of the following does NOT describe how resources are allocated?",high_school_microeconomics,"['Price signals that guide producers on what, when, how, and for whom to produce goods and services.'
 'Active government ownership and direction of production.'
 'Voluntary market exchange between buyers and sellers.'
 'Distribution of income and goods on the basis of contribution or productivity.']",1,0.999932553923794,4.006247000858157e-05,4.222553272937444e-06,2.1443894926792575e-05,,,1.275100602040579e-07,,,,,,,,,2.102285484866842e-07,,,,1.6372615818539445e-07,,,,,,,,,,,,,,,,,,,,,,7.265304228467817e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A production possibility frontier will be a straight line when,high_school_microeconomics,"['efficiency is achieved'
 'the goods on the axes are perfect substitutes in consumption'
 'utility is maximized' 'resources are not specialized']",3,,,,0.9999612750214276,,,,,,,,,,,,,,,,,,3.058903597570217e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.120166495448086e-05,2.9022069282632965e-06,1.5534394262799227e-06,4.450678472609395e-07,1.3573802432191217e-07,9.930815474384176e-08,9.930815474384176e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following statements is correct?,high_school_microeconomics,"['Economic Profits = Accounting Profits.'
 'Economic Costs = Explicit Costs plus Implicit Costs.'
 'Economic Costs = Explicit Costs minus Implicit Costs.'
 'Opportunity Costs = Economic Profits.']",1,0.9999917129996666,1.3709447045263556e-06,1.2878833638270191e-06,1.4593630414510874e-06,,,,,,,,,,,,2.902289962257353e-06,,6.023516392883777e-08,,,,,,,,,,,,,,,,,,,,,,,,2.699550183806035e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3157345593874676e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the per unit price of labor, a variable resource, increases, it causes which of the following?",high_school_microeconomics,"['An upward shift in AFC.' 'An upward shift in MPL.'
 'A downward shift in ATC.' 'An upward shift in MC.']",3,5.0936192219293925e-06,0.999985911913458,8.397958356042026e-06,1.275162621114235e-07,,,,,,,,,,,,,,,,,,,,1.7429406517055626e-07,,,,,,,,,,,,,,,,,,7.734244882298858e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4317965177399985e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If the wage paid to all units of labor is $4.50, how many units of labor are hired?",high_school_microeconomics,['1' '2' '3' '4'],1,0.7656142133174074,0.1330528955901419,0.07121624607698142,0.029685260800422816,,,,,,,,,,,,,,0.0003510420203026226,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7039680058678675e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If consumers are advised that multigrained bread will substantially lessen the risk of cancer, which of the following will happen in the market for multigrained bread?",high_school_microeconomics,"['The demand curve will shift to the left, decreasing the price of multigrained bread.'
 'The supply curve will shift to the left, increasing the price of multigrained bread.'
 'The demand curve will shift to the right, increasing the price of multigrained bread.'
 'The supply curve will shift to the right, decreasing the price of multigrained bread.']",2,8.939196499302795e-06,8.39759796250154e-06,0.9999415109297124,4.006269924852963e-05,,,,,,,,,,,,,,,,2.1022975142752944e-07,,,,,,,,6.825160751307998e-08,8.763679877659071e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.139669253135613e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The market structures of perfect competition and monopolistic competition share which of the following characteristics?,high_school_microeconomics,"['Ease of entry and exit in the long run' 'Homogenous products'
 ""Perfectly elastic demand for the firm's product""
 'Long-run positive profits']",0,0.9998363181451853,9.609561303736868e-05,3.119767787489494e-05,8.938284362056422e-06,,,,,,,,,,,,2.014273474789797e-05,,,,,,,,,,,,,,,,,,,,,,,,,,3.6892705587405734e-07,,1.637103886602452e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2882110561447584e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When a negative externality exists as the result of the production of a good, the socially optimal quantity of output could be achieved by",high_school_microeconomics,"['free market capitalism'
 'placing limits on the quantity that can be produced'
 'government purchases of the good'
 'setting a minimum on the quantity that can be produced']",1,0.9624179139790231,0.0002218933125593672,0.03731863713126411,,,,,,,,,,,,,,,,,,,,,,,,1.6073897649325778e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.592771621723917e-06,1.8034413347966148e-06,1.694176347925711e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
