question,subject,choices,answer,c,a,d,b,3,s,Ñ,sol,cho,Ð°,ch,p,none,not,unknown,undefined,im,the,no,n,other,bc,Ð±,cor,ac,1,social,Ð´,4,g,ap,k,o,e,supp,co,cl,cd,all,op,ab,ag,option,carter,f,correct,choice,ind,daw,dw,sur,false,2,br,i,h,war,r,ronald,re,reagan,third,anti,w,wilson,dp,wood,american,progress,gre,pro,con,imper,imperial,wrong,al,cent,.,as,in,solutions,",",based,because,answers,according,for,t,will,bar,lev,policy,new,mut,ad,Unnamed: 99,however,since,so,to,if,cont,sl,slavery,true,inc,pe,{',{,{$,equal,',five,v,land,col,ce,sen,q,bl,sal,pres,exp,expand,fishing,fish,prop,yes,square,ment,mental,m,po,j,man,manifest,ante,slave,ant,an,ins,.','.,'},;,(,.},declaration,decl,iraq,self,middle,states,st,de,be,car,pol,ev,many,ge,mil,vi,and,specifically,:,regarding,execut,executive,span,rep,republican,lin,poss,maybe,possible,partial,govern,government,imm,immigration,second,crit,null,south,cal,ba,governments,or,gover,versus,farmers,und,pur,best,appro,se,div,separ,sep,intern,equ,john,great,small,limited,limiting,minimal,minim,having,smaller,keeping,support,qu,res,respect,pop,un,quote,most,given,aj
"This question refers to the following information.
""Wherever I goâthe street, the shop, the house, or the steamboatâI hear the people talk in such a way as to indicate that they are yet unable to conceive of the Negro as possessing any rights at all. Men who are honorable in their dealings with their white neighbors will cheat a Negro without feeling a single twinge of their honor. To kill a Negro they do not deem murder; to debauch a Negro woman they do not think fornication; to take the property away from a Negro they do not consider robbery. The people boast that when they get freedmen affairs in their own hands, to use their own classic expression, 'the niggers will catch hell.'
""The reason of all this is simple and manifest. The whites esteem the blacks their property by natural right, and however much they may admit that the individual relations of masters and slaves have been destroyed by the war and the President's emancipation proclamation, they still have an ingrained feeling that the blacks at large belong to the whites at large, and whenever opportunity serves they treat the colored people just as their profit, caprice or passion may dictate.""
âCongressional testimony of Col. Samuel Thomas, Assistant Commissioner, Bureau of Refugees, Freedmen and Abandoned Lands, 1865
To address the problems identified in Federalist #15, Hamilton proposed",high_school_us_history,"['abandoning an isolationist approach to foreign policy and adopting a more aggressive and interventionist stance.'
 'adopting a new constitution in order to create a more national government.'
 'forging alliances with American Indian nations to present a united front to European powers.'
 'increasing spending on military forces and cutting spending on social programs.']",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8122177806086276,0.0487774661657515,0.0430459628072006,0.0295850287326239,0.0230408435441575,0.0115856637170903,0.0102243123447189,0.0062013589115503,0.0048296231764222,0.0042621274938434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Now, we have organized a society, and we call it ""Share Our Wealth Society,"" a society with the motto ""Every Man a King.""â¦
We propose to limit the wealth of big men in the country. There is an average of $15,000 in wealth to every family in America. That is right here today.
We do not propose to divide it up equally. We do not propose a division of wealth, but we do propose to limit poverty that we will allow to be inflicted on any man's family. We will not say we are going to try to guarantee any equality â¦ but we do say that one third of the average is low enough for any one family to hold, that there should be a guarantee of a family wealth of around $5,000; enough for a home, an automobile, a radio, and the ordinary conveniences, and the opportunity to educate their children.â¦
We will have to limit fortunes. Our present plan is that we will allow no man to own more than $50,000,000. We think that with that limit we will be able to carry out the balance of the program.
âSenator Huey P. Long of Louisiana, Radio Address, February 23, 1934
Senator Long ran a political machine that made him the virtual dictator of Louisiana. As a political boss, he can best be compared to whom?",high_school_us_history,"['George Washington' 'Theodore Roosevelt' 'William M. Tweed'
 'Barack Obama']",2,0.5304860515274232,1.4607422748151609e-05,0.4681435059560249,0.0013149189184846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3908039976881454e-05,2.5383894545940435e-06,2.240120831232644e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Whereas it is expedient that new provisions and regulations should be established for improving the revenue of this kingdom, and for extending and securing the navigation and commerce between Great Britain and your Majesty's dominions in America, which, by the peace, have been so happily enlarged: and whereas it is just and necessary, that a revenue be raised, in your Majesty's said dominions in America, for defraying the expenses of defending, protecting, and securing the same; we, your Majesty's most dutiful and loyal subjects, the commons of Great Britain, in parliament assembled, being desirous to make some provision, in this present session of parliament, towards raising the said revenue in America, have resolved to give and grant unto your Majesty the several rates and duties herein after-mentionedâ¦.""
The Sugar Act of 1764
The Sugar Act of 1764 represented a major shift in British policy toward the colonies in that, for the first time, the British",high_school_us_history,"['attempted to control colonial exports'
 'offered the colonists the opportunity to address Parliament with grievances'
 'required the colonies to import English goods exclusively'
 'levied taxes aimed at raising revenue rather than regulating trade']",3,9.609075603245986e-05,0.0001088850915522,0.999784665364186,1.0127891173384556e-05,,,,,,,,,,,,,,,,,,,,,,,,6.862765446170613e-08,,,,,,2.5104532291066972e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.620870428038882e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The seeds of totalitarian regimes are nurtured by misery and want. They spread and grow in the evil soil of poverty and strife. They reach their full growth when the hope of a people for a better life has died. We must keep that hope alive. . . . Great responsibilities have been placed upon us by the swift movement of events. . . . I am confident that the Congress will face these responsibilities squarely.""
âPresident Harry S. Truman, 1947
The passage above can best be seen as providing a rationale for",high_school_us_history,"['the policy of containment.' 'the principle of ""massive retaliation.""'
 'participation in the Atlantic Charter.'
 'embarking on a ""roll-back"" of communism.']",0,0.0002305020466606,0.999750775527745,7.336374876675946e-07,1.0127553124187194e-05,,,,,1.7599048438938842e-06,5.713574498860608e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2875738892516656e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5531105735799788e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""If you analyze it I believe the very heart and soul of conservatism is libertarianism. I think conservatism is really a misnomer just as liberalism is a misnomer for the liberalsâif we were back in the days of the Revolution, so-called conservatives today would be the Liberals and the liberals would be the Tories. The basis of conservatism is a desire for less government interference or less centralized authority or more individual freedom and this is a pretty general description also of what libertarianism is. Now, I can't say that I will agree with all the things that the present group who call themselves Libertarians in the sense of a party say, because I think that like in any political movement there are shades, and there are libertarians who are almost over at the point of wanting no government at all or anarchy. I believe there are legitimate government functions. There is a legitimate need in an orderly society for some government to maintain freedom or we will have tyranny by individuals. The strongest man on the block will run the neighborhood. We have government to ensure that we don't each one of us have to carry a club to defend ourselves. But again, I stand on my statement that I think that libertarianism and conservatism are traveling the same path.""
Ronald Reagan, Interview published in Reason magazine, 1975
Which of the following groups would be most opposed to the sentiments expressed in the excerpt above?",high_school_us_history,['Neoconservatives' 'Reagan Democrats' 'Progressive Liberals' 'Populists'],2,0.9522782408495644,6.696065347677165e-05,0.0474107705425644,7.58763609035476e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.305524904200448e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001581831958622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""One-half of the people of this nation to-day are utterly powerless to blot from the statute books an unjust law, or to write there a new and a just one. The women, dissatisfied as they are with this form of government, that enforces taxation without representation,âthat compels them to obey laws to which they have never given their consent,âthat imprisons and hangs them without a trial by a jury of their peers, that robs them, in marriage, of the custody of their own persons, wages and children,âare this half of the people left wholly at the mercy of the other half, in direct violation of the spirit and letter of the declarations of the framers of this government, every one of which was based on the immutable principle of equal rights to all.""
âSusan B. Anthony, ""I Stand Before You Under Indictment"" (speech), 1873
Which of the following was NOT designed to empower the government to regulate the increasing wealth and power of the industrialists in the late nineteenth and early twentieth centuries?",high_school_us_history,"['Sherman Anti-Trust Act (1890).' 'Interstate Commerce Act (1887).'
 'Federal Trade Commission Act (1914).' 'Newlands Reclamation Act (1902).']",3,2.014400262197936e-05,1.669996473032322e-05,0.999907155191558,4.539521066234457e-05,,,,,,,,,,,,,,,,,,,,,,1.55333868922711e-06,,,1.0675930274370143e-06,,,,,8.850657061116521e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.784620002633594e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
I come not to urge personal claims, nor to seek individual benefits; I appear as the advocate of those who cannot plead their own cause; I come as the friend of those who are deserted, oppressed, and desolate. In the Providence of God, I am the voice of the maniac whose piercing cries from the dreary dungeons of your jails penetrate not your Halls of Legislation. I am the Hope of the poor crazed beings who pine in the cells, and stalls, and cages, and waste rooms of your poor-houses. I am the Revelation of hundreds of wailing, suffering creatures, hidden in your private dwellings, and in pens and cabinsâshut out, cut off from all healing influences, from all mind-restoring cares.â¦ Could their melancholy histories be spread before you as revealed to my grieved spirit during the last three months, how promptly, how earnestly would you search out the most approved means of relief; how trifling, how insignificant, by comparison, would appear the sacrifices you are asked to make; how would a few dimes and dollars, gathered from each citizen, diminish in value as a possession, compared with the certain benefits and vast good to be secured for the suffering insane...by the consecration and application of a sufficient fund to the construction of a suitable hospital.â¦
âDorothea Dix, Memorial Soliciting a State Hospital for the Protection and Cure of the Insane,
Submitted to the General Assembly of North Carolina, November 1848
Which of the following best reflects the perspective of Dorothea Dix in the passage above?",high_school_us_history,"['The care of the mentally ill is a state concern.'
 'The mentally ill are best left to the care of their families.'
 'The federal government should regulate the treatment of the mentally ill.'
 'More democracy will help the mentally ill.']",0,4.785016997423922e-06,0.999985706672065,9.422257128432872e-07,9.422257128432872e-07,,,,,,1.74294231390409e-07,,,,,,,,7.045298981304221e-06,,,,,,,6.825460170979211e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""In one view the slaveholders have a decided advantage over all opposition. It is well to notice this advantageâthe advantage of complete organization. They are organized; and yet were not at the pains of creating their organizations. The State governments, where the system of slavery exists, are complete slavery organizations. The church organizations in those States are equally at the service of slavery; while the Federal Government, with its army and navy, from the chief magistracy in Washington, to the Supreme Court, and thence to the chief marshalship at New York, is pledged to support, defend, and propagate the crying curse of human bondage. The pen, the purse, and the sword, are united against the simple truth, preached by humble men in obscure places.""
Frederick Douglass, 1857
In what way did the actions of Abraham Lincoln in 1860 contradict Douglass's sentiments in the excerpt above?",high_school_us_history,"['Lincoln promoted the freedom of settlers within territories to determine the slave status of their new state.'
 'Lincoln passed the Homestead Act to give free land to all western settlers.'
 'Lincoln favored the exclusion of slavery from any of the new territories.'
 'Lincoln enacted the policy of giving newly freed slaves ""forty acres and a mule.""']",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""We found that not only was it a civil war, an effort by a people who had for years been seeking their liberation from any colonial influence whatsoever, but also we found that the Vietnamese whom we had enthusiastically molded after our own image were hard put to take up the fight against the threat we were supposedly saving them from.
""We found most people didn't even know the difference between communism and democracy. They only wanted to work in rice paddies without helicopters strafing them and bombs with napalm burning their villages and tearing their country apart. They wanted everything to do with the war, particularly with this foreign presence of the United States of America, to leave them alone in peace, and they practiced the art of survival by siding with whichever military force was present at a particular time, be it Viet Cong, North Vietnamese or American.""
John Kerry, 1971
Which of the following best characterizes the policy of dÃ©tente?",high_school_us_history,"['Direct confrontation' 'Covert sabotage' 'Decolonization'
 'Mutual coexistence']",3,1.6701334450652484e-05,1.444948551524235e-07,0.999980306357852,1.7603077002471222e-06,,,,,,,,,,,,,,,,,,,,,,,,3.02877381400447e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.47050377250272e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""A drunkard in the gutter is just where he ought to be. . . . The law of survival of the fittest was not made by man, and it cannot be abrogated by man. We can only, by interfering with it, produce the survival of the unfittest. . . . The millionaires are a product of natural selection, acting on the whole body of men to pick out those who can meet the requirement of certain work to be done. In this respect they are just like the great statesmen, or scientific men, or military men. It is because they are thus selected that wealthâboth their own and that entrusted to themâaggregates under their hands. Let one of them make a mistake and see how quickly the concentration gives way to dispersion.""
âWilliam Graham Sumner, What Social Classes Owe to Each Other, 1883
The sociological ideas of William Graham Sumner reflect the idea that during the late 1800s",high_school_us_history,"['cultural and intellectual arguments justified the success of those at the top of the socioeconomic structure as both appropriate and inevitable.'
 'popular writers rejected ideas from the sciences, and based their arguments on faith.'
 'intellectuals were critical of the cut-throat competition of the ages, and proposed radical alternatives based on creating a cooperative economy.'
 'cultural products of the era tended to ignore the economic direction of society and looked back wistfully to the past.']",0,0.0001233936812317,0.9998705729879712,3.058623559400996e-07,2.5609541517635468e-06,,,,,2.873310925930344e-07,1.0675645200082137e-06,,,,,,,,,,,,,,,5.714261100157865e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0570310096792483e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""In one view the slaveholders have a decided advantage over all opposition. It is well to notice this advantageâthe advantage of complete organization. They are organized; and yet were not at the pains of creating their organizations. The State governments, where the system of slavery exists, are complete slavery organizations. The church organizations in those States are equally at the service of slavery; while the Federal Government, with its army and navy, from the chief magistracy in Washington, to the Supreme Court, and thence to the chief marshalship at New York, is pledged to support, defend, and propagate the crying curse of human bondage. The pen, the purse, and the sword, are united against the simple truth, preached by humble men in obscure places.""
Frederick Douglass, 1857
Which of the following groups would be most likely to support the perspective of Frederick Douglass?",high_school_us_history,"['Southern Democrats in the 1880s' 'Western ranchers in the 1850s'
 'Southern farmers in the 1830s' 'Northern Republicans in the 1860s']",3,5.422103582915055e-06,4.222738516268515e-06,0.9999785861235366,1.0783140559299565e-05,,,,,,,,,,,,,,,,4.450733651422191e-07,,,,,,3.4320372698203175e-08,,4.9935847622382524e-08,1.0571419024615181e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
On Being Brought from Africa to America
'Twas mercy brought me from my Pagan land,
Taught my benighted soul to understand
That there's a God, that there's a Saviour too;
Once I redemption neither sought nor knew.
Some view our sable race with scornful eye,
""Their colour is a diabolic die.""
Remember, Christians, Negroes, black as Cain,
May be refin'd, and join th' angelic train.
âPhillis Wheatley, Poems on Various Subjects, Religious and Moral, 1773
The point of Wheatley's poem can best be compared to which of the following?",high_school_us_history,"['The Declaration of Independence'
 'Jonathan Edwards\'s sermon ""Sinners in the Hands of an Angry God""'
 'The Seneca Falls Declaration of Rights and Sentiments'
 'Martin Luther King, Jr.\'s ""I Have a Dreamâ speech']",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The man who mounted the steps of the Capitol, March 4, 1801, to claim the place of an equal between Pitt and Bonaparte, possessed a character which showed itself in acts; but person and manner can be known only by contemporaries, and the liveliest description was worth less than a moment of personal contact. Jefferson was very tall, six feet two-and-a-half inches in height; sandy-complexioned; shy in manner, seeming cold; awkward in attitude, and with little in his bearing that suggested command.â¦ His skin was thin, peeling from his face on exposure to the sun, giving it a tettered appearance. This sandy face, with hazel eyes and sunny aspect; this loose, shackling person; this rambling and often brilliant conversation, belonged to the controlling influences of American history, more necessary to the story than three-fourths of the official papers, which only hid the truth. Jefferson's personality during these eight years appeared to be the government, and impressed itself, like that of Bonaparte, although by a different process, on the mind of the nation. In the village simplicity of Washington, he was more than a king, for he was alone in social as well as in political pre-eminence. Except the British Legation, no house in Washington was open to general society; the whole mass of politicians, even the Federalists, were dependent on Jefferson and ""The Palace"" for amusement; and if they refused to go there, they ""lived like bears, brutalized and stupefied.""
âHenry Adams, History of the United States During the Administration of Thomas Jefferson, 1889
According to Henry Adams, the city of Washington in 1801 was",high_school_us_history,"['the hub of American economic power'
 'rapidly turning into the ""Paris"" of North America'
 'still an underdeveloped cultural backwater'
 'still under the control of the British']",2,0.99403525648285,3.514630795537947e-05,1.0069585821141678e-05,0.0059107001726273,,,,,1.1297762179598385e-06,,,,3.040751439449571e-07,,,,,2.246828296899701e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.265619382716454e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Whereas the laws and treaties of the United States, without interfering with the free expression of opinion and sympathy, or with the commercial manufacture or sale of arms or munitions of war, nevertheless impose upon all persons who may be within their territory and jurisdiction the duty of an impartial neutrality during the existence of the contest; And Whereas it is the duty of a neutral government not to permit or suffer the making of its waters subservient to the purposes of war;
""Now, Therefore, I, Woodrow Wilson, President of the United States of America, in order to preserve the neutrality of the United Statesâ¦do hereby declare and proclaimâ¦.
""That the statutes and the treaties of the United States and the law of nations alike require that no person, within the territory and jurisdiction of the United States, shall take part, directly or indirectly, in the said wars, but shall remain at peace with all of the said belligerents, and shall maintain a strict and impartial neutralityâ¦.""
Woodrow Wilson, 1914
Which of the following statements is most accurate?",high_school_us_history,"['After World War I, debates intensified over American involvement overseas.'
 'After World War I, Americans generally favored the new era of American involvement overseas.'
 'American involvement in World War I was an extension of a long tradition of involvement overseas.'
 'American involvement in World War I was a direct result of ""dollar diplomacy.â']",0,,,,,,,,,,,,,,,,,,0.0101474844481332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010695369920868,,,,,,,,,,,,,,,,0.971842276377569,0.0029073029704543,0.0022642098300156,0.0010695369920868,0.0010695369920868,0.0010047370215285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Whereas the laws and treaties of the United States, without interfering with the free expression of opinion and sympathy, or with the commercial manufacture or sale of arms or munitions of war, nevertheless impose upon all persons who may be within their territory and jurisdiction the duty of an impartial neutrality during the existence of the contest; And Whereas it is the duty of a neutral government not to permit or suffer the making of its waters subservient to the purposes of war;
""Now, Therefore, I, Woodrow Wilson, President of the United States of America, in order to preserve the neutrality of the United Statesâ¦do hereby declare and proclaimâ¦.
""That the statutes and the treaties of the United States and the law of nations alike require that no person, within the territory and jurisdiction of the United States, shall take part, directly or indirectly, in the said wars, but shall remain at peace with all of the said belligerents, and shall maintain a strict and impartial neutralityâ¦.""
Woodrow Wilson, 1914
The statement above is most in harmony with the sentiments in which of the following speeches?",high_school_us_history,"[""Washington's Farewell Address""
 'George H. W. Bush\'s ""A Thousand Points of Light""'
 ""Lincoln's Gettysburg Address"" 'Franklin D. Roosevelt\'s ""Day of Infamy""']",0,0.0009721959878303,0.8303874452588416,0.1442866778207586,0.0002785388140016,,,,,,,,,0.0239103978982837,,,,,,2.017728401088724e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills.
At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two actsâone of international terrorism and one of military aggressionâpresent a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.â¦
Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.
Each of these factors is important in its own right. Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail.
âJimmy Carter, State of the Union Address, January 23, 1980
Which of the following best expresses Carter's approach to foreign policy in the passage above?",high_school_us_history,['Isolationism' 'Appeasement' 'Containment' 'A call for war'],2,0.9980952717430216,4.2567692772650045e-05,0.0001087004115183,0.0005520265024305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.704074094408704e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.134390588082427e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011928944550463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""Those whose condition is such that their function is the use of their bodies and nothing better can be expected of them, those, I say, are slaves of nature. It is better for them to be ruled thus.""
Juan de Sepulveda, Politics, 1522
""When Latin American nations gained independence in the 19th century, those two strains converged, and merged with an older, more universalist, natural law tradition. The result was a distinctively Latin American form of rights discourse. Paolo Carozza traces the roots of that discourse to a distinctive application, and extension, of Thomistic moral philosophy to the injustices of Spanish conquests in the New World. The key figure in that development seems to have been BartolomÃ© de Las Casas, a 16th-century Spanish bishop who condemned slavery and championed the cause of Indians on the basis of a natural right to liberty grounded in their membership in a single common humanity. 'All the peoples of the world are humans,' Las Casas wrote, and 'all the races of humankind are one.' According to Brian Tierney, Las Casas and other Spanish Dominican philosophers laid the groundwork for a doctrine of natural rights that was independent of religious revelation 'by drawing on a juridical tradition that derived natural rights and natural law from human rationality and free will, and by appealing to Aristotelian philosophy.'""
Mary Ann Glendon, ""The Forgotten Crucible: The Latin American Influence on the Universal Human Rights Idea,â 2003
Which one of the following statements about the Spanish conquest of the Americas is most accurate?",high_school_us_history,"['African slavery was a direct result of Spanish settlements in Florida.'
 'Early native civilizations in Mexico introduced Spanish explorers to cattle ranching and wheat cultivation.'
 'Christopher Columbus was not the first European to have explored North America.'
 'Due to racial prejudice, Spanish explorers shunned intermarriage with native people.']",2,7.920992383357257e-05,0.994139445576502,0.0035853149161657,0.0001785023188514,,0.0010752531690944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006632165723008,9.554540618238712e-05,2.269402313724884e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""We found that not only was it a civil war, an effort by a people who had for years been seeking their liberation from any colonial influence whatsoever, but also we found that the Vietnamese whom we had enthusiastically molded after our own image were hard put to take up the fight against the threat we were supposedly saving them from.
""We found most people didn't even know the difference between communism and democracy. They only wanted to work in rice paddies without helicopters strafing them and bombs with napalm burning their villages and tearing their country apart. They wanted everything to do with the war, particularly with this foreign presence of the United States of America, to leave them alone in peace, and they practiced the art of survival by siding with whichever military force was present at a particular time, be it Viet Cong, North Vietnamese or American.""
John Kerry, 1971
The most important factor in the defeat of Democratic presidential candidates in the elections of 1952 and 1968 was",high_school_us_history,"[""the American public's desire to avoid conflict and return to a more conservative political and social life""
 'the Democratic Party platform pledge to increase taxes in order to pay off the national debt'
 ""the Democratic candidates' controversial positions on civil rights legislation""
 ""the Democratic Party's unequivocal support of the Equal Rights Amendment""]",0,5.042293545267602e-07,0.9997679128903538,4.9925466988786666e-08,0.0002305057836969,,,,,6.82400225110935e-08,5.042293545267602e-07,,,,,,,,2.672317677989564e-08,,,,,,,,,,,,,,,,,,,,,,,7.264112583948903e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
