question,subject,choices,answer,a,c,b,d,un,not,non,ess,s,e,the,f,3,',every,bc,sol,2,ab,h,know,k,cd,ps,p,psi,psychology,super,4,one,1,both,art,initial,artificial,ber,m,none,ad,ac,n,rel,all,rep,expression,Unnamed: 49,Ñ,ph,det,cons,compare,g,pl,more,sim,simpler,less,your,if,true,sym,Ð°,mean,meaning,time,false,ar,arrow,some,important,import,co,everything,cb,option,life,god,internal,external,show,sh,shows,run,polit,common,never,quality,q,im,i,because,cho,con,j,ex,pr,sec,part,unit,en,enjoy,lower,ba,Ð±,univers,(,as,bb,leg,l,choice,exists,does,only,has,can,man,da,form,cover,dc,good,no,why,parent,log,bio,an,ca,is
"According to Kant, the supreme principle of morality is:",philosophy,"['analytic and a priori.' 'analytic and a posteriori.'
 'synthetic and a priori.' 'synthetic and a posteriori.']",2,0.0002956852597303,0.998880805231392,0.0004875028096092,0.0003147553205666,,,,,,1.0664075576065775e-06,,,2.257584817169007e-06,,,,,,,,,,1.4576063104911513e-06,,,,,,,,,,,,,,,,,,,,,,,,1.0017971898986333e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epicurus claims that all other virtues spring from:,philosophy,['prudence.' 'temperance.' 'justice.' 'courage.'],0,0.7009401300796336,0.0012709493204298,0.2922253416914103,0.0053508965035991,,,,,,1.1705032994543023e-05,,,,,,,,,5.245831843958991e-05,,,,,,2.98898488611438e-05,,,,,,,,,,,,,,,,,,1.1705032994543023e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to Butler, it is impossible to:",philosophy,"['approve of the actions of others without imitating them.'
 'do something of which one does not oneself approve.'
 'be motivated by genuine benevolence.'
 'do that which is good and not to approve of it.']",3,0.124199581372896,0.0202808413963046,0.7146124479171416,0.140747608997436,,,,,,1.1932491065689072e-05,,,,,,,,9.293033385951192e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The systematic use of critical reasoning to try to find answers to fundamental questions about reality, morality, and knowledge is called _____.",philosophy,"['the argumentative method' 'the philosophical method'
 'propositional logic' 'syllogistic reasoning']",1,0.3767206119157243,0.0013585505005592,0.6211308602683145,0.0007271796816445,,,,,,,2.1693145987610994e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0372666018920634e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to Mill, to determine whether one pleasure is more valuable than another, we must _____.",philosophy,"['determine which one is objectively most pleasurable'
 'determine which pleasure most experienced people prefer'
 'consult philosophers of the past' 'consult science']",1,0.9866478902608184,0.0013088703884142,0.0096713167262217,0.0020272181145609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1408558059248524e-05,,,,,,,,,,,0.000177136344736,1.063786435531238e-05,6.868321445347236e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"According to Hobbes, the definition of injustice is _____.",philosophy,"['disobedience to a sovereign' ""disobedience to God's law""
 'failure to abide by a contract' 'failure to respect inherent rights']",2,0.5569226973767664,0.019055329568285,0.3378054817462039,0.0854099629270371,,,,,,1.6323443845347255e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006208201950475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kant claims that the natural purpose of reason is to:,philosophy,"['produce happiness.' 'produce pleasure.' 'produce knowledge.'
 'produce a good will.']",3,0.0046637222688736,0.1061675127598151,0.0003173704346662,0.888776020481683,,,,,,1.5800943528669225e-05,,,,,,,,,,,,4.252766257217349e-06,,,,,,,3.1113902600371265e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hare claims that the two essential features of the logic of moral judgments are:,philosophy,"['consequentialism and hedonism.' 'universalizability and prescriptivity.'
 'contractualism and rule-following.' 'consistency and coherence.']",1,0.0369013148865899,0.2406844222929481,0.4495982178237983,0.2726876116640911,,,,,,2.312703924727945e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mill defines âutilityâ as:,philosophy,"['usefulness for some craft.' 'usefulness to society.'
 'pleasure and the absence of pain.'
 'it promotes the interests of all and does not harm anyone.']",2,0.0235235967184261,0.0017036750364452,0.6066806126968499,0.3679573846226445,,,,,,2.014674995627356e-05,,,,,,,,,,5.772140503615201e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To Kant, making a lying promise would be wrong because _____.",philosophy,"['lying to people can cause them harm' 'lying to people harms society'
 'you could not consistently will that everyone should make lying promises'
 'most people condemn the practice']",2,0.230452625641551,0.0847996038001825,0.058274732171564,0.6263483373670061,,,,,,6.34389529635872e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does Stevenson respond to the objection that his theory does not account for the kind of goodness that is objective and is known a priori?,philosophy,"['He claims to have proven that such a property does not exist.'
 'He claims to have offered an account of just such a property.'
 'He claims he does not understand such a property.' 'None of the above.']",2,0.0120052189853633,0.0018403603848577,0.9534653224617924,0.0326309487903968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0943188080722048e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolf claims that interpreting Kantâs ethics so that it consists of a finite set of constraints:,philosophy,"['yields an unattractive picture of moral sainthood.'
 'implausibly places an âupper boundâ on moral worthiness.'
 'yields a theory that is too demanding.'
 'transforms the theory into a form of contractarianism.']",1,0.0580689518970819,0.2296800546918382,0.7074052751301867,0.0047661033515591,,,,,,4.924800990387939e-06,,,,,,,,,,2.636056013286786e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47634545318962e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The famous statement âAn unexamined life is not worth livingâ is attributed to _____.,philosophy,['Aristotle' 'John Locke' 'Socrates' 'Plato'],2,0.0003348719325465,0.9984531078484662,0.0003794597932811,0.0006659726773272,,,,,0.0001252031983745,6.52896327854622e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.776691575403121e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paley maintains that the key difference between the âcontrivanceâ of a watch and that of nature is that the latter is _____.,philosophy,['simpler' 'more natural' 'older' 'greater and grander'],3,0.4654277523843217,0.0051689056796639,0.5276170845479776,0.0003304369273154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001017817876355,0.0002133461151985,3.7073995757893007e-05,3.482779590565608e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
