question,subject,choices,answer,c,b,a,the,d,flag,just,Ð°,correct,ab,sol,Ñ,s,option,4,four,Ð´,e,it,false,3,choice,Ð±,un,options,cd,most,principal,best,closest,available,given,yes,bc,cho,ad,an,1,ind,in,ter,t,j,ac,abc,bas,wrong,not,i,its,f,**,port,none,all,both,9,art,res,co,no,there,inc,rec,p,univers,2,provided,answered,clear,determin,specified,address,from,im,ba,function,em,k,compet,comp,ca,collect,states,natural,dc,',or,Unnamed: 92,and,"""","',",de,prote,cl,der,act,acts,true,they,good,\,mon,we,when,personal,person,second,but,y,o,(
What was the particular advantage of UNSC Resolution 678 over a collective defensive action under Article 51 UN Charter during the Gulf War?,international_law,"['Resolution 678 allowed the allies to attack Iraq with nuclear and chemical weapons'
 'Resolution 678 is narrower than the inherent right of self-defence under Article 51 UN Charter'
 'Resolution 678 was faster to adopt and negotiate.'
 'Resolution 678 is broader because it authorised the use of force with respect to any matter threatening the peace and security of the Gulf region.']",3,1.670101590101611e-05,6.143960396661179e-06,5.422026019655913e-06,,0.9999708899467652,,,,,,,,,,8.763897180459958e-08,,7.265525951340416e-08,1.2751382995493642e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.734112116325782e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can customary law be related to treaty provisions?,international_law,"['Treaties may only codify customary law'
 'Customary law is a different source of international and it cannot be embodied in treaties'
 ""Treaties may 1) codify customary law, 2) 'crystallise' customary law, 3) lead to the emergence of customary law""
 'Customary law can emerge only from few multilateral treaties']",2,0.9999232515491464,4.006185870846625e-05,8.939008949463842e-06,,2.14435677214196e-05,,,,,,6.893023549053328e-07,5.714517234468414e-07,,4.737501183718049e-07,,,,,,,3.256033771828955e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does it mean for a State to be sovereign?,international_law,"['Sovereignty means being recognised by all other States'
 'Sovereignty means to be able to enter into treaties and join the UN'
 ""Sovereignty means freedom to determine one's own affairs without external interference""
 'Sovereignty means possessing the right to defend oneself']",2,0.0001795452322087,5.421167727000834e-06,1.0781279387576822e-05,,0.9998039961801956,,,,,,,,,2.6724145235322983e-08,,,9.334750667525026e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of functional recognition?,international_law,"['Recognition is a function as opposed to a power'
 'Recognition is reciprocal between two States'
 ""Recognition is only afforded to particular administrative acts not to the entity's declared statehood""
 'Recognition is only afforded to the government, not the State']",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What is the meaning of ""act of State"" doctrine?",international_law,"['The act of State doctrine denotes that all State acts attract immunity'
 'The act of State doctrine denotes that the assessment as to the existence of an alleged tort committed by a State belongs to the executive and not the courts'
 'The act of State doctrine denotes that the courts are well placed to assess the existence of an alleged tort committed by the State'
 'The act of State doctrine is a legal mechanism that allows the courts to provide immunity to public acts of foreign States']",1,0.0006033633049428,0.0034721160892277,0.032946040521939,0.0002156923401948,0.9627517218323368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can the structure of the international society be displayed?,international_law,"['The structure of the international society follows the vertical model of the domestic legal orders'
 'International society consists of a constellation of sovereign States and other international organizations, which are dispersed in a rather horizontal order of authority'
 'International society is so anarchical that there is no order of authority, neither vertical nor horizontal'
 'The structure of the international society resembles the structure of the most powerful nations in the world']",1,1.653567735780637e-06,0.999933006399578,4.539650944831866e-05,,7.810900910744648e-07,,,,,,1.4738088801853288e-05,,,1.3058425905441382e-06,,,,,,,,,,,3.0587927460625377e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are there any limitations to the incorporation of customary crimes under English law?,international_law,"['There are no limitations to the incorporation of customary crimes'
 'Customary crimes must be contained in a multilateral treaty in order to be automatically incorporated'
 'The courts may freely incorporate customary crimes into the domestic sphere'
 'The situation is not clear-cut but an act of parliament would most probably be required']",3,0.9941399898583938,0.0005165236839602,7.921151019932697e-05,7.6100722530359475e-06,0.0052167044089854,,,,,,,,,,,,,4.757020938506379e-06,,,,,,,,2.8852790480990846e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the function of the contiguous zone?,international_law,"['The contiguous zone functions as security zone of the coastal State'
 'The contiguous zone is a zone, in which the coastal State may explore and exploit its mineral resources'
 'The contiguous zone is a zone in which the coastal State is permitted to prevent and punish infringements of customs, fiscal, immigration or sanitary laws'
 'The contiguous zone is a zone in which the coastal State safeguards its archaeological and historical objects']",2,0.9999064199461476,8.480998497255067e-05,3.2884399835309004e-06,1.8552108886067853e-07,2.9020380998013577e-06,,,,,,,,,1.2750665536357166e-07,,,,,,,,1.1252422841727347e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.763395720587819e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the examples below has not been developed by the European Court of Human Rights as a situation where the state has a positive obligation to protect?,international_law,"['When the applicant is in the custody of the state'
 'Where the state must investigate claims against it'
 'The development of a legal framework to protect those within the state'
 'To provide housing for all those homeless within a state']",3,1.4738791585446983e-05,2.5612179354973605e-06,2.2602668949205327e-06,,0.999979989800911,,,,,,,,,1.7257367160388297e-08,4.1398271719974625e-08,,3.4320372698203175e-08,1.12532169746017e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which case was the first to define the meaning of the doctrine of 'margin of appreciation' as applied by the European Court of Human Rights?,international_law,"['Goodwin v UK (2002)' 'Airey v Ireland (1979)' 'Osman v UK ( 1998)'
 'Handyside v UK (1976)']",3,1.4738580746850176e-05,7.411023813990802e-06,4.222674082883818e-06,,0.999972813436376,,,,,,,,,,8.763880464668596e-08,,6.825316968628089e-08,1.1978804331020878e-07,,,,,,,,,,,,,,,,,,,,6.825316968628089e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How are the members of the arbitral tribunal appointed?,international_law,"['All the members of the arbitral tribunal are appointed by the parties'
 'All the members of the arbitral tribunal are appointed by the parties'
 'All the members of the arbitral tribunal are appointed by an impartial third party, such as the president of the ICJ'
 'All the members of the arbitral tribunal are appointed by the parties from a restricted list of arbitrators']",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are the peremptory norms of international law the only norms that set out obligations erga omnes?,international_law,"['Yes'
 'No, acts of international organizations also set out such obligations'
 'No, decisions of international courts also set out such obligations'
 'No, even though all peremptory norms set out obligations erga omnes, the latter may also spring from treaties regulating objective regimes or unilateral acts']",3,5.093667798699319e-06,1.3709420896593414e-06,3.466284438211824e-07,,0.9999924784799962,,,,,,,,,,,,8.161011101426858e-08,1.4449623316931648e-07,,,,5.6585483978558574e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the constitutive theory of recognition?,international_law,"['Recognition is determinative of statehood'
 'Recognition requires constitutional approval by third nations'
 'Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees'
 'Countries wishing to be recognised must possess a valid constitution']",0,,,0.5704154066830837,0.0530568976905199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0104475226053778,,,,,,,,0.0183359732022663,,,,,,0.2164836479081795,,,,,,,0.0388172555738073,0.0266786835879669,0.0118385940786645,0.0081365387862244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The enforcement mechanism of the International Covenant on Civil and Political Rights (and Protocol) consists of,international_law,"['A reporting mechanism only' 'Judgment of an international tribunal'
 'Right to individual petition only'
 'A reporting mechanism and right to individual petition']",3,2.5612374761140125e-06,3.500796558708847e-06,3.832293535328772e-06,,0.9999883361881045,,,,,,,,,3.957745951790153e-07,,,,4.450763363373972e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is piracy under international (jure gentium) law subject to universal jurisdiction?,international_law,"['Piracy jure gentium is subject to flag State jurisdiction'
 'Piracy jure gentium is subject to universal jurisdiction'
 'Piracy jure gentium is subject to port State jurisdiction'
 'Piracy jure gentium is subject to nationality-based jurisdiction']",1,2.42990700171804e-05,0.999940342941569,1.8924134757286988e-05,,1.3845192752723524e-05,,,,,,,,,1.9749106794002966e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.102281475079321e-07,1.2750981699815085e-07,9.328817495997333e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are self-executing treaties?,international_law,"['Self-executing treaties are adopted only by the executive'
 'Self-executive treaties are clear and precise enough so as not to require any further implementing measures'
 'Self-executing rely on implementing measures stipulated in the treaty Itself'
 'Self-executing treaties follow the doctrine of transformation']",1,0.4029302785659077,0.586246283066261,0.0107371641998673,,3.0158484470254548e-05,,,,,,,,,,,,,,,,,2.805176028368454e-06,,,,,,,,,,,,1.718378647106531e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?",international_law,"['The ICJ was not hostile to the accumulation theory'
 'The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force'
 'In the Nicaragua case the ICJ dismissed the accumulation theory'
 'The ICJ has never addressed this issue']",0,0.0005398882068432,0.4069287855282099,0.592071343027005,0.0002098188941368,9.381854746169315e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.30935221834808e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is there any priority among international courts and tribunals?,international_law,"['According to the lis pendens rule, the court or the tribunal that seizes first the dispute has exclusive jurisdiction to adjudicate it'
 'The International Court of Justice has by definition priority over any other court or tribunal'
 'Since there is no lis pendens rule in international law and all depends on the consent of the parties to a dispute, there is no priority or hierarchy among international courts and tribunals'
 'Regional or special courts have priority over all others in line of the principle of lex specialis']",2,0.7548127414682692,0.0001123591544094,1.3419387323064768e-05,,0.2450507438779522,,,,,,,,,,,,,8.058968490451601e-07,,,,,,,,1.3286992770109658e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?,international_law,"[""When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States""
 ""Third States may never have access to fisheries within another State's EEZ""
 'The coastal State is to give access to fisheries within its EEZ only to neighbouring States'
 'Third States are free to fish within another EEZ, except from certain designated areas']",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010211994930784,0.0356433560902589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3176857747567973,0.0803235428824263,0.0708852777983621,0.0356433560902589,0.0131124610462131,0.0084660411523306,0.0079531096488158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the purpose of sovereign immunity?,international_law,"['The purpose of immunity is to protect foreign Heads of State from embarrassment'
 'Immunity protects a State from being invaded by another'
 'Immunity shields States from being sued in the courts of other States'
 'The purpose of immunity is to offer impunity in respect of all crimes']",2,0.0035936194352662,2.13676482147899e-05,3.2768349835332e-06,,0.9963776376391362,,,,,,,,,,,,1.270566806817737e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2248740143803085e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is passive personality jurisdiction?,international_law,"['It is jurisdiction based on the nationality of the offender'
 'It is jurisdiction based on where the offence was committed'
 'It is jurisdiction based on the nationality of the victims'
 'It is jurisdiction based on the country where the legal person was Registered']",2,0.3193334672353377,0.0040197262285618,0.0006164449825067,4.37783438706821e-07,0.6760194053700785,,,,,,,,,,,,,,1.1900187662370656e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following types of rights have been described as first generation rights?,international_law,"['Social and economic rights' 'Civil and political rights'
 'Cultural rights' ""People's rights""]",1,1.4593282479395866e-06,0.999966983776424,2.7535503977013293e-05,,3.5007464797705657e-06,,,,,3.0287391526372446e-08,,,,1.5229456873829566e-08,,,,,,,,,4.13979558774316e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5229456873829566e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the problem of 'fragmentation' of international law?,international_law,"['Fragmentation of international law concerns the possibility of different legal regimes apply the same rules of international law'
 'It is possible for several legal regimes (ie foreign investment law and human rights law) to exist and develop in isolation of each other, ultimately culminating in the production of divergent rules of international law'
 'Fragmentation is when States assume different interpretations of the same rule of international law'
 'Fragmentation is when States disagree to abide by a certain rule of international law']",1,8.939486356793838e-06,0.999969754675826,1.8924892765841333e-05,,3.927736186858071e-07,,,,,,,,,,,,,,,,,3.927736186858071e-07,6.825382060233413e-08,,,,,,,,,,,,6.825382060233413e-08,,,6.023378527112451e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is functional (ratione materiae) immunity?,international_law,"['Functional immunity covers the person but not the act'
 'Functional immunity covers the act and incidentally also the person committing the act'
 'Functional immunity covers the State and incidentally also the act'
 'Functional immunity covers both private and public acts as long as they are sanctioned by the State']",1,2.260297072940795e-06,6.144124460294133e-06,2.726438702058888e-06,,0.999987972736652,,,,,,,,,4.6911013884555584e-08,6.411975363634132e-08,,6.411975363634132e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1253367222260789e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of implied authorisation?,international_law,"['Presumption of Security Council approval of armed force when a State has been forewarned'
 'Implicit authorisation on the basis of a specific number of votes by UNSC members'
 'Presumption that all unlawful attacks will be subject to armed force by a resolution of the UNSC'
 'In cases of repeated unlawful attacks the UNSC shall authorise neighbouring States to take whatever measures they deem necessary to rectify the situation']",0,1.067648008199448e-06,4.539754850385243e-05,0.9999522296626648,,1.3573621203586474e-07,,,3.6896927864095515e-07,,4.6909224405523474e-08,,,,4.139724524052017e-08,,,,,,,,,,,,,,,,,,,,,,,,8.232825274730966e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which philosopher called the idea of natural rights 'nonsense on stilts'?,international_law,['Alan Gerwith' 'Emmanuel Kant' 'John Locke' 'Jeremy Bentham'],3,2.527190289071602e-05,0.0229762430262019,0.9769652071327056,,2.374075569769227e-05,,,,,8.647569630754556e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.631453414025509e-07,5.58329058927927e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who has the authority to conclude a treaty on the part of States?,international_law,"['Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority'
 'Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs'
 ""Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority""
 'Treaties are concluded only by members of the diplomatic missions of States']",0,7.961980570578365e-05,0.0004877306731107,0.9992954953784065,6.53559164179434e-06,2.142937999223871e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0122522354311072e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5848766372975077e-05,1.773247004487625e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who is a 'persistent objector'?,international_law,"['The State which persistently objects to the rule in question after its formation'
 'The State which denies to be bound by the rule in question for a short period'
 'The State which persistently and publicly objects to the formation of a rule of customary law from its outset'
 'The State which accepts the formation of a rule of customary law but it retains objections as to its content']",2,0.4999689955386909,1.6605756484410803e-05,4.805034961319502e-05,,0.4999527129764748,,,,,,,,,1.6441925479812231e-06,,,,,,,,,,,,2.392286041291905e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective security?,international_law,"['The right to self-defence by more than one nation acting in concert'
 ""The right of one's allies to defend the victim State""
 'The authorisation of armed force by the UN Security Council'
 'The authorisation of peacekeeping missions by the UN General Assembly']",2,1.2098209954154583e-06,2.7535398937601917e-05,0.999968995963496,6.912674733043046e-07,1.6373146708015176e-07,,,4.450682717109169e-07,6.023344061162665e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The European Convention on Human Rights is predominantly concerned with which of the following?,international_law,"['Economic and social rights' 'Environmental rights'
 'Civil and political rights' 'Economic freedom']",2,0.9966131990213298,0.0027992946359044,0.0005512026915686,,3.523719236095551e-05,,,,,,,,,,,,,6.003077845462706e-08,,,,,,,,5.639369745113841e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.297697604595044e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is the jurisdiction of international tribunals regulated by the same principles applicable to national courts?,international_law,"['The jurisdictional principles applicable to national courts are also common to international tribunals'
 'The jurisdiction of all international tribunals is regulated by the UN Security Council'
 'International tribunals share some, but not all, of the jurisdictional principles applicable to national courts'
 'The jurisdiction of international tribunals is dictated solely by their founding treaties']",3,0.9448333355494272,0.0533034431392013,0.0008615697092968,,0.0009762863832989,,,,,,,,,8.902583706549247e-07,,,,,,,3.521040159162492e-06,,,,1.66322160204626e-06,,,,,,,,,,3.307711120208085e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the meaning of collective rights?,international_law,"['Collective rights belong to distinct groups of people'
 'Collective rights are those that belong to particular groups as opposed to the individual members of the group'
 'Minority rights are collective rights'
 ""Collective rights entail a right of the group as such as well as individual rights of the group's members""]",1,9.608910653946832e-05,5.8280989180581234e-05,6.203979004298044e-05,,0.9997798159718668,,,,,,,,,,6.474433070524143e-07,,1.1976496929917024e-07,1.370637491785726e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.636993040616208e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are States under any obligation when they conduct negotiations?,international_law,"['States are under no obligation as to how they conduct their negotiation'
 'States are under an obligation so to conduct themselves that the negotiations are meaningful'
 'States are under an obligation to find a solution of the dispute whenever they conduct negotiations'
 'States are under an obligation to inform the UN Secretary-General about the progress of their negotiations']",1,6.142946814935685e-06,0.9998014598380612,0.000139812825073,,3.500145588385881e-06,,,,,,3.7258855842425614e-06,,1.6533517056775092e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3313230092057155e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the major difference between naturalism and positivism?,international_law,"['On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires'
 'While naturalism serves only the theory human rights law, positivism has a wider and more general scope'
 'Naturalism concerns the underpinning values of the international society, while positivism the international rules as such'
 'Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory']",0,0.004608612109746,1.7692251790512068e-05,0.0002294366122008,,0.9951421787243216,,,,,,,,,,,,1.965431638945098e-07,2.370763096064633e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.192094548589453e-07,1.1198702590446601e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
What is an 'internationally wrongful conduct'?,international_law,"['An international wrongful conduct is an action or omission which is in breach of a rule of international criminal law'
 'An international wrongful conduct is every breach of an international obligation of the State, whether attributable to it or not'
 'An internationally wrongful conduct consists of an action or omission attributable to the State, which constitutes a breach of an international obligation of the State'
 'An internationally wrongful conduct is the conduct that cannot be excused on grounds of necessity, force majeure etc.']",2,0.7057622401358835,1.61111141309069e-05,7.610351442833542e-06,,0.2942000854225666,,,,,,,,,3.972496486122626e-06,,,,,,,,,,,,1.0963750759026245e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the effects doctrine?,international_law,"['It posits that jurisdiction exists only when it is effective'
 'The effects doctrine serves to confer jurisdiction on the State which has an effective link with the harmful conduct'
 'The effects doctrine serves to confer jurisdiction on the State sharing the nationality of the offender'
 'The effects doctrine serves to confer jurisdiction to the State on whose territory the conduct produces effects']",3,1.4208214607792976e-06,,,,0.9996639779493436,,,,,,1.961383526048403e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002543560858004,1.348037869050301e-05,8.176262980326917e-06,3.862193158321e-06,2.2006113274045847e-06,2.2006113274045847e-06,,,,,,,,,,,,,,,,,,,,
Which persons are considered as 'de facto' organs of the State under the law of international responsibility?,international_law,"[""'De facto organs' are the individuals that are empowered by law to exercise elements of governmental authority""
 ""'De facto organs' are the persons, which are, in fact, acting on the instructions of, or under the direction or control of, that State in carrying out the conduct attributable to the State""
 ""'De facto organs' are the de jure organs of the State that act without due authority or ultra vires""
 ""'De facto organs' are the organs, whose acts or omission cannot be attributed to the State""]",1,0.0007096486794222,0.9992758487977604,1.0122599583322367e-05,,3.253904304169552e-07,,,,,,,,,,,,,,,,,,1.636165835832013e-07,,,,,,,,,,,1.2869441172032074e-06,1.443911282236487e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.274247234180651e-07,,,,,,,,,,,,,,,,,,,
What is the fundamental prerequisite for the incorporation of custom under English law?,international_law,"['Custom is incorporated if it is not in conflict with existing legislation'
 'Custom is superior to English law and is always incorporated'
 'Custom must first be recognised by Parliament before the courts can bring it into the domestic sphere'
 'Custom is incorporated with the passing of implementing legislation']",0,3.288524659341403e-06,5.829049432071154e-05,0.9999339624275052,,1.7602204068790053e-06,,,5.714598981877874e-07,,,,,,1.9749125628227866e-07,,,,,,,,2.382199273238358e-07,,,,,,,,,,,,,1.9749125628227866e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Was the use of armed force permitted prior to the United Nations Charter?,international_law,"['Armed force was prohibited'
 'Armed force was permitted with no restrictions'
 'Armed force was permitted subject to few restrictions'
 'Armed force was not regulated under international law prior to 1945']",2,0.4068289719463127,0.0011426594342407,8.811243431232979e-05,,0.5919178740044644,,,,,,,,5.577266348200784e-07,,,,,9.286982250777768e-06,,,,,,,,5.239356862289827e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the protective principle of jurisdiction?,international_law,"['It is jurisdiction based on the harm to national interests by conduct committed abroad'
 ""It is jurisdiction in order to protect one's nationals abroad""
 'It is jurisdiction in order to protect international human rights'
 'It is jurisdiction based on the nationality of the offender']",0,0.0012627983282538,0.2406467652311404,0.7412442650841805,0.0001250339665565,0.0153840330075394,,,,,,,,,,,,,,0.0005264126615625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000110342088204,,,,,,0.0002367547636129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07279962606772e-05,,,,,,,,,,,,,,,,,,
Which one of the following statements is correct?,international_law,"['The Council of Europe was established in 1950 and consists of 27 member states'
 'The Council of Europe was established in 1949 and consists of 47 member states'
 'The Council of Europe was established in 1959 and consists of 34 member states'
 'The Council of Europe was established in 1984 and consists of 19 member states']",1,2.260297072940795e-06,0.99998679169067,4.222790869117525e-06,,4.495137481344538e-06,,,,4.737840048326862e-07,,,,,7.734303890129565e-08,,,,,,,,1.1979135628065046e-07,,,,,,,,,,,,,,,,1.1979135628065046e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the 'equitable result' in the law and practice of maritime delimitation?,international_law,"['It is the only method of delimitation that international courts and tribunals follow'
 'An equitable result is what a judge or the arbitrator would decide ex aequo et bono, i.e. upon their discretion and in light of what they consider as fair and equitable in a delimitation case'
 ""It is the end result that all delimitations of areas of continental shelf and EEZ should achieve, after, however, drawing a provisional 'equidistance line' and adjusting the zone in the light of the relevant circumstances and the proportionality test.""
 'Achieving an equitable result is an old method of delimitation which is currently not applicable']",2,0.9999666960494884,9.515915715550124e-06,5.771694636722433e-06,,1.568909265041712e-05,,,,,,,,,,,,,1.742900759416466e-07,1.2751334352920576e-07,,1.974965299381765e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.763863748909113e-08,,,,,,,,,,,,,,,,,
