question,subject,choices,answer,d,c,b,a,e,f,3,s,cc,ab,1,ter,t,Ð°,Unnamed: 18,none,un,not,ad,4,g,the,',?',}',pre,p,2,re,h,cd,in,no,false,dis,add,con,sol,as,bc,ba,social,bb,m,rele,r,correct,linear,non,''','',medi,med,Ñ,cor,cho,th,ass,option,l,ac,erg,er,mad,ber,par,0,norm,Ð´,health,ch,preparation,fixed,all,cl,br,n,ske,em,true,ther,etic,emic,both,de,ob,o,cont,mod,dependent,independ,depend,author,an,domin,gen,ref,fr,v,fl,internal,pos,i,external,eth,leg,alpha,decl,ex,sh,when,forced,"""""","""""""","\""",they,increase,super,k,program,inter,three,two,one,any,inst,phys,work,working,short,stud,refer,char,comp,accept,tra,da,send,ec,sym,5,dec,emp,mes,abc,perm,mot,motivation,strong,learning,cons,st,pop,Ð±,j,scripts,script,self,(,aud,manager,man,oc,less,more,with,legal,w,7,9,mean,min,report,construct,content,condition,ur,u,cs,dc,job,stable,be,mand,time,between,trans
"A graduate studentâs dissertation chair, Dr. X, turns out to be of little help, and the student ends up obtaining advice and assistance from an associate professor, Dr. Z. Dr. X does review the dissertation when it is completed and she is listed as the dissertation chair. Several months later, the student decides to write an article for a professional journal that is based his dissertation research. In terms of publication credit:",professional_psychology,"['Dr. Z should be listed as first author if her contribution was substantial.'
 'Dr. Z should be listed as second author if her contribution warrants it.'
 'Dr. X should be listed as second author since she was the studentâs official dissertation chair.'
 'Dr. Y and Dr. Z should be listed as co-authors.']",1,0.164194679725017,0.000217834055047,0.0016095872854889,0.8338827849975458,9.57096041751976e-06,,,,,,,,,,,2.7421260701784185e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The TRANSTHEORETICAL MODEL OF CHANGE was originally developed to treat addictive behaviors and 5 stages people pass through in the process of change. Which stage is correctly defined?,professional_psychology,"['PRECONTEMPLATION: intend to take action in next 6 months'
 'PREPARATION: consider change in next 6 months'
 'ACTION: time and effort into modifying behavior'
 'MAINTENANCE: behavior change lasted at least 8 months']",2,0.0873196729304505,0.0770925336479226,0.4435655791363702,0.3913943727199753,,,,,,,,,,,,,,,,,,,,,,0.0002164439325506,7.026905674730754e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When a psychologist doesnât feel he or she is competent to accept a case, the most justifiable option is to:",professional_psychology,"['Try his or her best' 'Refer out' 'Read a chapter on the issue'
 'Charge the client less']",1,2.5830900354257968e-05,0.0001793019871587,0.9986127198028584,0.0011691958261782,,,,,,,1.208127286306672e-06,,,,3.251630479095381e-07,,,,,,,,,,,,,1.5512661422117547e-06,4.4444519095046965e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A personnel director decides to raise a selection testâs cutoff score when using the test to assist in hiring decisions. Most likely the personnel director has made this decision in order to:,professional_psychology,"['increase the number of true positives.'
 'decrease the number of false positives.'
 'increase the number of false negatives.'
 'decrease the number of true negatives.']",1,0.0071531072585892,0.9369653187353204,0.0466498860439424,0.0091847715283221,8.915596180163526e-06,2.7191032077360164e-06,,,,,,,,,,,,,,,3.279864540468804e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Jones, a clinical psychologist, has been seeing Lisa L. in therapy for one month. Dr. Jones considers Lisa to be a very attractive woman and finds himself having sexual fantasies about her. As an ethical psychologist, Dr. Jones should:",professional_psychology,"['recognize that such attraction is normal but proceed with caution.'
 'confess his attraction to Lisa and make it a topic for mutual examination in therapy.'
 'recognize that such attraction is inappropriate and refer Lisa to another therapist without explaining the reason to her.'
 'continue working with Lisa but consult with a colleague if he believes his attraction might be interfering with his objectivity.']",3,0.1328852590682095,0.8665742449420296,0.0001876688606497,0.0003094136424012,6.835837749472138e-06,,6.032605640480013e-06,,,,,,,,,,,,,,,,,,,,,,,1.5252815717884005e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parametric Tests are used when data is interval or ration. When is it used the ONE-WAY ANOVA?,professional_psychology,"['used when there is 1 IV and means of more than 2 groups'
 'used when there is 2 IV and means of more than 4 groups'
 'used when there is 3 IV and means of more than 5 groups'
 'used when there is 4 IV and means of more than 6 groups']",0,0.0001382509180469,0.0001382509180469,0.0109838320893347,0.9887086561857256,1.0555587851323512e-06,,,,,1.5358289699923897e-06,3.251349954988116e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A father brings his 22-year-old son to you for evaluation. Within the past 6 weeks, this formerly socially active young man has quit his job as a restaurant manager, has become withdrawn, and now spends most of his time in his room watching TV. He reports that he occasionally receives messages from aliens through the TV. Based on this information, which of the following is the most appropriate DSM-IV diagnosis",professional_psychology,"['Schizophreniform Disorder' 'Brief Reactive Psychosis' 'Schizophrenia'
 'Antisocial Personality Disorder']",0,0.0005109450905918,0.983506284165676,0.0035466618977935,0.0123815851259077,1.3616225452715107e-05,,,6.042163418099863e-06,,,,,,,,,,,,,,,,,,,,,,,2.2227877017171094e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identify the only construct that is not pertinent to developmental models on intelligence:,professional_psychology,"['Investment theory' 'The positive manifold' 'G theory'
 'Primary mental ability theory']",0,0.1163203698289167,0.0021299249202648,0.0202081698127528,0.8596182436851569,1.961593035599684e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015255759638268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas and Chessâs (1977) âgoodness-of-fitâ model predicts that maladjustment in children is due to:,professional_psychology,"['a mismatch between the childâs basic temperament and his/her parentsâ childrearing practices.'
 'a mismatch between the childâs attachment behaviors and his/her parentsâ response to those behaviors.'
 'inconsistencies in the parenting styles of the childâs caregivers.'
 'inconsistencies in the childâs sense of self and the feedback the child receives from caregivers about his/her behavior.']",0,0.0002033948401702,4.0050818705821634e-05,7.02913758847249e-05,0.9996648575129132,,,,4.221325234661411e-06,,7.33556332613989e-07,2.5603631794407727e-06,,,,,,,,6.473611914031606e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The STANDARD SCORES express raw score distance from mean by SD and considered the most satisfactory type of NR score. Which statement out of the following ones is about T-scores?,professional_psychology,"['Shows how many standard deviations a score is above or below the mean: a score of +1.0 means itâs 1 SD above the mean'
 'M=50, SD=10- it is used on many psychological tests, MMPI'
 'standard nine: M=5, SD=approx 2' 'M=100, SD=15 or 16']",1,0.0478012250134288,0.0212116650182894,0.7477370110669131,0.1668426690836702,,,,,,,,,,,,0.014128607486972,,0.000853105967226,,,,,,,,,,,,,,,0.0001953527276841,0.0001045647800853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trend analysis is a type of analysis of variance that is used when:,professional_psychology,"['a studyâs independent variable is quantitative.'
 'a studyâs dependent variable is qualitative.'
 'a cross-sectional research design has been used.'
 'a factorial research design has been used.']",0,0.1940585676926954,0.5275059096576449,0.0124057521391925,0.2491761332434394,,,,,,,,,,,,0.0084124698374027,,0.0062263780712505,,,,0.0001769585503305,,,,,,,,,,,0.0002574731714741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When performing a(n) ________ task, group members select a solution offered by one of the group members as the groupâs solution.",professional_psychology,['compensatory' 'disjunctive' 'conjunctive' 'additive'],1,0.2340633594304384,0.0192112441114625,0.0975627478235649,0.6362726070300511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0116747026297719,0.0008985218438632,8.896575267241859e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A therapist instructs a client who suffers from insomnia to polish his hardwood floors for at least two hours whenever he wakes up during the night. Apparently this therapist is familiar with the work of:,professional_psychology,"['Luigia Boscolo.' 'Milton Erickson.' 'Salvador Minuchin.'
 'Marquis de Sade.']",1,7.029405733906309e-05,5.827582036912598e-05,0.999788943932264,7.482763453228695e-05,,,,4.73637632701282e-07,,,,,,,4.73637632701282e-07,,,,,,,,,,,,,,,2.698705882594038e-07,,,,,,,,3.926593889753961e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A patient wishes to use data from your recent neuropsychological evaluation in a civil hearing in which he is suing the supermarket where he slipped and fell. Which answer should be the first step in fulfilling this request after a release has been duly executed?,professional_psychology,"['Provide the data and test forms to the patient'
 'Provide the data and test forms to the patientâs attorney'
 'Provide the data to an appropriately qualified psychologist as indicated on the release form'
 'Provide all data and test forms, if contacted directly by the attorney']",2,0.474093597169057,0.0934033575354371,0.3259661650396058,0.1058035539353712,0.0005550698652783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Female applicants consistently obtain lower scores on a selection test than do male applicants. However, when they are hired, females perform as well on the job as do males. This situation illustrates which of the following?",professional_psychology,"['differential validity' 'differential selection' 'adverse impact'
 'unfairness']",3,0.0934220522900027,0.3261100052679178,0.4744530263542258,0.1058508805293194,4.559448807194438e-05,8.978087026324213e-06,,,,,,,,,,,,,1.1528091935034752e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
