question,subject,choices,answer,d,a,b,c,choice,4,sol,e,д,family,f,б,coin,author,co,s,cont,contribute,contrib,а,im,not,pres,ch,president,bc,the,relative,ab,jud,j,cd,an,option,const,am,it,1,st,de,stare,(,wrong,four,options,answers,responses,cho,statements,alternatives,solutions,items,reg,g,mil,creat,schedule,brown,none,false,prevent,pre,prev,с,execut,reflect,ref,red,app,i,iii,cl,white,under,check,v,3,.,",",',(',and,who,;,that,-,for,inc,in,p,party,part,end,ending,this,true,res,cooperation,elect,election,elections,elected,ele,system,2,prov,provider,provide,bar,,"""",scott,decision,'},mar,to,t,ent,hor,income,apply,state,third,gr,ag,r,therefore,there,since,however,appro,rep,representatives,re,coalition,free,o,overs,camp,south,ger,deleg,h,ans,reduce,redu,ac,orders,order,ordered,ii,fr,house,any,local,appoint,due,ind,sen,shared,both,one,social,media,pet,du,will,polit,pol,political,apol,correct,issues,iss,issue,poss,maybe,possible,vi,here,above,so,:,dec,presid,ne,neg,are,congress,0,econom,economic,first,no,fif,5,all,block,w,ba,rules,aff,affirm,governor,decl,declare,declaration,om,univers,int,call,john,loc,del,comb,dep,do
Voters in which of the following categories would be LEAST likely to vote?,high_school_government_and_politics,"['Blue-collar workers who belong to a union' 'Professionals'
 'Voters who are active in their political parties' 'Voters aged 18-29']",3,0.999916986763944,5.8289493706648064e-05,1.8923827952932293e-05,4.494803115802005e-06,,,,,1.3225806912957548e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.368276778947333e-07,,,,4.406554122541484e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"While ratifying the Constitution, the primary point of disagreement between Federalists and Anti-Federalists was over",high_school_government_and_politics,"['whether representation in Congress should be equal among states or proportional to population'
 'the strength of the federal government relative to the states'
 'the future of the slave trade' 'whether people had inalienable rights']",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The legislative successes of the National Rifle Association, antiabortion activists, and other powerful interest groups demonstrate that",high_school_government_and_politics,"['United States domestic policy grew more conservative in the 1990s'
 'the influence of political action committees has weakened in recent years'
 'the power of interest groups depends on the degree of support for their positions in the White House'
 ""majority opinion on an issue can sometimes be overridden by the intensity of a minority's commitment to activism""]",3,0.9999697211070891,4.784930294600978e-06,1.6701047755706336e-05,4.784930294600978e-06,,2.9022069282632965e-06,,2.535920152092491e-07,7.265525951340416e-08,,6.825329986899493e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.930796532874923e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The exclusionary rule was established to,high_school_government_and_politics,0.8761341735004637,0.00042763693551846837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09234386525116038,0.029979663699196194,0.0003330438214443318,0.00025937478893793873,0.00020200128873384707,0.00011509686489405816,3.73664811730666e-05,2.1290779193044743e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The opinions of congressional committees often fail to accurately mirror public opinion because,high_school_government_and_politics,"[""the membership of committees often overrepresents constituencies with the greatest stake in the committee's business""
 'most committees are too small to include representatives of all popular opinions'
 'the minority party controls nearly half of all committees'
 ""committee members often lose track of their constituents' priorities because of their frequent contact with special-interest lobbyists""]",0,0.9999727279850414,8.397798179225708e-06,1.3006764261799333e-05,4.495017449826527e-06,8.763897180459958e-08,,,1.1978815754904355e-07,1.1978815754904355e-07,,,,,,,,,,,,,,,,,,,,,,,,,6.02333257255656e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congress would be required to use the ""elastic clause"" of the Constitution to",high_school_government_and_politics,"['change citizenship requirements' 'impose workplace safety standards'
 'increase tax rates' 'authorize the treasury to print money']",1,0.1918071371264878,0.4601214298846645,0.24628523917252126,0.018991478395401367,,,,0.005111488285765087,,,,,,0.054953664858759015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010821020785880181,0.002001687573398154,0.0011405271997995867,0.0010065117211366173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The House Rules Committee is considered among the most powerful in the House of Representatives because it has great power over the,high_school_government_and_politics,"['ethical conduct of House members' 'selection of federal judges'
 'number of subcommittees that a standing committee may establish at any given time'
 'scheduling of votes and the conditions under which bills are debated and amended']",3,0.9998527557471457,1.0128547986940474e-05,1.3005313049373028e-05,0.00012339097468159766,,,,1.6371273057289074e-07,7.733241818053492e-08,,,,,,,4.690448261621309e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.672536859760837e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Supreme Court issued the opinion quoted below in its ruling on which of the following cases? ""We conclude that in the field of education the doctrine of 'separate but equal' has no place. Separate educational facilities are inherently unequal.""",high_school_government_and_politics,"['Gideon v. Wainwright' 'Marbury v. Madison' 'Engel v. Vitale'
 'Brown v. Board of Education of Topeka']",3,0.9998156819226222,1.777547721914878e-05,6.906491789089562e-05,9.609332196672864e-05,,2.1020328831890725e-07,,1.8550375085453232e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9271144364075837e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the past decade many states have moved forward the date of their presidential primary elections in an effort to,high_school_government_and_politics,"['minimize the cost of running the election'
 'convince the national government to move forward the date of the general election'
 'restrict the number of entrants in the presidential race'
 'increase the significance of their election results']",3,0.9999495655893542,2.1232695733225198e-06,2.2602086955907096e-06,4.5397505209397035e-05,,3.888903876841197e-08,,9.930663943321728e-08,7.265428946751064e-08,,,,,,,,,,,,,,,,,,,,,,,,,3.653287101930589e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ruled unconstitutional in 1983, the legislative veto had allowed",high_school_government_and_politics,"['the executive branch to veto legislation approved by Congress'
 'federal district courts to overturn legislation'
 'the president to veto state laws'
 'Congress to nullify resolutions approved by the executive branch']",3,0.5593988116921323,0.2331921323470737,0.07570640113503231,0.11089436312384508,,,,,,,,,,,,,,,,,,0.0007153185971936924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018573090082322746,0.00018765740660103781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal election laws are designed to achieve all of the following EXCEPT,high_school_government_and_politics,"['require disclosure of campaign donations'
 'prevent campaigns from issuing ""attack"" ads'
 'limit campaign contributions'
 'require disclosure of campaign expenditures']",1,0.010225414229131988,0.33861917329599567,0.6326239016192851,0.011586912315708426,,,,1.9739693193269518e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005561736994719699,0.0008826720879158579,0.00030878075412913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The president executes a ""pocket veto"" by doing which of the following?",high_school_government_and_politics,"['Publicly expressing rejection of a bill'
 'Issuing an executive order invalidating a recently passed bill'
 'Failing to sign a bill after Congress has adjourned'
 'Recalling ambassadors from a peace negotiation']",2,5.422150121403128e-06,1.7603144153009008e-06,5.422150121403128e-06,0.9999856338805312,,,2.873634288058857e-07,,,,,,,,,1.1253324294153494e-07,,,,,,,,,,,,,,,,,,1.057151984200403e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2751674854828768e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following has been true of the Republican Party since the 1980s?,high_school_government_and_politics,"['It has become aligned with civil libertarians.'
 'It has come to be dominated by labor unions.'
 'It has become more antagonistic to business interests.'
 'It has become more influenced by evangelical Christians.']",3,0.9999918145275907,2.5612619020944764e-06,3.966960036701216e-06,1.0676928094327214e-06,,6.825525263950225e-08,,1.2751772142758293e-07,4.1398903412289764e-08,,,,,,,5.6585591906907e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which of the following statements is LEAST true of voters in federal, state, and local elections?",high_school_government_and_politics,"['Voter turnout is lower in midterm elections than it is in presidential elections.'
 'Voters lacking party affiliation tend to vote less regularly than those with strong party affiliation.'
 'Young adults are less likely to vote than senior citizens.'
 'Individuals are more likely to vote when they believe they know which candidate will win an election.']",3,0.999923484217766,4.53963362747085e-05,2.144371087315593e-05,8.939068623985772e-06,,1.0570874627329263e-07,,1.444865873270374e-07,3.888807450595268e-08,,1.0570874627329263e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following is NOT true of executive orders?,high_school_government_and_politics,"['Presidents avoid using executive orders for controversial actions.'
 'Executive orders have the same effect as laws passed by Congress.'
 'Presidents have made increased use of executive orders since the 1970s.'
 'Executive orders bypass congressional approval.']",0,5.771634089553707e-06,4.006308131802467e-05,0.9999467720450596,5.093449206882808e-06,,,,,,,,,,,,,,,,,,5.232726360109548e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2751200586801411e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Which of the following principles is realized when the federal government provides most of the funding to a project in which multiple levels of government work together?,high_school_government_and_politics,"['Confederation' 'Fiscal federalism' 'Grant-based funding'
 'Dual federalism']",1,6.961713808929229e-06,1.5688464247044585e-05,5.828971606384443e-05,0.9999181420368293,,,,4.6907613932758576e-08,,,,,,,,,,,,,,,,,,,,,,,,,,5.315329016496129e-08,,,,,,,,,,,,,,,,,,,,5.315329016496129e-08,,,,,,,,,,1.6372381608066677e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
