question,subject,choices,answer,d,b,c,a,the,phys,pro,life,e,in,cho,Ð°,4,s,Ð´,choice,co,Ñ,1,class,mon,bi,col,3,pat,social,sol,par,indust,cd,industrial,ii,f,ab,options,n,nin,fin,financial,not,none,ex,option,r,ch,both,either,germany,these,any,them,this,Unnamed: 56,{',{,{$,equal,"{""",approximately,:,cur,curt,w,ac,(,.,",",;,described,it,with,accurately,but,and,an,he,Ð±,cal,l,acc,to,ad,all,dom,ke,j,je,jean,ae,they,smith,sm,per,g,total,chart,human,h,li,cl,there,dis,p,material,bc,univers,mass,ne,op,ca,we,weapons,can,war,fix,fixed,asc,creat,und,cre,create,m,business,bus,businesses,pl,2,br,ression,ress,gress,regation,res,ession,reement,reation,aration,re,therefore,however,since,i,appro,dc,un,or,u,hand,that,que,had,inc,tol,vol,berlin,ber,food,len,cons,le,fr,francisco,personal,tor,dar,darwin,be,sub,ste,comp,free,rel,transport,ag,con,conserv,mer,mar,pred,pre,predict,en,absolute,when,abs,using,wrong,france,francia,ap,o,k,art,econom,ce,rev,emp,mexico,de,national,infl,np,napoleon,nap,bl,during,at,as,more,around,further
"This question refers to the following information.
""In 1500 that work appeared which Erasmus had written after his misfortune at Dover, and had dedicated to Mountjoy, the Adagiorum Collectanea. It was a collection of about eight hundred proverbial sayings drawn from the Latin authors of antiquity and elucidated for the use of those who aspired to write an elegant Latin style. In the dedication Erasmus pointed out the profit an author may derive, both in ornamenting his style and in strengthening his argumentation, from having at his disposal a good supply of sentences hallowed by their antiquity. He proposes to offer such a help to his readers. What he actually gave was much more. He familiarized a much wider circle than the earlier humanists had reached with the spirit of antiquity.
Until this time the humanists had, to some extent, monopolized the treasures of classic culture, in order to parade their knowledge of which the multitude remained destitute, and so to become strange prodigies of learning and elegance. With his irresistible need of teaching and his sincere love for humanity and its general culture, Erasmus introduced the classic spirit, in so far as it could be reflected in the soul of a sixteenth-century Christian, among the people. Not he alone; but none more extensively and more effectively. Not among all the people, it is true, for by writing in Latin he limited his direct influence to the educated classes, which in those days were the upper classes.
Erasmus made current the classic spirit. Humanism ceased to be the exclusive privilege of a few. According to Beatus Rhenanus he had been reproached by some humanists, when about to publish the Adagia, for divulging the mysteries of their craft. But he desired that the book of antiquity should be open to all.""
Johan Huizinga, twentieth-century Dutch philosopher, Erasmus and the Age of Reformation, 1924
According to Huizinga, Erasmus's legacy was more significant than that of earlier humanists because",high_school_european_history,"['he had more support from the Church'
 'he wrote in a language that was understandable to the masses, unlike his predecessors'
 'he wrote exclusively about religious matters'
 'he valued educating the masses more than his predecessors had']",3,2.5527732755646314e-06,0.9966827054471484,0.003172360712501,0.0001393766982998,3.4548029428739495e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7371840153439589e-07,1.440176132357689e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Read the excerpts below.
This corruption is repeatedly designated by Paul by the term sin . . . such as adultery, fornication, theft, hatred, murder, revellings, he terms, in the same way, the fruits of sin, though in various passages of Scripture . . . we are, merely on account of such corruption, deservedly condemned by God, to whom nothing is acceptable but righteousness, innocence, and purity.
âJohn Calvin, from The Institutes of Christian Religion, Book 2: Chapter 1, 1545
The covenant of life is not preached equally to all, and among those to whom it is preached, does not always meet with the same reception. This diversity displays the unsearchable depth of the divine judgment, and is without doubt subordinate to God's purpose of eternal election. But if it is plainly owing to the mere pleasure of God that salvation is spontaneously offered to some, while others have no access to it, great and difficult questions immediately arise, questions which are inexplicable, when just views are not entertained concerning election and predestination[,] . . . the grace of God being illustrated by the contrast, viz., that he does not adopt all promiscuously to the hope of salvation, but gives to some what he denies to others.
âJohn Calvin, from The Institutes of Christian Religion, Book 3: Chapter 21, 1545
Which of the following is the biggest contrast between the ideas of Calvinists when compared to their fellow Protestant Lutherans?",high_school_european_history,"['Calvinists believed that the state is absolutely subordinate to the religious organization.'
 'Calvinists believed in consubstantiation while Lutherans believed in transubstantiation.'
 'Lutherans used the reformed faith to their political advantage to break free from domination from the pope and the Holy Roman Empire.'
 'Lutherans insisted upon maintaining all of the seven sacraments while the Calvinists chose to honor only two of them.']",0,0.0473165808298725,0.0003612664666177,0.0018346625015662,0.9503899673750872,1.1498319723738189e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.565034782479502e-05,1.236185869676311e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""The substitution of Plato for the scholastic Aristotle was hastened by contact with Byzantine scholarship. Already at the Council of Ferrera (1438), which nominally reunited the Eastern and Western churches, there was a debate in which the Byzantines maintained the superiority of Plato to Aristotle. Cosimo and Lorenzo de Medici were both addicted to Plato; Cosimo founded and Lorenzo continued the Florentine Academy, which was largely devoted to the study of Plato&â¦The humanists of the time, however, were too busy acquiring knowledge of antiquity to be able to produce anything of value.""
Bertrand Russell, British philosopher, History of Western Philosophy, 1946
It can be inferred from the passage that the Council of Ferrera",high_school_european_history,"['laid the foundation for the Florentine Academy'
 'permanently reconciled the differences between the Eastern and Western churches'
 'accelerated the rediscovery of classical philosophy in Western Europe'
 'allowed the Byzantines to learn from Florentine scholarship']",2,0.9946989664893828,2.003915483859275e-05,0.0052198066380667,5.798521716558189e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.299261616387704e-07,,,,,,,,,,,,,,,,1.3768174485259853e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
""But you, my dear Pangloss,"" said Candide, ""how can it be that I behold you again?""
""It is true,"" said Pangloss, ""that you saw me hanged&â¦.A surgeon purchased my body, carried home, and dissected me. He began with making a crucial incision on me from the navel to the clavicula. One could not have been worse hanged than I was. The executioner of the Holy Inquisition was a sub-deacon, and knew how to burn people marvellously well, but he was not accustomed to hanging. The cord was wet and did not slip properly, and besides it was badly tied; in short, I still drew my breath, when the crucial incision made me give such a frightful scream that my surgeon fell flat upon his back&â¦[At length he] sewed up my wounds; his wife even nursed me. I was upon my legs at the end of fifteen days&â¦.
One day I took it into my head to step into a mosque, where I saw an old Iman and a very pretty young devotee who was saying her paternosters&â¦.She dropped her bouquet; I picked it up, and presented it to her with a profound reverence. I was so long in delivering it that the Iman began to get angry, and seeing that I was a Christian he called out for help. They carried me before the cadi, who ordered me a hundred lashes on the soles of the feet and sent me to the galleys. I was chained to the very same galley and the same bench as the young Baron. On board this galley there were four young men from Marseilles, five Neapolitan priests, and two monks from Corfu, who told us similar adventures happened daily. The Baron maintained that he had suffered greater injustice than I&â¦.We were continually disputing, and received twenty lashes with a bull's pizzle when the concatenation of universal events brought you to our galley, and you were good enough to ransom us.""
""Well, my dear Pangloss,"" said Candide to him, ""when you had been hanged, dissected, whipped, and were tugging at the oar, did you always think that everything happens for the best?""
""I am still of my first opinion,"" answered Pangloss, ""for I am a philosopher and I cannot retract, especially as Leibnitz could never be wrong; and besides, the pre-established harmony is the finest thing in the world, and so is his plenum and materia subtilis.""
Voltaire, French Enlightenment writer, Candide, 1759
Candide's statement that ""everything always happens for the best"" can be seen as a reflection of the Enlightenment belief that",high_school_european_history,"['society can be perfected if you apply the scientific method to it'
 'a people without a strong central authority are doomed to live in a state of nature'
 'the only purpose of a government is to secure the rights of life, liberty, and property'
 'only free markets can lead nations to wealth and happiness']",0,1.0675604475805256e-06,3.3210832070269065e-05,6.0847769868969534e-05,0.999869255436932,,,,,,,2.4297563792931203e-05,,,,,,,,,,,,,,,,,,,,,,,,1.2877237049570312e-06,,,,,,,,,,1.7601096176841618e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The excerpts below are from the Navigation Acts of 1651.
[A]fter the first day of December, one thousand six hundred fifty and one, and from thence forwards, no goods or commodities whatsoever of the growth, production or manufacture of Asia, Africa or America, or of any part thereof; or of any islands belonging to them, or which are described or laid down in the usual maps or cards of those places, as well of the English plantations as others, shall be imported or brought into this Commonwealth of England, or into Ireland, or any other lands, islands, plantations, or territories to this Commonwealth belonging, or in their possession, in any other ship or ships, vessel or vessels whatsoever, but only in such as do truly and without fraud belong only to the people of this Commonwealth, or the plantations thereof, as the proprietors or right owners thereof; and whereof the master and mariners are also of the people of this Commonwealth, under the penalty of the forfeiture and loss of all the goods that shall be imported contrary to this act, , , ,
[N]o goods or commodities of the growth, production, or manufacture of Europe, or of any part thereof, shall after the first day of December, one thousand six hundred fifty and one, be imported or brought into this Commonwealth of England, or any other lands or territories to this Commonwealth belonging, or in their possession, in any ship or ships, vessel or vessels whatsoever, but in such as do truly and without fraud belong only to the people of this Commonwealth, and in no other, except only such foreign ships and vessels as do truly and properly belong to the people of that country or place, of which the said goods are the growth, production or manufacture.
Which of the following was the desired outcome of the above legislation by the Rump Parliament of England in 1651?",high_school_european_history,"[""To prevent England's colonies from being bombarded with cheap goods manufactured by their mainland European competitors""
 'To reclaim domination of the slave trade from Portugal in order to meet the growing need for slaves for sugar plantations in the English Caribbean colonies'
 'To end Dutch domination of maritime trade by limiting their ability to move goods between England and her colonies as well as goods to and from England from other countries'
 'To extricate the French from the Atlantic sea trade as well as the cod and whaling industries which at this time were dominated by the French']",2,1.4727621294920713e-05,0.0007096165333987,4.003382534240945e-05,0.9992181788796692,,,,,,,,2.100782350739076e-07,,,,,,,,,,,,,,,,,,,,,,1.2741889051064282e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.538759969274388e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Apart from the desire to produce beautiful things, the leading passion of my life has been and is hatred of modern civilization. What shall I say of it now, when the words are put into my mouth, my hope of its destructionâwhat shall I say of its supplanting by Socialism?
What shall I say concerning its mastery of and its waste of mechanical power, its commonwealth so poor, its enemies of the commonwealth so rich, its stupendous organizationâfor the misery of life! Its contempt of simple pleasures which everyone could enjoy but for its folly? Its eyeless vulgarity which has destroyed art, the one certain solace of labor? All this I felt then as now, but I did not know why it was so. The hope of the past times was gone, the struggles of mankind for many ages had produced nothing but this sordid, aimless, ugly confusion; the immediate future seemed to me likely to intensify all the present evils by sweeping away the last survivals of the days before the dull squalor of civilization had settled down on the world.
This was a bad lookout indeed, and, if I may mention myself as a personality and not as a mere type, especially so to a man of my disposition, careless of metaphysics and religion, as well as of scientific analysis, but with a deep love of the earth and the life on it, and a passion for the history of the past of mankind.
William Morris, How I Became a Socialist, 1896
From the passage, one may infer that Morris",high_school_european_history,"['chose to become a socialist because he was appalled by the great waste of resources and general misery caused by modern society'
 ""chose to become a socialist because of the persuasiveness of Marx's arguments""
 'rejected socialism because it produced nothing but ugly confusion'
 'rejected socialism because of a deep love of the Earth and the life on it']",0,,5.829099463418456e-05,8.314763822502291e-07,0.9999387413597808,,,,,,,3.058830668494669e-07,3.4661092401981e-07,,,,,,,,,,,,,,,,,,,,,,1.44488929829532e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.763696593067845e-08,,,,,,,,,,,,,,,,,,4.9934037998829627e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The pair of excerpts below is written by explorer Christopher Columbus and the Dominican Bishop of Chiapas, Mexico, Bartholomew de las Casas.
Source 1
Indians would give whatever the seller required. . . . Thus they bartered, like idiots, cotton and gold for fragments of bows, glasses, bottles, and jars; which I forbad as being unjust, and myself gave them many beautiful and acceptable articles which I had brought with me, taking nothing from them in return; I did this in order that I might the more easily conciliate them, that they might be led to become Christians, and be inclined to entertain a regard for the King and Queen, our Princes and all Spaniards, and that I might induce them to take an interest in seeking out, and collecting and delivering to us such things as they possessed in abundance, but which we greatly needed.
âChristopher Columbus: letter to Raphael Sanchez, 1493
Source 2
It was upon these gentle lambs . . . that from the very first day they clapped eyes on them the Spanish fell like ravening wolves upon the fold, or like tigers and savage lions who have not eaten meat for days. The pattern established at the outset has remained unchanged to this day, and the Spaniards still do nothing save tear the natives to shreds, murder them and inflict upon them untold misery, suffering and distress, tormenting, harrying and persecuting them mercilessly. We shall in due course describe some of the many ingenious methods of torture they have invented and refined for this purpose, but one can get some idea of the effectiveness of their methods from the figures alone. When the Spanish first journeyed there, the indigenous population of the island of Hispaniola stood at some three million; today only two hundred survive. Their reason for killing and destroying such an infinite number of souls is that the Christians have an ultimate aim, which is to acquire gold, and to swell themselves with riches in a very brief time and thus rise to a high estate disproportionate to their merits.
âBartholomew de las Casas: A Short Account of the Destruction of the Indies, 1542
Which of the following motives for exploration does de las Casas seem to be criticizing in Source 2?",high_school_european_history,"['Converting the natives to Christianity' 'Financial gain'
 'Personal glory' 'Finding new mates']",1,1.491466120350554e-05,0.1066539438466943,0.0001603477192647,0.8930052296078506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001511359946158,8.613098469791002e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Read the following excerpt.
Never were talents of the highest genius of the most exalted kind, more profusely bestowed upon a human being. The genius of Napoleon is astounding. All branches of human knowledge seemed alike familiar to his gigantic mind. His conversations at St. Helena, scattered through the numerous and voluminous memorials of those who gleaned them, are replete with intensest interest. During the long agony of his imprisonment and his death, he conversed with perfect freedom upon the events of his marvelous career, and upon all those subjects or morals, politics, and religion, which most deeply concern the welfare of our race. There is no mind which will not be invigorated by familiarity with these profound thoughts, expressed with so much glow of feeling and energy of diction.
âJohn S. C. Abbott, historian, Napoleon at St. Helena, 1855
Which of the following features of the French empire under Napoleon does Abbott seem most impressed with?",high_school_european_history,"[""Napoleon's secret police"" ""Napoleon's domestic reforms""
 ""Napoleon's suppression of women's rights"" ""Napoleon's military tactics""]",1,0.0136756475835599,0.015496538903998,0.3112562301285905,0.6589294836282812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003360327900362,,,,,3.303106521475763e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.841206122277765e-05,2.0560494762462875e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Read the following quote.
I had now decided beyond all question that there existed in the heavens three stars wandering about Jupiter as do Venus and Mercury about the sun, and this became plainer than daylight from observations on similar occasions which followed. Nor were there just three such stars; four wanderers complete their revolutions about Jupiter, and of their alterations as observed more precisely later on we shall give a description here. Also I measured the distances between them by means of the telescope. . . .
Such are the observations concerning the four Medicean planets recently first discovered by me, and although from this data their periods have not yet been reconstructed in numerical form, it is legitimate at least to put in evidence some facts worthy of note. Above all, since they sometimes follow and sometimes precede Jupiter by the same intervals, and they remain within very limited distances either to east or west of Jupiter, accompanying that planet in both its retrograde and direct movements in a constant manner, no one can doubt that they complete their revolutions about Jupiter and at the same time effect all together a twelve-year period about the center of the universe.
âGalileo Galilei, 1610
Which of the following Polish thinkers was most likely the person whose ideas convinced Galileo to have written the statement above?",high_school_european_history,"['Nicolaus Copernicus' 'Johannes Kepler' 'Galileo Galilei'
 'Josef Pilsudski']",0,4.783867171946763e-06,0.9997419422914552,0.0001398050918047,0.0001088803149748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.896154430978851e-06,2.399915142681539e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The following quote is from Voltaire in response to the 1755 Lisbon earthquake.
My dear sir, nature is very cruel. One would find it hard to imagine how the laws of movement cause such frightful disasters in the best of possible worlds. A hundred thousand ants, our fellows, crushed all at once in our ant-hill, and half of them perishing, no doubt in unspeakable agony, beneath the wreckage from which they cannot be drawn. Families ruined all over Europe, the fortune of a hundred businessmen, your compatriots, swallowed up in the ruins of Lisbon. What a wretched gamble is the game of human life! What will the preachers say, especially if the palace of the Inquisition is still standing? I flatter myself that at least the reverend father inquisitors have been crushed like others. That ought to teach men not to persecute each other, for while a few holy scoundrels burn a few fanatics, the earth swallows up one and all.
âVoltaire, in a letter, 1755
Which of the following Enlightenment philosophes questioned reliance on reason and began the Romantic Movement for the rationale given?",high_school_european_history,"['Jean-Jacques Rousseau because he thought society corrupted noble souls.'
 'Baron Montesquieu because he thought that governments were not capable of being fair.'
 'Mary Wollstonecraft because she railed against the subjugation of women emotionally.'
 'Adam Smith because he stated that reason could not be used to understand how another feels.']",0,2.745419231056915e-05,1.0099832925025488e-05,,0.9970460441091192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1444610055226033e-05,0.0024890745712105,0.000378993615188,1.0099832925025488e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Read the the following poem to answer questions.
Take up the White Man's burdenâ
Send forth the best ye breedâ
Go bind your sons to exile
To serve your captives' need;
To wait in heavy harness,
On fluttered folk and wildâ
Your new-caught, sullen peoples,
Half-devil and half-child.
...
Take up the White Man's burdenâ
The savage wars of peaceâ
Fill full the mouth of Famine
And bid the sickness cease;
And when your goal is nearest
The end for others soughtâ¦
Watch sloth and heathen Folly
Bring all your hopes to naught.
Rudyard Kipling, The White Man's Burden, 1899
The poem describes which kind of attitude toward the native peoples who were under the rule or influence of the British Empire?",high_school_european_history,"['They are ""exiled sons"" of the British race.'
 'While ""savage,"" they fight wars for the sake of a lasting peace.'
 'They are ready for conversion to Christianity.'
 'They are the product of a less-civilized and less-developed civilization.']",3,0.0225155991360454,0.0198699464973965,6.32416992175824e-05,0.9573955617910116,6.665626057507846e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001306389844476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
The excerpts below are from the Navigation Acts of 1651.
[A]fter the first day of December, one thousand six hundred fifty and one, and from thence forwards, no goods or commodities whatsoever of the growth, production or manufacture of Asia, Africa or America, or of any part thereof; or of any islands belonging to them, or which are described or laid down in the usual maps or cards of those places, as well of the English plantations as others, shall be imported or brought into this Commonwealth of England, or into Ireland, or any other lands, islands, plantations, or territories to this Commonwealth belonging, or in their possession, in any other ship or ships, vessel or vessels whatsoever, but only in such as do truly and without fraud belong only to the people of this Commonwealth, or the plantations thereof, as the proprietors or right owners thereof; and whereof the master and mariners are also of the people of this Commonwealth, under the penalty of the forfeiture and loss of all the goods that shall be imported contrary to this act, , , ,
[N]o goods or commodities of the growth, production, or manufacture of Europe, or of any part thereof, shall after the first day of December, one thousand six hundred fifty and one, be imported or brought into this Commonwealth of England, or any other lands or territories to this Commonwealth belonging, or in their possession, in any ship or ships, vessel or vessels whatsoever, but in such as do truly and without fraud belong only to the people of this Commonwealth, and in no other, except only such foreign ships and vessels as do truly and properly belong to the people of that country or place, of which the said goods are the growth, production or manufacture.
The aforementioned 1651 Navigation Acts above conflict with which of the following economic philosopher's theories and beliefs?",high_school_european_history,['Thomas Malthus' 'Josiah Child' 'Adam Smith' 'Jean-Baptiste Colbert'],2,0.0008899541356196,0.0001546508396366,0.9759573826846338,0.0229522196683414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.849402622462045e-05,,,,,,,,,2.4996980095223244e-06,7.161754704300151e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Perestroika [Restructuring] is an urgent necessity arising from the profound processes of development in our socialist society. This society is ripe for change. It has long been yearning for it. Any delay in beginning perestroika could have led to an exacerbated internal situation in the near future, which, to put it bluntly, would have been fraught with serious social, economic, and political crises.
Mikhail Gorbachev, Perestroika: New Thinking for Our Country and the World, 1987
From the passage, one may infer that Gorbachev argued that",high_school_european_history,"['a restructuring of the socialist society of the Soviet Union was inevitable'
 'a restructuring of the socialist society of the Soviet Union would exacerbate the current situation'
 'a restructuring of the socialist society of the Soviet Union was necessary in order to avoid a crisis'
 'a restructuring of socialist society was necessary in order to avoid the collapse of the Soviet Union']",2,0.3832920568983787,0.2324783841331859,0.2985158758991148,0.0855240078440995,1.852373505732077e-05,,,,,,2.2343889558400197e-05,,,,,8.21985760434069e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8690122100649685e-05,2.8690122100649685e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
From this moment until that in which the enemy shall have been driven from the soil of the Republic, all Frenchmen are in permanent requisition for the service of the armies. The young men shall go to battle; the married men shall forge arms and transport provisions; the women shall make tents and clothing and shall serve in the hospitals; the children shall turn old linen into lint; the aged shall betake themselves to the public places in order to arouse the courage of the warriors and preach the hatred of kings and the unity of the Republic. â¦
The Committee of Public Safety is charged to take all necessary measures to set up without delay an extraordinary manufacture of arms of every sort which corresponds with the ardor and energy of the French people. It is, accordingly, authorized to form all the establishments, factories, workshops, and mills which shall be deemed necessary for the carrying on of these works, as well as to put in requisition, within the entire extent of the Republic, the artists and workingmen who can contribute to their success.
The representatives of the people sent out for the execution of the present law shall have the same authority in their respective districts, acting in concert with the Committee of Public Safety; they are invested with the unlimited powers assigned to the representatives of the people to the armies.
The LevÃ©e en Masse, August 23, 1793
It could be argued that the passage represents a turning point in the history of warfare in modern European history because",high_school_european_history,"['it represented the introduction of weaponry produced by large-scale industrialization'
 ""it advocated the total extinction of a nation's enemies""
 'it was war run by a committee' 'it advocated total war']",3,0.9999915020464564,1.7603228091541468e-06,1.8738538762513095e-06,2.726441302194693e-06,,,,,6.893523168322729e-07,,,,,,7.734318642157583e-08,,,,,,,,,,,,,,,,,,1.0571560169228782e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.338117215101431e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This question refers to the following information.
Read the following excerpt.
If civilized education developed in every child its natural inclinations, we should see nearly all rich children enamored of various very plebeian occupations, such as that of the mason, the carpenter, the smith, the saddler. I have instanced Louis the XVI, who loved the trade of locksmith; an Infanta of Spain preferred that of shoemaker; a certain king of Denmark gratified himself by manufacturing syringes; the former king of Naples loved to sell the fish he had caught in the market-place himself; the prince of Parma, whom Condillac had trained in metaphysical subtitles, in the understanding of intuition, of cognition, had no taste but for the occupation of church-warden and lay-brother.
The great majority of wealthy children would follow these plebeian tastes, if civilized education did not oppose the development of them; and if the filthiness of the workshops and the coarseness of the workmen did not arouse a repugnance stronger than the attraction. What child of a prince is there who has no taste for one of the four occupations I have just mentioned, that of mason, carpenter, smith, saddler, and who would not advance in them if he beheld from an early age the work carried on in blight workshops, by refined people, who would always arrange a miniature workshop for children, with little implements and light labor?
âCharles Fourier, On Education, 1838
Many in Fourier's circles advocated for universal male suffrage, which was propagated most by which of the following groups?",high_school_european_history,['Luddites' 'Liberals' 'Benthamites' 'Chartists'],3,0.999937781807311,1.670061772251472e-05,3.1200861546709055e-05,6.143813914976602e-06,,,,,,,,,,,7.733920347277076e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4341139665634e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
